日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,11.060,11.360,11.020,11.290,67051484.0,5976800
2024-4-1,09:40,11.310,11.400,11.230,11.350,48842752.0,4308500
2024-4-1,09:45,11.360,11.450,11.320,11.330,52713880.0,4631000
2024-4-1,09:50,11.330,11.370,11.220,11.230,25287280.0,2236400
2024-4-1,09:55,11.240,11.360,11.230,11.350,18307818.0,1620700
2024-4-1,10:00,11.350,11.450,11.330,11.430,31929264.0,2805300
2024-4-1,10:05,11.430,11.460,11.400,11.440,33030550.0,2888900
2024-4-1,10:10,11.430,11.430,11.360,11.430,16998766.0,1490500
2024-4-1,10:15,11.430,11.470,11.400,11.460,28719256.0,2511700
2024-4-1,10:20,11.470,11.550,11.470,11.500,36977556.0,3216200
2024-4-1,10:25,11.510,11.530,11.490,11.520,17921804.0,1556600
2024-4-1,10:30,11.520,11.540,11.490,11.520,18549900.0,1611000
2024-4-1,10:35,11.510,11.530,11.480,11.510,12596326.0,1094600
2024-4-1,10:40,11.510,11.510,11.470,11.490,8237039.0,716700
2024-4-1,10:45,11.500,11.510,11.450,11.450,5751378.0,500800
2024-4-1,10:50,11.450,11.510,11.450,11.500,8496323.0,739900
2024-4-1,10:55,11.510,11.520,11.500,11.500,7344427.0,638300
2024-4-1,11:00,11.500,11.530,11.500,11.500,10969851.0,952900
2024-4-1,11:05,11.500,11.520,11.480,11.480,4372668.0,380100
2024-4-1,11:10,11.480,11.500,11.480,11.490,3179351.0,276800
2024-4-1,11:15,11.470,11.490,11.460,11.460,3237023.0,282300
2024-4-1,11:20,11.470,11.480,11.420,11.460,7172017.0,626600
2024-4-1,11:25,11.470,11.490,11.460,11.460,2529984.0,220600
2024-4-1,11:30,11.460,11.480,11.450,11.470,3000055.0,261800
2024-4-1,13:05,11.470,11.490,11.440,11.450,9602610.0,837300
2024-4-1,13:10,11.450,11.520,11.440,11.520,16048274.0,1397500
2024-4-1,13:15,11.510,11.540,11.500,11.530,10256559.0,890000
2024-4-1,13:20,11.530,11.550,11.470,11.470,10181855.0,883100
2024-4-1,13:25,11.480,11.480,11.440,11.470,6943003.0,606300
2024-4-1,13:30,11.470,11.510,11.460,11.500,6192703.0,538900
2024-4-1,13:35,11.510,11.540,11.480,11.520,11347230.0,985600
2024-4-1,13:40,11.530,11.530,11.480,11.490,5030765.0,437300
2024-4-1,13:45,11.480,11.490,11.460,11.480,4292165.0,374100
2024-4-1,13:50,11.480,11.490,11.470,11.490,2821358.0,245700
2024-4-1,13:55,11.500,11.500,11.480,11.490,3645435.0,317200
2024-4-1,14:00,11.490,11.500,11.480,11.480,2820410.0,245500
2024-4-1,14:05,11.490,11.500,11.470,11.480,4298375.0,374300
2024-4-1,14:10,11.470,11.490,11.470,11.480,4189669.0,364900
2024-4-1,14:15,11.470,11.490,11.460,11.470,4977749.0,433800
2024-4-1,14:20,11.470,11.500,11.470,11.490,6178222.0,537700
2024-4-1,14:25,11.500,11.500,11.480,11.490,5592577.0,486700
2024-4-1,14:30,11.500,11.510,11.490,11.510,4002440.0,348000
2024-4-1,14:35,11.510,11.570,11.500,11.570,23967208.0,2076800
2024-4-1,14:40,11.570,11.600,11.560,11.590,25311332.0,2184300
2024-4-1,14:45,11.600,11.600,11.560,11.580,10116956.0,874200
2024-4-1,14:50,11.580,11.680,11.570,11.670,28804064.0,2477500
2024-4-1,14:55,11.660,11.670,11.620,11.630,20553332.0,1764900
2024-4-1,15:00,11.630,11.660,11.630,11.640,12421046.0,1066900
2024-4-2,09:35,11.650,11.680,11.440,11.520,55189404.0,4774000
2024-4-2,09:40,11.510,11.570,11.470,11.520,24045108.0,2088000
2024-4-2,09:45,11.530,11.570,11.480,11.570,17883036.0,1551800
2024-4-2,09:50,11.560,11.600,11.490,11.490,14160703.0,1226800
2024-4-2,09:55,11.480,11.480,11.430,11.460,16715512.0,1459300
2024-4-2,10:00,11.460,11.470,11.440,11.450,13971148.0,1220300
2024-4-2,10:05,11.460,11.460,11.400,11.400,16689582.0,1459300
2024-4-2,10:10,11.400,11.420,11.360,11.380,20179876.0,1770800
2024-4-2,10:15,11.380,11.380,11.310,11.330,23576068.0,2077500
2024-4-2,10:20,11.330,11.410,11.330,11.400,10447082.0,918100
2024-4-2,10:25,11.400,11.470,11.380,11.430,9951500.0,871300
2024-4-2,10:30,11.430,11.450,11.390,11.410,5209252.0,456400
2024-4-2,10:35,11.400,11.460,11.390,11.450,5044054.0,441700
2024-4-2,10:40,11.450,11.500,11.440,11.480,7237499.0,631200
2024-4-2,10:45,11.460,11.470,11.430,11.450,2392539.0,209000
2024-4-2,10:50,11.450,11.480,11.400,11.470,4104354.0,358800
