日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,9.350,9.440,9.310,9.420,41620812.0,4443800
2024-4-1,09:40,9.430,9.480,9.410,9.440,37939304.0,4018700
2024-4-1,09:45,9.430,9.450,9.400,9.400,25305930.0,2684600
2024-4-1,09:50,9.400,9.430,9.350,9.360,26986740.0,2873900
2024-4-1,09:55,9.360,9.390,9.350,9.380,16780792.0,1792300
2024-4-1,10:00,9.370,9.380,9.330,9.350,19838064.0,2122700
2024-4-1,10:05,9.360,9.370,9.320,9.330,16442627.0,1759200
2024-4-1,10:10,9.320,9.330,9.300,9.300,19761360.0,2122700
2024-4-1,10:15,9.300,9.310,9.270,9.300,20854942.0,2243900
2024-4-1,10:20,9.300,9.340,9.300,9.330,16494456.0,1769700
2024-4-1,10:25,9.340,9.380,9.330,9.380,18874324.0,2016200
2024-4-1,10:30,9.380,9.410,9.370,9.400,11073542.0,1179200
2024-4-1,10:35,9.400,9.430,9.380,9.430,16735160.0,1780000
2024-4-1,10:40,9.440,9.440,9.380,9.380,9911329.0,1053700
2024-4-1,10:45,9.380,9.400,9.360,9.370,6387933.0,681200
2024-4-1,10:50,9.360,9.370,9.340,9.370,8801938.0,940900
2024-4-1,10:55,9.370,9.400,9.370,9.380,7557621.0,806100
2024-4-1,11:00,9.380,9.390,9.370,9.370,5224204.0,557200
2024-4-1,11:05,9.370,9.380,9.350,9.350,7480438.0,799000
2024-4-1,11:10,9.350,9.360,9.310,9.310,10847102.0,1161700
2024-4-1,11:15,9.320,9.330,9.310,9.310,12328982.0,1323400
2024-4-1,11:20,9.310,9.340,9.290,9.330,12835933.0,1379200
2024-4-1,11:25,9.330,9.350,9.320,9.330,11302356.0,1211500
2024-4-1,11:30,9.330,9.370,9.320,9.350,7370134.0,787900
2024-4-1,13:05,9.370,9.380,9.320,9.330,6790981.5,725900
2024-4-1,13:10,9.350,9.350,9.330,9.340,4269493.0,457300
2024-4-1,13:15,9.340,9.350,9.330,9.350,6017329.0,644200
2024-4-1,13:20,9.350,9.360,9.310,9.320,11259208.0,1206500
2024-4-1,13:25,9.310,9.340,9.310,9.330,5320035.0,570700
