日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,22.880,23.150,22.860,22.960,6205372.0,270000
2024-7-1,09:40,22.920,22.950,22.670,22.690,5185025.0,227100
2024-7-1,09:45,22.690,22.700,22.510,22.530,7525489.0,333400
2024-7-1,09:50,22.530,22.540,22.400,22.500,5590830.0,248800
2024-7-1,09:55,22.500,22.570,22.490,22.530,3527950.0,156600
2024-7-1,10:00,22.510,22.600,22.500,22.590,1846652.0,81900
2024-7-1,10:05,22.590,22.630,22.540,22.550,2926668.0,129600
2024-7-1,10:10,22.580,22.580,22.510,22.520,1162297.0,51600
2024-7-1,10:15,22.540,22.540,22.450,22.460,3166276.0,140800
2024-7-1,10:20,22.460,22.480,22.420,22.420,1980405.0,88200
2024-7-1,10:25,22.430,22.440,22.410,22.430,2423807.0,108100
2024-7-1,10:30,22.420,22.440,22.400,22.420,2158372.0,96300
2024-7-1,10:35,22.410,22.420,22.260,22.310,7156011.0,320600
2024-7-1,10:40,22.310,22.320,22.290,22.310,927828.0,41600
2024-7-1,10:45,22.310,22.400,22.310,22.350,2557253.0,114400
2024-7-1,10:50,22.350,22.390,22.330,22.380,2605055.0,116500
2024-7-1,10:55,22.390,22.440,22.350,22.430,799170.0,35700
2024-7-1,11:00,22.430,22.430,22.330,22.340,2630398.0,117500
2024-7-1,11:05,22.330,22.360,22.320,22.330,1027348.0,46000
2024-7-1,11:10,22.330,22.340,22.290,22.300,1844565.0,82700
2024-7-1,11:15,22.290,22.380,22.290,22.350,828493.0,37100
2024-7-1,11:20,22.340,22.440,22.330,22.400,2677578.0,119600
2024-7-1,11:25,22.390,22.400,22.380,22.400,631481.0,28200
2024-7-1,11:30,22.380,22.400,22.350,22.390,613044.0,27400
2024-7-1,13:05,22.380,22.410,22.300,22.400,2393605.0,107100
2024-7-1,13:10,22.370,22.450,22.360,22.380,2336852.0,104300
2024-7-1,13:15,22.370,22.400,22.350,22.370,764869.0,34200
2024-7-1,13:20,22.360,22.580,22.360,22.550,3295089.0,146500
2024-7-1,13:25,22.560,22.600,22.500,22.540,2932580.0,130100
2024-7-1,13:30,22.540,22.540,22.460,22.460,3347233.0,148800
2024-7-1,13:35,22.490,22.560,22.440,22.460,2574089.0,114400
2024-7-1,13:40,22.470,22.470,22.370,22.410,3615499.0,161400
2024-7-1,13:45,22.380,22.450,22.380,22.400,1522397.0,67900
2024-7-1,13:50,22.400,22.440,22.370,22.430,1831743.0,81800
2024-7-1,13:55,22.450,22.490,22.400,22.480,1837775.0,81900
2024-7-1,14:00,22.490,22.500,22.430,22.480,2600227.0,115700
2024-7-1,14:05,22.470,22.500,22.450,22.480,2179885.0,97000
2024-7-1,14:10,22.480,22.500,22.440,22.480,3482810.0,155000
2024-7-1,14:15,22.480,22.500,22.400,22.430,4156059.0,185300
2024-7-1,14:20,22.430,22.450,22.360,22.390,3709849.0,165600
2024-7-1,14:25,22.390,22.410,22.370,22.410,1642872.0,73400
2024-7-1,14:30,22.420,22.440,22.380,22.400,2153834.0,96100
2024-7-1,14:35,22.430,22.440,22.390,22.430,1496917.0,66800
2024-7-1,14:40,22.430,22.450,22.410,22.430,2212041.0,98600
2024-7-1,14:45,22.430,22.460,22.420,22.450,3592075.0,160100
2024-7-1,14:50,22.440,22.460,22.410,22.420,4790172.0,213600
2024-7-1,14:55,22.400,22.460,22.400,22.450,3692183.0,164600
2024-7-1,15:00,22.450,22.460,22.430,22.430,4247535.0,189300
2024-7-2,09:35,22.430,22.520,22.150,22.240,11915271.0,535500
2024-7-2,09:40,22.260,22.300,22.000,22.160,16784476.0,758800
2024-7-2,09:45,22.160,22.280,22.070,22.230,10344975.0,466900
2024-7-2,09:50,22.210,22.250,22.050,22.060,6860086.0,310000
2024-7-2,09:55,22.050,22.060,21.880,21.900,18270520.0,830800
2024-7-2,10:00,21.900,22.020,21.870,22.000,8213727.0,374800
2024-7-2,10:05,22.000,22.000,21.880,21.890,4983649.0,227300
2024-7-2,10:10,21.890,21.990,21.880,21.950,4938621.0,225300
2024-7-2,10:15,21.950,21.950,21.880,21.890,4333542.0,197800
2024-7-2,10:20,21.890,21.890,21.760,21.820,8618285.0,394800
2024-7-2,10:25,21.830,21.950,21.830,21.930,5473360.0,249700
2024-7-2,10:30,21.930,22.020,21.910,22.010,2624155.0,119500
2024-7-2,10:35,22.000,22.040,21.980,21.980,4129346.0,187700
2024-7-2,10:40,21.980,22.000,21.950,21.980,3142366.0,143000
2024-7-2,10:45,21.970,21.970,21.860,21.870,3174524.0,144900
2024-7-2,10:50,21.880,21.880,21.800,21.810,4315316.0,197600
2024-7-2,10:55,21.810,21.820,21.700,21.710,8061209.0,370500
2024-7-2,11:00,21.710,21.760,21.620,21.740,9503805.0,438400
2024-7-2,11:05,21.740,21.750,21.610,21.630,8930586.0,412500
2024-7-2,11:10,21.640,21.640,21.600,21.640,10378671.0,479900
2024-7-2,11:15,21.630,21.640,21.540,21.560,6556415.0,303600
2024-7-2,11:20,21.550,21.710,21.550,21.700,6716234.0,310800
2024-7-2,11:25,21.700,21.700,21.600,21.660,6533453.5,301900
2024-7-2,11:30,21.660,21.680,21.620,21.640,4485891.0,207200
2024-7-2,13:05,21.640,21.650,21.540,21.580,9303642.0,431200
2024-7-2,13:10,21.570,21.610,21.530,21.560,9931815.0,460700
2024-7-2,13:15,21.570,21.590,21.530,21.540,4949511.0,229600
2024-7-2,13:20,21.540,21.600,21.510,21.530,5351390.0,248300
2024-7-2,13:25,21.520,21.580,21.500,21.550,4462951.0,207200
2024-7-2,13:30,21.560,21.560,21.500,21.530,4703980.0,218600
2024-7-2,13:35,21.530,21.610,21.520,21.610,4120614.25,191200
2024-7-2,13:40,21.620,21.620,21.530,21.540,2811873.0,130300
2024-7-2,13:45,21.540,21.650,21.530,21.600,4214395.0,195300
2024-7-2,13:50,21.590,21.620,21.590,21.590,3148876.5,145800
2024-7-2,13:55,21.600,21.600,21.560,21.600,3186810.5,147700
2024-7-2,14:00,21.580,21.600,21.550,21.570,2456241.0,113900
2024-7-2,14:05,21.570,21.650,21.570,21.590,4223475.0,195400
2024-7-2,14:10,21.590,21.610,21.550,21.580,3071879.0,142400
2024-7-2,14:15,21.570,21.600,21.560,21.580,5881315.0,272600
2024-7-2,14:20,21.580,21.590,21.540,21.540,5185556.0,240500
2024-7-2,14:25,21.540,21.610,21.530,21.590,4375700.0,203000
2024-7-2,14:30,21.590,21.600,21.560,21.560,1946198.0,90200
2024-7-2,14:35,21.560,21.570,21.530,21.530,3557465.0,165100
2024-7-2,14:40,21.530,21.570,21.520,21.550,3874753.0,179900
2024-7-2,14:45,21.560,21.580,21.530,21.550,3989351.75,185100
2024-7-2,14:50,21.550,21.590,21.550,21.580,4043911.0,187500
2024-7-2,14:55,21.580,21.600,21.580,21.600,4834937.5,223900
2024-7-2,15:00,21.610,21.640,21.600,21.620,4046473.0,187200
2024-7-3,09:35,21.710,21.710,21.150,21.320,18441562.0,863000
2024-7-3,09:40,21.310,21.380,21.220,21.220,6907811.0,324100
2024-7-3,09:45,21.220,21.280,21.110,21.110,8223889.0,387900
2024-7-3,09:50,21.140,21.180,20.980,21.050,18530936.0,879800
2024-7-3,09:55,21.050,21.110,20.960,21.030,20137294.0,957400
2024-7-3,10:00,21.030,21.060,20.900,21.010,9748415.0,464500
2024-7-3,10:05,21.010,21.050,20.900,20.920,7952607.0,378900
2024-7-3,10:10,20.940,20.990,20.900,20.970,4487487.0,214200
2024-7-3,10:15,20.980,21.050,20.980,21.020,6248512.0,297100
2024-7-3,10:20,21.020,21.020,20.980,20.980,3073332.0,146400
2024-7-3,10:25,20.970,21.050,20.940,21.040,5083063.0,242100
2024-7-3,10:30,21.050,21.060,21.020,21.050,4552514.0,216400
2024-7-3,10:35,21.050,21.120,21.050,21.080,2595428.0,123100
2024-7-3,10:40,21.080,21.100,21.000,21.040,2648929.0,125800
2024-7-3,10:45,21.040,21.100,21.000,21.000,1485882.0,70600
2024-7-3,10:50,21.010,21.020,20.940,20.950,2953129.0,140800
2024-7-3,10:55,20.950,20.960,20.900,20.910,4531605.0,216700
2024-7-3,11:00,20.910,20.930,20.840,20.840,9539817.0,456600
2024-7-3,11:05,20.840,20.950,20.820,20.930,1908723.0,91300
2024-7-3,11:10,20.930,20.960,20.890,20.890,2063251.0,98600
2024-7-3,11:15,20.880,20.990,20.880,20.960,1939251.0,92600
2024-7-3,11:20,20.960,21.020,20.950,20.950,2291634.0,109200
2024-7-3,11:25,20.950,21.090,20.950,20.990,2669744.0,127000
2024-7-3,11:30,21.010,21.020,20.950,20.950,3984160.0,189900
2024-7-3,13:05,20.980,20.980,20.870,20.870,4351005.0,208100
2024-7-3,13:10,20.880,20.880,20.830,20.860,4498014.0,215800
2024-7-3,13:15,20.850,20.930,20.850,20.900,4538886.0,217300
2024-7-3,13:20,20.880,20.950,20.880,20.950,2605058.0,124600
2024-7-3,13:25,20.950,20.950,20.870,20.910,2531447.0,121100
2024-7-3,13:30,20.900,20.900,20.860,20.870,3762566.0,180200
2024-7-3,13:35,20.880,20.900,20.870,20.880,3440048.0,164700
2024-7-3,13:40,20.870,20.900,20.850,20.880,4452168.0,213300
2024-7-3,13:45,20.880,20.890,20.830,20.840,6071667.0,291000
2024-7-3,13:50,20.840,20.850,20.810,20.840,4507792.0,216400
2024-7-3,13:55,20.850,20.910,20.820,20.870,5247554.0,251700
2024-7-3,14:00,20.900,20.900,20.850,20.860,3395736.0,162700
2024-7-3,14:05,20.870,20.910,20.860,20.870,4211183.0,201600
