日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,34.060,34.070,33.400,33.900,121582824.0,3589300
2024-9-30,09:40,33.980,34.350,33.130,33.210,106007600.0,3125400
2024-9-30,09:45,33.210,33.900,33.000,33.600,51620488.0,1545800
2024-9-30,09:50,33.500,33.920,33.490,33.870,30228136.0,897100
2024-9-30,09:55,33.860,33.860,33.310,33.640,31041652.0,925100
2024-9-30,10:00,33.560,33.900,33.500,33.520,21200276.0,629800
2024-9-30,10:05,33.510,33.710,33.340,33.650,37262944.0,1113500
2024-9-30,10:10,33.650,33.760,33.530,33.630,24784818.0,736700
2024-9-30,10:15,33.610,33.610,33.150,33.160,30142218.0,903000
2024-9-30,10:20,33.250,33.680,33.140,33.680,38539696.0,1160400
2024-9-30,10:25,33.670,34.150,33.670,34.120,20459000.0,602700
2024-9-30,10:30,34.120,34.740,34.070,34.740,24267332.0,707500
2024-9-30,10:35,34.790,34.860,33.810,33.960,35209732.0,1028400
2024-9-30,10:40,33.940,34.170,33.880,33.900,17500430.0,514400
2024-9-30,10:45,33.950,34.380,33.910,34.020,20094596.0,587200
2024-9-30,10:50,34.080,34.650,34.010,34.400,15645345.0,454000
2024-9-30,10:55,34.480,35.020,34.450,34.950,18485668.0,531100
2024-9-30,11:00,34.990,35.100,34.900,35.050,17791618.0,508200
2024-9-30,11:05,35.070,35.230,34.800,34.890,19758916.0,563900
2024-9-30,11:10,34.890,35.300,34.830,35.300,15769356.0,449600
2024-9-30,11:15,35.350,35.720,35.320,35.510,32085044.0,902700
2024-9-30,11:20,35.530,35.750,35.320,35.680,12653309.0,356000
2024-9-30,11:25,35.620,35.790,35.470,35.680,14280101.0,400700
2024-9-30,11:30,35.730,35.980,35.680,35.910,12573693.0,351200
2024-9-30,13:05,36.000,36.580,36.000,36.370,34419648.0,948300
2024-9-30,13:10,36.390,36.700,36.000,36.680,29602358.0,814200
2024-9-30,13:15,36.700,37.250,36.560,36.650,31056704.0,841800
2024-9-30,13:20,36.610,37.050,36.250,37.050,22698956.0,622100
2024-9-30,13:25,37.000,37.350,36.710,37.330,31034840.0,839100
2024-9-30,13:30,37.300,37.400,37.010,37.250,19144376.0,514300
2024-9-30,13:35,37.290,37.330,37.060,37.170,13480147.0,362600
2024-9-30,13:40,37.160,37.250,37.110,37.180,8754937.0,235600
2024-9-30,13:45,37.170,37.350,37.140,37.210,10502937.0,281900
2024-9-30,13:50,37.220,37.560,37.170,37.440,16771307.0,449100
