日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,33.750,34.570,33.720,34.460,392438208.0,11493400
2024-9-30,09:40,34.470,34.900,33.860,33.860,205763408.0,5972400
2024-9-30,09:45,33.840,33.890,33.600,33.600,243912496.0,7217500
2024-9-30,09:50,33.600,33.600,33.030,33.110,199842480.0,5982800
2024-9-30,09:55,33.110,33.530,32.910,33.530,118879960.0,3583300
2024-9-30,10:00,33.520,33.820,33.520,33.660,81029136.0,2404500
2024-9-30,10:05,33.670,33.850,33.510,33.850,65978756.0,1960100
2024-9-30,10:10,33.850,33.980,33.850,33.870,65560028.0,1933200
2024-9-30,10:15,33.860,33.900,33.620,33.880,60533692.0,1792100
2024-9-30,10:20,33.900,33.990,33.830,33.990,46879932.0,1383500
2024-9-30,10:25,33.990,34.500,33.990,34.450,70138168.0,2044900
2024-9-30,10:30,34.440,34.500,34.380,34.390,39563620.0,1148300
2024-9-30,10:35,34.390,34.420,34.050,34.250,34839844.0,1018500
2024-9-30,10:40,34.250,34.300,34.220,34.250,25928376.0,756900
2024-9-30,10:45,34.260,34.490,34.250,34.490,30015428.0,873600
2024-9-30,10:50,34.480,34.600,34.460,34.540,45358032.0,1313900
2024-9-30,10:55,34.550,34.700,34.520,34.700,34424248.0,995000
2024-9-30,11:00,34.700,34.840,34.700,34.820,43089192.0,1239300
2024-9-30,11:05,34.820,34.840,34.400,34.400,38064748.0,1098900
2024-9-30,11:10,34.370,34.600,34.300,34.580,28463940.0,827600
2024-9-30,11:15,34.580,34.630,34.500,34.570,25288752.0,731400
2024-9-30,11:20,34.580,34.770,34.560,34.760,31925932.0,920900
2024-9-30,11:25,34.760,34.780,34.600,34.780,26813900.0,771900
2024-9-30,11:30,34.780,34.850,34.770,34.840,30217908.0,868000
2024-9-30,13:05,34.830,35.220,34.830,35.210,134309552.0,3833800
2024-9-30,13:10,35.220,35.260,35.200,35.230,41040256.0,1164900
2024-9-30,13:15,35.240,35.250,34.940,35.020,53476008.0,1521200
2024-9-30,13:20,35.020,35.200,35.000,35.150,39346236.0,1120500
2024-9-30,13:25,35.150,35.150,35.070,35.150,27232388.0,775500
2024-9-30,13:30,35.150,35.180,35.070,35.140,24488448.0,696800
2024-9-30,13:35,35.140,35.240,35.140,35.240,28269104.0,803300
2024-9-30,13:40,35.230,35.270,35.210,35.260,37804448.0,1072900
2024-9-30,13:45,35.270,35.300,35.260,35.300,41481260.0,1175500
2024-9-30,13:50,35.290,35.320,35.290,35.310,40976056.0,1160500
2024-9-30,13:55,35.300,35.320,35.290,35.290,26081088.0,738700
2024-9-30,14:00,35.290,35.310,35.260,35.300,34057740.0,965000
2024-9-30,14:05,35.300,35.310,35.280,35.300,30588828.0,866500
2024-9-30,14:10,35.310,35.320,35.290,35.310,34369384.0,973500
2024-9-30,14:15,35.320,35.330,35.320,35.330,41950208.0,1187600
2024-9-30,14:20,35.320,35.330,35.310,35.310,31204094.0,883400
2024-9-30,14:25,35.310,35.310,34.750,34.820,80745808.0,2309300
2024-9-30,14:30,34.840,35.100,34.690,34.960,66675408.0,1913200
