日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,58.980,59.500,58.010,59.120,133263456.0,2262800
2024-9-30,09:40,59.200,59.260,57.900,57.910,86315272.0,1467100
2024-9-30,09:45,57.900,58.410,57.790,58.130,65026420.0,1119100
2024-9-30,09:50,58.110,58.110,57.250,57.350,69649808.0,1207800
2024-9-30,09:55,57.340,57.750,56.710,57.750,47193700.0,825900
2024-9-30,10:00,57.750,58.070,57.740,58.030,37118272.0,640700
2024-9-30,10:05,58.010,58.310,57.930,58.290,35239672.0,606300
2024-9-30,10:10,58.230,58.570,58.120,58.350,30051084.0,514900
2024-9-30,10:15,58.330,58.400,58.030,58.370,28376114.0,486900
2024-9-30,10:20,58.400,58.940,58.300,58.940,23549972.0,402100
2024-9-30,10:25,58.900,59.280,58.830,59.250,31040720.0,525300
2024-9-30,10:30,59.240,59.580,59.240,59.320,35165580.0,591600
2024-9-30,10:35,59.290,59.370,58.830,59.180,22101284.0,374000
2024-9-30,10:40,59.130,59.410,59.050,59.320,16659596.0,280800
2024-9-30,10:45,59.310,59.710,59.270,59.710,25211468.0,423800
2024-9-30,10:50,59.710,60.250,59.650,60.240,30152810.0,502900
2024-9-30,10:55,60.290,60.470,60.210,60.410,17665860.0,292800
2024-9-30,11:00,60.400,60.520,60.400,60.500,18267092.0,302200
2024-9-30,11:05,60.500,60.500,59.790,59.790,22017864.0,365700
2024-9-30,11:10,59.800,60.070,59.530,60.070,18322412.0,306500
2024-9-30,11:15,60.060,60.300,60.060,60.170,16430618.0,273000
2024-9-30,11:20,60.170,60.390,60.100,60.380,13067460.0,216800
2024-9-30,11:25,60.370,60.400,60.290,60.400,16375940.0,271300
2024-9-30,11:30,60.400,60.520,60.400,60.520,16705038.0,276200
2024-9-30,13:05,60.580,61.200,60.580,60.980,32412046.0,532100
2024-9-30,13:10,61.010,61.320,60.800,61.200,31521146.0,515300
2024-9-30,13:15,61.200,61.270,60.560,60.590,22197608.0,364400
2024-9-30,13:20,60.600,61.000,60.540,60.880,15539140.0,255600
2024-9-30,13:25,60.950,61.240,60.860,61.000,14687102.0,240800
2024-9-30,13:30,61.000,61.200,60.980,61.200,11627519.0,190500
2024-9-30,13:35,61.070,61.200,60.960,61.020,14280340.0,233800
2024-9-30,13:40,61.050,61.130,60.990,61.060,12231685.0,200400
2024-9-30,13:45,61.060,61.130,61.010,61.120,12137829.0,198700
2024-9-30,13:50,61.100,61.140,61.060,61.120,8341793.0,136500
2024-9-30,13:55,61.120,61.160,61.100,61.150,10520266.0,172100
2024-9-30,14:00,61.150,61.200,61.120,61.160,12862055.0,210300
2024-9-30,14:05,61.160,61.300,61.150,61.300,15991266.0,261000
2024-9-30,14:10,61.300,61.300,61.200,61.280,11713104.0,191200
2024-9-30,14:15,61.270,61.280,61.200,61.240,14028417.0,229100
2024-9-30,14:20,61.250,61.300,61.060,61.060,16973440.0,277200
2024-9-30,14:25,61.060,61.110,60.500,60.630,37196160.0,610500
2024-9-30,14:30,60.630,60.940,60.300,60.850,19997882.0,330300
2024-9-30,14:35,60.840,60.950,60.620,60.900,12054942.0,198400
2024-9-30,14:40,60.850,61.020,60.840,60.900,10656481.0,174800
2024-9-30,14:45,60.800,61.190,60.800,61.190,14331663.0,234800
2024-9-30,14:50,61.190,61.220,61.130,61.220,9537212.0,155900
2024-9-30,14:55,61.200,61.380,61.160,61.380,23272876.0,379800
2024-9-30,15:00,61.370,61.380,61.370,61.380,19161968.0,312200
2024-10-8,09:35,67.520,67.520,67.520,67.520,79268688.0,1174000
2024-10-8,09:40,67.520,67.520,67.520,67.520,89572032.0,1326600
2024-10-8,09:45,67.520,67.520,66.500,67.100,192512288.0,2869600
2024-10-8,09:50,67.140,67.520,66.980,67.510,96038232.0,1425400
2024-10-8,09:55,67.520,67.520,67.500,67.520,29196902.0,432400
2024-10-8,10:00,67.520,67.520,67.460,67.500,24378256.0,361100
2024-10-8,10:05,67.500,67.520,67.480,67.520,39155824.0,580000
2024-10-8,10:10,67.520,67.520,67.490,67.520,40700220.0,602800
2024-10-8,10:15,67.520,67.520,67.010,67.010,46906288.0,696900
2024-10-8,10:20,67.050,67.520,67.020,67.520,29661476.0,440300
2024-10-8,10:25,67.520,67.520,67.520,67.520,2538752.0,37600
2024-10-8,10:30,67.520,67.520,67.520,67.520,3504288.0,51900
2024-10-8,10:35,67.520,67.520,66.300,66.310,81165560.0,1210300
2024-10-8,10:40,66.310,66.360,64.700,65.710,104915704.0,1600100
2024-10-8,10:45,65.780,67.300,65.780,67.250,58149632.0,873300
2024-10-8,10:50,67.250,67.300,66.790,66.800,30866116.0,460500
2024-10-8,10:55,66.850,66.850,66.200,66.260,21644112.0,324900
2024-10-8,11:00,66.260,66.310,65.950,66.040,36679340.0,555000
2024-10-8,11:05,66.180,66.790,66.140,66.780,29297090.0,441000
2024-10-8,11:10,66.850,67.310,66.800,67.260,33179860.0,495200
2024-10-8,11:15,67.290,67.450,67.100,67.400,16188282.0,240600
2024-10-8,11:20,67.440,67.520,67.400,67.510,26046908.0,386000
2024-10-8,11:25,67.510,67.520,67.350,67.520,27803350.0,411900
2024-10-8,11:30,67.510,67.520,66.920,67.450,19709296.0,293200
2024-10-8,13:05,67.420,67.520,67.420,67.520,73884704.0,1094500
2024-10-8,13:10,67.520,67.520,67.460,67.480,22940694.0,339800
2024-10-8,13:15,67.450,67.450,67.140,67.430,20285878.0,301500
2024-10-8,13:20,67.440,67.500,67.350,67.370,15924729.0,236000
2024-10-8,13:25,67.400,67.440,67.220,67.290,15147155.0,225000
2024-10-8,13:30,67.280,67.360,67.210,67.350,14761649.0,219400
2024-10-8,13:35,67.350,67.500,67.190,67.190,20708200.0,307400
2024-10-8,13:40,67.160,67.180,67.020,67.070,17169336.0,256000
2024-10-8,13:45,67.060,67.350,66.930,67.250,20267060.0,302100
2024-10-8,13:50,67.260,67.280,66.540,66.720,26566552.0,397300
2024-10-8,13:55,66.720,66.770,66.400,66.480,32875068.0,494100
2024-10-8,14:00,66.470,67.030,66.400,67.000,28776816.0,432300
2024-10-8,14:05,67.000,67.380,67.000,67.080,14449912.0,214800
2024-10-8,14:10,67.030,67.230,67.000,67.150,16844172.0,251100
2024-10-8,14:15,67.150,67.460,67.090,67.420,26782944.0,398200
2024-10-8,14:20,67.370,67.520,67.310,67.520,36043444.0,534000
2024-10-8,14:25,67.510,67.520,67.510,67.520,21225040.0,314400
2024-10-8,14:30,67.520,67.520,67.510,67.520,13672656.0,202500
2024-10-8,14:35,67.520,67.520,67.520,67.520,2106624.0,31200
2024-10-8,14:40,67.520,67.520,67.520,67.520,1431424.0,21200
2024-10-8,14:45,67.520,67.520,67.520,67.520,3430016.0,50800
2024-10-8,14:50,67.520,67.520,67.520,67.520,2850694.5,42200
2024-10-8,14:55,67.520,67.520,67.520,67.520,11194141.0,165800
2024-10-8,15:00,67.520,67.520,67.520,67.520,5592546.5,82800
2024-10-9,09:35,66.000,66.160,64.240,66.060,184719344.0,2834000
2024-10-9,09:40,66.210,67.520,66.210,66.600,124700328.0,1858500
2024-10-9,09:45,66.560,67.480,66.160,67.450,72362304.0,1084900
2024-10-9,09:50,67.460,68.780,67.460,68.750,125906352.0,1848000
2024-10-9,09:55,68.770,69.300,68.400,68.400,114081296.0,1657700
2024-10-9,10:00,68.400,68.450,67.030,67.070,75115760.0,1107500
2024-10-9,10:05,67.100,67.900,67.080,67.850,48008608.0,712200
2024-10-9,10:10,67.900,67.900,66.500,66.500,61917080.0,922200
2024-10-9,10:15,66.500,66.680,65.950,66.350,71846960.0,1083600
2024-10-9,10:20,66.400,67.260,66.290,66.770,36465896.0,546400
2024-10-9,10:25,66.900,67.410,66.800,66.900,27250660.0,406100
2024-10-9,10:30,66.890,66.960,66.400,66.460,19157700.0,287200
2024-10-9,10:35,66.460,66.500,65.880,65.880,24905268.0,376200
2024-10-9,10:40,65.830,65.830,65.010,65.010,45495192.0,694000
2024-10-9,10:45,65.010,66.410,64.780,66.410,44321000.0,678800
2024-10-9,10:50,66.440,66.700,66.230,66.280,27095208.0,407300
2024-10-9,10:55,66.220,66.580,66.220,66.410,14167835.0,213300
2024-10-9,11:00,66.430,66.500,66.180,66.180,15990790.0,240900
2024-10-9,11:05,66.140,66.530,65.780,65.900,22370608.0,337800
2024-10-9,11:10,66.000,66.000,65.350,65.350,15639089.0,238400
2024-10-9,11:15,65.350,65.390,65.000,65.000,22838848.0,350300
2024-10-9,11:20,64.940,65.000,63.830,63.890,48148192.0,747700
2024-10-9,11:25,63.750,64.900,63.550,64.900,35787032.0,559200
2024-10-9,11:30,64.940,65.400,64.800,65.350,25247880.0,388200
2024-10-9,13:05,65.460,66.950,65.400,66.900,48883040.0,737500
2024-10-9,13:10,66.900,67.390,66.690,67.390,50221760.0,749100
2024-10-9,13:15,67.380,67.410,66.680,66.700,19172908.0,285700
