日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,120.000,120.260,118.370,118.370,289461984.0,2425100
2024-12-31,09:40,118.370,118.370,116.700,116.860,311580384.0,2653300
2024-12-31,09:45,116.840,117.260,116.300,116.770,221304944.0,1894300
2024-12-31,09:50,116.760,118.700,116.600,118.500,127145360.0,1079600
2024-12-31,09:55,118.560,118.770,117.580,118.120,88361784.0,746500
2024-12-31,10:00,117.990,118.090,117.590,117.700,57620216.0,489000
2024-12-31,10:05,117.650,117.890,117.300,117.570,63802376.0,542400
2024-12-31,10:10,117.580,117.580,116.890,117.020,58325528.0,497800
2024-12-31,10:15,116.990,117.320,116.810,116.970,46087248.0,393900
2024-12-31,10:20,117.000,117.170,116.570,116.610,39773464.0,340300
2024-12-31,10:25,116.700,117.240,116.520,116.930,59752560.0,511800
2024-12-31,10:30,116.960,117.610,116.860,117.600,52699712.0,449200
2024-12-31,10:35,117.610,117.840,117.310,117.420,49654304.0,422300
2024-12-31,10:40,117.440,117.630,117.100,117.100,33399336.0,284500
2024-12-31,10:45,117.050,117.570,116.950,117.490,39271272.0,335100
2024-12-31,10:50,117.490,117.670,117.220,117.570,28319998.0,241100
2024-12-31,10:55,117.580,117.760,117.300,117.500,37569820.0,319700
2024-12-31,11:00,117.450,117.730,116.930,116.930,40938912.0,349400
2024-12-31,11:05,116.930,117.140,116.660,116.890,38281464.0,327600
2024-12-31,11:10,116.910,116.910,116.430,116.430,43425800.0,372400
2024-12-31,11:15,116.420,116.570,116.200,116.220,81908552.0,704000
2024-12-31,11:20,116.220,116.590,116.100,116.140,65835408.0,566100
2024-12-31,11:25,116.190,116.800,116.120,116.710,49200812.0,422700
2024-12-31,11:30,116.690,116.820,116.370,116.380,25784086.0,221000
2024-12-31,13:05,116.380,116.790,116.110,116.190,45776472.0,393500
2024-12-31,13:10,116.180,116.180,115.800,115.860,69542600.0,599700
2024-12-31,13:15,115.910,116.140,115.830,115.940,32867136.0,283500
2024-12-31,13:20,115.950,116.100,115.840,115.960,36020512.0,310600
2024-12-31,13:25,115.970,116.120,115.800,116.060,29892260.0,257800
2024-12-31,13:30,116.040,116.400,115.930,115.960,29748300.0,256200
2024-12-31,13:35,116.050,116.090,115.780,115.790,43037300.0,371500
2024-12-31,13:40,115.820,116.010,115.780,115.940,25676760.0,221600
2024-12-31,13:45,115.930,116.100,115.860,116.010,16837936.0,145200
2024-12-31,13:50,115.980,116.600,115.970,116.600,38283744.0,329500
2024-12-31,13:55,116.600,116.610,116.170,116.400,31657106.0,271900
2024-12-31,14:00,116.400,116.480,116.160,116.300,20973352.0,180400
2024-12-31,14:05,116.310,116.470,116.200,116.240,24635728.0,211800
2024-12-31,14:10,116.240,116.340,115.910,115.940,27358784.0,235700
2024-12-31,14:15,115.940,115.940,115.610,115.700,38305520.0,330900
2024-12-31,14:20,115.700,116.080,115.700,116.060,39888588.0,344300
2024-12-31,14:25,115.980,116.170,115.820,115.980,27543422.0,237500
2024-12-31,14:30,116.030,116.190,115.630,115.640,29709796.0,256300
