日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,40.510,40.620,39.850,40.060,14731160.0,366900
2024-12-31,09:40,40.020,40.150,39.580,39.790,14670946.0,368300
2024-12-31,09:45,39.790,39.800,39.520,39.690,13136835.0,331200
2024-12-31,09:50,39.720,40.090,39.530,39.840,10181686.0,255700
2024-12-31,09:55,39.830,40.180,39.830,39.840,8565866.0,214200
2024-12-31,10:00,40.000,40.000,39.620,39.740,6704479.0,168800
2024-12-31,10:05,39.740,40.060,39.510,40.060,8609168.0,216700
2024-12-31,10:10,40.090,40.460,40.050,40.450,4517953.0,112300
2024-12-31,10:15,40.420,40.450,40.030,40.210,3327464.0,82600
2024-12-31,10:20,40.210,40.420,40.210,40.350,2361324.0,58600
2024-12-31,10:25,40.340,40.340,40.040,40.070,2792825.0,69400
2024-12-31,10:30,40.130,40.450,40.130,40.330,1947208.0,48400
2024-12-31,10:35,40.310,40.330,39.980,40.060,3959526.0,98600
2024-12-31,10:40,39.990,40.090,39.870,39.900,2377617.0,59500
2024-12-31,10:45,39.900,40.030,39.850,39.990,2721361.0,68100
2024-12-31,10:50,40.060,40.060,39.880,39.950,9112681.0,228000
2024-12-31,10:55,40.060,40.180,40.060,40.080,1712983.0,42800
2024-12-31,11:00,40.070,40.340,40.060,40.260,4543847.0,113200
2024-12-31,11:05,40.230,40.340,40.130,40.250,4658230.0,115700
2024-12-31,11:10,40.180,40.180,39.830,39.870,8891747.0,222900
2024-12-31,11:15,39.820,40.040,39.820,39.970,4177173.0,104600
2024-12-31,11:20,39.960,40.100,39.820,39.860,1549139.0,38800
2024-12-31,11:25,39.840,39.980,39.700,39.980,3318256.0,83300
2024-12-31,11:30,39.980,39.990,39.720,39.750,1814919.0,45600
2024-12-31,13:05,39.720,40.000,39.710,39.870,2691990.0,67500
2024-12-31,13:10,39.860,39.860,39.630,39.660,2231660.0,56200
2024-12-31,13:15,39.660,39.850,39.590,39.780,7718923.0,194600
2024-12-31,13:20,39.770,40.260,39.770,39.900,7241398.0,181000
2024-12-31,13:25,39.910,40.000,39.810,39.910,2034095.0,51000
2024-12-31,13:30,39.840,39.900,39.680,39.700,3919920.0,98500
2024-12-31,13:35,39.630,39.870,39.630,39.850,3414680.0,85900
2024-12-31,13:40,39.830,39.890,39.730,39.780,2447101.0,61500
2024-12-31,13:45,39.780,39.860,39.600,39.690,3124370.0,78600
2024-12-31,13:50,39.680,39.880,39.670,39.880,3602246.0,90600
2024-12-31,13:55,39.980,39.980,39.700,39.790,1547724.0,38900
2024-12-31,14:00,39.790,39.800,39.690,39.710,1730960.0,43500
2024-12-31,14:05,39.740,39.770,39.690,39.700,2177625.0,54900
2024-12-31,14:10,39.690,39.710,39.500,39.560,4330866.0,109400
2024-12-31,14:15,39.560,39.680,39.560,39.620,2447562.0,61700
2024-12-31,14:20,39.630,39.660,39.570,39.580,1060556.0,26800
2024-12-31,14:25,39.600,39.670,39.500,39.650,1429213.0,36100
2024-12-31,14:30,39.600,39.640,39.450,39.460,2865923.0,72500
2024-12-31,14:35,39.520,39.760,39.500,39.630,4696576.0,118500
2024-12-31,14:40,39.670,39.850,39.670,39.750,2215565.0,55700
2024-12-31,14:45,39.760,39.800,39.630,39.730,2989644.0,75300
2024-12-31,14:50,39.740,39.790,39.570,39.600,2570790.0,64800
2024-12-31,14:55,39.600,39.630,39.330,39.380,6348631.0,160800
2024-12-31,15:00,39.370,39.460,39.250,39.260,12309128.0,313200
2025-1-2,09:35,39.270,39.270,38.100,38.680,13246880.0,342600
2025-1-2,09:40,38.670,39.090,38.540,38.670,7172261.0,184600
2025-1-2,09:45,38.670,38.840,38.380,38.600,10318510.0,267300
2025-1-2,09:50,38.680,38.820,38.240,38.550,14837187.0,385600
2025-1-2,09:55,38.610,38.880,38.330,38.340,9261263.0,239800
2025-1-2,10:00,38.420,38.760,38.370,38.390,9271773.0,240500
2025-1-2,10:05,38.400,38.550,38.180,38.200,10163682.0,265500
2025-1-2,10:10,38.190,38.240,37.870,38.040,12142479.0,319000
2025-1-2,10:15,37.960,38.110,37.900,37.990,8722418.0,229600
2025-1-2,10:20,38.030,38.380,38.000,38.320,6221149.0,163000
2025-1-2,10:25,38.320,38.440,38.120,38.340,5949882.0,155300
2025-1-2,10:30,38.370,38.370,38.010,38.120,5733615.0,150400
2025-1-2,10:35,38.120,38.150,37.950,38.030,2983014.0,78400
2025-1-2,10:40,38.020,38.140,37.930,38.010,3089574.0,81100
