日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,47.550,48.450,47.550,47.900,311211232.0,64951
2025-3-31,09:40,47.900,48.000,47.550,47.550,240199584.0,50371
2025-3-31,09:45,47.550,48.100,47.500,47.650,156353920.0,32750
2025-3-31,09:50,47.650,47.800,47.350,47.550,248117504.0,52210
2025-3-31,09:55,47.550,47.600,47.150,47.450,133822080.0,28255
2025-3-31,10:00,47.500,47.900,47.300,47.800,95292800.0,19996
2025-3-31,10:05,47.850,48.000,47.550,47.750,98382720.0,20590
2025-3-31,10:10,47.800,47.850,47.600,47.850,61358976.0,12850
2025-3-31,10:15,47.850,47.850,47.550,47.550,50163712.0,10515
2025-3-31,10:20,47.500,47.550,47.250,47.400,67462016.0,14234
2025-3-31,10:25,47.300,47.450,47.250,47.400,39638144.0,8375
2025-3-31,10:30,47.400,47.400,46.800,46.850,205798656.0,43740
2025-3-31,10:35,46.900,47.100,46.600,46.800,146121344.0,31207
2025-3-31,10:40,46.750,47.050,46.750,47.000,82357504.0,17569
2025-3-31,10:45,47.000,47.000,46.550,46.700,115372160.0,24709
2025-3-31,10:50,46.700,46.750,46.500,46.500,95316864.0,20455
2025-3-31,10:55,46.500,46.550,46.150,46.450,238705024.0,51521
2025-3-31,11:00,46.400,46.500,46.150,46.300,142571008.0,30770
2025-3-31,11:05,46.350,46.550,46.300,46.500,76757248.0,16541
2025-3-31,11:10,46.550,46.550,46.200,46.300,65960192.0,14230
2025-3-31,11:15,46.300,46.450,46.250,46.400,59487488.0,12829
2025-3-31,11:20,46.400,46.950,46.350,46.850,97940224.0,20989
2025-3-31,11:25,46.900,46.900,46.300,46.300,86530560.0,18610
2025-3-31,11:30,46.300,46.400,46.100,46.150,84716800.0,18334
2025-3-31,11:35,46.150,46.200,45.850,45.900,206472704.0,44886
2025-3-31,11:40,45.900,46.000,45.750,45.750,85718528.0,18700
2025-3-31,11:45,45.800,45.850,45.700,45.800,91894528.0,20068
2025-3-31,11:50,45.800,45.950,45.700,45.900,79640064.0,17376
2025-3-31,11:55,45.900,45.950,45.700,45.700,48709888.0,10642
2025-3-31,12:00,45.700,45.750,45.600,45.600,55180032.0,12090
2025-3-31,13:05,45.600,45.950,45.550,45.650,232020480.0,50735
2025-3-31,13:10,45.700,46.200,45.650,46.100,152990720.0,33335
2025-3-31,13:15,46.150,46.200,46.000,46.200,113731584.0,24670
2025-3-31,13:20,46.200,46.200,45.800,45.850,87860992.0,19090
2025-3-31,13:25,45.850,45.950,45.800,45.850,42850560.0,9345
2025-3-31,13:30,45.800,45.850,45.700,45.750,61571328.0,13460
2025-3-31,13:35,45.750,45.750,45.550,45.650,86704384.0,19001
2025-3-31,13:40,45.700,45.750,45.550,45.750,101495296.0,22240
2025-3-31,13:45,45.750,45.800,45.500,45.550,119174144.0,26140
2025-3-31,13:50,45.550,45.800,45.550,45.650,41586176.0,9105
2025-3-31,13:55,45.650,45.850,45.650,45.700,40892928.0,8944
2025-3-31,14:00,45.750,45.750,45.450,45.550,109399552.0,24014
2025-3-31,14:05,45.550,45.600,45.400,45.550,91673088.0,20155
2025-3-31,14:10,45.550,45.800,45.500,45.750,85102592.0,18628
2025-3-31,14:15,45.750,45.950,45.700,45.900,134558720.0,29370
2025-3-31,14:20,45.900,46.150,45.850,45.850,128978432.0,28031
2025-3-31,14:25,45.900,46.050,45.750,46.000,87697920.0,19091
2025-3-31,14:30,46.000,46.000,45.750,45.750,70305280.0,15325
2025-3-31,14:35,45.750,45.950,45.750,45.900,59824640.0,13050
2025-3-31,14:40,45.850,46.000,45.850,45.900,50637824.0,11025
2025-3-31,14:45,45.900,45.950,45.750,45.900,55997440.0,12205
2025-3-31,14:50,45.950,45.950,45.800,45.850,56556544.0,12321
2025-3-31,14:55,45.850,45.900,45.700,45.750,39652352.0,8655
