日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,16.480,16.760,16.400,16.450,87937920.0,5317000
2025-3-31,09:40,16.480,16.500,16.430,16.470,29608632.0,1799700
2025-3-31,09:45,16.460,16.630,16.450,16.490,26756480.0,1618700
2025-3-31,09:50,16.480,16.660,16.460,16.610,35546536.0,2149300
2025-3-31,09:55,16.600,16.680,16.570,16.610,44689152.0,2688900
2025-3-31,10:00,16.620,16.650,16.550,16.620,20853722.0,1256000
2025-3-31,10:05,16.610,16.630,16.520,16.540,20557248.0,1240600
2025-3-31,10:10,16.530,16.530,16.450,16.470,19970076.0,1210900
2025-3-31,10:15,16.480,16.480,16.410,16.410,22315920.0,1358400
2025-3-31,10:20,16.410,16.430,16.330,16.360,29933764.0,1826700
2025-3-31,10:25,16.360,16.370,16.280,16.280,22051628.0,1351200
2025-3-31,10:30,16.280,16.310,16.170,16.260,22576532.0,1388300
2025-3-31,10:35,16.260,16.350,16.250,16.280,13680921.0,839400
2025-3-31,10:40,16.280,16.340,16.270,16.270,11365767.0,697000
2025-3-31,10:45,16.270,16.340,16.260,16.330,10758633.0,660200
2025-3-31,10:50,16.320,16.320,16.280,16.300,7259130.0,445300
2025-3-31,10:55,16.290,16.330,16.240,16.250,14761999.0,907100
2025-3-31,11:00,16.260,16.290,16.220,16.260,11051785.0,679900
2025-3-31,11:05,16.250,16.300,16.220,16.230,11658432.0,717300
2025-3-31,11:10,16.220,16.280,16.200,16.230,14930434.0,920600
2025-3-31,11:15,16.230,16.240,16.200,16.220,10378329.0,640000
2025-3-31,11:20,16.230,16.290,16.210,16.280,12086578.0,743700
2025-3-31,11:25,16.280,16.290,16.180,16.200,10500227.0,647600
2025-3-31,11:30,16.200,16.240,16.190,16.220,8266358.0,510000
2025-3-31,13:05,16.210,16.520,16.210,16.520,34327460.0,2094400
2025-3-31,13:10,16.520,16.520,16.430,16.450,19437222.0,1179100
2025-3-31,13:15,16.450,16.500,16.390,16.500,11432256.0,695300
2025-3-31,13:20,16.490,16.510,16.430,16.440,9445867.0,573700
2025-3-31,13:25,16.440,16.520,16.410,16.510,13756266.0,834900
2025-3-31,13:30,16.510,16.530,16.430,16.460,9905908.0,601200
2025-3-31,13:35,16.450,16.470,16.420,16.440,9059703.0,550900
2025-3-31,13:40,16.430,16.500,16.430,16.500,6966743.0,423200
2025-3-31,13:45,16.500,16.510,16.460,16.460,7194460.0,436200
2025-3-31,13:50,16.460,16.470,16.420,16.450,8995646.0,547100
2025-3-31,13:55,16.440,16.520,16.430,16.510,12918412.0,784500
2025-3-31,14:00,16.510,16.510,16.480,16.500,6182423.0,374700
2025-3-31,14:05,16.500,16.560,16.460,16.560,12770002.0,773800
2025-3-31,14:10,16.560,16.720,16.560,16.710,49983960.0,2999000
2025-3-31,14:15,16.710,16.760,16.700,16.730,46366192.0,2772400
2025-3-31,14:20,16.730,16.840,16.730,16.740,61019688.0,3634000
2025-3-31,14:25,16.740,16.810,16.650,16.740,56774144.0,3390600
2025-3-31,14:30,16.750,16.850,16.720,16.730,30386892.0,1811000
2025-3-31,14:35,16.740,16.800,16.730,16.750,18445494.0,1101100
2025-3-31,14:40,16.750,16.790,16.730,16.780,17744812.0,1058500
2025-3-31,14:45,16.760,16.770,16.710,16.740,26255416.0,1569100
2025-3-31,14:50,16.750,16.820,16.750,16.760,50462952.0,3005400
2025-3-31,14:55,16.760,16.770,16.710,16.740,40966848.0,2445900
2025-3-31,15:00,16.740,16.750,16.700,16.720,53330992.0,3189400
2025-4-1,09:35,16.620,16.720,16.520,16.590,78690096.0,4738600
2025-4-1,09:40,16.590,16.610,16.500,16.530,51422604.0,3110200
2025-4-1,09:45,16.530,16.530,16.450,16.480,40104040.0,2432100
2025-4-1,09:50,16.490,16.630,16.470,16.600,31735628.0,1918800
2025-4-1,09:55,16.600,16.640,16.530,16.570,25509856.0,1538700
2025-4-1,10:00,16.560,16.580,16.510,16.530,20785754.0,1256800
2025-4-1,10:05,16.520,16.560,16.500,16.520,19504000.0,1181200
2025-4-1,10:10,16.510,16.540,16.470,16.500,17928712.0,1087000
2025-4-1,10:15,16.500,16.540,16.480,16.540,13917898.0,843500
2025-4-1,10:20,16.530,16.570,16.500,16.550,14859361.0,898600
2025-4-1,10:25,16.560,16.570,16.500,16.540,17414854.0,1053300
2025-4-1,10:30,16.530,16.550,16.500,16.510,10792271.0,653200
2025-4-1,10:35,16.510,16.530,16.490,16.520,18510692.0,1121800
2025-4-1,10:40,16.530,16.530,16.480,16.520,13945114.0,845300
2025-4-1,10:45,16.510,16.530,16.480,16.510,11016001.0,667700
2025-4-1,10:50,16.520,16.540,16.480,16.490,9651612.0,584700
2025-4-1,10:55,16.480,16.500,16.400,16.420,37884968.0,2304600
2025-4-1,11:00,16.430,16.470,16.400,16.460,22623304.0,1377600
2025-4-1,11:05,16.450,16.480,16.430,16.470,7746481.0,470600
2025-4-1,11:10,16.470,16.560,16.450,16.490,19319930.0,1170200
2025-4-1,11:15,16.500,16.520,16.450,16.480,4931683.0,299200
2025-4-1,11:20,16.490,16.510,16.480,16.500,7808224.0,473300
2025-4-1,11:25,16.500,16.540,16.490,16.500,7010608.0,424600
2025-4-1,11:30,16.500,16.510,16.480,16.490,7567379.0,458900
2025-4-1,13:05,16.490,16.540,16.420,16.500,23903876.0,1451000
2025-4-1,13:10,16.510,16.550,16.460,16.530,19555710.0,1184100
2025-4-1,13:15,16.530,16.610,16.500,16.610,28642666.0,1727800
2025-4-1,13:20,16.610,16.610,16.550,16.590,18823132.0,1134200
2025-4-1,13:25,16.590,16.610,16.560,16.610,21334176.0,1285400
2025-4-1,13:30,16.610,16.620,16.570,16.600,13365801.0,805300
2025-4-1,13:35,16.570,16.610,16.480,16.480,17636816.0,1065800
2025-4-1,13:40,16.480,16.500,16.460,16.490,8633215.0,523800
2025-4-1,13:45,16.490,16.520,16.480,16.510,6388162.0,387200
2025-4-1,13:50,16.510,16.560,16.500,16.520,6253599.0,378400
2025-4-1,13:55,16.540,16.550,16.490,16.520,4555022.0,275700
2025-4-1,14:00,16.520,16.530,16.490,16.500,5337161.0,323300
2025-4-1,14:05,16.500,16.520,16.480,16.490,6587278.0,399500
2025-4-1,14:10,16.490,16.530,16.460,16.490,8274080.0,501700
2025-4-1,14:15,16.490,16.500,16.460,16.490,5991497.0,363700
2025-4-1,14:20,16.470,16.480,16.450,16.460,7598965.0,461700
2025-4-1,14:25,16.460,16.470,16.440,16.460,7159734.5,435100
2025-4-1,14:30,16.460,16.490,16.450,16.490,9044090.0,549400
2025-4-1,14:35,16.490,16.560,16.490,16.490,13674493.0,827500
2025-4-1,14:40,16.500,16.530,16.480,16.490,6839519.0,414500
2025-4-1,14:45,16.490,16.520,16.480,16.490,7726662.0,468300
2025-4-1,14:50,16.490,16.500,16.480,16.490,15250780.0,925000
2025-4-1,14:55,16.500,16.500,16.480,16.480,18096884.0,1097600
2025-4-1,15:00,16.490,16.500,16.480,16.490,20348288.0,1233900
2025-4-2,09:35,16.450,16.680,16.440,16.610,62335356.0,3758500
2025-4-2,09:40,16.610,16.720,16.600,16.620,47769240.0,2866500
2025-4-2,09:45,16.630,16.740,16.620,16.680,38788680.0,2322800
2025-4-2,09:50,16.660,16.660,16.590,16.620,18145278.0,1091700
2025-4-2,09:55,16.620,16.630,16.560,16.580,17941432.0,1081900
2025-4-2,10:00,16.580,16.610,16.520,16.610,18314752.0,1105900
2025-4-2,10:05,16.630,16.660,16.590,16.620,18031140.0,1084900
2025-4-2,10:10,16.620,16.630,16.550,16.580,12194121.0,735200
2025-4-2,10:15,16.590,16.620,16.570,16.580,10891215.0,656800
2025-4-2,10:20,16.580,16.600,16.560,16.590,10029099.0,605000
2025-4-2,10:25,16.590,16.620,16.580,16.620,7089678.0,427300
2025-4-2,10:30,16.630,16.680,16.620,16.620,19626904.0,1178800
2025-4-2,10:35,16.620,16.660,16.620,16.650,13209578.0,793500
