日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,22.340,22.840,22.240,22.350,221223968.0,9851000
2025-3-31,09:40,22.390,22.490,22.270,22.310,97232912.0,4351500
2025-3-31,09:45,22.390,22.660,22.340,22.380,50081656.0,2228400
2025-3-31,09:50,22.410,22.800,22.400,22.690,60500568.0,2676400
2025-3-31,09:55,22.610,22.800,22.570,22.660,49418880.0,2175800
2025-3-31,10:00,22.680,22.680,22.500,22.620,40335356.0,1784700
2025-3-31,10:05,22.630,22.680,22.420,22.420,37329844.0,1654300
2025-3-31,10:10,22.450,22.450,22.310,22.390,40084624.0,1790600
2025-3-31,10:15,22.390,22.450,22.320,22.430,22227990.0,993300
2025-3-31,10:20,22.420,22.460,22.320,22.340,22003296.0,983400
2025-3-31,10:25,22.350,22.450,22.320,22.380,22522744.0,1005600
2025-3-31,10:30,22.380,22.400,22.280,22.290,28829704.0,1291600
2025-3-31,10:35,22.290,22.420,22.280,22.310,19655324.0,880000
2025-3-31,10:40,22.330,22.400,22.250,22.300,23482122.0,1052800
2025-3-31,10:45,22.300,22.430,22.280,22.400,17723020.0,793300
2025-3-31,10:50,22.400,22.420,22.350,22.400,8567323.0,382800
2025-3-31,10:55,22.400,22.460,22.300,22.310,13962000.0,624200
2025-3-31,11:00,22.320,22.380,22.310,22.360,8670101.0,388100
2025-3-31,11:05,22.370,22.410,22.300,22.330,13436390.0,601000
2025-3-31,11:10,22.340,22.410,22.330,22.390,6687746.0,299000
2025-3-31,11:15,22.390,22.430,22.240,22.380,29372872.0,1316000
2025-3-31,11:20,22.390,22.510,22.380,22.450,13207088.0,588400
2025-3-31,11:25,22.450,22.450,22.300,22.360,12508990.0,559200
2025-3-31,11:30,22.360,22.500,22.350,22.460,16289603.0,725700
2025-3-31,13:05,22.440,23.090,22.350,22.960,92253144.0,4039900
2025-3-31,13:10,22.940,23.000,22.820,22.930,38693732.0,1687600
2025-3-31,13:15,22.920,23.030,22.760,23.030,38412188.0,1676900
2025-3-31,13:20,23.040,23.060,22.840,22.960,38167328.0,1663200
2025-3-31,13:25,22.950,23.160,22.870,23.160,59043156.0,2562200
2025-3-31,13:30,23.170,23.240,23.070,23.210,75902208.0,3277700
2025-3-31,13:35,23.210,23.220,23.060,23.160,42923176.0,1854600
2025-3-31,13:40,23.160,23.310,23.130,23.290,49443764.0,2128700
2025-3-31,13:45,23.300,23.300,23.070,23.090,40474720.0,1743800
2025-3-31,13:50,23.090,23.130,23.040,23.090,18602594.0,805900
2025-3-31,13:55,23.080,23.240,23.080,23.240,23992902.0,1035900
2025-3-31,14:00,23.240,23.270,23.130,23.210,23534410.0,1014600
2025-3-31,14:05,23.210,23.280,23.120,23.280,29661664.0,1277500
2025-3-31,14:10,23.280,23.710,23.240,23.690,142323488.0,6054300
2025-3-31,14:15,23.620,23.900,23.620,23.770,152899712.0,6430300
2025-3-31,14:20,23.780,23.950,23.690,23.730,76923104.0,3221700
2025-3-31,14:25,23.740,23.890,23.640,23.710,53215064.0,2239500
2025-3-31,14:30,23.710,23.830,23.700,23.770,44450940.0,1870200
2025-3-31,14:35,23.760,23.830,23.760,23.780,33294240.0,1399200
2025-3-31,14:40,23.780,23.980,23.770,23.970,74266192.0,3108600
2025-3-31,14:45,23.980,24.150,23.910,24.010,133609768.0,5560400
2025-3-31,14:50,24.010,24.270,23.950,24.190,119290544.0,4945900
2025-3-31,14:55,24.160,24.300,24.100,24.300,127724592.0,5284300
2025-3-31,15:00,24.310,24.320,24.210,24.260,99881392.0,4118300
2025-4-1,09:35,23.940,24.220,23.830,23.970,221100768.0,9221900
2025-4-1,09:40,24.000,24.000,23.740,23.750,109690488.0,4596600
2025-4-1,09:45,23.760,23.790,23.550,23.730,116178128.0,4904800
2025-4-1,09:50,23.710,23.830,23.620,23.830,67850904.0,2863500
2025-4-1,09:55,23.800,23.800,23.620,23.650,44716832.0,1888000
2025-4-1,10:00,23.660,23.760,23.540,23.700,54985972.0,2326400
2025-4-1,10:05,23.700,23.720,23.630,23.670,31065930.0,1312500
2025-4-1,10:10,23.650,23.670,23.560,23.610,36922224.0,1563100
2025-4-1,10:15,23.620,23.710,23.610,23.710,25568550.0,1081100
2025-4-1,10:20,23.690,23.850,23.660,23.810,35536968.0,1496900
2025-4-1,10:25,23.820,23.930,23.770,23.920,54863356.0,2300400
2025-4-1,10:30,23.920,24.080,23.870,24.080,44517728.0,1858700
2025-4-1,10:35,24.090,24.090,23.840,23.990,35954292.0,1499600
2025-4-1,10:40,23.990,24.080,23.890,24.010,26945462.0,1123100
2025-4-1,10:45,24.010,24.160,23.930,24.120,23500888.0,977500
2025-4-1,10:50,24.140,24.140,23.960,23.970,27041416.0,1124600
2025-4-1,10:55,23.960,24.020,23.900,23.990,27509392.0,1147400
2025-4-1,11:00,23.970,23.990,23.860,23.930,15703070.0,656600
2025-4-1,11:05,23.930,24.000,23.880,23.980,14398363.0,601100
2025-4-1,11:10,23.980,23.980,23.870,23.910,15440386.0,645700
2025-4-1,11:15,23.900,23.920,23.830,23.850,20761168.0,869800
2025-4-1,11:20,23.850,23.940,23.850,23.880,11818048.0,494600
2025-4-1,11:25,23.890,23.920,23.870,23.880,12165047.0,509200
2025-4-1,11:30,23.880,23.890,23.820,23.820,10198464.0,427500
2025-4-1,13:05,23.820,23.820,23.670,23.680,23376252.0,984800
2025-4-1,13:10,23.680,23.730,23.660,23.680,15612308.0,659200
2025-4-1,13:15,23.670,23.700,23.630,23.700,17099288.0,722600
2025-4-1,13:20,23.700,23.700,23.580,23.610,31848464.0,1348600
2025-4-1,13:25,23.600,23.630,23.550,23.620,20487408.0,868700
2025-4-1,13:30,23.620,23.670,23.550,23.560,27507922.0,1165600
2025-4-1,13:35,23.560,23.610,23.550,23.590,21017220.0,891500
2025-4-1,13:40,23.590,23.590,23.550,23.550,16072240.0,681900
2025-4-1,13:45,23.550,23.600,23.540,23.580,14886009.0,631700
2025-4-1,13:50,23.580,23.740,23.580,23.660,26575044.0,1121700
2025-4-1,13:55,23.710,23.720,23.620,23.620,8969880.0,378700
2025-4-1,14:00,23.630,23.710,23.630,23.670,10807445.0,456600
2025-4-1,14:05,23.650,23.690,23.610,23.640,10595580.0,448200
2025-4-1,14:10,23.650,23.720,23.560,23.680,13961723.0,590500
2025-4-1,14:15,23.670,23.880,23.620,23.830,39288028.0,1651600
2025-4-1,14:20,23.830,23.830,23.660,23.690,10013776.0,421700
2025-4-1,14:25,23.680,23.730,23.650,23.710,13314305.0,562000
2025-4-1,14:30,23.710,23.800,23.700,23.790,15424024.0,649300
2025-4-1,14:35,23.790,23.920,23.740,23.740,21437088.0,899100
2025-4-1,14:40,23.740,23.830,23.740,23.760,15989954.0,672700
2025-4-1,14:45,23.750,23.790,23.720,23.720,28558544.0,1202200
2025-4-1,14:50,23.700,23.720,23.620,23.640,34157740.0,1442800
2025-4-1,14:55,23.630,23.670,23.610,23.650,50319936.0,2128900
2025-4-1,15:00,23.640,23.640,23.600,23.600,64380952.0,2726800
2025-4-2,09:35,23.770,24.320,23.760,24.160,215427776.0,8943400
2025-4-2,09:40,24.160,24.490,24.160,24.410,168923904.0,6944300
2025-4-2,09:45,24.410,24.680,24.410,24.420,187976592.0,7654000
2025-4-2,09:50,24.410,24.540,24.360,24.490,89165328.0,3648500
2025-4-2,09:55,24.500,24.500,24.310,24.360,74177512.0,3041300
2025-4-2,10:00,24.330,24.350,24.150,24.200,66900952.0,2761200
2025-4-2,10:05,24.210,24.220,24.020,24.100,55542280.0,2303500
2025-4-2,10:10,24.120,24.180,23.940,24.040,61199496.0,2545400
2025-4-2,10:15,24.030,24.050,23.880,23.880,40235328.0,1678500
2025-4-2,10:20,23.890,24.040,23.880,24.000,33249928.0,1388300
2025-4-2,10:25,23.990,24.120,23.920,24.110,22553136.0,938800
2025-4-2,10:30,24.120,24.150,24.010,24.040,23498618.0,975600
2025-4-2,10:35,24.040,24.230,24.040,24.170,27400710.0,1134600
2025-4-2,10:40,24.170,24.230,24.110,24.160,19504976.0,807100
2025-4-2,10:45,24.170,24.290,24.080,24.290,23052472.0,953500
2025-4-2,10:50,24.290,24.400,24.200,24.340,48521696.0,1996600
2025-4-2,10:55,24.360,24.360,24.230,24.280,14720297.0,606500
2025-4-2,11:00,24.270,24.280,24.180,24.180,12690431.0,523500
2025-4-2,11:05,24.170,24.180,24.090,24.110,14292113.0,592400
2025-4-2,11:10,24.120,24.260,24.110,24.180,8829425.0,365100
2025-4-2,11:15,24.190,24.350,24.190,24.310,21933062.0,902500
2025-4-2,11:20,24.320,24.320,24.200,24.200,7621014.0,314200
2025-4-2,11:25,24.190,24.200,24.170,24.180,7500652.0,310100
2025-4-2,11:30,24.180,24.200,24.120,24.180,10762135.0,445200
2025-4-2,13:05,24.180,24.180,24.020,24.040,14012165.0,581000
2025-4-2,13:10,24.040,24.230,24.000,24.140,23153600.0,961100
2025-4-2,13:15,24.140,24.140,23.980,24.050,20627408.0,858700
2025-4-2,13:20,24.030,24.070,24.010,24.060,8499552.0,353600
2025-4-2,13:25,24.070,24.140,24.000,24.070,17326136.0,720900
2025-4-2,13:30,24.090,24.100,24.040,24.050,7757737.0,322400
2025-4-2,13:35,24.070,24.080,23.960,23.960,12833091.0,534500
2025-4-2,13:40,23.960,23.960,23.910,23.920,17165696.0,717200
2025-4-2,13:45,23.920,24.050,23.920,24.040,11037338.0,459900
2025-4-2,13:50,24.060,24.090,24.000,24.070,10138475.0,421800
2025-4-2,13:55,24.060,24.060,24.010,24.020,7678325.0,319500
2025-4-2,14:00,24.020,24.030,24.000,24.010,9000450.0,374900
2025-4-2,14:05,24.010,24.080,23.980,23.980,14745029.0,613900
2025-4-2,14:10,23.980,24.020,23.980,24.010,5737511.0,239000
2025-4-2,14:15,24.010,24.020,23.880,23.960,19061656.0,796400
2025-4-2,14:20,23.950,23.950,23.890,23.950,13378469.0,559300
2025-4-2,14:25,23.940,23.960,23.900,23.910,8912001.0,372400
2025-4-2,14:30,23.900,23.920,23.880,23.900,13406212.0,561000
2025-4-2,14:35,23.890,24.000,23.890,23.970,18007596.0,752000
2025-4-2,14:40,23.970,23.980,23.900,23.900,16584425.0,693300
2025-4-2,14:45,23.900,23.940,23.880,23.890,25112406.0,1050500
2025-4-2,14:50,23.900,23.960,23.890,23.940,28094350.0,1174000
2025-4-2,14:55,23.940,23.940,23.850,23.870,45159444.0,1890700
2025-4-2,15:00,23.880,23.880,23.810,23.810,61094952.0,2564300
2025-4-3,09:35,23.230,24.230,23.230,24.040,183874112.0,7716500
2025-4-3,09:40,24.000,24.100,23.880,23.950,62075840.0,2585800
2025-4-3,09:45,23.960,24.500,23.940,24.400,112523024.0,4643100
2025-4-3,09:50,24.390,24.390,24.170,24.200,63627304.0,2623700
2025-4-3,09:55,24.200,24.200,23.950,23.980,46027836.0,1913700
2025-4-3,10:00,23.990,23.990,23.880,23.940,44323584.0,1851600
2025-4-3,10:05,23.920,23.960,23.740,23.790,41455172.0,1738900
2025-4-3,10:10,23.790,23.810,23.610,23.720,43143472.0,1821300
2025-4-3,10:15,23.730,23.750,23.600,23.710,25757176.0,1088300
2025-4-3,10:20,23.750,23.920,23.700,23.720,28648104.0,1202500
2025-4-3,10:25,23.720,23.820,23.650,23.700,18493800.0,779600
2025-4-3,10:30,23.680,23.860,23.670,23.790,15033457.0,632300
2025-4-3,10:35,23.780,23.780,23.630,23.680,23435068.0,989200
2025-4-3,10:40,23.680,23.680,23.550,23.560,29322200.0,1242000
2025-4-3,10:45,23.560,23.570,23.430,23.500,36298472.0,1545000
2025-4-3,10:50,23.500,23.500,23.370,23.390,30418994.0,1298800
2025-4-3,10:55,23.380,23.390,23.230,23.260,46187128.0,1982500
