日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,99.800,100.200,98.650,99.000,90902040.0,9156
2025-3-31,09:40,99.050,99.150,98.000,98.250,82543544.0,8384
2025-3-31,09:45,98.250,98.850,98.250,98.350,56955296.0,5781
2025-3-31,09:50,98.350,99.150,98.250,99.100,39182704.0,3966
2025-3-31,09:55,99.050,99.700,99.000,99.600,27219008.0,2740
2025-3-31,10:00,99.550,100.400,99.500,100.000,27697696.0,2774
2025-3-31,10:05,100.000,100.000,99.100,99.200,23572032.0,2369
2025-3-31,10:10,99.150,99.500,98.900,99.150,24693120.0,2490
2025-3-31,10:15,99.200,99.300,98.900,98.900,14924864.0,1506
2025-3-31,10:20,98.900,99.500,98.900,99.100,18305344.0,1846
2025-3-31,10:25,99.100,99.250,98.950,99.250,4924992.0,497
2025-3-31,10:30,99.200,99.700,99.100,99.700,9317440.0,938
2025-3-31,10:35,99.700,100.000,99.550,99.650,16438208.0,1649
2025-3-31,10:40,99.650,100.600,99.650,100.500,28450304.0,2838
2025-3-31,10:45,100.500,100.500,99.800,100.100,27235872.0,2719
2025-3-31,10:50,100.100,100.300,99.800,99.800,9555744.0,955
2025-3-31,10:55,99.800,99.800,99.400,99.400,10909376.0,1095
2025-3-31,11:00,99.450,99.600,99.300,99.300,21491200.0,2160
2025-3-31,11:05,99.300,99.300,98.900,98.900,27241664.0,2748
2025-3-31,11:10,98.900,98.900,98.550,98.550,18529472.0,1877
2025-3-31,11:15,98.550,98.650,98.400,98.550,19793664.0,2009
2025-3-31,11:20,98.500,98.950,98.450,98.900,9727360.0,986
2025-3-31,11:25,98.900,98.950,98.750,98.800,9796928.0,991
2025-3-31,11:30,98.800,98.800,98.350,98.350,8777536.0,891
2025-3-31,11:35,98.350,98.350,98.000,98.000,10072896.0,1026
2025-3-31,11:40,98.000,98.350,98.000,98.350,27531328.0,2804
2025-3-31,11:45,98.350,98.450,98.300,98.450,6118464.0,622
2025-3-31,11:50,98.450,98.600,98.450,98.600,5852928.0,594
2025-3-31,11:55,98.600,98.600,98.300,98.300,10115392.0,1027
2025-3-31,12:00,98.300,98.300,98.100,98.150,7284352.0,742
2025-3-31,13:05,98.150,98.300,98.000,98.300,39010816.0,3975
2025-3-31,13:10,98.300,98.450,98.250,98.350,5980416.0,608
2025-3-31,13:15,98.350,98.650,98.300,98.650,5215488.0,530
2025-3-31,13:20,98.600,98.650,98.200,98.300,6922112.0,704
2025-3-31,13:25,98.300,98.500,98.250,98.500,7156480.0,727
2025-3-31,13:30,98.500,98.500,98.250,98.250,9674560.0,984
2025-3-31,13:35,98.300,98.300,98.000,98.150,22816960.0,2325
2025-3-31,13:40,98.150,98.350,98.100,98.200,9476096.0,965
2025-3-31,13:45,98.200,98.250,98.050,98.050,11566400.0,1179
2025-3-31,13:50,98.050,98.200,98.050,98.150,12186944.0,1242
2025-3-31,13:55,98.150,98.250,98.050,98.150,9321728.0,950
2025-3-31,14:00,98.150,98.150,98.050,98.100,25043264.0,2553
2025-3-31,14:05,98.100,98.200,98.000,98.150,9150144.0,933
2025-3-31,14:10,98.150,98.400,98.150,98.400,9435584.0,960
2025-3-31,14:15,98.400,98.700,98.350,98.700,10817344.0,1098
2025-3-31,14:20,98.700,99.000,98.650,98.800,12913920.0,1307
2025-3-31,14:25,98.800,99.000,98.750,99.000,7763520.0,785
2025-3-31,14:30,99.000,99.050,98.700,98.750,5791808.0,586
2025-3-31,14:35,98.750,98.800,98.600,98.750,11684736.0,1184
2025-3-31,14:40,98.750,98.950,98.750,98.900,7374784.0,746
2025-3-31,14:45,98.900,99.100,98.850,99.100,9144384.0,924
2025-3-31,14:50,99.100,99.250,99.050,99.250,14552640.0,1468
2025-3-31,14:55,99.250,99.250,99.050,99.050,9679936.0,976
2025-3-31,15:00,99.100,99.300,99.050,99.300,7913728.0,798
2025-3-31,15:05,99.300,99.600,99.300,99.450,14702720.0,1478
2025-3-31,15:10,99.450,99.700,99.400,99.550,8982400.0,902
2025-3-31,15:15,99.600,99.900,99.550,99.800,11985536.0,1202
2025-3-31,15:20,99.800,100.100,99.650,99.750,13865664.0,1388
2025-3-31,15:25,99.750,99.750,99.500,99.500,8151104.0,818
2025-3-31,15:30,99.550,99.550,99.350,99.500,10026432.0,1008
2025-3-31,15:35,99.500,99.500,99.250,99.300,14940416.0,1504
2025-3-31,15:40,99.250,99.700,99.250,99.500,15058368.0,1513
2025-3-31,15:45,99.450,99.500,99.200,99.300,19360832.0,1949
2025-3-31,15:50,99.250,99.300,99.100,99.250,13956608.0,1407
2025-3-31,15:55,99.250,99.300,99.050,99.050,17803776.0,1795
2025-3-31,16:00,99.100,99.150,99.000,99.050,129156864.0,13039
2025-4-1,09:35,98.400,99.400,98.250,99.250,99577712.0,10091
2025-4-1,09:40,99.250,99.250,97.950,98.250,80996800.0,8229
2025-4-1,09:45,98.250,98.400,98.100,98.300,44400976.0,4519
2025-4-1,09:50,98.300,98.800,98.250,98.500,31773776.0,3226
2025-4-1,09:55,98.500,98.550,98.100,98.300,18907376.0,1924
2025-4-1,10:00,98.250,99.200,98.250,98.700,34663072.0,3515
2025-4-1,10:05,98.700,98.700,98.250,98.350,25273600.0,2568
2025-4-1,10:10,98.350,98.950,98.350,98.900,15716512.0,1593
2025-4-1,10:15,98.850,99.100,98.600,99.050,21244384.0,2150
2025-4-1,10:20,99.100,99.350,99.000,99.100,31135488.0,3138
