日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,42.630,43.280,41.910,42.190,106940984.0,2515400
2025-3-31,09:40,42.380,43.030,42.190,42.880,61782424.0,1451100
2025-3-31,09:45,42.860,43.470,42.790,42.960,59172988.0,1372400
2025-3-31,09:50,43.030,43.180,42.790,43.080,29178892.0,679300
2025-3-31,09:55,43.060,43.250,42.840,43.140,22581310.0,524100
2025-3-31,10:00,43.110,43.590,43.090,43.350,60729672.0,1399600
2025-3-31,10:05,43.350,43.380,42.970,42.970,30407524.0,704900
2025-3-31,10:10,42.980,42.990,42.650,42.720,22301090.0,521400
2025-3-31,10:15,42.720,42.740,42.530,42.670,16995928.0,398600
2025-3-31,10:20,42.680,42.680,42.500,42.500,12227725.0,287200
2025-3-31,10:25,42.590,42.660,42.490,42.540,15971624.0,375300
2025-3-31,10:30,42.540,42.600,42.310,42.310,16171744.0,381100
2025-3-31,10:35,42.310,42.430,42.310,42.370,9811893.0,231500
2025-3-31,10:40,42.370,42.450,42.160,42.160,14598266.0,344700
2025-3-31,10:45,42.160,42.320,42.160,42.280,13214520.0,313000
2025-3-31,10:50,42.250,42.260,42.150,42.210,13135252.0,311200
2025-3-31,10:55,42.200,42.320,42.110,42.110,16288958.0,385600
2025-3-31,11:00,42.120,42.150,41.980,42.100,42700712.0,1016000
2025-3-31,11:05,42.090,42.150,42.010,42.050,9215185.0,218900
2025-3-31,11:10,42.050,42.120,41.950,42.030,9931685.0,236400
2025-3-31,11:15,42.020,42.110,41.950,42.110,9178083.0,218400
2025-3-31,11:20,42.110,42.180,41.990,42.090,9117514.0,216600
2025-3-31,11:25,42.090,42.200,41.890,41.940,13281078.0,316500
2025-3-31,11:30,41.940,42.050,41.900,42.000,22030846.0,525300
2025-3-31,13:05,41.970,42.750,41.970,42.610,20561392.0,484700
2025-3-31,13:10,42.660,42.900,42.500,42.890,19856114.0,465100
2025-3-31,13:15,42.880,43.290,42.680,43.250,42944744.0,998800
2025-3-31,13:20,43.260,43.330,42.870,43.090,37471612.0,868900
2025-3-31,13:25,43.120,43.360,43.040,43.250,35150388.0,813500
2025-3-31,13:30,43.250,43.290,43.040,43.170,27730178.0,641800
2025-3-31,13:35,43.170,43.200,42.860,42.980,25835306.0,600000
2025-3-31,13:40,42.980,43.480,42.980,43.450,46459860.0,1071700
2025-3-31,13:45,43.450,43.630,43.380,43.390,45261376.0,1040800
2025-3-31,13:50,43.390,43.440,43.200,43.280,18249400.0,421400
2025-3-31,13:55,43.300,43.560,43.290,43.480,41332068.0,950900
2025-3-31,14:00,43.440,43.500,43.280,43.430,22335848.0,514500
2025-3-31,14:05,43.430,43.450,43.220,43.390,16915468.0,390300
2025-3-31,14:10,43.370,44.100,43.370,43.860,85436608.0,1946700
2025-3-31,14:15,43.880,44.560,43.880,44.550,139323808.0,3147000
2025-3-31,14:20,44.550,44.790,44.410,44.450,123925808.0,2775900
2025-3-31,14:25,44.470,44.560,44.270,44.310,64902416.0,1461000
2025-3-31,14:30,44.310,44.440,44.030,44.190,69726912.0,1577200
2025-3-31,14:35,44.180,44.300,44.110,44.160,43896468.0,992800
2025-3-31,14:40,44.170,44.330,44.120,44.240,39369612.0,889700
2025-3-31,14:45,44.240,44.260,44.110,44.210,36051144.0,815800
2025-3-31,14:50,44.220,44.280,44.150,44.250,50119588.0,1133700
2025-3-31,14:55,44.230,44.230,44.030,44.120,57387700.0,1300300
2025-3-31,15:00,44.130,44.190,44.120,44.150,77200880.0,1748600
2025-4-1,09:35,44.280,44.580,44.070,44.410,162191424.0,3662500
2025-4-1,09:40,44.430,44.470,44.100,44.110,77986120.0,1761000
2025-4-1,09:45,44.120,44.120,43.720,43.810,65062200.0,1482500
2025-4-1,09:50,43.800,44.030,43.700,43.970,40980892.0,934100
2025-4-1,09:55,43.930,44.100,43.830,44.050,28552172.0,650200
2025-4-1,10:00,44.010,44.170,43.900,44.040,24161248.0,548800
2025-4-1,10:05,44.050,44.250,43.930,44.120,25796556.0,584800
2025-4-1,10:10,44.120,44.120,43.820,43.880,31269016.0,711800
2025-4-1,10:15,43.870,43.960,43.800,43.840,32196684.0,734200
2025-4-1,10:20,43.850,44.030,43.810,43.960,25671308.0,585000
2025-4-1,10:25,43.980,43.990,43.840,43.910,19102208.0,434900
2025-4-1,10:30,43.950,44.010,43.900,43.960,10806294.0,245900
2025-4-1,10:35,43.950,43.970,43.830,43.920,14460486.0,329500
2025-4-1,10:40,43.920,44.000,43.860,43.910,10402112.0,236800
2025-4-1,10:45,43.910,43.990,43.820,43.920,9458690.0,215600
2025-4-1,10:50,43.860,43.970,43.810,43.850,14979450.0,341500
2025-4-1,10:55,43.860,43.860,43.720,43.800,30654196.0,700100
2025-4-1,11:00,43.800,43.840,43.740,43.800,11637384.0,265800
2025-4-1,11:05,43.780,44.040,43.780,44.030,21734482.0,495400
2025-4-1,11:10,44.040,44.040,43.780,43.800,18100240.0,412100
2025-4-1,11:15,43.800,43.840,43.600,43.670,24504448.0,560500
2025-4-1,11:20,43.670,43.840,43.670,43.820,8886677.0,203100
2025-4-1,11:25,43.800,43.880,43.750,43.790,8234056.5,188000
2025-4-1,11:30,43.790,44.000,43.790,43.830,11532916.0,262800
2025-4-1,13:05,43.860,43.860,43.560,43.570,20893160.0,478200
2025-4-1,13:10,43.560,43.610,43.480,43.500,21184644.0,486700
2025-4-1,13:15,43.510,43.530,43.430,43.480,15707758.0,361300
2025-4-1,13:20,43.510,43.590,43.400,43.430,13246780.0,304500
2025-4-1,13:25,43.450,43.540,43.400,43.460,9249530.0,213000
2025-4-1,13:30,43.460,43.570,43.410,43.440,16617664.0,382200
2025-4-1,13:35,43.430,43.520,43.300,43.360,20109102.0,463300
2025-4-1,13:40,43.350,43.430,43.350,43.410,8773242.0,202200
2025-4-1,13:45,43.430,43.490,43.390,43.490,7047557.0,162300
2025-4-1,13:50,43.520,43.680,43.520,43.570,13343792.0,306100
2025-4-1,13:55,43.670,43.770,43.600,43.700,10911929.0,249800
2025-4-1,14:00,43.710,43.790,43.650,43.670,10733531.0,245500
2025-4-1,14:05,43.660,43.720,43.580,43.600,6053418.0,138700
2025-4-1,14:10,43.600,43.730,43.530,43.680,7403534.0,169600
2025-4-1,14:15,43.680,43.680,43.560,43.640,12959622.0,297300
2025-4-1,14:20,43.640,43.640,43.520,43.520,7857115.0,180300
2025-4-1,14:25,43.540,43.580,43.520,43.550,12666969.0,291000
2025-4-1,14:30,43.570,43.700,43.540,43.700,11787544.0,270300
2025-4-1,14:35,43.690,43.840,43.650,43.650,12890331.0,294600
2025-4-1,14:40,43.660,43.720,43.560,43.580,9146549.0,209600
2025-4-1,14:45,43.580,43.650,43.560,43.590,9860976.0,226200
2025-4-1,14:50,43.590,43.620,43.550,43.590,14356837.0,329400
2025-4-1,14:55,43.580,43.620,43.530,43.530,24037318.0,551600
2025-4-1,15:00,43.530,43.550,43.390,43.390,32471142.0,747400
2025-4-2,09:35,43.600,44.200,43.410,43.960,99376432.0,2268200
2025-4-2,09:40,43.930,44.300,43.920,44.140,72244760.0,1636900
2025-4-2,09:45,44.140,44.260,43.850,43.850,48097828.0,1092200
