日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,505.000,506.500,503.000,504.000,1031241280.0,20423
2025-3-31,09:40,504.500,504.500,499.200,500.000,905713856.0,18080
2025-3-31,09:45,499.600,502.000,499.400,500.500,402684928.0,8042
2025-3-31,09:50,500.500,503.000,500.500,503.000,227028224.0,4526
2025-3-31,09:55,502.500,503.500,501.000,502.500,228340480.0,4547
2025-3-31,10:00,502.500,505.500,502.000,504.500,258339584.0,5124
2025-3-31,10:05,505.000,505.000,502.500,502.500,182586624.0,3622
2025-3-31,10:10,503.000,503.500,502.000,502.000,159533056.0,3174
2025-3-31,10:15,502.000,502.500,501.000,501.500,157092352.0,3132
2025-3-31,10:20,501.000,502.000,500.500,501.000,174916608.0,3490
2025-3-31,10:25,501.000,502.000,500.500,501.500,118245632.0,2357
2025-3-31,10:30,501.500,502.500,501.000,502.000,72790528.0,1450
2025-3-31,10:35,501.500,502.500,501.000,501.500,101836288.0,2030
2025-3-31,10:40,501.000,502.500,501.000,501.500,110088704.0,2193
2025-3-31,10:45,501.000,501.500,500.000,500.000,118358784.0,2364
2025-3-31,10:50,500.000,500.500,499.200,499.600,426872576.0,8539
2025-3-31,10:55,499.400,499.400,494.600,496.000,990822400.0,19944
2025-3-31,11:00,496.000,496.800,495.200,495.800,377272320.0,7606
2025-3-31,11:05,495.800,496.400,495.000,495.200,285788672.0,5766
2025-3-31,11:10,495.200,496.000,495.000,495.600,174583296.0,3523
2025-3-31,11:15,495.600,497.000,495.600,496.800,166783488.0,3360
2025-3-31,11:20,497.000,499.000,496.600,499.000,199689728.0,4013
2025-3-31,11:25,499.000,499.400,498.000,498.200,135671296.0,2720
2025-3-31,11:30,498.000,498.200,496.800,496.800,137800704.0,2770
2025-3-31,11:35,497.000,497.000,495.600,495.800,125938176.0,2538
2025-3-31,11:40,495.800,496.800,495.600,496.200,101343744.0,2042
2025-3-31,11:45,496.200,496.800,496.000,496.000,73503744.0,1481
2025-3-31,11:50,496.000,496.600,495.800,496.000,54135808.0,1091
2025-3-31,11:55,496.200,496.200,495.200,495.400,100132864.0,2021
2025-3-31,12:00,495.400,495.400,494.600,495.200,252379136.0,5098
2025-3-31,13:05,495.200,497.000,495.000,495.600,236490240.0,4770
2025-3-31,13:10,496.000,497.400,495.800,497.400,132034048.0,2657
2025-3-31,13:15,497.400,499.000,497.200,498.600,120330752.0,2414
2025-3-31,13:20,498.600,498.800,497.400,497.800,90324992.0,1813
2025-3-31,13:25,497.600,499.000,497.000,498.600,102461440.0,2058
2025-3-31,13:30,498.600,498.600,497.600,497.800,83801600.0,1682
2025-3-31,13:35,497.800,498.200,496.000,496.200,137517056.0,2767
2025-3-31,13:40,496.400,497.200,495.800,497.000,93466624.0,1882
2025-3-31,13:45,497.200,497.600,496.200,496.600,98513920.0,1982
2025-3-31,13:50,496.800,497.800,496.800,497.800,78858240.0,1586
2025-3-31,13:55,497.600,498.200,497.000,497.400,79097856.0,1590
2025-3-31,14:00,497.400,497.600,496.200,496.400,73155584.0,1472
2025-3-31,14:05,496.400,496.600,495.600,495.800,95449088.0,1924
2025-3-31,14:10,496.000,497.600,496.000,497.200,106199040.0,2137
2025-3-31,14:15,497.400,498.800,497.200,498.600,118139904.0,2372
2025-3-31,14:20,498.600,499.800,498.600,499.400,148590592.0,2976
2025-3-31,14:25,499.400,499.800,498.600,499.400,111640576.0,2236
2025-3-31,14:30,499.400,499.400,498.800,499.000,76259328.0,1528
2025-3-31,14:35,499.000,499.400,498.600,499.200,67345408.0,1349
2025-3-31,14:40,499.000,499.200,498.800,499.000,91574272.0,1835
2025-3-31,14:45,499.200,500.000,498.600,500.000,122823680.0,2459
2025-3-31,14:50,499.800,500.000,499.200,499.400,140997632.0,2821
2025-3-31,14:55,499.400,499.800,499.200,499.600,64248832.0,1286
2025-3-31,15:00,499.600,500.500,499.600,499.800,144490496.0,2889
2025-3-31,15:05,500.000,501.000,500.000,500.000,112762880.0,2252
2025-3-31,15:10,500.500,501.000,500.000,500.500,82766848.0,1652
2025-3-31,15:15,500.500,502.000,500.500,502.000,137719808.0,2747
2025-3-31,15:20,502.000,502.500,501.000,501.500,152529920.0,3038
2025-3-31,15:25,501.000,502.000,500.500,500.500,106990592.0,2135
2025-3-31,15:30,501.000,502.000,500.000,501.500,133045248.0,2654
2025-3-31,15:35,502.000,502.000,500.500,501.000,141655040.0,2827
2025-3-31,15:40,500.500,501.500,500.500,501.000,144654336.0,2887
2025-3-31,15:45,500.500,501.000,500.500,500.500,92748800.0,1851
2025-3-31,15:50,500.500,501.000,500.000,500.500,169995264.0,3395
2025-3-31,15:55,500.500,501.000,500.500,500.500,151326720.0,3022
2025-3-31,16:00,500.500,501.000,497.000,497.000,2105203712.0,42332
2025-4-1,09:35,501.000,506.000,500.000,505.500,1007065472.0,20052
2025-4-1,09:40,505.500,505.500,503.000,504.000,292752128.0,5805
2025-4-1,09:45,504.000,504.000,501.500,503.000,214377984.0,4264
2025-4-1,09:50,503.000,505.000,502.000,503.500,214787200.0,4265
2025-4-1,09:55,503.500,504.000,502.000,504.000,176086400.0,3501
2025-4-1,10:00,503.500,505.500,502.500,505.000,230394112.0,4568
2025-4-1,10:05,505.000,505.000,503.000,503.500,128547712.0,2551
2025-4-1,10:10,503.500,505.000,503.000,504.500,130760960.0,2594
2025-4-1,10:15,505.000,508.000,504.000,507.500,302511872.0,5974
2025-4-1,10:20,508.000,508.000,506.000,507.000,120613888.0,2380
2025-4-1,10:25,507.000,507.500,505.500,507.000,143591424.0,2834
2025-4-1,10:30,506.500,509.000,506.500,507.500,328258048.0,6461
2025-4-1,10:35,507.500,507.500,505.500,506.500,104682496.0,2066
2025-4-1,10:40,506.000,506.500,504.500,506.000,195913984.0,3874
2025-4-1,10:45,506.000,506.500,505.500,506.500,63742464.0,1259
2025-4-1,10:50,506.000,509.000,506.000,509.000,176409856.0,3475
2025-4-1,10:55,509.000,509.000,506.500,506.500,119087872.0,2344
2025-4-1,11:00,506.500,508.000,506.000,506.500,119623936.0,2359
2025-4-1,11:05,507.000,507.500,506.000,507.500,89220352.0,1760
2025-4-1,11:10,507.500,507.500,506.500,507.500,60589824.0,1195
2025-4-1,11:15,507.500,507.500,506.500,507.000,79365376.0,1565
2025-4-1,11:20,507.000,508.000,506.500,508.000,75441664.0,1487
2025-4-1,11:25,508.000,509.000,507.500,508.500,173031936.0,3402
2025-4-1,11:30,508.000,509.000,507.500,508.500,79515648.0,1564
2025-4-1,11:35,508.000,509.000,508.000,508.500,61533184.0,1209
2025-4-1,11:40,508.500,511.500,508.500,508.500,447904768.0,8784
2025-4-1,11:45,508.500,509.500,508.000,509.000,57724928.0,1134
2025-4-1,11:50,509.000,509.500,508.500,509.500,27457024.0,539
2025-4-1,11:55,509.500,509.500,508.500,508.500,45724160.0,897
2025-4-1,12:00,509.000,509.000,507.000,507.000,52327936.0,1030
