日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,15.070,15.070,14.820,14.890,3041515.0,204200
2024-1-2,09:40,14.880,15.010,14.880,14.990,2148791.0,143700
2024-1-2,09:45,14.970,15.000,14.920,14.920,1655259.0,110700
2024-1-2,09:50,14.940,14.940,14.830,14.830,2133490.0,143500
2024-1-2,09:55,14.830,14.850,14.820,14.850,1441732.0,97200
2024-1-2,10:00,14.840,14.870,14.800,14.870,2298367.0,154900
2024-1-2,10:05,14.860,14.860,14.810,14.850,2383318.0,160600
2024-1-2,10:10,14.850,14.880,14.790,14.860,2526104.0,170400
2024-1-2,10:15,14.840,14.870,14.810,14.850,5223742.0,352200
2024-1-2,10:20,14.840,14.850,14.790,14.800,5081997.0,342900
2024-1-2,10:25,14.840,14.850,14.800,14.820,1798992.0,121400
2024-1-2,10:30,14.810,14.830,14.800,14.830,803001.0,54200
2024-1-2,10:35,14.830,14.890,14.800,14.890,2710147.0,182700
2024-1-2,10:40,14.900,15.000,14.900,15.000,4420322.0,295500
2024-1-2,10:45,15.000,15.060,14.950,14.960,11272084.0,753800
2024-1-2,10:50,14.960,15.000,14.950,15.000,3516482.0,234700
2024-1-2,10:55,14.990,15.000,14.970,15.000,2919492.0,194800
2024-1-2,11:00,15.000,15.000,14.970,14.980,2622604.0,174900
2024-1-2,11:05,14.970,14.980,14.950,14.970,3008050.0,201000
2024-1-2,11:10,14.980,15.000,14.970,14.990,3798507.0,253400
2024-1-2,11:15,14.980,14.990,14.940,14.970,2552668.0,170600
2024-1-2,11:20,14.970,15.030,14.960,15.000,3135351.0,209200
2024-1-2,11:25,15.000,15.020,14.990,15.010,1833838.0,122200
2024-1-2,11:30,15.010,15.060,15.000,15.000,2569964.0,171000
2024-1-2,13:05,15.000,15.000,14.960,14.980,2791873.0,186300
2024-1-2,13:10,14.980,15.030,14.970,15.020,2948214.0,196600
2024-1-2,13:15,15.010,15.050,15.000,15.010,3836465.0,255300
2024-1-2,13:20,15.010,15.070,15.000,15.060,3365859.0,223900
2024-1-2,13:25,15.050,15.140,15.050,15.080,6058415.0,401500
2024-1-2,13:30,15.090,15.170,15.070,15.170,3227577.0,213400
2024-1-2,13:35,15.170,15.170,15.070,15.140,5005640.0,331300
2024-1-2,13:40,15.120,15.190,15.120,15.160,4790349.0,316200
2024-1-2,13:45,15.160,15.170,15.120,15.140,3209053.0,211900
2024-1-2,13:50,15.150,15.160,15.110,15.150,2803514.0,185300
2024-1-2,13:55,15.150,15.150,15.080,15.110,2270286.0,150200
2024-1-2,14:00,15.090,15.110,15.060,15.080,2032872.0,134700
2024-1-2,14:05,15.070,15.090,15.030,15.040,2751747.0,182700
2024-1-2,14:10,15.040,15.070,15.040,15.050,2223429.0,147700
2024-1-2,14:15,15.060,15.090,15.060,15.080,2370004.0,157200
2024-1-2,14:20,15.080,15.120,15.050,15.060,3037789.0,201400
2024-1-2,14:25,15.050,15.090,15.040,15.040,2291225.0,152000
2024-1-2,14:30,15.060,15.070,15.030,15.060,1941844.0,129000
