日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,89.460,89.490,87.900,87.950,11157023.0,126200
2024-1-2,09:40,87.800,87.800,86.960,87.440,9605907.0,109800
2024-1-2,09:45,87.360,87.680,87.200,87.600,4021660.0,46000
2024-1-2,09:50,87.600,87.670,87.220,87.410,3025929.25,34600
2024-1-2,09:55,87.420,87.440,86.740,86.870,8898563.0,102200
2024-1-2,10:00,86.860,87.320,86.860,87.170,7655889.0,88000
2024-1-2,10:05,87.100,87.250,87.010,87.150,2965312.25,34000
2024-1-2,10:10,87.000,87.190,86.390,86.410,5900517.0,68000
2024-1-2,10:15,86.480,86.570,86.170,86.570,4481650.5,51900
2024-1-2,10:20,86.680,87.000,86.460,87.000,4823342.0,55600
2024-1-2,10:25,87.000,87.080,86.840,86.990,4443165.0,51100
2024-1-2,10:30,87.090,87.270,86.870,87.070,5002037.0,57500
2024-1-2,10:35,87.070,87.420,86.930,87.360,3035419.5,34800
2024-1-2,10:40,87.370,87.980,87.330,87.880,4861921.0,55400
2024-1-2,10:45,87.880,87.900,87.700,87.880,1720777.375,19600
2024-1-2,10:50,87.890,87.980,87.700,87.810,1382707.0,15700
2024-1-2,10:55,87.810,87.810,87.560,87.690,1373521.375,15700
2024-1-2,11:00,87.570,87.720,87.440,87.620,1579571.75,18000
2024-1-2,11:05,87.720,87.800,87.600,87.600,762804.0,8700
2024-1-2,11:10,87.770,87.840,87.630,87.700,842373.0,9600
2024-1-2,11:15,87.830,87.920,87.710,87.780,984091.0,11200
2024-1-2,11:20,87.780,87.990,87.780,87.830,1054221.0,12000
2024-1-2,11:25,87.940,87.990,87.660,87.990,1888520.0,21500
2024-1-2,11:30,87.980,88.000,87.750,87.950,2541814.0,28900
2024-1-2,13:05,87.950,88.660,87.740,88.600,3651617.75,41400
2024-1-2,13:10,88.650,88.660,88.390,88.590,2585380.0,29200
2024-1-2,13:15,88.610,88.640,88.100,88.150,3094078.0,35000
2024-1-2,13:20,88.130,88.360,87.840,87.840,3120995.0,35400
2024-1-2,13:25,87.840,87.990,87.820,87.980,966978.0,11000
2024-1-2,13:30,87.910,88.080,87.820,87.900,1240100.0,14100
2024-1-2,13:35,88.000,88.000,87.670,87.670,1062205.0,12100
2024-1-2,13:40,87.850,87.850,87.630,87.640,1306496.0,14900
2024-1-2,13:45,87.790,87.790,87.450,87.450,1437113.0,16400
2024-1-2,13:50,87.450,87.620,87.330,87.410,1573821.0,18000
2024-1-2,13:55,87.410,87.620,87.100,87.320,2148329.0,24600
2024-1-2,14:00,87.540,87.560,87.030,87.030,2066538.0,23700
2024-1-2,14:05,87.040,87.310,86.820,86.820,2713707.0,31200
2024-1-2,14:10,86.930,87.080,86.830,86.890,2355157.0,27100
2024-1-2,14:15,86.880,87.050,86.720,86.720,2302573.0,26500
2024-1-2,14:20,86.780,86.880,86.580,86.580,3171786.0,36600
2024-1-2,14:25,86.580,86.770,86.570,86.620,2209053.0,25500
2024-1-2,14:30,86.590,86.760,86.460,86.460,3548360.0,41000
2024-1-2,14:35,86.950,87.060,86.400,86.480,7577026.0,87500
2024-1-2,14:40,86.540,86.610,86.280,86.280,8494726.0,98300
2024-1-2,14:45,86.300,86.670,86.300,86.560,2429561.5,28100
2024-1-2,14:50,86.510,86.680,86.300,86.340,4396579.0,50900
2024-1-2,14:55,86.350,86.400,86.250,86.300,3159359.0,36600
2024-1-2,15:00,86.350,86.390,86.220,86.220,2757082.5,32000
2024-1-3,09:35,85.810,86.150,85.020,85.810,7569525.0,88600
2024-1-3,09:40,85.800,85.820,85.210,85.280,3255604.0,38100
2024-1-3,09:45,85.250,85.450,85.200,85.250,4976272.5,58300
2024-1-3,09:50,85.250,85.530,85.250,85.280,2436509.25,28500
2024-1-3,09:55,85.280,85.500,84.000,85.500,10022409.0,118000
2024-1-3,10:00,85.510,85.510,85.150,85.370,5285867.0,62000
2024-1-3,10:05,85.460,85.500,85.300,85.440,2340718.0,27400
2024-1-3,10:10,85.460,85.500,85.190,85.330,2016424.75,23600
2024-1-3,10:15,85.330,85.650,85.190,85.650,3769266.75,44100
2024-1-3,10:20,85.380,85.530,84.880,85.240,7521041.0,88400
