日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,20.000,20.110,19.850,20.050,2415939.0,120900
2024-1-2,09:40,20.050,20.050,19.900,20.040,886816.0,44500
2024-1-2,09:45,20.080,20.110,20.000,20.070,688653.0,34300
2024-1-2,09:50,19.980,19.980,19.820,19.830,938700.0,47200
2024-1-2,09:55,19.810,19.830,19.720,19.770,1309647.0,66200
2024-1-2,10:00,19.770,19.850,19.730,19.850,449092.0,22700
2024-1-2,10:05,19.900,19.940,19.870,19.930,595637.0,29900
2024-1-2,10:10,19.850,19.900,19.830,19.880,529525.0,26600
2024-1-2,10:15,19.910,19.930,19.850,19.890,240616.0,12100
2024-1-2,10:20,19.890,19.970,19.890,19.930,154768.0,7800
2024-1-2,10:25,19.930,19.970,19.830,19.870,197531.0,9900
2024-1-2,10:30,19.850,19.880,19.800,19.800,443281.0,22400
2024-1-2,10:35,19.800,19.880,19.800,19.880,268862.0,13500
2024-1-2,10:40,19.870,19.940,19.850,19.880,213107.0,10800
2024-1-2,10:45,19.870,19.900,19.850,19.870,212312.0,10600
2024-1-2,10:50,19.870,19.870,19.800,19.800,338325.0,17100
2024-1-2,10:55,19.800,19.800,19.750,19.750,242755.0,12300
2024-1-2,11:00,19.750,19.780,19.730,19.730,309436.0,15700
2024-1-2,11:05,19.750,19.750,19.700,19.710,422558.0,21400
2024-1-2,11:10,19.740,19.750,19.720,19.750,92249.0,4700
2024-1-2,11:15,19.740,19.750,19.650,19.710,764674.0,38800
2024-1-2,11:20,19.710,19.730,19.680,19.700,362134.0,18400
2024-1-2,11:25,19.680,19.680,19.630,19.660,591850.0,30100
2024-1-2,11:30,19.680,19.680,19.580,19.600,1719359.0,87600
2024-1-2,13:05,19.620,19.620,19.550,19.590,595794.0,30400
2024-1-2,13:10,19.600,19.660,19.600,19.600,216028.0,11000
2024-1-2,13:15,19.590,19.620,19.540,19.540,434817.0,22200
2024-1-2,13:20,19.570,19.570,19.510,19.510,469005.0,24000
2024-1-2,13:25,19.510,19.530,19.420,19.460,1319806.0,67700
2024-1-2,13:30,19.460,19.510,19.460,19.480,243417.0,12500
2024-1-2,13:35,19.480,19.480,19.400,19.430,1112306.0,57200
2024-1-2,13:40,19.410,19.440,19.360,19.400,864761.0,44600
2024-1-2,13:45,19.400,19.430,19.300,19.330,1190152.0,61400
2024-1-2,13:50,19.310,19.310,19.150,19.170,2192347.0,114100
2024-1-2,13:55,19.170,19.180,19.040,19.040,4510632.0,235900
2024-1-2,14:00,19.050,19.090,18.820,18.830,4791983.0,253000
2024-1-2,14:05,18.870,19.240,18.830,19.220,4182532.0,219600
2024-1-2,14:10,19.210,19.210,19.090,19.090,1571082.0,82100
2024-1-2,14:15,19.090,19.100,19.030,19.050,2350141.0,123200
2024-1-2,14:20,19.050,19.060,18.940,18.950,2476020.0,130400
2024-1-2,14:25,18.960,19.000,18.920,18.950,3195230.0,168700
2024-1-2,14:30,18.940,18.980,18.930,18.940,1133937.0,59800
2024-1-2,14:35,18.930,18.980,18.850,18.850,2406131.0,127300
2024-1-2,14:40,18.850,18.890,18.760,18.840,3748315.0,199100
2024-1-2,14:45,18.830,18.840,18.810,18.820,1681015.0,89300
2024-1-2,14:50,18.820,18.840,18.750,18.760,2149811.0,114300
2024-1-2,14:55,18.760,18.800,18.710,18.780,2387284.0,127400
2024-1-2,15:00,18.760,18.860,18.740,18.830,1851881.0,98500
2024-1-3,09:35,18.710,18.960,18.630,18.880,1834501.0,97600
2024-1-3,09:40,18.890,18.910,18.580,18.600,2029001.0,108200
