日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,58.990,59.580,58.800,59.570,14782959.0,249300
2024-4-1,09:40,59.580,60.000,59.580,59.950,17884760.0,298900
2024-4-1,09:45,59.950,59.970,59.400,59.410,11615202.0,195100
2024-4-1,09:50,59.400,59.430,59.200,59.260,7438248.0,125400
2024-4-1,09:55,59.260,59.260,58.940,59.230,5984997.0,101300
2024-4-1,10:00,59.240,59.450,59.180,59.450,4121547.0,69500
2024-4-1,10:05,59.450,59.930,59.430,59.850,11263408.0,188600
2024-4-1,10:10,59.850,60.120,59.830,60.100,19635360.0,327400
2024-4-1,10:15,60.100,60.150,59.990,60.120,11355301.0,189100
2024-4-1,10:20,60.120,60.170,60.100,60.120,7234347.0,120300
2024-4-1,10:25,60.130,60.200,60.130,60.200,13069249.0,217200
2024-4-1,10:30,60.190,60.220,60.170,60.210,8367453.0,139000
2024-4-1,10:35,60.220,60.500,60.210,60.370,10762328.0,178200
2024-4-1,10:40,60.370,60.500,60.250,60.500,12643160.0,209200
2024-4-1,10:45,60.500,60.660,60.350,60.360,14429853.0,238400
2024-4-1,10:50,60.350,60.600,60.350,60.380,8189366.0,135400
2024-4-1,10:55,60.380,60.540,60.300,60.490,9671128.0,159900
2024-4-1,11:00,60.490,60.680,60.490,60.680,8248313.0,136100
2024-4-1,11:05,60.680,60.980,60.670,60.880,16218296.0,266800
2024-4-1,11:10,60.870,61.010,60.850,60.860,13387545.0,219600
2024-4-1,11:15,60.860,61.050,60.860,60.980,11829507.0,193900
2024-4-1,11:20,60.990,60.990,60.700,60.710,8119316.0,133400
2024-4-1,11:25,60.780,60.780,60.500,60.560,5698693.0,94000
2024-4-1,11:30,60.550,60.560,60.260,60.310,5841174.0,96600
2024-4-1,13:05,60.340,60.450,60.200,60.300,5433702.0,90100
2024-4-1,13:10,60.220,60.400,60.000,60.030,6093107.0,101300
2024-4-1,13:15,60.030,60.070,59.980,59.990,4958279.0,82600
2024-4-1,13:20,59.990,60.040,59.910,60.040,3172731.0,52900
2024-4-1,13:25,60.040,60.150,60.030,60.140,2382471.0,39700
2024-4-1,13:30,60.140,60.190,60.130,60.160,2232119.0,37100
2024-4-1,13:35,60.170,60.170,60.000,60.150,3516798.0,58500
2024-4-1,13:40,60.170,60.190,60.000,60.040,2836434.0,47200
2024-4-1,13:45,60.050,60.060,59.900,59.900,5384263.0,89700
2024-4-1,13:50,59.910,59.920,59.760,59.780,7247680.0,121100
2024-4-1,13:55,59.770,59.770,59.680,59.760,4133438.0,69200
2024-4-1,14:00,59.750,59.850,59.750,59.840,3703023.0,61900
2024-4-1,14:05,59.830,59.850,59.740,59.740,4736108.0,79200
2024-4-1,14:10,59.750,59.770,59.720,59.730,2802322.0,46900
2024-4-1,14:15,59.720,59.740,59.600,59.600,4452054.0,74600
2024-4-1,14:20,59.590,59.660,59.590,59.650,3798545.0,63700
2024-4-1,14:25,59.660,59.730,59.640,59.730,3915222.0,65600
2024-4-1,14:30,59.730,59.730,59.530,59.550,4611359.0,77300
2024-4-1,14:35,59.560,59.660,59.560,59.630,3780818.0,63400
2024-4-1,14:40,59.620,59.660,59.550,59.590,6741777.0,113100
2024-4-1,14:45,59.610,59.990,59.600,59.990,3388278.0,56700
2024-4-1,14:50,60.000,60.000,59.760,59.770,3257536.0,54400
2024-4-1,14:55,59.780,59.780,59.590,59.600,7748964.0,129900
2024-4-1,15:00,59.600,59.660,59.550,59.630,6451451.0,108300
2024-4-2,09:35,59.410,59.890,59.150,59.680,10553089.0,177400
2024-4-2,09:40,59.740,59.990,59.490,59.800,6710335.0,112400
2024-4-2,09:45,59.800,59.970,59.750,59.900,6716361.0,112200
2024-4-2,09:50,59.900,60.120,59.650,59.870,8224625.0,137300
2024-4-2,09:55,59.960,60.050,59.780,59.980,6138838.0,102400
2024-4-2,10:00,59.910,60.040,59.790,60.010,5165356.0,86200
