日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,245.000,249.800,244.990,249.750,74928656.0,301600
2024-4-1,09:40,249.710,251.790,249.550,251.680,67882872.0,270800
2024-4-1,09:45,251.750,251.900,250.060,250.180,44591356.0,177500
2024-4-1,09:50,250.200,250.900,249.920,250.020,25577840.0,102200
2024-4-1,09:55,250.480,252.000,250.030,251.940,65379344.0,260000
2024-4-1,10:00,251.780,252.580,251.480,252.530,40737312.0,161500
2024-4-1,10:05,252.590,253.760,252.590,253.640,54402848.0,214800
2024-4-1,10:10,253.690,254.500,253.620,254.260,42059296.0,165600
2024-4-1,10:15,254.260,254.750,253.800,254.650,41836512.0,164500
2024-4-1,10:20,254.560,255.000,254.130,254.980,63919992.0,250800
2024-4-1,10:25,255.000,255.500,254.160,255.000,52448124.0,205700
2024-4-1,10:30,255.100,255.470,254.430,255.460,26157304.0,102500
2024-4-1,10:35,255.460,256.000,255.390,255.980,48143120.0,188400
2024-4-1,10:40,255.990,256.680,255.760,256.190,41219644.0,160900
2024-4-1,10:45,256.400,257.000,255.300,255.330,35599868.0,138700
2024-4-1,10:50,255.350,255.980,254.300,254.340,14980662.0,58700
2024-4-1,10:55,254.340,255.000,254.120,255.000,13410461.0,52700
2024-4-1,11:00,255.300,255.420,255.010,255.010,8369732.0,32800
2024-4-1,11:05,255.050,255.100,254.790,254.810,9818337.0,38500
2024-4-1,11:10,254.800,255.500,254.500,255.100,14052253.0,55100
2024-4-1,11:15,254.590,255.200,254.180,254.700,11692081.0,45900
2024-4-1,11:20,254.640,254.700,253.280,253.310,13985591.0,55100
2024-4-1,11:25,253.520,254.390,253.300,254.390,16630951.0,65600
2024-4-1,11:30,253.600,254.290,253.500,254.050,7818037.0,30800
2024-4-1,13:05,253.740,255.000,253.710,253.710,9260024.0,36300
2024-4-1,13:10,253.700,254.400,253.500,253.970,5632985.0,22200
2024-4-1,13:15,253.610,253.970,253.210,253.390,8353194.0,33000
2024-4-1,13:20,253.250,253.250,252.820,253.040,13660742.0,54000
2024-4-1,13:25,253.020,253.640,252.920,252.970,6075929.0,24000
2024-4-1,13:30,252.900,253.170,252.800,253.100,8601006.0,34000
2024-4-1,13:35,253.040,253.220,252.620,253.200,9105088.0,36000
2024-4-1,13:40,253.200,253.300,252.680,253.080,7488798.0,29600
2024-4-1,13:45,253.070,253.080,252.640,252.760,7255999.0,28700
2024-4-1,13:50,252.700,253.300,252.620,252.940,7562443.0,29900
2024-4-1,13:55,252.650,252.880,252.250,252.740,9722025.0,38500
2024-4-1,14:00,252.750,252.940,252.500,252.780,5787528.0,22900
2024-4-1,14:05,252.720,252.950,252.510,252.890,9278253.0,36700
2024-4-1,14:10,252.630,252.880,252.420,252.460,8004978.0,31700
2024-4-1,14:15,252.420,252.420,251.500,251.500,14995577.0,59500
2024-4-1,14:20,251.590,251.910,251.500,251.910,8055446.0,32000
2024-4-1,14:25,251.890,252.480,251.880,252.200,9982883.0,39600
2024-4-1,14:30,252.200,252.290,252.000,252.000,7310972.0,29000
2024-4-1,14:35,251.990,252.500,251.990,252.480,6631886.0,26300
2024-4-1,14:40,252.450,252.950,252.070,252.340,11033832.0,43700
2024-4-1,14:45,252.350,252.950,252.340,252.690,10659207.0,42200
2024-4-1,14:50,252.700,252.860,252.560,252.810,9098111.0,36000
2024-4-1,14:55,252.820,252.850,252.600,252.670,12282534.0,48600
2024-4-1,15:00,252.680,252.680,252.500,252.540,11896167.0,47100
2024-4-2,09:35,251.500,253.490,250.510,253.290,39584432.0,157100
2024-4-2,09:40,253.390,253.390,251.800,252.790,20319208.0,80500
2024-4-2,09:45,252.880,253.580,252.400,252.590,23763604.0,93900
2024-4-2,09:50,252.850,254.460,252.850,254.190,40554552.0,159700
2024-4-2,09:55,254.180,254.890,253.680,254.000,29336996.0,115400
2024-4-2,10:00,254.250,255.800,254.000,255.800,41265708.0,162000
2024-4-2,10:05,255.920,256.080,254.010,254.310,34910932.0,136600
2024-4-2,10:10,254.060,255.380,254.060,255.190,19225376.0,75400
2024-4-2,10:15,255.010,255.010,253.150,253.160,12321870.0,48500
2024-4-2,10:20,253.190,253.750,252.670,252.820,10127124.0,40000
2024-4-2,10:25,252.800,253.500,252.640,253.230,6806023.0,26900
2024-4-2,10:30,253.220,253.460,253.220,253.300,4711537.0,18600
2024-4-2,10:35,253.320,254.110,253.230,254.030,9663416.0,38100
2024-4-2,10:40,254.020,254.020,253.800,253.880,4468937.0,17600
2024-4-2,10:45,253.830,254.600,253.570,254.270,18722576.0,73600
2024-4-2,10:50,254.270,254.460,253.730,254.010,7493050.0,29500
2024-4-2,10:55,254.010,254.260,253.650,253.850,14835337.0,58400
2024-4-2,11:00,253.850,254.540,253.850,254.140,10572186.0,41600
2024-4-2,11:05,254.310,254.800,254.090,254.290,8875639.0,34900
2024-4-2,11:10,254.160,254.420,253.580,253.580,7194914.0,28300
2024-4-2,11:15,253.710,254.130,253.710,254.130,6498018.0,25600
2024-4-2,11:20,254.100,254.610,253.880,254.590,15844313.0,62300
2024-4-2,11:25,254.400,254.590,253.730,253.760,8468875.0,33300
2024-4-2,11:30,253.880,254.600,253.780,254.600,7562458.0,29800
2024-4-2,13:05,254.600,255.570,254.050,254.080,87102984.0,341700
2024-4-2,13:10,254.080,255.200,254.070,255.200,21797796.0,85600
2024-4-2,13:15,255.000,255.550,254.420,255.550,34192952.0,134100
2024-4-2,13:20,255.530,255.790,254.660,254.670,16425929.0,64300
2024-4-2,13:25,254.640,254.760,254.400,254.690,12066567.0,47400
2024-4-2,13:30,254.690,254.800,254.420,254.670,10439851.0,41000
2024-4-2,13:35,254.670,254.670,254.030,254.200,16707018.0,65700
2024-4-2,13:40,254.220,254.320,253.850,254.300,9388787.0,36900
2024-4-2,13:45,254.040,255.100,254.030,254.900,20631112.0,81000
2024-4-2,13:50,254.840,255.300,254.400,254.400,12156675.0,47700
2024-4-2,13:55,254.410,254.700,254.410,254.700,10362125.0,40700
2024-4-2,14:00,254.700,254.900,254.560,254.570,9245673.0,36300
2024-4-2,14:05,254.560,254.860,254.300,254.860,9112854.0,35800
2024-4-2,14:10,254.700,255.070,254.400,254.460,13860811.0,54400
2024-4-2,14:15,254.430,254.640,254.210,254.230,8395560.0,33000
2024-4-2,14:20,254.220,254.500,254.070,254.500,14902464.0,58600
2024-4-2,14:25,254.490,254.800,254.340,254.340,13592313.0,53400
2024-4-2,14:30,254.380,254.500,254.260,254.260,10099769.0,39700
2024-4-2,14:35,254.260,254.300,253.800,253.810,16745878.0,65900
2024-4-2,14:40,253.790,254.010,253.720,253.790,16068916.0,63300
2024-4-2,14:45,253.780,254.280,253.600,254.280,14844151.0,58500
2024-4-2,14:50,254.290,254.660,254.110,254.320,18415464.0,72400
2024-4-2,14:55,254.310,254.520,254.190,254.210,18563166.0,73000
2024-4-2,15:00,254.210,254.300,254.110,254.300,13296844.0,52300
2024-4-3,09:35,254.300,256.200,254.000,254.210,49386916.0,193600
2024-4-3,09:40,254.060,254.480,253.010,254.480,28438226.0,112100
2024-4-3,09:45,254.450,254.450,253.600,254.270,16359989.0,64400
2024-4-3,09:50,254.280,255.320,253.920,255.050,20776360.0,81600
2024-4-3,09:55,255.000,255.550,254.570,254.990,22133664.0,86800
2024-4-3,10:00,254.990,255.010,254.210,254.720,20929904.0,82200
2024-4-3,10:05,254.410,255.210,254.370,254.820,17615652.0,69100
2024-4-3,10:10,254.800,255.110,254.280,254.410,15515617.0,60900
2024-4-3,10:15,254.780,254.780,253.900,253.940,9050348.0,35600
2024-4-3,10:20,253.940,254.050,253.600,254.050,10682454.0,42100
2024-4-3,10:25,253.940,254.500,253.890,254.340,8082619.0,31800
2024-4-3,10:30,254.020,254.590,253.910,254.410,4505722.0,17800
2024-4-3,10:35,254.390,254.600,254.130,254.590,5725258.0,22500
2024-4-3,10:40,254.600,254.640,254.100,254.220,4120282.0,16200
2024-4-3,10:45,254.550,254.550,253.800,253.820,6911002.0,27200
2024-4-3,10:50,253.950,253.950,253.530,253.530,10365200.0,40800
2024-4-3,10:55,253.510,253.680,253.110,253.230,7955951.0,31400
2024-4-3,11:00,253.230,253.250,252.550,252.820,13107035.0,51800
2024-4-3,11:05,252.820,253.220,252.610,253.220,7789235.0,30800
2024-4-3,11:10,253.220,253.360,253.070,253.070,3468719.0,13700
2024-4-3,11:15,253.070,253.660,253.070,253.270,4561147.0,18000
2024-4-3,11:20,253.320,254.200,253.190,253.630,6469693.0,25500
2024-4-3,11:25,253.820,254.200,253.630,254.100,4671811.0,18400
2024-4-3,11:30,253.730,254.400,253.720,254.390,3351663.0,13200
