日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,185.990,191.490,185.980,190.790,220503616.0,1160800
2024-4-1,09:40,190.840,191.900,190.800,191.870,118655848.0,620400
2024-4-1,09:45,191.880,192.000,190.810,190.810,78640712.0,410900
2024-4-1,09:50,190.810,191.150,190.710,191.090,55481728.0,290500
2024-4-1,09:55,191.040,191.200,190.750,190.960,66154524.0,346400
2024-4-1,10:00,190.920,192.300,190.890,192.200,100062496.0,521600
2024-4-1,10:05,192.300,193.450,192.300,193.300,93218696.0,483200
2024-4-1,10:10,193.300,193.980,193.140,193.960,67524432.0,348800
2024-4-1,10:15,193.960,194.000,193.530,193.790,74223888.0,382900
2024-4-1,10:20,193.790,194.180,193.760,194.180,69608712.0,358900
2024-4-1,10:25,194.160,194.690,194.160,194.290,60852608.0,313000
2024-4-1,10:30,194.320,194.820,194.320,194.790,42645864.0,219100
2024-4-1,10:35,194.820,195.000,194.750,195.000,38818364.0,199200
2024-4-1,10:40,195.000,195.000,194.810,194.820,42515328.0,218100
2024-4-1,10:45,194.820,195.000,194.310,194.310,39038964.0,200300
2024-4-1,10:50,194.270,194.270,193.010,193.180,37392472.0,193200
2024-4-1,10:55,193.220,193.740,193.190,193.740,24091076.0,124500
2024-4-1,11:00,193.750,194.090,193.740,193.900,20753364.0,107000
2024-4-1,11:05,193.880,194.000,193.860,193.910,12605175.0,65000
2024-4-1,11:10,193.920,194.030,193.760,193.830,20227234.0,104300
2024-4-1,11:15,193.980,193.980,193.270,193.340,17340170.0,89500
2024-4-1,11:20,193.270,193.300,192.550,192.550,21155284.0,109600
2024-4-1,11:25,192.500,193.000,192.500,192.890,20605302.0,106900
2024-4-1,11:30,192.920,192.920,191.920,191.930,22614606.0,117600
2024-4-1,13:05,191.900,192.830,191.900,192.150,33108590.0,172200
2024-4-1,13:10,192.150,192.320,191.900,192.320,12876799.0,67100
2024-4-1,13:15,192.360,192.450,191.930,192.000,14693514.0,76500
2024-4-1,13:20,191.960,191.970,191.840,191.840,15334270.0,79900
2024-4-1,13:25,191.890,191.940,191.840,191.890,7579432.0,39500
2024-4-1,13:30,191.920,191.970,191.890,191.960,8598512.0,44800
2024-4-1,13:35,191.960,192.360,191.960,192.360,12982394.0,67600
2024-4-1,13:40,192.360,192.420,191.810,191.810,15274115.0,79500
2024-4-1,13:45,191.780,191.780,191.150,191.180,17721044.0,92600
2024-4-1,13:50,191.180,191.180,190.440,190.440,33533152.0,175800
2024-4-1,13:55,190.420,190.420,190.220,190.260,23765288.0,124900
2024-4-1,14:00,190.260,190.310,190.150,190.200,20599534.0,108300
2024-4-1,14:05,190.210,190.530,190.210,190.500,12773758.0,67100
2024-4-1,14:10,190.500,190.930,190.500,190.890,8717930.0,45700
2024-4-1,14:15,190.890,190.890,190.200,190.400,10359610.0,54400
2024-4-1,14:20,190.400,190.430,190.260,190.430,9898005.0,52000
2024-4-1,14:25,190.380,190.870,190.380,190.750,10600877.0,55600
2024-4-1,14:30,190.760,190.780,190.670,190.700,11291520.0,59200
2024-4-1,14:35,190.750,190.750,190.600,190.610,12471916.0,65400
2024-4-1,14:40,190.610,191.270,190.600,191.190,14489581.0,75900
2024-4-1,14:45,191.190,191.500,191.190,191.500,23885140.0,124800
2024-4-1,14:50,191.510,191.540,191.320,191.500,20676256.0,108000
2024-4-1,14:55,191.500,191.500,191.170,191.300,25140818.0,131400
2024-4-1,15:00,191.200,191.350,191.200,191.350,21455260.0,112100
2024-4-2,09:35,192.900,192.900,190.180,191.500,103847768.0,542500
2024-4-2,09:40,191.390,192.220,191.000,191.970,43277072.0,226000
2024-4-2,09:45,191.900,192.130,191.020,191.770,37204624.0,194300
2024-4-2,09:50,191.780,192.780,191.640,192.780,41763376.0,217200
2024-4-2,09:55,192.810,193.270,192.390,192.720,45879440.0,237900
2024-4-2,10:00,192.740,192.850,192.000,192.810,25599046.0,133000
2024-4-2,10:05,192.800,192.810,191.840,191.840,32050480.0,166600
2024-4-2,10:10,191.840,192.290,191.350,191.740,48122028.0,251000
2024-4-2,10:15,191.620,192.060,191.000,191.110,37628372.0,196700
2024-4-2,10:20,191.110,191.330,190.680,190.820,35458728.0,185700
2024-4-2,10:25,190.880,191.800,190.300,191.280,35573584.0,186200
2024-4-2,10:30,191.490,191.960,191.320,191.900,14473419.0,75500
2024-4-2,10:35,191.830,192.370,191.690,192.370,19703742.0,102600
2024-4-2,10:40,192.360,192.500,192.090,192.320,16502252.0,85800
2024-4-2,10:45,192.310,193.240,192.310,192.940,44671480.0,231600
2024-4-2,10:50,192.940,192.990,192.370,192.370,15145910.0,78600
2024-4-2,10:55,192.370,193.000,192.370,192.850,16149641.0,83800
2024-4-2,11:00,192.900,193.480,192.900,193.250,30044112.0,155500
2024-4-2,11:05,193.170,193.500,192.950,192.950,20114404.0,104100
2024-4-2,11:10,192.950,192.980,192.560,192.590,10605230.0,55000
2024-4-2,11:15,192.680,193.000,192.590,192.710,9619879.0,49900
2024-4-2,11:20,192.730,192.980,192.590,192.680,9270774.0,48100
2024-4-2,11:25,192.680,192.800,192.530,192.700,10673050.0,55400
2024-4-2,11:30,192.700,192.890,192.590,192.750,10293789.0,53400
2024-4-2,13:05,192.880,193.260,192.360,192.420,28688032.0,148700
2024-4-2,13:10,192.500,192.500,192.000,192.040,16294728.0,84800
2024-4-2,13:15,192.040,192.800,192.040,192.580,12346587.0,64200
2024-4-2,13:20,192.610,192.610,192.000,192.020,17149120.0,89200
2024-4-2,13:25,191.900,192.060,191.670,192.040,16344560.0,85100
2024-4-2,13:30,192.050,192.280,192.040,192.270,11309361.0,58900
2024-4-2,13:35,192.250,192.250,191.800,191.800,20027894.0,104300
2024-4-2,13:40,191.800,191.800,191.430,191.490,15170974.0,79200
2024-4-2,13:45,191.490,191.550,191.280,191.390,20323774.0,106200
2024-4-2,13:50,191.390,191.500,191.060,191.280,20278144.0,106000
2024-4-2,13:55,191.300,191.500,191.290,191.400,12883713.0,67300
2024-4-2,14:00,191.410,191.780,191.410,191.470,19730166.0,103000
2024-4-2,14:05,191.490,191.600,191.220,191.280,15044407.0,78600
2024-4-2,14:10,191.280,191.500,191.250,191.260,11459806.0,59900
2024-4-2,14:15,191.250,191.420,191.250,191.370,12036621.0,62900
2024-4-2,14:20,191.370,191.550,191.230,191.450,16394960.0,85700
2024-4-2,14:25,191.430,191.430,191.320,191.360,12820800.0,67000
2024-4-2,14:30,191.360,191.390,191.220,191.300,17255032.0,90200
2024-4-2,14:35,191.290,191.290,190.660,190.660,24523948.0,128400
2024-4-2,14:40,190.660,190.880,190.380,190.380,24990232.0,131100
2024-4-2,14:45,190.390,190.810,190.300,190.770,26553356.0,139400
2024-4-2,14:50,190.750,191.200,190.690,191.050,13519158.0,70800
2024-4-2,14:55,191.180,191.180,190.840,190.930,18160098.0,95100
2024-4-2,15:00,190.940,191.000,190.930,190.970,18833664.0,98600
2024-4-3,09:35,193.000,195.990,192.600,195.150,211431888.0,1084900
2024-4-3,09:40,195.260,195.270,194.020,194.990,65160320.0,335100
2024-4-3,09:45,195.070,195.200,194.180,194.640,94406464.0,485200
2024-4-3,09:50,194.560,195.000,194.550,194.700,41333260.0,212200
2024-4-3,09:55,194.700,195.000,193.510,193.520,45493944.0,233900
2024-4-3,10:00,193.510,193.570,193.160,193.300,27491774.0,142200
2024-4-3,10:05,193.260,193.910,193.130,193.620,34069948.0,176100
2024-4-3,10:10,193.750,193.790,192.200,192.500,23244124.0,120500
2024-4-3,10:15,192.500,192.500,191.680,192.290,25688356.0,133800
2024-4-3,10:20,192.210,192.560,191.940,192.560,19831672.0,103200
2024-4-3,10:25,192.570,192.570,192.080,192.310,11060783.0,57500
2024-4-3,10:30,192.310,193.190,192.310,192.990,22139640.0,114800
2024-4-3,10:35,192.950,193.200,192.620,193.200,11803747.0,61200
2024-4-3,10:40,193.220,193.260,192.500,192.900,11877989.0,61600
2024-4-3,10:45,192.980,192.980,192.330,192.340,9767639.0,50700
2024-4-3,10:50,192.340,192.340,191.700,191.700,20138380.0,104900
2024-4-3,10:55,191.640,191.650,191.260,191.270,21289764.0,111200
2024-4-3,11:00,191.260,191.260,190.650,190.650,21333604.0,111700
2024-4-3,11:05,190.620,191.700,190.500,191.570,15569313.0,81500
2024-4-3,11:10,191.570,191.650,191.200,191.470,8997561.0,47000
2024-4-3,11:15,191.430,192.270,191.400,192.160,10700026.0,55800
2024-4-3,11:20,192.220,192.690,192.160,192.580,8755583.0,45500
2024-4-3,11:25,192.540,192.600,192.200,192.440,12636535.0,65700
2024-4-3,11:30,192.440,192.590,192.110,192.380,12713044.0,66000
2024-4-3,13:05,192.380,192.480,192.040,192.150,10923907.0,56800
2024-4-3,13:10,192.040,192.280,191.850,192.140,10907158.0,56800
2024-4-3,13:15,192.140,192.600,192.080,192.530,11734838.0,61000
2024-4-3,13:20,192.530,192.600,192.340,192.510,6583003.0,34200
2024-4-3,13:25,192.610,192.870,192.560,192.560,8402599.0,43600
2024-4-3,13:30,192.560,192.990,192.540,192.970,11006383.0,57100
2024-4-3,13:35,192.970,192.970,192.720,192.770,12653564.0,65600
2024-4-3,13:40,192.850,192.870,192.500,192.510,17077588.0,88600
2024-4-3,13:45,192.540,192.900,192.510,192.740,18507404.0,96000
2024-4-3,13:50,192.830,192.900,192.600,192.690,16235380.0,84200
2024-4-3,13:55,192.700,192.820,192.650,192.780,11719856.0,60800
2024-4-3,14:00,192.810,192.840,192.380,192.690,12289340.0,63800
2024-4-3,14:05,192.690,192.690,192.220,192.500,10395363.0,54000
2024-4-3,14:10,192.500,192.500,192.380,192.440,8929540.0,46400
2024-4-3,14:15,192.440,192.490,192.350,192.490,7292498.0,37900
2024-4-3,14:20,192.500,192.780,192.500,192.640,9613510.0,49900
2024-4-3,14:25,192.670,192.680,192.430,192.450,9298487.0,48300
2024-4-3,14:30,192.400,192.400,192.020,192.050,16334826.0,85000
2024-4-3,14:35,192.080,192.220,192.010,192.220,13869466.0,72200
2024-4-3,14:40,192.210,192.660,192.200,192.450,22684940.0,117900
2024-4-3,14:45,192.460,192.750,192.460,192.590,15293977.0,79400
2024-4-3,14:50,192.590,192.700,192.460,192.620,15485945.0,80400
2024-4-3,14:55,192.620,192.660,192.550,192.560,22937472.0,119100
2024-4-3,15:00,192.560,192.580,192.530,192.570,17522420.0,91000
2024-4-8,09:35,190.500,190.500,185.050,185.050,199070848.0,1061600
2024-4-8,09:40,185.090,185.090,182.000,183.500,237506528.0,1295500
2024-4-8,09:45,183.590,184.000,181.060,182.010,206491488.0,1131400
2024-4-8,09:50,182.250,185.480,182.120,185.390,139153808.0,756700
2024-4-8,09:55,185.460,185.680,184.250,184.320,89379688.0,483000
2024-4-8,10:00,184.320,185.500,184.100,184.910,48235000.0,261000
2024-4-8,10:05,184.910,184.930,183.800,184.020,43914640.0,238400
2024-4-8,10:10,184.000,184.800,183.810,184.750,37771800.0,205000
2024-4-8,10:15,184.750,184.910,184.120,184.790,44169432.0,239500
2024-4-8,10:20,184.790,184.900,184.130,184.190,31190944.0,169100
2024-4-8,10:25,184.190,184.190,183.310,183.790,60657792.0,330400
2024-4-8,10:30,183.800,184.100,183.330,183.860,25393534.0,138200
2024-4-8,10:35,183.860,183.990,183.600,183.720,18215248.0,99100
2024-4-8,10:40,183.700,183.710,183.370,183.500,27101532.0,147700
2024-4-8,10:45,183.490,183.650,182.880,182.890,44077308.0,240700
2024-4-8,10:50,182.950,183.280,182.510,182.520,35156784.0,192200
2024-4-8,10:55,182.560,182.790,182.350,182.370,39727576.0,217600
2024-4-8,11:00,182.370,183.290,182.370,183.070,40353232.0,220800
2024-4-8,11:05,183.120,183.230,182.560,182.770,35321960.0,193200
2024-4-8,11:10,182.680,183.150,182.580,182.600,27282120.0,149300
2024-4-8,11:15,182.600,183.000,182.580,182.700,40084480.0,219300
2024-4-8,11:20,182.620,182.620,182.350,182.360,33464570.0,183400
2024-4-8,11:25,182.350,182.580,182.350,182.520,20064712.0,110000
2024-4-8,11:30,182.510,182.520,182.310,182.470,22628774.0,124000
2024-4-8,13:05,182.480,182.480,181.470,181.840,74077568.0,407100
2024-4-8,13:10,181.820,181.820,181.400,181.600,30213390.0,166300
2024-4-8,13:15,181.630,182.630,181.600,182.580,25543740.0,140200
2024-4-8,13:20,182.570,182.570,181.810,181.810,19489744.0,107000
