日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,35.990,36.010,35.400,35.410,1840199.0,51400
2024-4-1,09:40,35.410,35.520,35.370,35.500,1023947.0,28900
2024-4-1,09:45,35.410,35.430,35.310,35.310,703693.0,19900
2024-4-1,09:50,35.310,35.440,35.310,35.400,332284.0,9400
2024-4-1,09:55,35.400,35.490,35.370,35.460,251424.0,7100
2024-4-1,10:00,35.450,35.540,35.450,35.510,193601.0,5500
2024-4-1,10:05,35.500,35.600,35.490,35.600,248909.0,7000
2024-4-1,10:10,35.590,35.590,35.570,35.570,110293.0,3100
2024-4-1,10:15,35.570,35.570,35.500,35.520,99442.0,2800
2024-4-1,10:20,35.510,35.550,35.510,35.510,213184.0,6000
2024-4-1,10:25,35.510,35.590,35.500,35.560,906708.0,25500
2024-4-1,10:30,35.560,35.880,35.560,35.700,1851120.0,51900
2024-4-1,10:35,35.740,35.800,35.690,35.690,654473.0,18300
2024-4-1,10:40,35.680,35.750,35.660,35.700,203469.0,5700
2024-4-1,10:45,35.640,35.690,35.610,35.660,531032.0,14900
2024-4-1,10:50,35.610,35.610,35.370,35.390,992361.0,28000
2024-4-1,10:55,35.450,35.460,35.390,35.390,609082.0,17200
2024-4-1,11:00,35.390,35.450,35.390,35.450,329272.0,9300
2024-4-1,11:05,35.450,35.460,35.390,35.390,779491.0,22000
2024-4-1,11:10,35.400,35.450,35.380,35.450,240737.0,6800
2024-4-1,11:15,35.460,35.460,35.410,35.410,442999.0,12500
2024-4-1,11:20,35.420,35.420,35.400,35.410,152279.0,4300
2024-4-1,11:25,35.400,35.460,35.400,35.400,449679.0,12700
2024-4-1,11:30,35.400,35.490,35.400,35.440,368465.0,10400
2024-4-1,13:05,35.440,35.460,35.400,35.400,1396013.0,39400
2024-4-1,13:10,35.390,35.390,35.370,35.370,311374.0,8800
2024-4-1,13:15,35.380,35.380,35.250,35.380,1445009.0,40900
2024-4-1,13:20,35.380,35.470,35.380,35.470,240945.0,6800
2024-4-1,13:25,35.460,35.480,35.440,35.450,216326.0,6100
2024-4-1,13:30,35.430,35.440,35.360,35.370,385795.0,10900
2024-4-1,13:35,35.380,35.380,35.270,35.280,441256.0,12500
2024-4-1,13:40,35.300,35.300,35.240,35.250,447775.0,12700
2024-4-1,13:45,35.250,35.350,35.230,35.350,391451.0,11100
2024-4-1,13:50,35.340,35.350,35.300,35.300,159020.0,4500
2024-4-1,13:55,35.280,35.320,35.230,35.320,331409.0,9400
2024-4-1,14:00,35.260,35.300,35.240,35.250,557022.0,15800
2024-4-1,14:05,35.250,35.270,35.160,35.230,996494.0,28300
2024-4-1,14:10,35.220,35.270,35.210,35.210,538936.0,15300
2024-4-1,14:15,35.220,35.250,35.210,35.240,126827.0,3600
2024-4-1,14:20,35.240,35.260,35.240,35.240,274924.0,7800
2024-4-1,14:25,35.240,35.240,35.220,35.230,295939.0,8400
2024-4-1,14:30,35.240,35.280,35.230,35.280,690779.0,19600
