日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,19.070,19.410,19.000,19.400,7805919.0,406800
2024-7-1,09:40,19.370,19.380,19.080,19.110,3221593.0,167600
2024-7-1,09:45,19.140,19.200,18.970,19.050,5348308.0,280500
2024-7-1,09:50,19.020,19.130,18.990,19.020,4547762.0,239100
2024-7-1,09:55,19.020,19.090,18.930,19.010,5269182.0,277000
2024-7-1,10:00,18.980,19.120,18.980,19.090,1594414.0,83700
2024-7-1,10:05,19.090,19.100,18.960,18.960,2459096.0,129300
2024-7-1,10:10,18.970,19.000,18.900,18.910,2217173.0,117000
2024-7-1,10:15,18.910,18.910,18.800,18.800,3424379.0,181700
2024-7-1,10:20,18.800,18.880,18.780,18.860,1936868.0,102800
2024-7-1,10:25,18.830,18.950,18.810,18.880,1713114.0,90900
2024-7-1,10:30,18.880,18.980,18.870,18.960,740862.0,39100
2024-7-1,10:35,18.960,18.960,18.870,18.920,2345945.0,124100
2024-7-1,10:40,18.920,18.920,18.840,18.870,984256.0,52200
2024-7-1,10:45,18.890,18.950,18.880,18.930,1438307.0,76000
2024-7-1,10:50,18.930,18.930,18.830,18.850,1184888.0,62800
2024-7-1,10:55,18.850,18.860,18.800,18.850,1355298.0,71900
2024-7-1,11:00,18.850,18.850,18.800,18.810,1674607.0,89000
2024-7-1,11:05,18.800,18.800,18.740,18.740,2015502.0,107500
2024-7-1,11:10,18.730,18.740,18.710,18.730,1160900.0,62000
2024-7-1,11:15,18.720,18.750,18.680,18.710,2103722.0,112400
2024-7-1,11:20,18.710,18.760,18.660,18.750,2497785.0,133700
2024-7-1,11:25,18.750,18.780,18.710,18.730,857949.0,45800
2024-7-1,11:30,18.740,18.760,18.720,18.740,477014.0,25400
2024-7-1,13:05,18.760,18.890,18.730,18.870,1353912.0,72000
2024-7-1,13:10,18.870,18.930,18.840,18.840,1283864.0,68100
2024-7-1,13:15,18.840,18.880,18.810,18.870,1288582.0,68400
2024-7-1,13:20,18.870,19.140,18.860,19.090,2200209.0,115600
2024-7-1,13:25,19.100,19.110,18.990,19.110,1026026.0,53900
2024-7-1,13:30,19.080,19.080,19.020,19.050,473301.0,24800
2024-7-1,13:35,19.040,19.130,19.000,19.040,1558813.0,81900
2024-7-1,13:40,19.030,19.040,18.980,19.020,1382638.0,72700
2024-7-1,13:45,19.010,19.020,18.960,19.000,591033.0,31100
2024-7-1,13:50,18.990,19.050,18.950,19.050,928435.0,48900
2024-7-1,13:55,19.050,19.090,19.000,19.070,958772.0,50300
