日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,17.860,18.500,17.860,18.490,78956856.0,4331000
2024-9-30,09:40,18.480,18.550,18.190,18.210,50048256.0,2719000
2024-9-30,09:45,18.180,18.260,18.130,18.160,31928932.0,1755200
2024-9-30,09:50,18.160,18.160,17.940,17.970,38291360.0,2123500
2024-9-30,09:55,17.970,17.970,17.750,17.880,40274164.0,2258000
2024-9-30,10:00,17.880,17.950,17.830,17.900,32514562.0,1816400
2024-9-30,10:05,17.900,17.950,17.800,17.920,23831956.0,1333000
2024-9-30,10:10,17.910,17.910,17.830,17.830,21009184.0,1175300
2024-9-30,10:15,17.820,17.910,17.780,17.910,22427602.0,1257600
2024-9-30,10:20,17.890,18.030,17.880,18.030,19949828.0,1111900
2024-9-30,10:25,18.030,18.100,18.010,18.090,12549477.0,695500
2024-9-30,10:30,18.090,18.210,18.080,18.150,19458056.0,1071800
2024-9-30,10:35,18.150,18.150,17.910,17.940,20709672.0,1150200
2024-9-30,10:40,17.930,17.960,17.900,17.910,16896420.0,942500
2024-9-30,10:45,17.900,18.100,17.900,18.100,19727400.0,1095200
2024-9-30,10:50,18.080,18.210,18.060,18.190,17629800.0,972700
2024-9-30,10:55,18.180,18.250,18.170,18.230,12599596.0,691900
2024-9-30,11:00,18.230,18.290,18.220,18.220,9972996.0,546300
2024-9-30,11:05,18.230,18.260,18.140,18.150,17837470.0,979800
2024-9-30,11:10,18.150,18.300,18.110,18.230,20410492.0,1121500
2024-9-30,11:15,18.230,18.250,18.180,18.210,8270407.0,454100
2024-9-30,11:20,18.200,18.390,18.180,18.340,18850428.0,1029100
2024-9-30,11:25,18.350,18.400,18.350,18.380,9892729.0,538300
2024-9-30,11:30,18.380,18.430,18.380,18.420,6108966.0,331800
2024-9-30,13:05,18.430,18.550,18.420,18.480,32456402.0,1756300
2024-9-30,13:10,18.470,18.740,18.470,18.690,43742040.0,2356100
2024-9-30,13:15,18.690,18.770,18.610,18.610,29777894.0,1591100
2024-9-30,13:20,18.620,18.730,18.600,18.640,16879070.0,904500
2024-9-30,13:25,18.630,18.710,18.600,18.620,24988852.0,1341200
2024-9-30,13:30,18.600,18.630,18.470,18.470,22982384.0,1239300
2024-9-30,13:35,18.470,18.600,18.470,18.580,19334756.0,1041500
2024-9-30,13:40,18.580,18.630,18.520,18.600,16748956.0,901800
2024-9-30,13:45,18.590,18.600,18.480,18.590,30385388.0,1639800
2024-9-30,13:50,18.620,18.740,18.610,18.710,17194996.0,921200
2024-9-30,13:55,18.710,18.720,18.700,18.710,13089678.0,699600
2024-9-30,14:00,18.720,18.750,18.660,18.740,15410911.0,823500
2024-9-30,14:05,18.740,18.800,18.710,18.770,23843804.0,1270500
2024-9-30,14:10,18.770,18.800,18.700,18.740,20254174.0,1080500
2024-9-30,14:15,18.740,18.810,18.720,18.750,21733306.0,1158900
2024-9-30,14:20,18.760,18.800,18.730,18.730,13890967.0,740300
2024-9-30,14:25,18.730,18.740,18.430,18.430,24909248.0,1338200
2024-9-30,14:30,18.430,18.480,18.330,18.480,26124966.0,1419600
2024-9-30,14:35,18.480,18.500,18.330,18.380,19531000.0,1062000
2024-9-30,14:40,18.380,18.490,18.370,18.450,10369157.0,562900
2024-9-30,14:45,18.450,18.530,18.440,18.530,11052580.0,597900
2024-9-30,14:50,18.520,18.600,18.520,18.590,12888195.0,694300
2024-9-30,14:55,18.600,18.660,18.590,18.660,20163470.0,1082400
2024-9-30,15:00,18.650,18.670,18.640,18.670,14085798.0,754800
2024-10-8,09:35,20.540,20.540,20.000,20.260,132112080.0,6493900
2024-10-8,09:40,20.240,20.250,19.750,19.840,66301512.0,3302800
2024-10-8,09:45,19.800,19.870,19.270,19.440,75636096.0,3859400
2024-10-8,09:50,19.440,19.970,19.380,19.970,54719184.0,2786200
2024-10-8,09:55,19.970,19.980,19.780,19.800,47662204.0,2401200
2024-10-8,10:00,19.800,19.950,19.750,19.900,26928774.0,1358800
2024-10-8,10:05,19.890,19.980,19.860,19.970,33285512.0,1670700
2024-10-8,10:10,19.930,20.000,19.860,19.870,29850048.0,1497200
2024-10-8,10:15,19.870,19.880,19.610,19.620,23821262.0,1207900
2024-10-8,10:20,19.610,19.790,19.600,19.790,23768212.0,1207300
2024-10-8,10:25,19.780,19.790,19.630,19.700,15315319.0,776800
2024-10-8,10:30,19.700,19.730,19.590,19.600,17348628.0,882000
2024-10-8,10:35,19.590,19.590,19.110,19.150,47762428.0,2471700
2024-10-8,10:40,19.110,19.110,18.810,18.870,43314720.0,2290100
2024-10-8,10:45,18.860,19.530,18.860,19.530,29783138.0,1547100
2024-10-8,10:50,19.510,19.650,19.380,19.430,18590044.0,951400
2024-10-8,10:55,19.410,19.440,19.240,19.240,20517940.0,1059500
2024-10-8,11:00,19.270,19.270,19.070,19.070,14371447.0,748700
