日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,60.200,61.430,59.990,60.280,4283048.0,71000
2024-12-31,09:40,60.250,60.400,59.870,60.120,2160488.0,35900
2024-12-31,09:45,60.120,60.280,59.390,59.420,4448518.0,74600
2024-12-31,09:50,59.420,59.420,59.210,59.250,3437953.0,57900
2024-12-31,09:55,59.220,59.610,59.110,59.500,3174324.0,53600
2024-12-31,10:00,59.380,59.480,58.800,58.800,4690901.0,79500
2024-12-31,10:05,58.980,59.360,58.780,59.280,2097451.0,35500
2024-12-31,10:10,59.280,59.490,59.170,59.330,2284004.0,38500
2024-12-31,10:15,59.410,59.500,59.300,59.420,642487.0,10900
2024-12-31,10:20,59.400,59.450,59.340,59.340,391579.0,6600
2024-12-31,10:25,59.300,59.300,58.880,58.880,972796.0,16400
2024-12-31,10:30,58.880,59.120,58.850,58.880,1071625.0,18200
2024-12-31,10:35,58.890,58.910,58.710,58.840,1957057.0,33200
2024-12-31,10:40,58.840,58.840,58.480,58.600,4092437.0,69900
2024-12-31,10:45,58.500,58.570,58.370,58.500,2097321.0,35900
2024-12-31,10:50,58.430,58.470,58.280,58.400,1695383.0,29000
2024-12-31,10:55,58.390,58.390,58.220,58.340,1543761.0,26500
2024-12-31,11:00,58.290,58.330,58.100,58.280,3086775.0,53000
2024-12-31,11:05,58.220,58.230,58.000,58.110,3186068.0,54900
2024-12-31,11:10,58.150,58.150,58.020,58.020,640931.0,11000
2024-12-31,11:15,58.020,58.290,57.990,58.080,2837927.0,48900
2024-12-31,11:20,58.100,58.340,58.080,58.100,2626394.0,45100
2024-12-31,11:25,58.090,58.290,58.060,58.290,392849.0,6800
2024-12-31,11:30,58.280,58.280,58.020,58.020,629687.0,10800
2024-12-31,13:05,57.980,58.260,57.930,58.070,3564834.0,61400
2024-12-31,13:10,57.950,57.990,57.810,57.860,1732790.0,29900
2024-12-31,13:15,57.870,57.900,57.820,57.820,1173892.0,20300
2024-12-31,13:20,57.830,57.880,57.810,57.840,1921867.0,33200
2024-12-31,13:25,57.820,57.930,57.810,57.900,1083698.0,18700
2024-12-31,13:30,57.910,57.930,57.670,57.690,3067106.0,53100
2024-12-31,13:35,57.670,57.680,57.450,57.500,5012929.0,87100
2024-12-31,13:40,57.500,57.820,57.480,57.820,1808721.0,31400
2024-12-31,13:45,57.830,58.160,57.730,58.130,2708694.0,46700
2024-12-31,13:50,58.010,58.650,58.010,58.650,4351475.0,74600
2024-12-31,13:55,58.660,58.710,58.530,58.600,5536866.0,94400
2024-12-31,14:00,58.580,58.600,58.330,58.520,2540380.0,43400
2024-12-31,14:05,58.480,58.480,58.020,58.290,2468811.0,42400
2024-12-31,14:10,58.290,58.290,57.870,57.930,2515993.0,43200
2024-12-31,14:15,57.930,58.130,57.780,57.970,1665348.0,28800
2024-12-31,14:20,57.800,57.960,57.750,57.930,3758079.0,65000
2024-12-31,14:25,57.930,58.080,57.810,58.020,954948.0,16400
