日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,61.180,62.600,61.060,61.230,2664919.5,43000
2024-12-31,09:40,61.210,61.460,60.850,60.960,1300164.0,21300
2024-12-31,09:45,61.030,61.220,60.860,60.870,402637.0,6600
2024-12-31,09:50,60.870,61.190,60.840,61.070,341211.0,5600
2024-12-31,09:55,61.160,62.100,61.160,61.930,2293369.5,37100
2024-12-31,10:00,61.850,61.850,61.490,61.690,2751732.0,44600
2024-12-31,10:05,61.450,61.690,61.160,61.420,945976.0,15400
2024-12-31,10:10,61.420,61.560,61.380,61.380,172034.0,2800
2024-12-31,10:15,61.470,61.620,61.470,61.470,227561.0,3700
2024-12-31,10:20,61.580,61.580,61.450,61.530,184465.0,3000
2024-12-31,10:25,61.450,61.540,61.350,61.350,208812.0,3400
2024-12-31,10:30,61.350,61.450,61.190,61.360,233175.0,3800
2024-12-31,10:35,61.360,61.820,61.180,61.430,1266311.0,20600
2024-12-31,10:40,61.400,61.400,61.250,61.380,177786.0,2900
2024-12-31,10:45,61.380,61.580,61.380,61.580,141299.0,2300
2024-12-31,10:50,61.570,61.790,61.570,61.710,351646.0,5700
2024-12-31,10:55,61.710,61.810,61.550,61.730,733508.0,11900
2024-12-31,11:00,61.660,61.660,61.200,61.430,661439.0,10800
2024-12-31,11:05,61.420,61.460,61.100,61.110,523789.8125,8600
2024-12-31,11:10,61.130,61.240,61.080,61.180,299525.0,4900
2024-12-31,11:15,61.080,61.270,61.000,61.000,305658.0,5000
2024-12-31,11:20,61.200,61.260,61.080,61.080,79516.0,1300
2024-12-31,11:25,61.030,61.600,61.030,61.410,361634.0,5900
2024-12-31,11:30,61.390,61.800,61.390,61.500,691367.625,11200
2024-12-31,13:05,61.180,62.370,61.180,61.830,2681251.75,43400
2024-12-31,13:10,61.620,61.820,61.430,61.430,484251.1875,7800
2024-12-31,13:15,61.510,61.620,61.330,61.500,153510.0,2500
2024-12-31,13:20,61.500,61.500,61.170,61.290,233038.0,3800
2024-12-31,13:25,61.280,61.440,61.180,61.320,539750.0,8800
2024-12-31,13:30,61.440,61.440,61.230,61.280,184185.0,3000
2024-12-31,13:35,61.280,61.390,61.280,61.280,36779.0,600
2024-12-31,13:40,61.370,61.370,61.170,61.360,104147.0,1700
2024-12-31,13:45,61.350,61.760,61.230,61.700,522953.0,8500
2024-12-31,13:50,61.700,61.970,61.500,61.970,2005919.625,32600
2024-12-31,13:55,62.000,62.000,61.600,61.600,327352.0,5300
2024-12-31,14:00,61.560,62.000,61.560,61.760,1775226.0,28700
2024-12-31,14:05,61.560,61.950,61.560,61.830,710352.8125,11500
2024-12-31,14:10,61.950,62.090,61.560,62.060,1107877.0,17900
2024-12-31,14:15,61.980,61.990,61.850,61.980,830286.0,13400
2024-12-31,14:20,61.870,61.970,61.840,61.860,362009.5,5800
2024-12-31,14:25,61.880,62.020,61.850,61.850,786651.0,12700
2024-12-31,14:30,61.850,61.970,61.690,61.690,488825.0,7900
2024-12-31,14:35,61.710,62.130,61.710,61.820,1866859.0,30100
2024-12-31,14:40,61.850,62.060,61.850,62.060,1159004.0,18700
2024-12-31,14:45,62.030,62.070,61.920,62.070,1078650.0,17400
2024-12-31,14:50,62.130,62.240,62.020,62.140,2283713.5,36800
2024-12-31,14:55,62.160,62.160,61.890,61.970,1587873.0,25600
2024-12-31,15:00,61.960,62.010,61.760,61.800,1138172.75,18400
2025-1-2,09:35,61.800,62.460,61.000,61.280,1978171.625,32100
2025-1-2,09:40,61.320,61.490,60.990,61.070,1090343.0,17800
2025-1-2,09:45,61.100,61.400,61.060,61.230,797445.8125,13000
2025-1-2,09:50,61.300,61.450,60.650,60.710,2297405.0,37600
2025-1-2,09:55,60.770,61.180,60.620,61.180,1639797.0,26900
2025-1-2,10:00,61.180,61.240,61.020,61.110,635781.0,10400
2025-1-2,10:05,61.290,61.290,60.590,60.680,1468175.0,24100
2025-1-2,10:10,60.840,61.020,60.680,60.750,1752940.0,28800
2025-1-2,10:15,60.890,61.300,60.850,61.300,903829.0,14800
2025-1-2,10:20,61.360,61.360,60.820,60.840,482578.0,7900
2025-1-2,10:25,60.910,61.220,60.910,61.140,219758.0,3600
2025-1-2,10:30,61.030,61.250,61.030,61.120,226355.0,3700
2025-1-2,10:35,61.230,61.340,61.170,61.300,263503.0,4300
2025-1-2,10:40,61.440,62.000,61.440,62.000,660353.0,10700
2025-1-2,10:45,61.950,62.000,61.520,61.920,1322652.0,21400
2025-1-2,10:50,61.740,61.970,61.730,61.810,191723.0,3100
2025-1-2,10:55,61.950,62.360,61.950,62.170,1112352.0,17900
