日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,18.250,18.260,18.100,18.120,10139186.0,558000
2024-12-31,09:40,18.120,18.140,18.050,18.060,11061147.0,611700
2024-12-31,09:45,18.060,18.140,18.000,18.010,8183383.0,453200
2024-12-31,09:50,18.000,18.090,17.930,18.090,7612129.0,423200
2024-12-31,09:55,18.120,18.170,18.060,18.170,3549735.0,196200
2024-12-31,10:00,18.170,18.170,18.010,18.060,4006917.0,221800
2024-12-31,10:05,18.060,18.150,18.060,18.120,4308746.0,238100
2024-12-31,10:10,18.110,18.120,18.090,18.100,1582471.0,87400
2024-12-31,10:15,18.100,18.100,18.030,18.050,2607057.0,144300
2024-12-31,10:20,18.070,18.070,18.030,18.030,1223515.0,67800
2024-12-31,10:25,18.030,18.040,18.010,18.010,2438357.0,135300
2024-12-31,10:30,18.010,18.020,18.000,18.020,2076148.0,115300
2024-12-31,10:35,18.020,18.020,17.970,17.970,3892732.0,216300
2024-12-31,10:40,17.970,17.970,17.910,17.930,3794570.0,211500
2024-12-31,10:45,17.940,17.970,17.930,17.970,1403604.0,78200
2024-12-31,10:50,17.970,17.970,17.900,17.900,4101293.0,228800
2024-12-31,10:55,17.900,17.910,17.820,17.830,4253274.0,238000
2024-12-31,11:00,17.820,17.840,17.820,17.830,3916741.0,219700
2024-12-31,11:05,17.830,17.840,17.810,17.830,3855316.0,216300
2024-12-31,11:10,17.830,17.830,17.810,17.810,1913553.0,107400
2024-12-31,11:15,17.800,17.820,17.760,17.800,7262650.0,408300
2024-12-31,11:20,17.800,17.840,17.760,17.770,3563097.0,200100
2024-12-31,11:25,17.770,17.790,17.750,17.790,1921841.0,108200
2024-12-31,11:30,17.790,17.820,17.760,17.760,2406162.0,135200
2024-12-31,13:05,17.770,17.860,17.770,17.860,3373938.0,189400
2024-12-31,13:10,17.850,17.860,17.800,17.800,1239743.0,69500
2024-12-31,13:15,17.800,17.820,17.780,17.790,1629556.0,91600
2024-12-31,13:20,17.780,17.800,17.780,17.780,1442552.0,81100
2024-12-31,13:25,17.780,17.790,17.770,17.780,1061811.0,59700
2024-12-31,13:30,17.770,17.780,17.750,17.750,3221078.0,181400
2024-12-31,13:35,17.750,17.760,17.680,17.720,3164069.0,178500
2024-12-31,13:40,17.720,17.760,17.680,17.750,2390585.0,135000
2024-12-31,13:45,17.750,17.990,17.750,17.860,9254901.0,517400
2024-12-31,13:50,17.840,17.900,17.820,17.900,2015610.0,112800
2024-12-31,13:55,17.890,17.980,17.860,17.870,2857797.0,159500
2024-12-31,14:00,17.860,17.900,17.820,17.880,3203682.0,179400
2024-12-31,14:05,17.870,17.940,17.830,17.900,3562699.0,199300
2024-12-31,14:10,17.890,17.910,17.820,17.830,1599265.0,89500
2024-12-31,14:15,17.830,17.870,17.800,17.820,2204635.0,123700
2024-12-31,14:20,17.800,17.810,17.770,17.780,1311165.0,73700
2024-12-31,14:25,17.780,17.790,17.760,17.790,2069491.0,116400
2024-12-31,14:30,17.780,17.870,17.760,17.790,2820118.0,158400
2024-12-31,14:35,17.800,17.870,17.760,17.870,4844247.0,271600
2024-12-31,14:40,17.870,17.930,17.860,17.930,1751414.0,97800
2024-12-31,14:45,17.910,17.920,17.870,17.900,1052057.0,58800
2024-12-31,14:50,17.900,17.910,17.860,17.860,1386017.0,77500
2024-12-31,14:55,17.860,17.880,17.810,17.810,2093345.0,117300
2024-12-31,15:00,17.810,17.820,17.750,17.750,3208771.0,180500
2025-1-2,09:35,17.840,17.980,17.720,17.880,11510853.0,643600
2025-1-2,09:40,17.880,17.930,17.810,17.890,5172921.0,289200
2025-1-2,09:45,17.890,17.940,17.830,17.930,4011253.0,224200
2025-1-2,09:50,17.930,18.100,17.930,18.020,8099918.0,449900
2025-1-2,09:55,18.010,18.190,17.990,18.190,11735098.0,647200
2025-1-2,10:00,18.180,18.200,18.070,18.100,5735181.0,316300
2025-1-2,10:05,18.110,18.140,18.060,18.080,3462378.0,191400
2025-1-2,10:10,18.070,18.150,18.050,18.120,3980134.0,219900
2025-1-2,10:15,18.110,18.140,18.080,18.130,3471685.0,191700
2025-1-2,10:20,18.130,18.200,18.130,18.170,6226869.0,342700
2025-1-2,10:25,18.180,18.230,18.170,18.210,7410595.0,407000
2025-1-2,10:30,18.230,18.230,18.170,18.170,3516543.0,193100
2025-1-2,10:35,18.170,18.210,18.130,18.130,3348421.0,184200
2025-1-2,10:40,18.130,18.140,18.100,18.120,2266816.0,125100
2025-1-2,10:45,18.120,18.120,18.060,18.080,2550537.0,141000
2025-1-2,10:50,18.080,18.190,18.080,18.180,2482662.0,136800
2025-1-2,10:55,18.180,18.180,18.130,18.130,1165660.0,64200
2025-1-2,11:00,18.130,18.140,18.100,18.110,663077.0,36600
2025-1-2,11:05,18.120,18.130,18.100,18.120,1603138.0,88500
2025-1-2,11:10,18.120,18.130,18.080,18.080,2048932.0,113200
2025-1-2,11:15,18.080,18.080,18.030,18.040,3474387.0,192500
