日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,40.950,40.960,40.100,40.130,158319584.0,3911400
2024-12-31,09:40,40.040,40.120,39.600,39.610,221413248.0,5557400
2024-12-31,09:45,39.580,39.650,39.210,39.360,214657536.0,5440300
2024-12-31,09:50,39.320,40.030,39.260,39.880,114002784.0,2876100
2024-12-31,09:55,39.960,40.050,39.810,39.840,46221320.0,1157300
2024-12-31,10:00,39.870,39.870,39.290,39.290,63765360.0,1615400
2024-12-31,10:05,39.300,39.460,39.290,39.340,52586888.0,1336300
2024-12-31,10:10,39.340,39.340,39.030,39.280,88572600.0,2260000
2024-12-31,10:15,39.270,39.290,39.180,39.280,41605908.0,1060300
2024-12-31,10:20,39.270,39.340,39.200,39.200,24442074.0,622500
2024-12-31,10:25,39.200,39.350,39.160,39.260,34882552.0,888800
2024-12-31,10:30,39.250,39.710,39.250,39.700,34044960.0,861300
2024-12-31,10:35,39.640,39.640,39.310,39.310,34852636.0,882000
2024-12-31,10:40,39.300,39.350,39.170,39.170,31238036.0,795900
2024-12-31,10:45,39.160,39.330,39.130,39.330,22363340.0,570900
2024-12-31,10:50,39.300,39.300,39.160,39.190,20106422.0,512600
2024-12-31,10:55,39.190,39.240,39.100,39.100,24545844.0,627000
2024-12-31,11:00,39.100,39.110,38.880,38.920,84813256.0,2176000
2024-12-31,11:05,38.920,38.940,38.800,38.880,58269528.0,1499600
2024-12-31,11:10,38.910,38.990,38.850,38.870,30152300.0,775200
2024-12-31,11:15,38.880,39.120,38.840,39.090,33072280.0,847900
2024-12-31,11:20,39.080,39.200,39.000,39.090,27720234.0,708600
2024-12-31,11:25,39.090,39.420,39.070,39.420,22124300.0,563900
2024-12-31,11:30,39.440,39.460,39.240,39.320,24986912.0,634500
2024-12-31,13:05,39.240,39.490,39.240,39.420,27300220.0,692900
2024-12-31,13:10,39.410,39.470,39.250,39.290,20066892.0,509800
2024-12-31,13:15,39.290,39.460,39.290,39.460,14844055.0,377000
2024-12-31,13:20,39.450,39.500,39.300,39.310,18979596.0,481500
2024-12-31,13:25,39.310,39.540,39.310,39.470,24491218.0,620600
2024-12-31,13:30,39.460,39.620,39.440,39.580,23987346.0,606600
2024-12-31,13:35,39.570,39.570,39.350,39.460,15963917.0,404800
2024-12-31,13:40,39.450,39.550,39.410,39.490,20152516.0,510300
2024-12-31,13:45,39.490,39.600,39.430,39.500,18284268.0,462800
2024-12-31,13:50,39.530,39.720,39.480,39.720,24535932.0,619500
2024-12-31,13:55,39.710,39.780,39.500,39.650,21446568.0,540400
2024-12-31,14:00,39.650,39.690,39.540,39.690,16727304.0,421900
2024-12-31,14:05,39.640,39.680,39.560,39.600,17134700.0,432500
2024-12-31,14:10,39.600,39.600,39.360,39.420,19407456.0,492000
2024-12-31,14:15,39.430,39.490,39.350,39.480,15613687.0,396100
2024-12-31,14:20,39.480,39.520,39.350,39.450,16170379.0,410100
2024-12-31,14:25,39.420,39.500,39.410,39.430,17360896.0,439900
2024-12-31,14:30,39.430,39.470,39.300,39.310,21928488.0,556600
2024-12-31,14:35,39.310,39.640,39.310,39.630,32910182.0,832300
2024-12-31,14:40,39.640,39.940,39.640,39.890,51631292.0,1297000
2024-12-31,14:45,39.870,39.950,39.800,39.950,45100288.0,1131100
2024-12-31,14:50,39.990,40.020,39.760,39.800,56491528.0,1414200
2024-12-31,14:55,39.810,39.860,39.660,39.740,66707244.0,1678100
2024-12-31,15:00,39.740,39.780,39.650,39.650,42200104.0,1063000
2025-1-2,09:35,39.130,39.680,38.800,39.630,103146264.0,2636400
2025-1-2,09:40,39.650,39.950,39.460,39.570,72843704.0,1835300
2025-1-2,09:45,39.560,39.720,39.400,39.550,39937716.0,1008600
2025-1-2,09:50,39.530,39.580,39.370,39.460,26777108.0,678900
2025-1-2,09:55,39.420,39.910,39.420,39.830,51781288.0,1302400
2025-1-2,10:00,39.860,40.160,39.790,39.830,74366080.0,1860100
2025-1-2,10:05,39.830,39.900,39.550,39.590,36483704.0,919300
2025-1-2,10:10,39.580,39.610,39.150,39.200,49036472.0,1243900
2025-1-2,10:15,39.190,39.270,39.040,39.060,40053780.0,1022600
2025-1-2,10:20,39.050,39.340,38.980,39.250,33497832.0,855900
2025-1-2,10:25,39.250,39.440,39.170,39.380,28228714.0,718400
2025-1-2,10:30,39.370,39.380,39.170,39.270,17863960.0,454900
2025-1-2,10:35,39.300,39.410,39.150,39.330,19215116.0,489200
2025-1-2,10:40,39.320,39.450,39.260,39.260,9854169.0,250400
2025-1-2,10:45,39.300,39.440,39.240,39.440,14144593.0,359300
2025-1-2,10:50,39.410,39.650,39.360,39.650,14310160.0,362100
2025-1-2,10:55,39.650,39.850,39.580,39.580,27964836.0,703700
2025-1-2,11:00,39.600,39.660,39.500,39.660,10234084.0,258600
2025-1-2,11:05,39.630,39.630,39.480,39.550,11695890.0,295800
2025-1-2,11:10,39.550,39.560,39.410,39.430,12643121.0,320300
2025-1-2,11:15,39.420,39.430,39.330,39.390,10512260.0,266900
2025-1-2,11:20,39.360,39.430,39.330,39.370,10839297.0,275200
2025-1-2,11:25,39.370,39.530,39.360,39.420,9490488.0,240800
2025-1-2,11:30,39.430,39.440,39.330,39.360,7993188.0,202900
2025-1-2,13:05,39.330,39.330,39.080,39.190,18876644.0,481700
2025-1-2,13:10,39.150,39.150,39.040,39.040,12363883.0,316300
2025-1-2,13:15,39.020,39.060,39.010,39.020,16048138.0,411200
2025-1-2,13:20,39.020,39.100,38.940,38.950,23456580.0,601300
2025-1-2,13:25,38.950,39.050,38.940,38.950,15858860.0,406700
2025-1-2,13:30,38.940,39.040,38.890,39.040,18848740.0,484000
2025-1-2,13:35,39.020,39.190,38.980,39.050,12110483.0,310000
2025-1-2,13:40,39.060,39.060,38.950,38.980,12825581.0,329000
2025-1-2,13:45,38.970,38.980,38.810,38.830,23537260.0,605600
2025-1-2,13:50,38.830,38.850,38.680,38.740,42363380.0,1092900
2025-1-2,13:55,38.740,38.760,38.610,38.640,30394476.0,785600
2025-1-2,14:00,38.640,39.000,38.600,38.990,28766440.0,742400
2025-1-2,14:05,39.030,39.030,38.740,38.840,16373874.0,421500
2025-1-2,14:10,38.820,38.840,38.680,38.720,13972783.0,360700
2025-1-2,14:15,38.720,38.720,38.650,38.660,16961012.0,438500
2025-1-2,14:20,38.660,38.730,38.630,38.650,17297858.0,447400
2025-1-2,14:25,38.660,38.840,38.610,38.840,19879680.0,513900
2025-1-2,14:30,38.850,38.860,38.730,38.730,15690366.0,404500
