日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,49.580,49.610,48.800,48.830,17552476.0,357100
2025-3-31,09:40,48.910,49.240,48.850,48.900,15928648.0,325300
2025-3-31,09:45,48.970,49.100,48.670,48.730,12385670.0,253500
2025-3-31,09:50,48.770,49.100,48.760,49.000,9815430.0,200900
2025-3-31,09:55,49.000,49.300,48.990,49.160,7539921.0,153400
2025-3-31,10:00,49.220,49.220,48.800,48.900,27294662.0,558100
2025-3-31,10:05,48.900,48.900,48.610,48.690,24738360.0,507700
2025-3-31,10:10,48.700,48.750,48.620,48.620,5362492.0,110200
2025-3-31,10:15,48.620,48.620,48.280,48.280,9230239.0,190200
2025-3-31,10:20,48.300,48.370,48.000,48.040,13685752.0,284300
2025-3-31,10:25,48.050,48.300,48.050,48.190,5264526.0,109300
2025-3-31,10:30,48.180,48.200,47.720,47.770,16262717.0,339300
2025-3-31,10:35,47.820,47.950,47.760,47.760,5411569.0,113100
2025-3-31,10:40,47.770,47.850,47.620,47.630,6721689.0,140800
2025-3-31,10:45,47.640,47.700,47.540,47.660,7173780.0,150600
2025-3-31,10:50,47.670,47.720,47.640,47.660,3898270.0,81800
2025-3-31,10:55,47.650,47.750,47.600,47.600,3625918.0,76000
2025-3-31,11:00,47.600,47.850,47.500,47.750,4137666.0,87000
2025-3-31,11:05,47.710,47.860,47.670,47.730,2970122.0,62200
2025-3-31,11:10,47.710,47.780,47.560,47.710,6923449.0,145400
2025-3-31,11:15,47.700,47.860,47.610,47.860,2779129.0,58300
2025-3-31,11:20,47.920,48.150,47.870,48.030,3469222.0,72300
2025-3-31,11:25,48.020,48.140,47.750,47.800,2165117.0,45200
2025-3-31,11:30,47.810,48.050,47.810,47.970,1675684.0,35000
2025-3-31,13:05,47.970,48.320,47.900,48.300,3222161.0,66900
2025-3-31,13:10,48.320,48.420,48.150,48.420,2911987.0,60400
2025-3-31,13:15,48.400,48.450,48.120,48.430,3631322.0,75200
2025-3-31,13:20,48.430,48.480,48.280,48.330,2656204.0,54900
2025-3-31,13:25,48.170,48.380,48.120,48.370,731552.0,15200
2025-3-31,13:30,48.370,48.400,48.230,48.230,967890.0,20000
2025-3-31,13:35,48.300,48.360,48.220,48.230,4345430.0,90000
2025-3-31,13:40,48.230,48.340,48.140,48.310,682153.0,14100
2025-3-31,13:45,48.320,48.380,48.300,48.360,1090257.0,22600
