日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,39.980,40.290,39.800,40.050,18865538.0,471800
2025-3-31,09:40,40.060,40.190,39.960,40.150,7957108.0,198800
2025-3-31,09:45,40.190,40.260,40.010,40.110,9296940.0,231500
2025-3-31,09:50,40.010,40.110,39.700,39.960,16159929.0,405500
2025-3-31,09:55,39.950,39.990,39.860,39.990,6424516.0,160800
2025-3-31,10:00,39.990,40.230,39.990,40.220,8040572.0,200500
2025-3-31,10:05,40.200,40.270,39.960,40.170,5235063.0,130400
2025-3-31,10:10,40.160,40.160,39.890,39.890,4606184.0,115200
2025-3-31,10:15,39.880,39.880,39.270,39.270,19385728.0,490000
2025-3-31,10:20,39.270,39.480,39.170,39.170,18819904.0,479200
2025-3-31,10:25,39.180,39.350,38.970,39.230,23338060.0,597100
2025-3-31,10:30,39.230,39.320,38.940,38.940,11962293.0,305900
2025-3-31,10:35,38.930,38.940,38.800,38.880,33403140.0,859400
2025-3-31,10:40,38.880,39.160,38.880,39.060,10391497.0,266500
2025-3-31,10:45,39.050,39.050,38.940,38.970,3551083.0,91100
2025-3-31,10:50,38.940,38.970,38.840,38.930,4493297.0,115500
2025-3-31,10:55,38.920,38.970,38.870,38.910,2265919.0,58200
2025-3-31,11:00,38.920,38.970,38.850,38.950,4395909.0,113000
2025-3-31,11:05,38.960,38.960,38.860,38.880,2795004.0,71900
2025-3-31,11:10,38.880,38.900,38.690,38.810,12871035.0,331700
2025-3-31,11:15,38.810,39.090,38.770,39.090,7060431.0,181500
2025-3-31,11:20,39.080,39.080,38.980,39.040,1810590.0,46400
2025-3-31,11:25,39.060,39.100,38.860,38.860,4199155.0,107600
2025-3-31,11:30,38.960,38.970,38.740,38.780,5208141.0,134200
2025-3-31,13:05,38.770,38.770,38.680,38.760,14384602.0,371500
2025-3-31,13:10,38.760,38.910,38.760,38.910,7253143.0,186800
2025-3-31,13:15,38.950,39.040,38.800,39.040,11792927.0,303000
2025-3-31,13:20,39.030,39.050,38.900,38.920,3458986.0,88700
2025-3-31,13:25,38.900,38.900,38.830,38.900,2660091.0,68400
2025-3-31,13:30,38.910,38.930,38.840,38.860,1747051.0,45000
2025-3-31,13:35,38.870,38.910,38.800,38.910,4436561.0,114200
2025-3-31,13:40,38.880,38.880,38.780,38.780,4361730.0,112400
2025-3-31,13:45,38.800,38.810,38.680,38.690,6327920.0,163200
2025-3-31,13:50,38.670,38.700,38.660,38.680,3104347.0,80300
2025-3-31,13:55,38.700,38.780,38.670,38.670,4165407.0,107600
2025-3-31,14:00,38.670,38.750,38.670,38.750,2799986.0,72400
2025-3-31,14:05,38.750,38.950,38.730,38.750,3785341.0,97500
2025-3-31,14:10,38.740,39.020,38.740,38.990,6964239.0,178800
2025-3-31,14:15,39.000,39.090,38.960,39.090,7951565.0,203800
2025-3-31,14:20,39.100,39.530,39.100,39.440,10445098.0,265100
2025-3-31,14:25,39.430,39.740,39.360,39.580,12237488.0,309500
2025-3-31,14:30,39.550,39.580,39.410,39.420,5868845.0,148500
2025-3-31,14:35,39.420,39.490,39.340,39.380,7017478.0,178100
2025-3-31,14:40,39.360,39.580,39.330,39.550,6839352.0,173100
2025-3-31,14:45,39.550,39.750,39.540,39.750,10104646.0,255100
2025-3-31,14:50,39.750,39.930,39.700,39.880,16357240.0,410400
2025-3-31,14:55,39.920,39.930,39.750,39.830,9830884.0,246600
2025-3-31,15:00,39.830,39.830,39.740,39.740,7246009.0,182200
2025-4-1,09:35,39.910,40.490,39.850,40.430,34488776.0,856000
2025-4-1,09:40,40.440,40.440,40.140,40.360,16713082.0,415000
2025-4-1,09:45,40.360,40.360,40.020,40.120,7590645.0,188800
2025-4-1,09:50,40.130,40.270,40.100,40.190,7722428.0,192200
2025-4-1,09:55,40.190,40.290,40.070,40.290,8073525.0,200900
2025-4-1,10:00,40.280,40.350,40.230,40.330,5133542.0,127300
2025-4-1,10:05,40.330,40.440,40.280,40.360,11475449.0,284400
2025-4-1,10:10,40.360,40.450,40.280,40.440,7176393.0,177700
2025-4-1,10:15,40.400,40.410,40.360,40.400,4647393.0,115100
2025-4-1,10:20,40.400,40.440,40.370,40.390,5354151.0,132500
2025-4-1,10:25,40.380,40.410,40.300,40.400,4723493.0,117000
2025-4-1,10:30,40.400,40.440,40.340,40.380,3298010.0,81700
2025-4-1,10:35,40.380,40.380,40.200,40.220,6076371.0,150800
2025-4-1,10:40,40.250,40.350,40.170,40.290,5015167.0,124600
2025-4-1,10:45,40.280,40.340,40.280,40.330,1224021.0,30400
2025-4-1,10:50,40.310,40.370,40.290,40.360,2341798.0,58000
2025-4-1,10:55,40.320,40.380,40.320,40.380,1977175.0,49000
2025-4-1,11:00,40.360,40.370,40.330,40.330,1257480.0,31200
2025-4-1,11:05,40.330,40.350,40.300,40.350,1590369.0,39500
2025-4-1,11:10,40.330,40.330,40.280,40.320,1998560.0,49500
2025-4-1,11:15,40.300,40.300,40.200,40.200,2197220.0,54600
2025-4-1,11:20,40.200,40.290,40.200,40.290,958504.0,23800
2025-4-1,11:25,40.260,40.360,40.260,40.360,2109625.0,52400
2025-4-1,11:30,40.320,40.350,40.310,40.310,514216.0,12700
2025-4-1,13:05,40.310,40.350,40.190,40.190,6025713.0,149700
2025-4-1,13:10,40.180,40.200,40.110,40.140,3808309.0,94800
2025-4-1,13:15,40.130,40.200,40.120,40.190,1509357.0,37600
2025-4-1,13:20,40.190,40.230,40.040,40.050,4799164.0,119600
2025-4-1,13:25,40.050,40.120,40.040,40.080,3142649.0,78400
2025-4-1,13:30,40.110,40.180,40.100,40.100,1753311.0,43700
2025-4-1,13:35,40.100,40.120,40.070,40.120,995677.0,24800
2025-4-1,13:40,40.130,40.140,40.000,40.030,5445565.0,136100
2025-4-1,13:45,40.000,40.120,40.000,40.120,2046740.0,51100
2025-4-1,13:50,40.110,40.170,40.110,40.140,2207553.0,55000
2025-4-1,13:55,40.030,40.260,40.030,40.210,2121869.0,52800
2025-4-1,14:00,40.190,40.200,40.140,40.160,1558680.0,38800
2025-4-1,14:05,40.170,40.220,40.140,40.170,2191959.0,54600
2025-4-1,14:10,40.160,40.370,40.130,40.340,10612883.0,263500
2025-4-1,14:15,40.330,40.370,40.270,40.280,3498117.0,86700
2025-4-1,14:20,40.290,40.350,40.280,40.320,2218344.0,55100
2025-4-1,14:25,40.310,40.340,40.270,40.290,2405955.0,59700
2025-4-1,14:30,40.280,40.370,40.280,40.320,8392176.0,208100
2025-4-1,14:35,40.340,40.350,40.280,40.280,2404122.0,59600
2025-4-1,14:40,40.280,40.300,40.240,40.290,3376711.0,83800
2025-4-1,14:45,40.290,40.320,40.280,40.320,2499869.0,62100
2025-4-1,14:50,40.290,40.310,40.270,40.300,4038049.0,100200
2025-4-1,14:55,40.300,40.310,40.260,40.310,6012918.0,149300
2025-4-1,15:00,40.300,40.300,40.260,40.260,4958199.0,123100
2025-4-2,09:35,40.400,40.480,40.060,40.270,6949424.0,172600
2025-4-2,09:40,40.250,40.790,40.240,40.720,18739350.0,462200
2025-4-2,09:45,40.700,41.180,40.700,40.860,27769444.0,678600
2025-4-2,09:50,40.860,40.900,40.620,40.860,10439620.0,255900
2025-4-2,09:55,40.860,40.860,40.520,40.570,8241308.0,202600
2025-4-2,10:00,40.590,40.740,40.570,40.740,4608183.0,113400
2025-4-2,10:05,40.740,40.740,40.610,40.610,4328867.0,106500
2025-4-2,10:10,40.600,40.690,40.520,40.680,5200490.0,128200
2025-4-2,10:15,40.680,40.700,40.610,40.680,3672847.0,90300
2025-4-2,10:20,40.650,40.700,40.580,40.680,2230060.0,54900
2025-4-2,10:25,40.690,40.690,40.620,40.620,2891464.0,71100
2025-4-2,10:30,40.640,40.800,40.570,40.580,8334303.0,204900
2025-4-2,10:35,40.590,40.610,40.560,40.570,2472273.0,60900
2025-4-2,10:40,40.570,40.590,40.510,40.550,3267181.0,80600
2025-4-2,10:45,40.530,40.800,40.530,40.690,5886499.0,144800
2025-4-2,10:50,40.670,40.680,40.530,40.580,2459921.0,60600
2025-4-2,10:55,40.610,40.620,40.500,40.550,3046779.0,75200
2025-4-2,11:00,40.520,40.710,40.520,40.700,3597880.0,88500
2025-4-2,11:05,40.680,40.750,40.640,40.700,3173465.0,78000
2025-4-2,11:10,40.700,40.790,40.700,40.750,2925737.0,71800
2025-4-2,11:15,40.750,40.810,40.700,40.800,3600764.0,88300
2025-4-2,11:20,40.800,40.850,40.650,40.680,3550684.0,87100
2025-4-2,11:25,40.680,40.700,40.600,40.640,1233029.0,30400
2025-4-2,11:30,40.650,40.650,40.600,40.610,1276939.0,31400
2025-4-2,13:05,40.600,40.640,40.540,40.570,2213302.0,54500
2025-4-2,13:10,40.570,40.600,40.500,40.510,3886369.0,95900
2025-4-2,13:15,40.510,40.550,40.500,40.510,1437133.0,35500
2025-4-2,13:20,40.500,40.550,40.500,40.520,792831.0,19600
2025-4-2,13:25,40.530,40.580,40.530,40.560,1189500.0,29300
2025-4-2,13:30,40.560,40.580,40.530,40.560,2563939.0,63200
2025-4-2,13:35,40.570,40.640,40.550,40.590,1308373.0,32200
2025-4-2,13:40,40.600,40.630,40.410,40.410,6048794.0,149300
2025-4-2,13:45,40.410,40.550,40.400,40.550,1909903.0,47200
2025-4-2,13:50,40.540,40.600,40.520,40.600,1466853.0,36200
2025-4-2,13:55,40.580,40.680,40.560,40.680,1110991.0,27400
2025-4-2,14:00,40.680,40.680,40.590,40.600,1891111.0,46500
2025-4-2,14:05,40.590,40.660,40.580,40.610,2024767.0,49800
2025-4-2,14:10,40.580,40.620,40.580,40.610,377675.0,9300
2025-4-2,14:15,40.620,40.650,40.510,40.600,4754084.0,117300
2025-4-2,14:20,40.620,40.640,40.530,40.580,976851.0,24100
2025-4-2,14:25,40.560,40.590,40.550,40.590,780333.0,19200
2025-4-2,14:30,40.590,40.600,40.510,40.520,2590429.0,63900
2025-4-2,14:35,40.530,40.620,40.520,40.560,2339741.0,57700
2025-4-2,14:40,40.540,40.590,40.520,40.580,3531419.0,87100
2025-4-2,14:45,40.550,40.630,40.520,40.630,3009144.0,74100
2025-4-2,14:50,40.630,40.650,40.590,40.650,5885189.0,144900
2025-4-2,14:55,40.650,40.680,40.640,40.660,7088137.0,174200
2025-4-2,15:00,40.660,40.680,40.640,40.640,4446288.0,109400
2025-4-3,09:35,39.980,39.980,39.180,39.480,54188900.0,1370600
2025-4-3,09:40,39.480,39.880,39.480,39.780,15484543.0,390100
2025-4-3,09:45,39.790,39.810,39.450,39.740,29987144.0,757500
2025-4-3,09:50,39.790,39.880,39.750,39.860,7439175.0,186900
2025-4-3,09:55,39.860,39.870,39.610,39.620,6989931.0,176000
2025-4-3,10:00,39.620,39.690,39.560,39.560,6936182.0,175100
2025-4-3,10:05,39.570,39.630,39.550,39.600,6137071.0,155100
2025-4-3,10:10,39.570,39.630,39.200,39.210,17152100.0,435600
2025-4-3,10:15,39.160,39.170,38.950,39.160,31272056.0,800800
2025-4-3,10:20,39.160,39.200,39.030,39.030,9198383.0,235000
2025-4-3,10:25,39.150,39.250,39.040,39.180,6582093.0,168200
2025-4-3,10:30,39.190,39.260,39.080,39.250,6310707.0,161100
2025-4-3,10:35,39.250,39.300,39.110,39.140,5931565.0,151400
2025-4-3,10:40,39.110,39.110,38.810,38.870,21908322.0,562200
2025-4-3,10:45,38.870,38.910,38.660,38.700,20274414.0,522800
2025-4-3,10:50,38.670,38.820,38.670,38.720,13361698.0,345200
2025-4-3,10:55,38.720,38.720,38.500,38.500,24812144.0,642400
2025-4-3,11:00,38.500,38.500,38.330,38.450,19989612.0,520400
2025-4-3,11:05,38.450,38.450,38.360,38.360,8418464.0,219300
2025-4-3,11:10,38.370,38.380,38.290,38.380,16336722.0,426100
2025-4-3,11:15,38.380,38.420,38.320,38.330,7420768.0,193300
2025-4-3,11:20,38.310,38.350,38.000,38.000,19825778.0,519600
2025-4-3,11:25,38.020,38.200,37.910,38.170,18945436.0,497800
2025-4-3,11:30,38.180,38.390,38.170,38.380,3821527.0,99800
2025-4-3,13:05,38.350,38.390,38.110,38.320,7052015.0,184300
2025-4-3,13:10,38.360,38.360,38.230,38.230,2809363.0,73400
2025-4-3,13:15,38.230,38.300,38.230,38.260,1618398.0,42300
2025-4-3,13:20,38.260,38.300,38.250,38.300,2216026.0,57900
2025-4-3,13:25,38.290,38.300,38.260,38.270,2242398.0,58500
2025-4-3,13:30,38.260,38.310,38.200,38.260,4193581.0,109700
2025-4-3,13:35,38.270,38.550,38.260,38.490,4219140.0,109800
2025-4-3,13:40,38.500,38.670,38.420,38.570,5879618.0,152400
2025-4-3,13:45,38.570,38.600,38.460,38.520,6245667.0,161900
2025-4-3,13:50,38.520,38.570,38.500,38.560,2929291.0,76100
2025-4-3,13:55,38.560,38.560,38.510,38.520,3961939.0,102700
2025-4-3,14:00,38.560,38.590,38.520,38.530,2726275.0,70800
2025-4-3,14:05,38.530,38.610,38.520,38.520,4063177.0,105300
2025-4-3,14:10,38.520,38.620,38.520,38.540,2589993.0,67200
2025-4-3,14:15,38.530,38.530,38.410,38.410,4275237.0,111000
2025-4-3,14:20,38.390,38.410,38.170,38.170,6814652.0,178100
2025-4-3,14:25,38.160,38.200,38.120,38.130,6749954.0,176900
2025-4-3,14:30,38.130,38.150,38.100,38.150,9177556.0,240700
2025-4-3,14:35,38.130,38.440,38.130,38.400,5138925.0,134300
2025-4-3,14:40,38.420,38.420,38.260,38.290,4746806.0,124000
2025-4-3,14:45,38.290,38.300,38.150,38.160,6634202.0,173600
2025-4-3,14:50,38.150,38.200,38.150,38.180,6740448.0,176600
2025-4-3,14:55,38.180,38.180,38.120,38.130,10508118.0,275300
2025-4-3,15:00,38.130,38.150,38.030,38.150,16029162.0,420800
2025-4-7,09:35,34.010,34.490,33.000,33.000,94704824.0,2793400
2025-4-7,09:40,33.000,33.300,32.180,32.610,77602096.0,2366300
2025-4-7,09:45,32.760,32.760,31.640,31.860,49850500.0,1559500
2025-4-7,09:50,31.850,31.950,31.100,31.780,32139604.0,1017300
2025-4-7,09:55,31.780,31.780,31.320,31.610,15549070.0,493600
2025-4-7,10:00,31.670,32.500,31.670,32.390,19009836.0,588300
2025-4-7,10:05,32.380,32.410,32.010,32.160,10536422.0,326800
2025-4-7,10:10,32.180,32.310,32.160,32.270,5876782.0,182200
2025-4-7,10:15,32.220,32.280,32.010,32.280,6640700.0,206700
2025-4-7,10:20,32.160,32.480,32.130,32.480,6016279.0,186000
2025-4-7,10:25,32.470,32.800,32.470,32.750,12620092.0,385800
2025-4-7,10:30,32.700,32.750,32.480,32.670,6793422.0,208200
2025-4-7,10:35,32.520,32.780,32.450,32.700,7523670.0,230500
2025-4-7,10:40,32.700,32.700,32.310,32.350,6846058.0,210400
2025-4-7,10:45,32.350,32.690,32.350,32.530,4717976.0,144800
2025-4-7,10:50,32.530,32.570,32.420,32.420,6831386.0,210100
2025-4-7,10:55,32.420,32.420,32.110,32.160,5087565.0,157900
2025-4-7,11:00,32.160,32.160,31.770,31.890,13173252.0,412400
2025-4-7,11:05,31.900,31.960,31.880,31.880,3695030.0,115800
2025-4-7,11:10,31.880,31.880,31.520,31.680,13438886.0,425700
2025-4-7,11:15,31.660,31.680,31.480,31.560,6844574.0,216900
2025-4-7,11:20,31.560,31.660,31.480,31.500,4632686.0,146800
2025-4-7,11:25,31.500,31.650,31.480,31.640,4003162.0,126900
2025-4-7,11:30,31.630,31.650,31.380,31.400,5518994.0,175100
2025-4-7,13:05,31.400,31.400,31.020,31.170,12550773.0,402600
2025-4-7,13:10,31.170,31.180,30.800,30.800,11837541.0,381400
2025-4-7,13:15,30.750,31.010,30.730,31.000,8620760.0,279600
2025-4-7,13:20,31.000,31.400,31.000,31.290,4486683.0,143400
2025-4-7,13:25,31.260,31.300,31.210,31.230,3365142.0,107700
2025-4-7,13:30,31.210,31.250,30.930,30.980,4574250.0,147000
2025-4-7,13:35,31.010,31.160,30.970,31.030,4928468.0,158800
2025-4-7,13:40,31.030,31.040,30.790,30.800,5529612.0,178900
2025-4-7,13:45,30.780,30.800,30.530,30.560,16214829.0,530300
2025-4-7,13:50,30.550,30.560,30.520,30.520,24934492.0,816900
2025-4-7,13:55,30.520,30.540,30.520,30.520,6849723.0,224400
2025-4-7,14:00,30.520,30.540,30.520,30.520,5670342.0,185800
2025-4-7,14:05,30.520,30.530,30.520,30.520,6958397.0,228000
2025-4-7,14:10,30.520,30.530,30.520,30.520,1772587.0,58100
2025-4-7,14:15,30.520,30.520,30.520,30.520,559492.0,18300
2025-4-7,14:20,30.520,30.520,30.520,30.520,658927.0,21600
2025-4-7,14:25,30.520,30.520,30.520,30.520,1711531.0,56100
2025-4-7,14:30,30.520,30.520,30.520,30.520,1564089.0,51200
2025-4-7,14:35,30.520,30.520,30.520,30.520,813419.0,26700
2025-4-7,14:40,30.520,30.830,30.520,30.820,10127301.0,331600
2025-4-7,14:45,30.800,30.820,30.520,30.520,8012969.0,262100
2025-4-7,14:50,30.520,30.520,30.520,30.520,1634499.0,53500
2025-4-7,14:55,30.520,30.520,30.520,30.520,3061888.0,100400
2025-4-7,15:00,30.520,30.520,30.520,30.520,1638741.0,53700
2025-4-8,09:35,30.690,31.820,30.690,31.410,50290364.0,1610900
2025-4-8,09:40,31.420,31.900,31.420,31.630,41657432.0,1314900
2025-4-8,09:45,31.600,31.600,31.060,31.090,18418484.0,587500
2025-4-8,09:50,31.110,31.250,30.790,30.790,25075258.0,809100
2025-4-8,09:55,30.820,30.820,30.400,30.720,26963588.0,879500
2025-4-8,10:00,30.670,30.940,30.540,30.920,21382900.0,696800
2025-4-8,10:05,30.900,31.150,30.750,30.800,10153969.0,328100
2025-4-8,10:10,30.790,30.990,30.660,30.900,9929241.0,322700
2025-4-8,10:15,30.900,31.180,30.900,31.000,6280750.0,202400
2025-4-8,10:20,31.000,31.000,30.800,30.830,6211668.0,201200
2025-4-8,10:25,30.830,30.840,30.400,30.400,13491140.0,440300
2025-4-8,10:30,30.430,30.700,30.430,30.630,17107252.0,559300
2025-4-8,10:35,30.670,30.780,30.560,30.560,7108631.0,232000
2025-4-8,10:40,30.580,30.620,30.470,30.510,14894407.0,487800
2025-4-8,10:45,30.510,30.520,30.410,30.410,3259136.0,106900
2025-4-8,10:50,30.410,30.420,30.290,30.340,11171105.0,368100
2025-4-8,10:55,30.340,30.430,30.250,30.340,8363879.0,275700
2025-4-8,11:00,30.330,30.500,30.280,30.330,3665520.0,120700
2025-4-8,11:05,30.330,30.680,30.300,30.460,10364088.0,340800
2025-4-8,11:10,30.460,30.560,30.220,30.270,4994415.0,164500
2025-4-8,11:15,30.270,30.480,30.260,30.440,2155447.0,70900
2025-4-8,11:20,30.440,30.550,30.410,30.490,4010122.0,131600
2025-4-8,11:25,30.470,30.510,30.400,30.440,5837817.0,191600
2025-4-8,11:30,30.420,30.490,30.360,30.400,2726278.0,89700
2025-4-8,13:05,30.460,30.570,30.360,30.390,11967082.0,392600
2025-4-8,13:10,30.430,30.460,30.100,30.140,7479568.0,247100
