日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,43.080,43.200,42.510,42.620,290295616.0,6779300
2025-6-30,09:40,42.610,42.900,42.550,42.800,135274880.0,3164000
2025-6-30,09:45,42.800,43.300,42.760,42.760,123417960.0,2867700
2025-6-30,09:50,42.780,43.020,42.720,43.010,103777416.0,2423300
2025-6-30,09:55,43.000,43.050,42.850,42.920,73259632.0,1705300
2025-6-30,10:00,42.910,43.000,42.810,42.860,84006824.0,1957800
2025-6-30,10:05,42.890,42.910,42.700,42.890,120604624.0,2818900
2025-6-30,10:10,42.880,43.030,42.860,42.920,63125916.0,1469300
2025-6-30,10:15,42.930,42.930,42.740,42.810,49099356.0,1146400
2025-6-30,10:20,42.810,42.880,42.780,42.810,47501840.0,1109000
2025-6-30,10:25,42.800,42.800,42.640,42.800,69306560.0,1622900
2025-6-30,10:30,42.810,42.870,42.650,42.680,56389888.0,1318200
2025-6-30,10:35,42.680,42.760,42.550,42.550,61691568.0,1446100
2025-6-30,10:40,42.580,42.580,42.350,42.410,106483008.0,2507800
2025-6-30,10:45,42.420,42.670,42.420,42.670,31169862.0,733200
2025-6-30,10:50,42.670,42.710,42.560,42.580,38295940.0,898200
2025-6-30,10:55,42.570,42.730,42.480,42.540,36912124.0,866700
2025-6-30,11:00,42.520,42.560,42.470,42.530,25506108.0,600100
2025-6-30,11:05,42.530,42.530,42.380,42.380,39082340.0,920800
2025-6-30,11:10,42.380,42.480,42.380,42.430,23806950.0,561000
2025-6-30,11:15,42.430,42.440,42.300,42.410,51066056.0,1205000
2025-6-30,11:20,42.400,42.470,42.350,42.390,29447124.0,694500
2025-6-30,11:25,42.410,42.510,42.410,42.510,24064822.0,567000
2025-6-30,11:30,42.510,42.630,42.500,42.600,26731904.0,627900
2025-6-30,13:05,42.610,42.840,42.610,42.840,41889052.0,981100
2025-6-30,13:10,42.850,43.080,42.840,43.080,59864108.0,1395100
2025-6-30,13:15,43.100,43.100,42.840,42.840,79060056.0,1838300
2025-6-30,13:20,42.820,42.850,42.720,42.850,39459980.0,922600
2025-6-30,13:25,42.840,42.840,42.600,42.710,42331140.0,991000
2025-6-30,13:30,42.700,42.720,42.540,42.610,42254216.0,991300
2025-6-30,13:35,42.610,42.660,42.500,42.630,63913444.0,1501700
2025-6-30,13:40,42.630,42.680,42.580,42.580,30500332.0,715300
2025-6-30,13:45,42.590,42.630,42.200,42.230,90380040.0,2132000
2025-6-30,13:50,42.200,42.250,42.010,42.210,106393744.0,2523300
2025-6-30,13:55,42.170,42.260,41.930,42.250,144893088.0,3441200
2025-6-30,14:00,42.260,42.380,42.250,42.290,25580948.0,604600
2025-6-30,14:05,42.320,42.630,42.310,42.630,39866868.0,938500
2025-6-30,14:10,42.620,42.620,42.420,42.440,26124166.0,614800
2025-6-30,14:15,42.460,42.520,42.360,42.390,25111726.0,591600
2025-6-30,14:20,42.380,42.430,42.320,42.370,26303020.0,620600
2025-6-30,14:25,42.390,42.420,42.350,42.360,30102082.0,710400
2025-6-30,14:30,42.390,42.540,42.370,42.500,39103456.0,921200
2025-6-30,14:35,42.500,42.590,42.500,42.590,33084772.0,777300
2025-6-30,14:40,42.600,42.680,42.550,42.640,46096964.0,1081700
2025-6-30,14:45,42.650,42.670,42.600,42.610,35269620.0,827300
2025-6-30,14:50,42.600,42.620,42.540,42.580,40503824.0,951300
2025-6-30,14:55,42.600,42.610,42.560,42.580,65717680.0,1543400
2025-6-30,15:00,42.590,42.610,42.580,42.580,62569632.0,1469300
2025-7-1,09:35,42.000,43.760,41.980,43.690,382103104.0,8902000
2025-7-1,09:40,43.720,43.860,43.200,43.490,271374272.0,6235000
2025-7-1,09:45,43.450,44.190,43.400,44.150,290370784.0,6625700
2025-7-1,09:50,44.140,44.690,44.010,44.270,292138688.0,6591300
2025-7-1,09:55,44.260,44.550,44.260,44.330,156987760.0,3533000
2025-7-1,10:00,44.310,44.360,43.840,43.960,104488520.0,2373700
2025-7-1,10:05,43.910,43.920,43.530,43.550,101761696.0,2328800
2025-7-1,10:10,43.530,43.640,43.400,43.400,82885096.0,1904100
2025-7-1,10:15,43.420,43.550,43.380,43.490,58407596.0,1343600
2025-7-1,10:20,43.420,43.430,43.300,43.390,49118072.0,1133200
2025-7-1,10:25,43.380,43.790,43.320,43.740,52098656.0,1195900
2025-7-1,10:30,43.710,43.910,43.690,43.710,40705208.0,929600
2025-7-1,10:35,43.710,43.890,43.650,43.650,39178136.0,894300
2025-7-1,10:40,43.660,43.850,43.530,43.530,27449464.0,627800
2025-7-1,10:45,43.530,43.650,43.470,43.620,25393164.0,583100
2025-7-1,10:50,43.610,43.700,43.510,43.610,19292100.0,442700
2025-7-1,10:55,43.610,43.880,43.590,43.870,27667356.0,632600
2025-7-1,11:00,43.870,43.900,43.800,43.810,24092160.0,549200
2025-7-1,11:05,43.800,43.830,43.700,43.730,17282840.0,394900
2025-7-1,11:10,43.720,43.720,43.450,43.540,29934928.0,687500
2025-7-1,11:15,43.480,43.590,43.480,43.580,20971864.0,481700
2025-7-1,11:20,43.580,43.590,43.400,43.480,33106104.0,762100
2025-7-1,11:25,43.430,43.680,43.430,43.630,25873976.0,594200
2025-7-1,11:30,43.660,43.790,43.550,43.730,13652936.0,312500
2025-7-1,13:05,43.740,43.910,43.600,43.700,42198416.0,964100
2025-7-1,13:10,43.700,44.180,43.700,44.010,54497580.0,1238200
2025-7-1,13:15,44.000,44.380,43.890,43.940,70826904.0,1604500
2025-7-1,13:20,43.940,44.060,43.800,44.010,54397796.0,1238400
2025-7-1,13:25,44.010,44.260,43.940,44.230,61547052.0,1394400
2025-7-1,13:30,44.240,44.430,44.180,44.240,75655952.0,1707200
2025-7-1,13:35,44.250,44.250,43.930,43.950,39211724.0,890300
2025-7-1,13:40,43.940,43.950,43.840,43.850,28251244.0,643600
2025-7-1,13:45,43.860,43.940,43.840,43.880,28197956.0,642600
2025-7-1,13:50,43.860,44.040,43.860,44.040,31041608.0,706500
2025-7-1,13:55,44.050,44.050,43.960,44.000,25211376.0,572900
2025-7-1,14:00,44.000,44.140,43.990,44.080,26239588.0,595600
2025-7-1,14:05,44.090,44.110,44.040,44.070,31079752.0,705100
2025-7-1,14:10,44.070,44.180,44.070,44.140,30130504.0,683200
2025-7-1,14:15,44.110,44.160,44.060,44.060,33386700.0,756700
2025-7-1,14:20,44.050,44.090,43.970,44.090,24643444.0,559800
2025-7-1,14:25,44.080,44.090,43.960,43.980,25864276.0,587700
2025-7-1,14:30,43.980,43.990,43.930,43.950,27188626.0,618500
2025-7-1,14:35,43.940,43.940,43.810,43.920,31358356.0,714900
2025-7-1,14:40,43.910,43.910,43.800,43.870,26121460.0,595700
2025-7-1,14:45,43.860,43.890,43.840,43.850,28316992.0,645500
2025-7-1,14:50,43.850,43.990,43.840,43.960,61545288.0,1401100
2025-7-1,14:55,43.950,44.120,43.940,44.080,74334336.0,1686500
2025-7-1,15:00,44.090,44.120,44.080,44.110,82385568.0,1867700
2025-7-2,09:35,43.390,43.400,42.060,42.610,343210304.0,8056400
2025-7-2,09:40,42.600,42.720,42.120,42.220,193849520.0,4581600
2025-7-2,09:45,42.230,42.450,42.140,42.290,113365288.0,2682600
2025-7-2,09:50,42.270,42.410,42.160,42.290,101374232.0,2399000
2025-7-2,09:55,42.290,42.710,42.260,42.700,64875416.0,1525500
2025-7-2,10:00,42.710,43.180,42.680,43.050,108116392.0,2516800
2025-7-2,10:05,43.050,43.190,42.900,43.110,82221128.0,1910300
2025-7-2,10:10,43.100,43.100,42.750,42.770,77751232.0,1812100
2025-7-2,10:15,42.800,43.030,42.710,42.990,42407508.0,989800
2025-7-2,10:20,43.010,43.280,42.950,43.110,49931448.0,1157200
2025-7-2,10:25,43.120,43.300,43.120,43.250,39647176.0,917700
2025-7-2,10:30,43.240,43.240,42.940,43.020,25802352.0,599000
2025-7-2,10:35,43.050,43.140,42.950,42.950,29839306.0,693200
2025-7-2,10:40,42.960,42.960,42.680,42.680,44066488.0,1028500
2025-7-2,10:45,42.720,42.760,42.590,42.710,51361920.0,1203400
2025-7-2,10:50,42.710,42.800,42.680,42.770,21399076.0,500800
2025-7-2,10:55,42.770,42.820,42.690,42.740,30821144.0,721100
2025-7-2,11:00,42.750,42.770,42.690,42.690,18524140.0,433600
2025-7-2,11:05,42.690,42.760,42.660,42.760,21573542.0,505300
2025-7-2,11:10,42.760,42.820,42.740,42.790,17799144.0,416100
2025-7-2,11:15,42.800,42.880,42.800,42.830,13802012.0,322100
2025-7-2,11:20,42.830,42.940,42.820,42.890,21726422.0,506600
2025-7-2,11:25,42.890,43.080,42.890,43.070,20920114.0,486700
2025-7-2,11:30,43.080,43.140,43.030,43.080,18058350.0,419000
2025-7-2,13:05,43.070,43.200,42.960,42.990,39231724.0,909800
2025-7-2,13:10,42.960,42.990,42.870,42.940,17275092.0,402400
2025-7-2,13:15,42.960,42.990,42.890,42.890,11033030.0,256900
2025-7-2,13:20,42.900,42.910,42.730,42.770,42129140.0,985200
2025-7-2,13:25,42.770,42.800,42.630,42.660,57309068.0,1342200
2025-7-2,13:30,42.670,42.710,42.650,42.660,23822840.0,558200
2025-7-2,13:35,42.680,42.740,42.660,42.700,19679920.0,460900
2025-7-2,13:40,42.720,42.800,42.700,42.750,22183296.0,518900
2025-7-2,13:45,42.750,42.800,42.710,42.710,15460887.0,361700
2025-7-2,13:50,42.710,42.740,42.670,42.700,28565666.0,669000
2025-7-2,13:55,42.700,42.700,42.630,42.690,19386278.0,454400
2025-7-2,14:00,42.690,42.690,42.520,42.520,33116556.0,777300
2025-7-2,14:05,42.520,42.640,42.520,42.640,50937352.0,1195900
2025-7-2,14:10,42.640,42.670,42.560,42.560,31570050.0,740800
2025-7-2,14:15,42.560,42.580,42.520,42.530,31283982.0,735200
2025-7-2,14:20,42.530,42.570,42.470,42.540,53092904.0,1249000
2025-7-2,14:25,42.540,42.550,42.430,42.500,39712360.0,934600
2025-7-2,14:30,42.500,42.560,42.470,42.470,29204904.0,687000
2025-7-2,14:35,42.480,42.610,42.470,42.560,49462888.0,1162300
2025-7-2,14:40,42.560,42.610,42.520,42.520,30520596.0,717000
2025-7-2,14:45,42.520,42.570,42.510,42.530,37499416.0,881600
2025-7-2,14:50,42.520,42.550,42.470,42.490,61306604.0,1442300
2025-7-2,14:55,42.490,42.520,42.470,42.490,72762272.0,1712300
2025-7-2,15:00,42.500,42.530,42.460,42.510,49055052.0,1154400
2025-7-3,09:35,42.910,43.660,42.900,43.430,261133200.0,6019100
2025-7-3,09:40,43.380,43.450,43.160,43.400,93599696.0,2161900
2025-7-3,09:45,43.390,43.540,43.320,43.450,103061672.0,2372000
2025-7-3,09:50,43.450,43.550,43.230,43.330,87288312.0,2012500
2025-7-3,09:55,43.320,43.320,42.980,43.180,88168144.0,2044300
2025-7-3,10:00,43.200,43.580,43.200,43.360,96060400.0,2209700
2025-7-3,10:05,43.380,43.590,43.360,43.550,70714072.0,1625300
2025-7-3,10:10,43.560,43.640,43.420,43.440,73570408.0,1689800
2025-7-3,10:15,43.440,43.500,43.280,43.280,45304444.0,1043900
2025-7-3,10:20,43.280,43.290,43.180,43.180,41317332.0,955700
2025-7-3,10:25,43.180,43.330,43.170,43.290,36932208.0,853600
2025-7-3,10:30,43.290,43.430,43.220,43.420,29959796.0,691900
2025-7-3,10:35,43.430,44.280,43.430,44.100,259038672.0,5892300
2025-7-3,10:40,44.090,44.300,44.000,44.000,132266520.0,2994500
2025-7-3,10:45,44.000,44.000,43.810,43.810,70933456.0,1615800
2025-7-3,10:50,43.800,44.170,43.730,44.150,69126096.0,1571500
2025-7-3,10:55,44.140,44.310,44.110,44.290,112997576.0,2554900
2025-7-3,11:00,44.300,44.300,44.030,44.080,91825576.0,2076600
2025-7-3,11:05,44.090,44.190,44.030,44.180,44542508.0,1009200
2025-7-3,11:10,44.180,44.280,44.110,44.280,52463448.0,1186400
2025-7-3,11:15,44.280,44.370,44.120,44.160,57139180.0,1290100
2025-7-3,11:20,44.150,44.170,44.010,44.080,28555640.0,647800
2025-7-3,11:25,44.080,44.130,44.030,44.090,19157704.0,434600
2025-7-3,11:30,44.080,44.090,43.880,43.880,34735320.0,789500
2025-7-3,13:05,43.900,44.060,43.820,44.060,44225292.0,1006500
2025-7-3,13:10,44.070,44.090,43.850,43.850,28895522.0,657700
2025-7-3,13:15,43.860,43.980,43.860,43.910,28028564.0,638000
2025-7-3,13:20,43.920,44.130,43.900,44.010,31144716.0,707500
2025-7-3,13:25,44.010,44.180,43.950,44.100,28626332.0,649200
2025-7-3,13:30,44.110,44.280,44.030,44.280,36900596.0,835700
2025-7-3,13:35,44.280,44.600,44.280,44.360,176255728.0,3966700
2025-7-3,13:40,44.350,44.350,44.030,44.150,40276136.0,912000
2025-7-3,13:45,44.130,44.290,44.080,44.240,45793536.0,1036000
2025-7-3,13:50,44.210,44.280,44.120,44.260,52288316.0,1183000
2025-7-3,13:55,44.270,44.360,44.260,44.270,55209764.0,1245600
2025-7-3,14:00,44.270,44.570,44.230,44.560,76081184.0,1713200
2025-7-3,14:05,44.550,44.680,44.360,44.490,90017416.0,2020800
2025-7-3,14:10,44.500,44.500,44.280,44.290,63066716.0,1419300
2025-7-3,14:15,44.290,44.290,44.100,44.210,57444788.0,1299700
2025-7-3,14:20,44.200,44.210,44.080,44.140,41140616.0,932100
2025-7-3,14:25,44.140,44.190,44.060,44.140,42639640.0,966100
2025-7-3,14:30,44.160,44.400,44.150,44.160,46288812.0,1046200
2025-7-3,14:35,44.180,44.350,44.180,44.270,42330840.0,956600
2025-7-3,14:40,44.280,44.460,44.270,44.460,68088920.0,1534500
2025-7-3,14:45,44.440,44.460,44.310,44.330,49558360.0,1117400
2025-7-3,14:50,44.350,44.440,44.330,44.370,67781552.0,1527400
2025-7-3,14:55,44.400,44.400,44.310,44.390,80677704.0,1818800
2025-7-3,15:00,44.400,44.420,44.360,44.410,106650912.0,2401700
2025-7-4,09:35,46.700,48.510,46.700,48.250,1062461248.0,22309700
2025-7-4,09:40,48.250,48.270,47.710,48.120,330179264.0,6865000
2025-7-4,09:45,48.130,48.370,47.760,48.110,356704896.0,7416800
2025-7-4,09:50,47.950,48.140,47.780,47.810,168710528.0,3516800
2025-7-4,09:55,47.810,47.940,47.150,47.250,203728032.0,4296600
2025-7-4,10:00,47.250,47.360,46.910,47.050,219831104.0,4673200
2025-7-4,10:05,47.050,47.730,47.050,47.700,168135200.0,3547300
2025-7-4,10:10,47.700,47.780,47.430,47.430,101598048.0,2133600
2025-7-4,10:15,47.430,47.610,47.330,47.610,60385780.0,1272400
2025-7-4,10:20,47.620,47.640,47.430,47.530,48434276.0,1018900
2025-7-4,10:25,47.500,47.680,47.390,47.430,56253504.0,1183400
2025-7-4,10:30,47.430,47.520,47.300,47.440,34278480.0,723100
2025-7-4,10:35,47.440,47.450,47.200,47.200,51476560.0,1087600
2025-7-4,10:40,47.140,47.200,46.920,47.030,90248480.0,1918400
2025-7-4,10:45,47.000,47.240,47.000,47.240,49844384.0,1057300
2025-7-4,10:50,47.230,47.320,47.180,47.220,29372998.0,621600
2025-7-4,10:55,47.220,47.330,46.970,47.000,47271716.0,1001800
2025-7-4,11:00,47.020,47.090,46.590,46.730,112186208.0,2398900
2025-7-4,11:05,46.680,47.210,46.670,47.200,57145188.0,1216500
2025-7-4,11:10,47.240,47.560,47.240,47.360,74457056.0,1569400
2025-7-4,11:15,47.400,48.010,47.350,47.990,93670960.0,1961800
2025-7-4,11:20,48.000,48.140,47.920,48.080,72117808.0,1500800
2025-7-4,11:25,48.080,48.110,47.760,48.100,42251512.0,882000
2025-7-4,11:30,48.090,48.350,48.000,48.300,89165032.0,1849900
2025-7-4,13:05,48.310,48.400,47.660,47.660,116592160.0,2424000
2025-7-4,13:10,47.680,47.830,47.610,47.700,52162964.0,1093200
2025-7-4,13:15,47.680,47.750,47.520,47.620,45813408.0,962000
2025-7-4,13:20,47.620,47.840,47.570,47.600,36873168.0,773100
2025-7-4,13:25,47.620,48.000,47.600,47.900,40078896.0,837900
2025-7-4,13:30,47.900,47.900,47.660,47.730,32787494.0,686000
2025-7-4,13:35,47.710,47.710,47.310,47.310,71375224.0,1504100
2025-7-4,13:40,47.310,47.440,47.290,47.420,37329916.0,788300
2025-7-4,13:45,47.400,47.420,47.170,47.190,30792160.0,650700
2025-7-4,13:50,47.180,47.280,47.130,47.240,58391044.0,1237400
2025-7-4,13:55,47.280,47.350,47.210,47.260,35749176.0,755900
2025-7-4,14:00,47.290,47.430,47.260,47.380,39168664.0,827600
2025-7-4,14:05,47.400,47.400,47.190,47.250,38997232.0,825100
2025-7-4,14:10,47.260,47.510,47.230,47.420,31811526.0,671600
2025-7-4,14:15,47.420,47.590,47.370,47.490,38970848.0,820900
2025-7-4,14:20,47.480,47.580,47.360,47.480,27109750.0,571400
2025-7-4,14:25,47.480,47.540,47.440,47.510,26349460.0,554900
2025-7-4,14:30,47.510,47.510,47.320,47.410,31142260.0,657200
2025-7-4,14:35,47.410,47.450,47.340,47.400,33401168.0,704600
2025-7-4,14:40,47.390,47.500,47.390,47.430,40332004.0,849800
2025-7-4,14:45,47.430,47.450,47.380,47.450,52658980.0,1110200
2025-7-4,14:50,47.430,47.430,47.280,47.280,63902012.0,1350600
2025-7-4,14:55,47.280,47.400,47.280,47.360,106044408.0,2239300
2025-7-4,15:00,47.360,47.370,47.300,47.300,105450800.0,2228200
2025-7-7,09:35,47.200,48.110,47.050,47.670,394242080.0,8275100
2025-7-7,09:40,47.700,47.700,46.820,46.920,210729456.0,4469900
2025-7-7,09:45,46.910,47.050,46.200,46.260,233750880.0,5021900
2025-7-7,09:50,46.280,46.280,45.600,45.750,232922560.0,5061200
2025-7-7,09:55,45.740,46.120,45.580,45.750,172216640.0,3760000
2025-7-7,10:00,45.710,45.820,45.300,45.320,159893024.0,3509300
2025-7-7,10:05,45.340,45.590,45.230,45.570,111394128.0,2454600
2025-7-7,10:10,45.590,46.090,45.480,45.920,84129608.0,1833600
2025-7-7,10:15,45.920,46.200,45.820,46.200,74720552.0,1622700
2025-7-7,10:20,46.220,46.360,46.040,46.350,50813112.0,1098800
2025-7-7,10:25,46.400,46.520,46.240,46.320,57269528.0,1234000
2025-7-7,10:30,46.340,46.450,46.170,46.240,48057828.0,1037700
2025-7-7,10:35,46.220,46.250,45.910,45.910,38502928.0,835900
2025-7-7,10:40,45.910,46.030,45.840,46.030,26537864.0,577900
2025-7-7,10:45,46.020,46.020,45.820,45.920,36325816.0,791300
2025-7-7,10:50,45.910,46.010,45.910,46.010,24553526.0,534000
2025-7-7,10:55,46.000,46.040,45.820,45.860,27591236.0,600800
