日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,28.360,28.600,28.130,28.200,1744837.0,61500
2024-7-1,09:40,28.190,28.280,28.070,28.100,1120400.0,39800
2024-7-1,09:45,28.090,28.220,28.000,28.040,1129421.0,40200
2024-7-1,09:50,28.080,28.090,27.970,28.060,1493212.0,53300
2024-7-1,09:55,28.050,28.150,27.950,27.980,1295049.0,46200
2024-7-1,10:00,27.980,28.020,27.910,27.970,405825.0,14500
2024-7-1,10:05,27.940,27.960,27.820,27.840,923089.0,33100
2024-7-1,10:10,27.820,27.830,27.750,27.770,1517633.0,54600
2024-7-1,10:15,27.770,27.770,27.610,27.710,975172.0,35200
2024-7-1,10:20,27.730,27.730,27.610,27.610,611003.0,22100
2024-7-1,10:25,27.620,27.690,27.580,27.600,1122426.0,40600
2024-7-1,10:30,27.580,27.690,27.580,27.690,1431232.0,51800
2024-7-1,10:35,27.690,27.790,27.690,27.770,757511.0,27300
2024-7-1,10:40,27.760,27.870,27.760,27.790,605944.0,21800
2024-7-1,10:45,27.790,27.840,27.790,27.820,169736.0,6100
2024-7-1,10:50,27.810,27.890,27.770,27.890,241988.0,8700
2024-7-1,10:55,27.880,27.920,27.820,27.920,306276.0,11000
2024-7-1,11:00,27.910,27.910,27.800,27.830,133747.0,4800
2024-7-1,11:05,27.830,27.830,27.770,27.770,286167.0,10300
2024-7-1,11:10,27.770,27.790,27.700,27.730,1197582.0,43200
2024-7-1,11:15,27.720,27.730,27.700,27.730,546263.0,19700
2024-7-1,11:20,27.700,27.870,27.700,27.830,336217.0,12100
2024-7-1,11:25,27.830,27.860,27.810,27.840,72384.0,2600
2024-7-1,11:30,27.820,27.860,27.820,27.830,105767.0,3800
2024-7-1,13:05,27.800,27.950,27.760,27.950,378714.0,13600
2024-7-1,13:10,28.000,28.000,27.880,27.880,298635.0,10700
2024-7-1,13:15,27.900,27.920,27.840,27.910,328639.0,11800
2024-7-1,13:20,27.910,28.120,27.910,28.120,395321.0,14100
2024-7-1,13:25,28.120,28.120,27.990,28.110,359144.0,12800
2024-7-1,13:30,28.050,28.080,27.990,27.990,487606.0,17400
2024-7-1,13:35,28.020,28.180,28.020,28.170,1280065.0,45600
2024-7-1,13:40,28.180,28.230,28.080,28.100,309134.0,11000
2024-7-1,13:45,28.110,28.130,28.070,28.110,174225.0,6200
2024-7-1,13:50,28.110,28.150,28.040,28.150,382079.0,13600
2024-7-1,13:55,28.200,28.200,28.070,28.070,61911.0,2200
2024-7-1,14:00,28.080,28.090,27.980,28.080,919012.0,32800
2024-7-1,14:05,28.080,28.230,27.990,28.110,421793.0,15000
2024-7-1,14:10,28.120,28.200,28.120,28.160,225380.0,8000
2024-7-1,14:15,28.160,28.160,28.070,28.070,303805.0,10800
2024-7-1,14:20,28.080,28.090,28.020,28.020,168389.0,6000
2024-7-1,14:25,28.010,28.020,27.980,27.980,232413.0,8300
