日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,8.190,8.290,8.160,8.290,2267148.0,275200
2024-7-1,09:40,8.290,8.290,8.200,8.210,1144195.0,138700
2024-7-1,09:45,8.210,8.230,8.150,8.160,1228917.0,150100
2024-7-1,09:50,8.160,8.200,8.160,8.170,632310.0,77300
2024-7-1,09:55,8.190,8.230,8.170,8.190,1060742.0,129400
2024-7-1,10:00,8.170,8.180,8.160,8.180,468288.59375,57300
2024-7-1,10:05,8.180,8.180,8.100,8.110,1355245.0,166600
2024-7-1,10:10,8.100,8.130,8.090,8.110,854037.0,105500
2024-7-1,10:15,8.090,8.100,8.070,8.080,448725.0,55500
2024-7-1,10:20,8.080,8.110,8.070,8.090,251472.0,31100
2024-7-1,10:25,8.090,8.090,8.070,8.080,190569.0,23600
2024-7-1,10:30,8.070,8.120,8.070,8.110,356542.0,44100
2024-7-1,10:35,8.090,8.110,8.090,8.090,164338.0,20300
2024-7-1,10:40,8.090,8.110,8.080,8.090,305944.0,37800
2024-7-1,10:45,8.090,8.130,8.090,8.130,647365.0,79900
2024-7-1,10:50,8.120,8.130,8.100,8.120,209337.0,25800
2024-7-1,10:55,8.110,8.130,8.100,8.130,139534.0,17200
2024-7-1,11:00,8.110,8.130,8.110,8.110,80342.0,9900
2024-7-1,11:05,8.100,8.110,8.090,8.100,370980.0,45800
2024-7-1,11:10,8.090,8.090,8.080,8.090,473207.0,58500
2024-7-1,11:15,8.090,8.120,8.090,8.100,425168.0,52500
2024-7-1,11:20,8.100,8.120,8.090,8.120,676872.0,83600
2024-7-1,11:25,8.110,8.130,8.110,8.130,153592.0,18900
2024-7-1,11:30,8.130,8.130,8.120,8.130,126774.0,15600
2024-7-1,13:05,8.130,8.140,8.090,8.130,451503.0,55600
2024-7-1,13:10,8.140,8.150,8.130,8.130,538052.0,66100
2024-7-1,13:15,8.130,8.160,8.120,8.150,176571.0,21700
2024-7-1,13:20,8.150,8.230,8.140,8.210,320562.0,39100
2024-7-1,13:25,8.210,8.210,8.190,8.210,230492.0,28100
2024-7-1,13:30,8.200,8.210,8.200,8.210,108281.0,13200
2024-7-1,13:35,8.210,8.230,8.210,8.230,313335.0,38100
2024-7-1,13:40,8.220,8.230,8.210,8.210,92805.0,11300
2024-7-1,13:45,8.210,8.220,8.200,8.210,174024.0,21200
2024-7-1,13:50,8.200,8.220,8.190,8.220,190293.0,23200
2024-7-1,13:55,8.220,8.220,8.200,8.220,198873.0,24200
2024-7-1,14:00,8.230,8.250,8.220,8.240,155629.0,18900
2024-7-1,14:05,8.230,8.250,8.230,8.250,244826.0,29700
2024-7-1,14:10,8.250,8.300,8.250,8.290,812380.0,98200
2024-7-1,14:15,8.300,8.300,8.260,8.280,233464.0,28200
2024-7-1,14:20,8.280,8.290,8.260,8.260,260417.0,31500
2024-7-1,14:25,8.250,8.260,8.230,8.230,182212.0,22100
2024-7-1,14:30,8.240,8.250,8.230,8.230,165598.0,20100
2024-7-1,14:35,8.250,8.250,8.230,8.250,159071.0,19300
2024-7-1,14:40,8.240,8.250,8.230,8.240,507410.0,61600
2024-7-1,14:45,8.240,8.250,8.230,8.240,176255.0,21400
2024-7-1,14:50,8.230,8.240,8.230,8.240,422454.0,51300
2024-7-1,14:55,8.230,8.250,8.230,8.250,656821.0,79700
2024-7-1,15:00,8.240,8.260,8.240,8.260,654528.0,79300
2024-7-2,09:35,8.240,8.280,8.210,8.260,865348.0,104900
2024-7-2,09:40,8.260,8.270,8.230,8.240,597297.0,72400
2024-7-2,09:45,8.250,8.290,8.230,8.280,890614.0,107700
2024-7-2,09:50,8.280,8.290,8.260,8.270,1208155.0,146200
2024-7-2,09:55,8.270,8.290,8.260,8.290,1000283.0,121000
2024-7-2,10:00,8.290,8.290,8.260,8.280,519096.0,62700
2024-7-2,10:05,8.270,8.270,8.230,8.250,508068.0,61600
2024-7-2,10:10,8.250,8.280,8.240,8.260,305203.0,37000
2024-7-2,10:15,8.260,8.280,8.260,8.280,271512.0,32800
