日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,16.200,16.360,16.160,16.330,7484639.0,460300
2024-7-1,09:40,16.350,16.360,16.200,16.200,5232028.0,321200
2024-7-1,09:45,16.200,16.250,16.170,16.200,2696430.0,166400
2024-7-1,09:50,16.200,16.200,16.130,16.150,2111152.0,130600
2024-7-1,09:55,16.140,16.210,16.130,16.150,1891050.0,117000
2024-7-1,10:00,16.160,16.200,16.160,16.180,457800.0,28300
2024-7-1,10:05,16.160,16.160,16.020,16.030,2504327.0,155600
2024-7-1,10:10,16.030,16.050,16.030,16.050,827446.0,51600
2024-7-1,10:15,16.060,16.070,16.000,16.010,2521914.0,157400
2024-7-1,10:20,16.010,16.040,16.000,16.040,1533881.0,95800
2024-7-1,10:25,16.040,16.040,16.020,16.020,977531.0,61000
2024-7-1,10:30,16.030,16.030,16.020,16.020,504775.0,31500
2024-7-1,10:35,16.020,16.040,16.020,16.040,596155.0,37200
2024-7-1,10:40,16.040,16.050,16.040,16.050,210209.0,13100
2024-7-1,10:45,16.050,16.130,16.050,16.110,1074965.0,66800
2024-7-1,10:50,16.110,16.130,16.100,16.110,852317.0,52900
2024-7-1,10:55,16.100,16.110,16.090,16.110,410514.0,25500
2024-7-1,11:00,16.110,16.110,16.050,16.060,901383.0,56100
2024-7-1,11:05,16.060,16.060,16.040,16.040,969338.0,60400
2024-7-1,11:10,16.030,16.040,16.030,16.040,357636.0,22300
2024-7-1,11:15,16.040,16.060,16.040,16.050,206982.0,12900
2024-7-1,11:20,16.050,16.080,16.040,16.080,589384.0,36700
2024-7-1,11:25,16.080,16.100,16.080,16.100,544006.0,33800
2024-7-1,11:30,16.100,16.110,16.080,16.100,771041.0,47900
2024-7-1,13:05,16.110,16.110,16.040,16.060,1388272.0,86400
2024-7-1,13:10,16.090,16.110,16.060,16.070,1143945.0,71100
2024-7-1,13:15,16.060,16.060,16.030,16.050,1577592.0,98300
2024-7-1,13:20,16.050,16.160,16.040,16.140,1843363.0,114400
2024-7-1,13:25,16.140,16.150,16.130,16.150,664937.0,41200
2024-7-1,13:30,16.160,16.170,16.140,16.160,757685.0,46900
2024-7-1,13:35,16.160,16.230,16.160,16.210,1905058.0,117600
2024-7-1,13:40,16.210,16.220,16.190,16.200,1575850.0,97300
2024-7-1,13:45,16.200,16.310,16.190,16.290,3267729.0,201000
2024-7-1,13:50,16.300,16.330,16.250,16.280,2980335.0,182800
2024-7-1,13:55,16.280,16.290,16.270,16.280,1221135.0,75000
2024-7-1,14:00,16.280,16.280,16.250,16.270,538430.0,33100
2024-7-1,14:05,16.270,16.320,16.270,16.300,1313738.0,80600
2024-7-1,14:10,16.310,16.350,16.310,16.330,2574425.0,157600
