日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-24,09:35,69.990,69.990,58.000,66.000,587515968.0,9019400
2024-12-24,09:40,66.000,66.000,62.900,63.000,168215504.0,2631700
2024-12-24,09:45,63.020,63.020,60.400,63.020,137417600.0,2223600
2024-12-24,09:50,63.060,63.500,60.990,61.990,93784680.0,1507600
2024-12-24,09:55,62.000,62.010,61.000,61.180,79409632.0,1290700
2024-12-24,10:00,61.160,61.160,60.860,60.860,53796804.0,881300
2024-12-24,10:05,60.820,60.820,58.290,59.010,87045600.0,1467500
2024-12-24,10:10,59.080,61.990,59.080,59.510,76270024.0,1249700
2024-12-24,10:15,59.550,61.490,59.550,60.460,44076184.0,726000
2024-12-24,10:20,60.450,61.000,60.400,60.830,37840172.0,624400
2024-12-24,10:25,60.790,60.820,60.420,60.480,26215574.0,432500
2024-12-24,10:30,60.480,60.480,59.710,60.300,28814410.0,479800
2024-12-24,10:35,60.300,60.400,59.130,59.400,23776032.0,398000
2024-12-24,10:40,59.410,60.160,59.410,59.450,22505512.0,376300
2024-12-24,10:45,59.420,60.000,59.350,59.720,20554514.0,344200
2024-12-24,10:50,59.630,60.000,59.210,59.990,26309454.0,440800
2024-12-24,10:55,59.980,59.990,59.540,59.800,15818781.0,264700
2024-12-24,11:00,59.800,59.950,59.800,59.890,15955384.0,266400
2024-12-24,11:05,59.880,59.890,59.380,59.380,12610785.0,211200
2024-12-24,11:10,59.370,59.840,59.300,59.700,17387816.0,291700
2024-12-24,11:15,59.700,59.700,59.280,59.450,14130153.0,238000
2024-12-24,11:20,59.400,59.540,59.250,59.250,13161883.0,221700
2024-12-24,11:25,59.250,59.250,58.810,58.810,18681796.0,316500
2024-12-24,11:30,58.800,59.470,58.530,59.470,27206248.0,462300
2024-12-24,13:05,59.400,59.700,58.010,58.290,35221592.0,598700
2024-12-24,13:10,58.320,58.490,58.010,58.020,18398968.0,315800
2024-12-24,13:15,58.020,58.020,56.000,56.290,36856736.0,646400
2024-12-24,13:20,56.300,58.000,56.300,56.850,20368698.0,355900
2024-12-24,13:25,56.830,56.830,55.720,55.750,22493100.0,401000
2024-12-24,13:30,55.750,56.500,55.350,55.880,36710648.0,658000
2024-12-24,13:35,55.810,55.860,55.460,55.460,18834272.0,338800
2024-12-24,13:40,55.450,55.450,53.580,54.750,33850344.0,622900
2024-12-24,13:45,54.800,55.300,53.980,54.870,28173402.0,515600
2024-12-24,13:50,54.970,54.970,54.240,54.620,18071116.0,331500
2024-12-24,13:55,54.620,54.620,53.990,54.280,18475404.0,340600
2024-12-24,14:00,54.270,54.300,54.000,54.000,17010256.0,314000
2024-12-24,14:05,54.000,54.000,53.480,53.500,18898716.0,351800
2024-12-24,14:10,53.500,53.500,52.580,52.980,31637920.0,597500
2024-12-24,14:15,53.000,56.400,53.000,56.400,39604144.0,726700
2024-12-24,14:20,56.440,59.850,54.490,57.940,44421136.0,771200
2024-12-24,14:25,57.990,58.770,56.000,57.190,22802018.0,396500
2024-12-24,14:30,57.000,57.100,56.470,56.470,15450063.0,272600
