日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,39.660,39.770,39.310,39.500,4438270.0,112300
2024-9-30,09:40,39.530,39.960,39.520,39.800,3764888.5,94500
2024-9-30,09:45,39.840,39.850,39.500,39.500,1977510.0,49800
2024-9-30,09:50,39.500,39.500,39.010,39.010,2736576.0,69800
2024-9-30,09:55,39.010,39.180,38.710,39.180,2384180.0,61300
2024-9-30,10:00,39.180,39.420,39.180,39.290,1050870.0,26700
2024-9-30,10:05,39.290,39.460,39.290,39.440,629920.0,16000
2024-9-30,10:10,39.460,39.600,39.450,39.480,1927097.0,48800
2024-9-30,10:15,39.520,39.520,39.400,39.420,323475.0,8200
2024-9-30,10:20,39.420,39.490,39.410,39.420,1897103.0,48100
2024-9-30,10:25,39.520,39.830,39.520,39.830,666201.0,16800
2024-9-30,10:30,39.830,39.940,39.830,39.870,1117474.0,28000
2024-9-30,10:35,39.870,39.890,39.630,39.770,540050.0,13600
2024-9-30,10:40,39.770,39.840,39.690,39.840,381427.0,9600
2024-9-30,10:45,39.760,39.940,39.760,39.940,466875.0,11700
2024-9-30,10:50,39.950,39.990,39.930,39.990,783203.0,19600
2024-9-30,10:55,39.990,40.170,39.990,40.140,730059.0,18200
2024-9-30,11:00,40.150,40.480,40.150,40.470,1545848.0,38300
2024-9-30,11:05,40.470,40.510,40.300,40.360,578472.0,14300
2024-9-30,11:10,40.360,40.390,40.160,40.230,688953.0,17100
2024-9-30,11:15,40.230,40.260,40.180,40.190,1363241.0,33900
2024-9-30,11:20,40.190,40.310,40.190,40.310,458485.0,11400
2024-9-30,11:25,40.300,40.360,40.300,40.360,302473.0,7500
2024-9-30,11:30,40.470,40.510,40.400,40.480,671719.0,16600
2024-9-30,13:05,40.480,41.550,40.480,41.240,4466983.0,109700
2024-9-30,13:10,41.250,42.000,41.250,42.000,2185097.0,52500
2024-9-30,13:15,41.890,41.940,41.610,41.710,564729.0,13500
2024-9-30,13:20,41.710,42.520,41.610,42.490,4509390.0,107200
2024-9-30,13:25,42.490,42.520,42.000,42.410,2417261.0,57000
2024-9-30,13:30,42.400,42.620,42.400,42.460,2180958.0,51300
2024-9-30,13:35,42.020,42.460,42.020,42.380,682948.0,16200
2024-9-30,13:40,42.280,42.380,42.280,42.380,906524.0,21400
2024-9-30,13:45,42.380,42.590,42.370,42.590,2687496.0,63300
2024-9-30,13:50,42.470,42.600,42.470,42.580,455515.0,10700
2024-9-30,13:55,42.580,42.580,42.480,42.480,301660.0,7100
2024-9-30,14:00,42.480,42.520,42.480,42.520,539717.0,12700
2024-9-30,14:05,42.550,42.690,42.550,42.690,1201597.0,28200
2024-9-30,14:10,42.690,42.740,42.690,42.740,764501.0,17900
2024-9-30,14:15,42.740,42.880,42.740,42.880,740858.0,17300
2024-9-30,14:20,42.880,42.910,42.750,42.750,3004432.0,70100
2024-9-30,14:25,42.740,42.740,42.090,42.090,1297579.0,30600
2024-9-30,14:30,42.020,42.070,41.860,42.000,1555735.0,37100
2024-9-30,14:35,41.890,42.080,41.890,41.980,650855.0,15500
2024-9-30,14:40,41.880,42.430,41.880,42.430,1619973.25,38500
2024-9-30,14:45,42.430,42.430,42.320,42.400,627555.0,14800
2024-9-30,14:50,42.400,42.500,42.400,42.500,2457805.0,57900
2024-9-30,14:55,42.500,42.620,42.500,42.620,1711708.0,40200
2024-9-30,15:00,42.630,42.800,42.630,42.760,799425.0,18700
2024-10-8,09:35,48.970,51.290,48.720,48.720,22650352.0,456600
2024-10-8,09:40,48.700,48.700,47.590,47.600,7580340.0,158200
2024-10-8,09:45,47.680,47.690,46.500,46.500,6409867.0,135300
2024-10-8,09:50,46.380,46.970,44.910,46.260,4994220.0,108200
2024-10-8,09:55,46.260,47.540,46.260,47.110,3875516.0,82300
2024-10-8,10:00,47.120,47.280,47.080,47.200,2012190.0,42700
2024-10-8,10:05,47.200,47.300,47.120,47.160,1104226.0,23400
2024-10-8,10:10,47.170,47.170,46.490,46.490,2794758.0,59500
2024-10-8,10:15,46.490,46.490,45.450,45.450,2380271.0,51800
2024-10-8,10:20,45.460,46.260,45.270,46.260,2483144.0,54600
2024-10-8,10:25,46.220,46.500,46.180,46.180,726612.0,15700
2024-10-8,10:30,46.180,46.180,45.600,45.630,1345236.0,29400
2024-10-8,10:35,45.630,45.630,45.230,45.230,1309941.0,28800
2024-10-8,10:40,45.230,45.300,43.600,43.670,2433643.0,54700
2024-10-8,10:45,43.670,45.150,43.670,45.150,1971610.0,44000
2024-10-8,10:50,45.150,45.250,44.900,44.990,1349570.0,29900
2024-10-8,10:55,45.100,45.100,44.700,44.960,904802.0,20100
2024-10-8,11:00,44.680,44.910,44.670,44.900,452692.0,10100
2024-10-8,11:05,44.720,45.090,44.720,45.090,619883.0,13800
2024-10-8,11:10,45.090,46.180,45.090,46.180,2375598.0,52300
2024-10-8,11:15,46.180,46.180,46.010,46.180,913510.0,19800
2024-10-8,11:20,46.170,46.310,46.170,46.310,267954.0,5800
2024-10-8,11:25,46.300,46.300,46.010,46.010,355254.0,7700
2024-10-8,11:30,46.010,46.020,45.540,46.000,284867.0,6200
2024-10-8,13:05,46.030,46.080,45.610,45.900,794589.0,17300
2024-10-8,13:10,45.740,46.000,45.700,45.700,614137.0,13400
2024-10-8,13:15,45.650,45.700,45.570,45.600,844289.0,18500
2024-10-8,13:20,45.680,45.680,45.560,45.560,355627.0,7800
2024-10-8,13:25,45.560,45.560,45.000,45.000,1039588.0,23000
2024-10-8,13:30,45.000,45.190,45.000,45.190,319958.0,7100
2024-10-8,13:35,45.190,45.280,45.110,45.110,438053.0,9700
2024-10-8,13:40,45.110,45.120,45.030,45.100,293112.0,6500
2024-10-8,13:45,45.000,45.200,45.000,45.110,418918.0,9300
2024-10-8,13:50,45.180,45.190,44.970,44.970,504469.0,11200
2024-10-8,13:55,45.120,45.120,44.740,44.740,618464.0,13800
2024-10-8,14:00,44.740,44.880,44.740,44.880,188319.0,4200
2024-10-8,14:05,44.880,45.680,44.880,45.600,1425136.0,31400
2024-10-8,14:10,45.230,45.700,45.230,45.260,414539.0,9100
2024-10-8,14:15,45.260,45.400,45.260,45.280,249632.0,5500
2024-10-8,14:20,45.400,45.500,45.340,45.500,322464.0,7100
2024-10-8,14:25,45.500,45.870,45.500,45.800,868189.1875,19100
2024-10-8,14:30,45.800,46.000,45.800,46.000,932048.0,20300
2024-10-8,14:35,46.000,46.300,46.000,46.300,870605.0,18900
2024-10-8,14:40,46.330,46.360,46.280,46.360,477084.0,10300
2024-10-8,14:45,46.360,46.500,46.010,46.010,1442785.0,31200
2024-10-8,14:50,46.010,46.320,46.000,46.290,913609.0,19800
2024-10-8,14:55,46.290,46.490,46.270,46.490,1245875.0,26900
2024-10-8,15:00,46.490,46.660,46.490,46.650,1118328.0,24000
2024-10-9,09:35,45.000,45.000,43.670,44.010,7699797.0,175000
2024-10-9,09:40,43.840,44.900,43.840,44.000,3032952.0,68300
2024-10-9,09:45,44.000,44.430,43.920,44.140,1887015.0,42800
2024-10-9,09:50,44.180,44.640,44.160,44.640,925713.0,20900
2024-10-9,09:55,44.640,44.780,44.510,44.510,892702.0,20000
2024-10-9,10:00,44.500,44.500,44.000,44.040,1868453.0,42200
2024-10-9,10:05,44.010,44.010,43.920,43.930,834917.0,19000
2024-10-9,10:10,43.930,44.000,43.820,43.820,1313711.0,29900
2024-10-9,10:15,43.820,43.820,43.690,43.720,1928483.0,44100
2024-10-9,10:20,43.720,43.960,43.720,43.750,1207518.0,27600
2024-10-9,10:25,43.750,43.900,43.700,43.700,748322.0,17100
2024-10-9,10:30,43.710,43.710,43.430,43.430,833764.0,19100
2024-10-9,10:35,43.270,43.270,42.800,42.800,2030881.0,47200
2024-10-9,10:40,42.800,42.800,42.650,42.650,1299501.0,30400
2024-10-9,10:45,42.650,42.970,42.530,42.760,1023924.0,24000
2024-10-9,10:50,42.760,42.940,42.760,42.830,167080.0,3900
2024-10-9,10:55,42.820,42.820,42.710,42.710,209696.0,4900
2024-10-9,11:00,42.710,42.710,42.600,42.600,362343.0,8500
2024-10-9,11:05,42.600,42.600,42.420,42.430,786083.0,18500
2024-10-9,11:10,42.430,42.450,42.020,42.020,933568.0,22100
2024-10-9,11:15,42.020,42.090,41.980,42.020,1243482.0,29600
2024-10-9,11:20,42.010,42.010,41.740,41.740,833261.0,19900
2024-10-9,11:25,41.740,41.740,41.080,41.500,1371501.0,33200
2024-10-9,11:30,41.500,42.000,41.500,42.000,495387.0,11900
2024-10-9,13:05,42.000,42.600,42.000,42.600,1038073.0,24600
2024-10-9,13:10,42.600,42.800,42.580,42.760,704726.0,16500
2024-10-9,13:15,42.730,42.760,42.700,42.700,730511.0,17100
2024-10-9,13:20,42.700,42.710,42.550,42.710,507192.0,11900
2024-10-9,13:25,42.630,42.730,42.600,42.730,605434.0,14200
2024-10-9,13:30,42.780,42.820,42.780,42.810,475076.0,11100
2024-10-9,13:35,42.810,43.080,42.800,43.070,930824.0,21700
2024-10-9,13:40,43.060,43.590,43.060,43.590,484305.0,11200
2024-10-9,13:45,43.580,43.580,43.160,43.170,368718.0,8500
