日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,30.860,30.990,30.260,30.280,124882472.0,4077300
2024-12-31,09:40,30.280,30.360,30.180,30.340,122583024.0,4052200
2024-12-31,09:45,30.400,30.490,30.130,30.260,88693288.0,2928900
2024-12-31,09:50,30.260,30.270,30.110,30.210,88743016.0,2940100
2024-12-31,09:55,30.190,30.250,30.000,30.180,88777568.0,2948700
2024-12-31,10:00,30.180,30.180,29.700,29.850,157979760.0,5287200
2024-12-31,10:05,29.850,29.900,29.760,29.900,79807216.0,2677300
2024-12-31,10:10,29.900,29.920,29.750,29.800,61907168.0,2076800
2024-12-31,10:15,29.790,29.800,29.660,29.680,100954688.0,3395500
2024-12-31,10:20,29.700,30.020,29.680,30.020,81796608.0,2744500
2024-12-31,10:25,30.010,30.010,29.760,29.760,29171346.0,976000
2024-12-31,10:30,29.770,29.960,29.750,29.960,27427716.0,918700
2024-12-31,10:35,29.960,30.000,29.750,29.770,30426840.0,1017500
2024-12-31,10:40,29.750,29.800,29.690,29.740,40499824.0,1362400
2024-12-31,10:45,29.730,29.890,29.710,29.880,32997608.0,1107500
2024-12-31,10:50,29.880,29.880,29.700,29.700,33613172.0,1128400
2024-12-31,10:55,29.700,29.740,29.590,29.700,60800364.0,2049800
2024-12-31,11:00,29.740,29.770,29.650,29.700,35751096.0,1203700
2024-12-31,11:05,29.760,29.790,29.650,29.780,43189052.0,1453900
2024-12-31,11:10,29.760,29.810,29.660,29.690,50050952.0,1683400
2024-12-31,11:15,29.690,29.770,29.650,29.670,29591628.0,996900
2024-12-31,11:20,29.670,29.740,29.650,29.660,16512021.0,556300
2024-12-31,11:25,29.660,29.850,29.650,29.850,19890962.0,669500
2024-12-31,11:30,29.850,29.860,29.660,29.680,17625782.0,592000
2024-12-31,13:05,29.730,29.850,29.680,29.750,21951462.0,738000
2024-12-31,13:10,29.760,29.830,29.480,29.480,58384608.0,1972000
2024-12-31,13:15,29.480,29.530,29.380,29.420,82763072.0,2811400
2024-12-31,13:20,29.420,29.540,29.410,29.460,32926528.0,1117300
2024-12-31,13:25,29.460,29.520,29.400,29.520,36657720.0,1245200
2024-12-31,13:30,29.510,29.510,29.420,29.460,30321104.0,1029000
2024-12-31,13:35,29.450,29.460,29.250,29.310,79684024.0,2715700
2024-12-31,13:40,29.320,29.540,29.270,29.540,40123812.0,1365500
2024-12-31,13:45,29.530,29.560,29.420,29.440,31873772.0,1082000
2024-12-31,13:50,29.440,29.640,29.400,29.630,40989900.0,1389200
2024-12-31,13:55,29.640,29.650,29.500,29.590,27642876.0,934000
2024-12-31,14:00,29.590,29.590,29.440,29.500,25042894.0,849300
2024-12-31,14:05,29.490,29.490,29.320,29.330,20340112.0,691500
2024-12-31,14:10,29.350,29.360,29.250,29.280,44974748.0,1535400
2024-12-31,14:15,29.270,29.390,29.220,29.360,38062116.0,1298900
2024-12-31,14:20,29.350,29.410,29.320,29.340,23805624.0,810700
2024-12-31,14:25,29.340,29.400,29.320,29.380,23063444.0,785400
2024-12-31,14:30,29.390,29.400,29.240,29.240,35285856.0,1203000
2024-12-31,14:35,29.240,29.470,29.240,29.400,39874508.0,1358900
2024-12-31,14:40,29.380,29.590,29.380,29.500,36442480.0,1236100
2024-12-31,14:45,29.510,29.520,29.400,29.510,34187240.0,1161000
2024-12-31,14:50,29.510,29.510,29.400,29.420,48406648.0,1644100
2024-12-31,14:55,29.430,29.430,29.280,29.300,68766960.0,2342900
2024-12-31,15:00,29.300,29.300,29.200,29.200,57575200.0,1969200
2025-1-2,09:35,29.200,30.060,28.910,29.760,231511904.0,7866500
2025-1-2,09:40,29.900,30.200,29.900,30.070,251665456.0,8366500
2025-1-2,09:45,30.000,30.210,29.870,30.100,138101408.0,4594300
2025-1-2,09:50,30.100,30.300,29.880,30.180,110192464.0,3662200
2025-1-2,09:55,30.170,30.500,30.160,30.430,164500032.0,5413400
2025-1-2,10:00,30.430,30.430,30.090,30.090,78335600.0,2585900
2025-1-2,10:05,30.120,30.220,30.010,30.200,79001328.0,2624200
2025-1-2,10:10,30.200,30.200,30.000,30.050,59868944.0,1989700
2025-1-2,10:15,30.050,30.110,29.980,30.070,66133512.0,2202600
2025-1-2,10:20,30.070,30.100,29.850,29.850,46107188.0,1535600
2025-1-2,10:25,29.850,30.090,29.800,30.000,64620600.0,2160100
2025-1-2,10:30,30.000,30.140,29.940,30.140,38544472.0,1283000
2025-1-2,10:35,30.150,30.290,30.040,30.140,48197872.0,1597800
2025-1-2,10:40,30.150,30.290,30.130,30.130,35678272.0,1179800
2025-1-2,10:45,30.160,30.170,30.010,30.070,22672840.0,753600
2025-1-2,10:50,30.060,30.100,30.000,30.010,18712482.0,622900
2025-1-2,10:55,30.020,30.360,30.000,30.190,50295648.0,1663700
2025-1-2,11:00,30.190,30.200,30.030,30.180,22915316.0,761200
2025-1-2,11:05,30.170,30.170,29.980,30.030,40198004.0,1338800
2025-1-2,11:10,30.030,30.040,29.910,29.910,31668988.0,1056100
2025-1-2,11:15,29.930,29.950,29.780,29.810,46720232.0,1565500
2025-1-2,11:20,29.810,29.900,29.700,29.730,43479804.0,1459800
2025-1-2,11:25,29.710,29.820,29.680,29.800,25182956.0,847400
2025-1-2,11:30,29.850,29.880,29.670,29.670,29358492.0,985600
2025-1-2,13:05,29.600,29.790,29.600,29.720,31058164.0,1045600
2025-1-2,13:10,29.720,29.740,29.610,29.630,27229764.0,918100
2025-1-2,13:15,29.620,29.690,29.570,29.580,36360768.0,1227800
2025-1-2,13:20,29.570,29.610,29.470,29.510,52153832.0,1765500
2025-1-2,13:25,29.510,29.590,29.450,29.550,37914864.0,1285600
2025-1-2,13:30,29.550,29.630,29.480,29.580,26020238.0,880200
2025-1-2,13:35,29.580,29.680,29.550,29.550,18632560.0,629000
2025-1-2,13:40,29.560,29.570,29.360,29.400,41414556.0,1408700
2025-1-2,13:45,29.410,29.440,29.300,29.340,36686000.0,1249900
2025-1-2,13:50,29.340,29.400,29.240,29.280,39346128.0,1343400
2025-1-2,13:55,29.280,29.300,29.180,29.290,36663512.0,1254100
2025-1-2,14:00,29.290,29.450,29.270,29.450,23291960.0,793100
2025-1-2,14:05,29.450,29.470,29.280,29.300,23083204.0,785700
2025-1-2,14:10,29.300,29.300,29.150,29.190,34444672.0,1179600
2025-1-2,14:15,29.200,29.300,29.150,29.270,64618216.0,2211600
2025-1-2,14:20,29.280,29.450,29.260,29.450,64615180.0,2203100
2025-1-2,14:25,29.430,29.850,29.430,29.840,101333016.0,3421200
2025-1-2,14:30,29.840,29.930,29.720,29.820,108579024.0,3640200
2025-1-2,14:35,29.830,29.830,29.590,29.710,76350632.0,2570100
2025-1-2,14:40,29.720,29.730,29.490,29.540,75384968.0,2548000
2025-1-2,14:45,29.550,29.700,29.510,29.650,74049040.0,2500900
2025-1-2,14:50,29.640,29.640,29.370,29.580,100417856.0,3411000
2025-1-2,14:55,29.610,29.960,29.610,29.810,111454784.0,3738100
2025-1-2,15:00,29.800,29.830,29.760,29.790,69393448.0,2329200
2025-1-3,09:35,29.560,30.390,29.490,30.290,310518912.0,10306300
2025-1-3,09:40,30.260,30.400,29.620,29.800,175968464.0,5871400
2025-1-3,09:45,29.800,29.870,29.110,29.190,124466880.0,4230700
2025-1-3,09:50,29.180,29.190,28.420,28.510,217264064.0,7554900
2025-1-3,09:55,28.510,28.890,28.400,28.820,127889768.0,4475100
2025-1-3,10:00,28.810,29.110,28.690,29.110,73018912.0,2521500
2025-1-3,10:05,29.070,29.190,28.940,28.940,54224160.0,1865300
2025-1-3,10:10,28.940,29.110,28.810,29.100,36744600.0,1269000
2025-1-3,10:15,29.110,29.310,29.080,29.150,38230488.0,1307700
2025-1-3,10:20,29.100,29.270,29.010,29.030,34870448.0,1197000
2025-1-3,10:25,29.010,29.230,28.930,29.230,34746928.0,1194600
2025-1-3,10:30,29.240,29.250,28.940,28.940,48739596.0,1673800
2025-1-3,10:35,28.940,29.380,28.940,29.380,46340320.0,1587700
2025-1-3,10:40,29.390,29.500,29.270,29.360,55217816.0,1878400
2025-1-3,10:45,29.370,29.540,29.360,29.380,32402602.0,1100400
2025-1-3,10:50,29.310,29.530,29.300,29.440,23052160.0,783500
2025-1-3,10:55,29.460,29.590,29.290,29.310,30339968.0,1031200
2025-1-3,11:00,29.330,29.460,29.330,29.400,14100831.0,479600
2025-1-3,11:05,29.340,29.470,29.340,29.380,12855099.0,437200
