日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,39.880,39.900,39.000,39.390,18706796.0,474600
2024-12-31,09:40,39.400,39.850,39.400,39.550,17725264.0,447300
2024-12-31,09:45,39.560,39.710,39.320,39.560,11154264.0,282200
2024-12-31,09:50,39.620,40.200,39.290,40.060,22743324.0,571400
2024-12-31,09:55,40.060,40.150,39.900,40.080,28161182.0,703200
2024-12-31,10:00,40.070,40.080,39.760,39.920,13965386.0,349700
2024-12-31,10:05,39.920,40.100,39.700,40.040,15252640.0,381900
2024-12-31,10:10,40.020,40.030,39.800,39.820,7988339.0,200100
2024-12-31,10:15,39.810,40.780,39.810,40.440,35878092.0,888400
2024-12-31,10:20,40.440,40.500,40.310,40.310,19878132.0,491900
2024-12-31,10:25,40.310,40.460,40.250,40.350,7104807.0,176000
2024-12-31,10:30,40.310,40.470,40.300,40.350,8678862.0,214800
2024-12-31,10:35,40.360,40.400,40.200,40.200,4156159.0,103100
2024-12-31,10:40,40.200,40.220,40.080,40.220,4832462.0,120400
2024-12-31,10:45,40.210,40.220,40.100,40.140,3637235.0,90600
2024-12-31,10:50,40.140,40.140,40.010,40.010,3515768.0,87800
2024-12-31,10:55,40.010,40.170,40.000,40.000,5108297.0,127500
2024-12-31,11:00,40.030,40.160,39.860,39.960,9628812.0,240900
2024-12-31,11:05,39.980,40.130,39.910,40.000,7505837.0,187700
2024-12-31,11:10,40.000,40.130,39.990,39.990,6112958.0,152500
2024-12-31,11:15,39.990,40.310,39.990,40.310,7153061.0,178200
2024-12-31,11:20,40.310,40.500,40.210,40.220,10956647.0,271600
2024-12-31,11:25,40.220,40.320,40.170,40.210,4263739.0,106000
2024-12-31,11:30,40.200,40.310,40.040,40.090,7503815.0,186500
2024-12-31,13:05,40.090,40.110,39.860,39.910,5913419.0,147900
2024-12-31,13:10,39.990,39.990,39.800,39.880,4303035.0,108000
2024-12-31,13:15,39.860,39.860,39.600,39.710,6461915.0,162700
2024-12-31,13:20,39.710,39.820,39.690,39.820,3164593.0,79600
2024-12-31,13:25,39.820,40.000,39.760,39.950,5892640.0,147900
2024-12-31,13:30,40.000,40.080,39.950,40.040,5815449.0,145300
2024-12-31,13:35,40.040,40.050,39.810,40.000,6403980.0,160200
2024-12-31,13:40,40.000,40.310,39.920,40.270,11556416.0,288000
2024-12-31,13:45,40.280,40.680,40.010,40.060,26324118.0,651400
2024-12-31,13:50,40.200,40.300,40.080,40.150,6557655.0,163000
2024-12-31,13:55,40.150,40.150,40.070,40.090,6036360.0,150500
2024-12-31,14:00,40.080,40.320,40.070,40.300,7547427.0,187700
2024-12-31,14:05,40.300,40.300,40.160,40.160,7396197.0,184000
2024-12-31,14:10,40.150,40.150,39.740,39.840,9041189.0,226500
2024-12-31,14:15,39.840,39.900,39.570,39.700,12783440.0,322100
2024-12-31,14:20,39.710,39.890,39.710,39.750,6828544.0,171600
2024-12-31,14:25,39.750,39.950,39.720,39.950,8676139.0,217700
2024-12-31,14:30,39.910,39.950,39.720,39.720,8202388.0,206100
2024-12-31,14:35,39.720,39.720,39.500,39.650,12076970.0,304800
2024-12-31,14:40,39.690,39.690,39.580,39.690,7169014.0,181000
2024-12-31,14:45,39.690,39.790,39.610,39.610,7165927.0,180700
2024-12-31,14:50,39.590,39.610,39.460,39.460,11744740.0,297200
2024-12-31,14:55,39.460,39.690,39.320,39.320,21295880.0,538700
2024-12-31,15:00,39.320,39.320,39.080,39.080,17037440.0,434700
2025-1-2,09:35,38.550,38.550,37.680,37.960,64951688.0,1703800
2025-1-2,09:40,38.000,38.690,37.930,38.170,25298526.0,661600
2025-1-2,09:45,38.200,38.300,37.910,38.220,13448857.0,353000
2025-1-2,09:50,38.210,38.430,38.050,38.390,10598540.0,277500
2025-1-2,09:55,38.360,39.060,38.360,39.020,14461145.0,372900
2025-1-2,10:00,39.020,39.610,39.020,39.580,24876800.0,631900
2025-1-2,10:05,39.620,39.980,39.350,39.910,27070896.0,682200
2025-1-2,10:10,39.960,39.990,39.540,39.890,19188496.0,481700
2025-1-2,10:15,39.890,39.900,39.570,39.570,16634351.0,417500
2025-1-2,10:20,39.580,39.900,39.530,39.890,11043864.0,278400
2025-1-2,10:25,39.890,39.940,39.810,39.940,8619953.0,216100
2025-1-2,10:30,39.940,40.350,39.920,40.340,19975398.0,498000
2025-1-2,10:35,40.340,40.960,40.340,40.490,33234108.0,818100
2025-1-2,10:40,40.540,40.540,40.150,40.150,11898511.0,294700
2025-1-2,10:45,40.150,40.540,40.010,40.540,10362125.0,257500
2025-1-2,10:50,40.550,40.780,40.400,40.780,15439039.0,380000
2025-1-2,10:55,40.780,41.000,40.780,40.800,29264868.0,715300
2025-1-2,11:00,40.770,40.840,40.530,40.690,8554647.0,209900
2025-1-2,11:05,40.830,40.830,40.500,40.530,5630863.0,138500
2025-1-2,11:10,40.540,40.650,40.320,40.450,9212894.0,227400
2025-1-2,11:15,40.440,40.490,40.200,40.260,7253604.0,179700
2025-1-2,11:20,40.260,40.330,39.950,40.090,10925883.0,272200
2025-1-2,11:25,40.000,40.080,39.800,39.800,8539269.0,213800
2025-1-2,11:30,39.770,40.060,39.770,40.050,4340627.0,108800
2025-1-2,13:05,40.060,40.200,39.890,39.980,5434926.0,135700
2025-1-2,13:10,40.000,40.010,39.600,39.600,6286703.0,158100
2025-1-2,13:15,39.620,39.920,39.610,39.910,3941567.0,99200
2025-1-2,13:20,39.900,39.900,39.750,39.770,1807127.0,45400
2025-1-2,13:25,39.770,39.790,39.740,39.750,3482983.0,87600
2025-1-2,13:30,39.760,40.040,39.620,40.040,11752075.0,295900
2025-1-2,13:35,40.040,40.200,39.820,39.950,5547413.0,138400
2025-1-2,13:40,39.960,39.990,39.750,39.750,2788932.0,69900
2025-1-2,13:45,39.700,39.860,39.580,39.770,4574038.0,115300
2025-1-2,13:50,39.760,39.770,39.660,39.700,2858964.0,72000
2025-1-2,13:55,39.680,39.700,39.480,39.490,5766452.0,145800
2025-1-2,14:00,39.490,39.980,39.490,39.960,5351291.0,134700
2025-1-2,14:05,39.960,39.980,39.710,39.710,3225613.0,80900
2025-1-2,14:10,39.700,39.700,39.570,39.590,2903497.0,73300
2025-1-2,14:15,39.580,39.730,39.520,39.520,3862166.0,97600
2025-1-2,14:20,39.520,39.520,39.240,39.470,7493907.0,190200
2025-1-2,14:25,39.470,39.730,39.400,39.730,3879331.0,98300
2025-1-2,14:30,39.730,39.840,39.500,39.550,6571926.0,165600
2025-1-2,14:35,39.500,39.550,39.380,39.380,4233868.0,107300
2025-1-2,14:40,39.380,39.380,39.090,39.100,10930188.0,279000
2025-1-2,14:45,39.100,39.150,39.030,39.100,7550383.0,193100
2025-1-2,14:50,39.100,39.170,39.000,39.150,12718030.0,325400
2025-1-2,14:55,39.140,39.480,39.140,39.440,11208967.0,285200
2025-1-2,15:00,39.450,39.510,39.440,39.510,14331382.0,362900
2025-1-3,09:35,39.070,39.290,38.150,38.320,53280688.0,1382800
2025-1-3,09:40,38.330,38.440,37.600,37.600,51733560.0,1361400
2025-1-3,09:45,37.570,38.020,37.250,37.500,39557728.0,1053300
2025-1-3,09:50,37.550,37.550,36.360,36.510,59572320.0,1616100
2025-1-3,09:55,36.580,37.370,36.580,37.100,31027048.0,841300
2025-1-3,10:00,37.000,37.200,36.820,37.200,15881624.0,429700
2025-1-3,10:05,37.200,37.500,37.010,37.150,10606039.0,284700
2025-1-3,10:10,37.150,37.450,37.030,37.450,15506504.0,417400
2025-1-3,10:15,37.450,37.480,37.110,37.220,8336888.0,223500
2025-1-3,10:20,37.220,37.370,37.010,37.030,11087196.0,298400
2025-1-3,10:25,37.020,37.920,37.000,37.670,20103944.0,536300
2025-1-3,10:30,37.700,37.920,37.700,37.790,20152208.0,532100
2025-1-3,10:35,37.790,38.020,37.750,38.020,15885573.0,419600
2025-1-3,10:40,38.020,38.090,37.670,37.680,11903542.0,313400
2025-1-3,10:45,37.680,37.680,37.150,37.150,7461092.0,199400
2025-1-3,10:50,37.140,37.290,37.100,37.220,6714973.0,180700
