日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,33.110,33.560,33.040,33.450,6549180.0,197000
2024-12-31,09:40,33.450,33.450,33.020,33.150,3144998.0,94600
2024-12-31,09:45,33.170,33.280,33.090,33.150,1844628.0,55600
2024-12-31,09:50,33.190,33.520,32.960,33.470,3663965.0,110400
2024-12-31,09:55,33.530,34.000,33.270,33.350,3711348.0,110500
2024-12-31,10:00,33.390,33.390,32.860,32.910,2261573.0,68300
2024-12-31,10:05,33.000,33.420,32.960,33.390,1599777.0,48200
2024-12-31,10:10,33.450,33.860,33.400,33.850,4473704.0,132800
2024-12-31,10:15,33.920,34.460,33.760,34.370,11248160.0,329800
2024-12-31,10:20,34.350,34.970,34.290,34.910,14473592.0,417500
2024-12-31,10:25,34.930,34.930,34.490,34.660,5730256.0,165000
2024-12-31,10:30,34.620,35.170,34.590,34.890,11165675.0,319300
2024-12-31,10:35,34.930,34.930,34.230,34.260,2970928.0,86000
2024-12-31,10:40,34.330,34.370,33.820,33.920,4261040.0,124900
2024-12-31,10:45,33.900,33.920,33.810,33.860,1304350.0,38500
2024-12-31,10:50,33.870,34.010,33.840,33.930,1530825.0,45100
2024-12-31,10:55,33.930,34.090,33.810,33.810,1435242.0,42300
2024-12-31,11:00,33.810,33.870,33.710,33.760,1597548.5,47300
2024-12-31,11:05,33.760,34.000,33.730,34.000,1715279.0,50700
2024-12-31,11:10,34.000,34.100,33.810,33.970,2490777.0,73300
2024-12-31,11:15,33.900,34.020,33.900,33.960,845881.0,24900
2024-12-31,11:20,33.920,34.520,33.920,34.220,4259530.0,124400
2024-12-31,11:25,34.310,34.700,34.310,34.580,3647863.0,105500
2024-12-31,11:30,34.640,34.990,34.500,34.570,4144322.0,119200
2024-12-31,13:05,34.490,34.640,34.130,34.240,2442761.0,70900
2024-12-31,13:10,34.200,34.270,34.110,34.120,1224723.0,35800
2024-12-31,13:15,34.120,34.120,34.020,34.020,548678.0,16100
2024-12-31,13:20,34.090,34.270,34.070,34.240,1532629.0,44900
2024-12-31,13:25,34.230,34.670,34.230,34.590,4207612.0,122100
2024-12-31,13:30,34.540,34.550,34.130,34.230,1697576.0,49400
2024-12-31,13:35,34.220,34.300,34.220,34.220,938386.0,27400
2024-12-31,13:40,34.220,34.300,34.160,34.300,1569779.0,45900
2024-12-31,13:45,34.300,34.350,34.190,34.190,1123574.0,32800
2024-12-31,13:50,34.200,34.200,33.950,34.120,3823666.0,112200
2024-12-31,13:55,34.200,34.330,34.110,34.160,1603340.0,46900
2024-12-31,14:00,34.250,34.250,34.100,34.110,813487.0,23800
2024-12-31,14:05,34.110,34.110,34.000,34.080,1015568.0,29800
2024-12-31,14:10,34.050,34.150,33.950,33.990,880909.0,25900
2024-12-31,14:15,33.980,33.980,33.900,33.910,903195.0,26600
2024-12-31,14:20,33.940,34.020,33.940,33.980,907502.0,26700
2024-12-31,14:25,33.920,34.070,33.920,34.000,672981.0,19800
