日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,48.500,49.500,48.500,48.990,4192022.0,85600
2024-12-31,09:40,48.990,49.000,48.400,48.580,5158852.0,106000
2024-12-31,09:45,48.570,48.570,47.560,48.250,11970314.0,248500
2024-12-31,09:50,48.460,48.460,48.010,48.240,3122677.0,64800
2024-12-31,09:55,48.240,48.240,47.730,48.080,5146512.0,107300
2024-12-31,10:00,48.080,48.260,47.980,48.170,1891164.0,39300
2024-12-31,10:05,48.030,48.320,48.030,48.270,1349235.0,28000
2024-12-31,10:10,48.320,48.440,48.290,48.360,1252424.0,25900
2024-12-31,10:15,48.360,48.640,48.360,48.550,688870.0,14200
2024-12-31,10:20,48.570,48.840,48.540,48.780,1340041.0,27500
2024-12-31,10:25,48.700,48.800,48.500,48.500,2283050.5,46900
2024-12-31,10:30,48.480,48.550,48.440,48.550,1232718.0,25400
2024-12-31,10:35,48.680,48.790,48.550,48.580,836904.0,17200
2024-12-31,10:40,48.550,48.550,48.420,48.450,596582.0,12300
2024-12-31,10:45,48.530,48.790,48.420,48.640,1048528.0,21600
2024-12-31,10:50,48.640,48.640,48.410,48.430,906680.0,18700
2024-12-31,10:55,48.430,48.530,48.410,48.410,1355675.0,28000
2024-12-31,11:00,48.380,48.380,48.220,48.300,1293182.0,26800
2024-12-31,11:05,48.300,48.300,47.860,48.040,4052349.0,84400
2024-12-31,11:10,47.920,48.300,47.920,48.300,2241999.0,46700
2024-12-31,11:15,48.300,48.300,48.050,48.220,1131950.0,23500
2024-12-31,11:20,48.210,48.470,48.150,48.240,1309583.0,27100
2024-12-31,11:25,48.200,48.340,48.000,48.110,2552278.0,53000
2024-12-31,11:30,48.140,48.550,48.130,48.160,1062530.0,22000
2024-12-31,13:05,48.220,48.590,48.090,48.590,825236.0,17100
2024-12-31,13:10,48.540,48.540,48.290,48.310,396857.0,8200
2024-12-31,13:15,48.280,48.350,48.270,48.290,314094.0,6500
2024-12-31,13:20,48.280,48.290,48.150,48.150,626832.0,13000
2024-12-31,13:25,48.150,48.240,48.150,48.240,611745.0,12700
2024-12-31,13:30,48.370,48.370,48.300,48.300,546251.0,11300
2024-12-31,13:35,48.300,48.300,48.000,48.000,3474810.0,72300
2024-12-31,13:40,48.000,48.090,48.000,48.090,855381.0,17800
2024-12-31,13:45,48.090,48.200,48.080,48.090,187726.0,3900
2024-12-31,13:50,48.090,48.280,48.090,48.280,192788.0,4000
2024-12-31,13:55,48.280,48.300,48.100,48.110,462508.0,9600
2024-12-31,14:00,48.120,48.240,48.120,48.240,77112.0,1600
2024-12-31,14:05,48.160,48.210,48.120,48.210,202202.0,4200
2024-12-31,14:10,48.140,48.140,47.940,47.950,2229217.0,46400
2024-12-31,14:15,47.950,48.040,47.940,48.040,1587441.0,33100
2024-12-31,14:20,48.100,48.450,47.940,47.990,1775590.0,36800
2024-12-31,14:25,48.180,48.260,48.030,48.260,1286135.0,26700
2024-12-31,14:30,48.180,48.280,48.050,48.050,757170.0,15700
2024-12-31,14:35,48.090,48.390,48.050,48.210,940415.0,19500
2024-12-31,14:40,48.120,48.280,48.120,48.280,611747.0,12700
2024-12-31,14:45,48.280,48.280,48.090,48.220,1257572.0,26100
2024-12-31,14:50,48.230,48.430,48.210,48.230,2349168.0,48600
2024-12-31,14:55,48.230,48.230,47.990,47.990,1197881.0,24900
2024-12-31,15:00,47.990,48.090,47.910,48.000,974653.0,20300
2025-1-2,09:35,47.660,48.210,47.660,47.990,2948703.0,61500
2025-1-2,09:40,47.990,48.440,47.980,48.440,2598160.0,54000
2025-1-2,09:45,48.170,49.000,48.170,48.480,6769041.0,139400
2025-1-2,09:50,48.380,48.900,48.270,48.900,3823183.0,78600
2025-1-2,09:55,48.900,49.130,48.650,48.800,15188987.0,310700
2025-1-2,10:00,48.800,49.070,48.690,48.690,6903352.0,141000
2025-1-2,10:05,48.980,49.090,48.790,49.000,15618273.0,319100
2025-1-2,10:10,48.960,49.440,48.900,49.440,9573904.0,195000
2025-1-2,10:15,49.220,49.240,48.950,48.960,7248302.0,147500
2025-1-2,10:20,49.070,49.200,48.990,49.190,3340697.0,68000
2025-1-2,10:25,49.260,49.440,49.190,49.380,10460583.0,212100
2025-1-2,10:30,49.380,49.380,49.030,49.030,1018971.0,20700
2025-1-2,10:35,49.030,49.180,49.030,49.130,835118.0,17000
2025-1-2,10:40,49.120,49.140,48.880,48.930,843301.0,17200
2025-1-2,10:45,48.810,48.930,48.720,48.720,1717555.0,35200
2025-1-2,10:50,48.740,48.860,48.740,48.770,307165.0,6300
