日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,23.310,23.500,22.320,22.460,16860716.0,742400
2025-3-31,09:40,22.460,22.570,22.030,22.270,9117764.0,409100
2025-3-31,09:45,22.220,22.360,22.050,22.350,6844793.0,308100
2025-3-31,09:50,22.310,22.760,22.280,22.660,5836526.0,258200
2025-3-31,09:55,22.630,22.660,22.450,22.480,3585131.0,158900
2025-3-31,10:00,22.480,22.700,22.410,22.590,3057587.0,135600
2025-3-31,10:05,22.590,22.700,22.550,22.580,1381650.0,61100
2025-3-31,10:10,22.570,22.600,22.500,22.520,1836610.0,81400
2025-3-31,10:15,22.530,22.530,22.300,22.300,1997123.0,89200
2025-3-31,10:20,22.310,22.310,22.180,22.200,3279747.0,147500
2025-3-31,10:25,22.190,22.210,22.130,22.130,2411626.0,108900
2025-3-31,10:30,22.100,22.120,22.050,22.050,1972064.0,89300
2025-3-31,10:35,22.060,22.160,22.060,22.150,2496055.0,113000
2025-3-31,10:40,22.150,22.240,22.120,22.190,1183301.0,53400
2025-3-31,10:45,22.190,22.190,22.100,22.150,1738898.0,78500
2025-3-31,10:50,22.160,22.200,22.090,22.100,1251162.0,56500
2025-3-31,10:55,22.080,22.130,22.080,22.110,1060444.0,48000
2025-3-31,11:00,22.110,22.190,22.100,22.180,631906.0,28500
2025-3-31,11:05,22.180,22.250,22.150,22.190,863341.0,38900
2025-3-31,11:10,22.170,22.200,22.130,22.180,780412.0,35200
2025-3-31,11:15,22.170,22.260,22.150,22.240,437104.0,19700
2025-3-31,11:20,22.250,22.340,22.230,22.330,940578.0,42200
2025-3-31,11:25,22.320,22.340,22.110,22.130,1202767.0,54200
2025-3-31,11:30,22.120,22.130,22.110,22.130,539798.0,24400
2025-3-31,13:05,22.130,22.500,22.130,22.500,2031362.25,91200
2025-3-31,13:10,22.500,22.500,22.380,22.420,446508.0,19900
2025-3-31,13:15,22.460,22.550,22.400,22.550,1826957.0,81300
2025-3-31,13:20,22.560,22.590,22.440,22.440,436940.0,19400
2025-3-31,13:25,22.430,22.570,22.410,22.550,1077237.0,48000
2025-3-31,13:30,22.520,22.550,22.480,22.480,229515.0,10200
2025-3-31,13:35,22.470,22.480,22.420,22.440,1213951.0,54100
2025-3-31,13:40,22.420,22.540,22.420,22.530,631499.0,28100
2025-3-31,13:45,22.530,22.530,22.440,22.440,872333.0,38800
2025-3-31,13:50,22.430,22.430,22.370,22.370,768298.0,34300
2025-3-31,13:55,22.370,22.420,22.340,22.400,356230.9375,16000
2025-3-31,14:00,22.390,22.390,22.330,22.380,566006.0,25300
2025-3-31,14:05,22.380,22.480,22.360,22.480,712004.0,31800
2025-3-31,14:10,22.450,22.570,22.450,22.570,335271.0,14900
2025-3-31,14:15,22.570,22.730,22.570,22.730,1364024.0,60200
2025-3-31,14:20,22.760,22.860,22.750,22.820,2048652.0,89800
2025-3-31,14:25,22.810,22.970,22.800,22.860,1641477.0,71800
2025-3-31,14:30,22.850,22.870,22.760,22.760,921984.0,40400
2025-3-31,14:35,22.770,22.870,22.770,22.860,1033561.0,45200
2025-3-31,14:40,22.830,22.890,22.820,22.820,831793.0,36400
2025-3-31,14:45,22.820,22.860,22.730,22.850,1490020.0,65300
2025-3-31,14:50,22.840,22.870,22.780,22.870,968375.0,42400
2025-3-31,14:55,22.850,22.930,22.740,22.820,1873626.0,82000
2025-3-31,15:00,22.820,22.850,22.820,22.850,918081.0,40200
2025-4-1,09:35,23.310,23.620,22.880,23.220,7143931.0,308300
2025-4-1,09:40,23.220,23.220,22.990,22.990,2558793.0,110900
2025-4-1,09:45,22.970,22.970,22.780,22.920,2410971.0,105500
2025-4-1,09:50,22.930,22.990,22.770,22.800,4447458.0,194400
2025-4-1,09:55,22.810,22.850,22.720,22.780,997540.8125,43800
2025-4-1,10:00,22.780,22.810,22.710,22.770,1112728.0,48900
2025-4-1,10:05,22.810,22.840,22.740,22.820,1041020.1875,45700
2025-4-1,10:10,22.820,22.870,22.790,22.870,384924.59375,16900
2025-4-1,10:15,22.870,22.930,22.810,22.930,1108463.375,48500
2025-4-1,10:20,22.930,22.990,22.880,22.930,1867643.0,81400
2025-4-1,10:25,22.930,22.990,22.920,22.980,1499889.25,65400
2025-4-1,10:30,22.970,23.020,22.930,22.940,997326.0,43400
2025-4-1,10:35,22.940,22.960,22.890,22.920,1574956.0,68700
2025-4-1,10:40,22.910,22.910,22.850,22.870,613151.0,26800
2025-4-1,10:45,22.870,22.870,22.790,22.800,1904279.0,83500
2025-4-1,10:50,22.800,22.850,22.750,22.850,1014860.0,44500
2025-4-1,10:55,22.860,22.860,22.800,22.850,349317.0,15300
2025-4-1,11:00,22.840,22.840,22.780,22.790,638876.0,28000
2025-4-1,11:05,22.770,22.800,22.750,22.800,289276.0,12700
2025-4-1,11:10,22.790,22.790,22.740,22.740,402851.0,17700
2025-4-1,11:15,22.750,22.750,22.670,22.670,715063.0,31500
2025-4-1,11:20,22.670,22.710,22.640,22.680,1027206.0,45300
2025-4-1,11:25,22.680,22.780,22.670,22.770,1173852.0,51600
2025-4-1,11:30,22.770,22.820,22.760,22.810,419084.0,18400
2025-4-1,13:05,22.810,22.900,22.780,22.790,1663616.0,72900
2025-4-1,13:10,22.780,22.780,22.630,22.660,1144131.25,50400
2025-4-1,13:15,22.650,22.680,22.640,22.680,844690.0,37300
2025-4-1,13:20,22.680,22.700,22.630,22.670,738553.0,32600
2025-4-1,13:25,22.650,22.650,22.610,22.610,513537.1875,22700
2025-4-1,13:30,22.610,22.640,22.590,22.590,487586.59375,21600
2025-4-1,13:35,22.590,22.630,22.560,22.630,1687289.0,74700
2025-4-1,13:40,22.610,22.630,22.550,22.550,846717.0,37500
2025-4-1,13:45,22.560,22.570,22.550,22.570,392575.0,17400
2025-4-1,13:50,22.590,22.630,22.560,22.590,927706.8125,41000
2025-4-1,13:55,22.590,22.620,22.580,22.620,526472.0,23300
2025-4-1,14:00,22.620,22.620,22.590,22.590,306773.84375,13600
2025-4-1,14:05,22.620,22.630,22.580,22.580,363899.0,16100
2025-4-1,14:10,22.580,22.640,22.550,22.630,763362.0,33800
2025-4-1,14:15,22.600,22.610,22.500,22.530,1426302.0,63300
2025-4-1,14:20,22.530,22.560,22.520,22.540,538671.0,23900
2025-4-1,14:25,22.540,22.570,22.530,22.570,362893.0,16100
2025-4-1,14:30,22.550,22.590,22.520,22.570,687648.0,30500
2025-4-1,14:35,22.560,22.620,22.560,22.580,662079.0,29300
2025-4-1,14:40,22.580,22.750,22.580,22.750,1237030.5,54600
2025-4-1,14:45,22.720,22.720,22.650,22.680,507737.0,22400
2025-4-1,14:50,22.690,22.700,22.650,22.700,793361.0,35000
2025-4-1,14:55,22.720,22.850,22.670,22.770,2165449.5,95100
2025-4-1,15:00,22.760,22.770,22.640,22.640,1514647.75,66800
2025-4-2,09:35,22.560,23.000,22.560,22.900,6256779.0,273900
2025-4-2,09:40,22.910,23.150,22.830,23.060,4160627.5,181000
2025-4-2,09:45,23.020,23.120,22.990,23.010,5574861.0,241700
2025-4-2,09:50,22.990,23.080,22.930,23.080,2319618.0,100900
2025-4-2,09:55,23.080,23.220,23.060,23.140,2575547.25,111200
2025-4-2,10:00,23.180,23.380,23.140,23.350,5060692.0,217600
2025-4-2,10:05,23.320,23.410,23.160,23.160,2700476.0,115700
2025-4-2,10:10,23.140,23.220,23.140,23.140,1026138.0,44300
2025-4-2,10:15,23.130,23.160,23.080,23.100,1220474.0,52800
2025-4-2,10:20,23.100,23.210,23.070,23.210,1750253.25,75700
2025-4-2,10:25,23.200,23.250,23.180,23.250,1016445.0,43800
2025-4-2,10:30,23.250,23.330,23.250,23.250,1460639.0,62700
2025-4-2,10:35,23.260,23.330,23.250,23.300,1713674.0,73600
2025-4-2,10:40,23.300,23.300,23.230,23.240,1254425.0,53900
2025-4-2,10:45,23.240,23.330,23.220,23.330,1327761.0,57100
2025-4-2,10:50,23.340,23.350,23.260,23.270,666545.0,28600
2025-4-2,10:55,23.270,23.290,23.240,23.260,428050.0,18400
2025-4-2,11:00,23.290,23.370,23.280,23.310,977281.0,41900
2025-4-2,11:05,23.330,23.330,23.250,23.250,468067.0,20100
2025-4-2,11:10,23.250,23.260,23.210,23.210,236954.0,10200
2025-4-2,11:15,23.210,23.330,23.210,23.280,460765.0,19800
2025-4-2,11:20,23.280,23.280,23.210,23.210,432568.0,18600
2025-4-2,11:25,23.190,23.220,23.170,23.210,480090.0,20700
2025-4-2,11:30,23.190,23.200,23.150,23.150,470284.0,20300
2025-4-2,13:05,23.150,23.150,23.100,23.100,650148.0,28100
2025-4-2,13:10,23.100,23.100,23.040,23.050,420073.0,18200
2025-4-2,13:15,23.030,23.070,22.990,23.060,1387996.0,60300
2025-4-2,13:20,23.060,23.080,23.050,23.050,332068.0,14400
2025-4-2,13:25,23.050,23.060,23.000,23.010,1354946.0,58800
2025-4-2,13:30,23.010,23.020,23.010,23.010,306118.0,13300
2025-4-2,13:35,23.000,23.000,22.960,22.960,604571.0,26300
2025-4-2,13:40,22.960,22.960,22.930,22.940,773424.0,33700
2025-4-2,13:45,22.940,23.030,22.900,23.030,1877808.0,81900
2025-4-2,13:50,23.010,23.040,22.970,23.020,287720.0,12500
2025-4-2,13:55,23.040,23.040,23.020,23.020,412152.0,17900
2025-4-2,14:00,23.030,23.030,22.980,23.000,600623.0,26100
2025-4-2,14:05,23.000,23.020,22.970,22.980,409378.0,17800
2025-4-2,14:10,22.980,22.990,22.960,22.970,172268.0,7500
2025-4-2,14:15,22.980,22.980,22.920,22.980,683878.0,29800
2025-4-2,14:20,22.990,23.010,22.970,22.990,464497.0,20200
2025-4-2,14:25,22.990,23.010,22.950,22.990,399936.0,17400
2025-4-2,14:30,22.990,22.990,22.960,22.970,114877.0,5000
2025-4-2,14:35,22.970,23.000,22.920,22.920,720765.0,31400
2025-4-2,14:40,22.920,22.960,22.880,22.900,588931.0,25700
2025-4-2,14:45,22.890,22.940,22.890,22.920,794191.875,34600
2025-4-2,14:50,22.930,22.960,22.910,22.940,1434445.375,62500
2025-4-2,14:55,22.970,22.970,22.910,22.910,1448926.0,63200
2025-4-2,15:00,22.920,22.950,22.910,22.950,1101038.0,48000
2025-4-3,09:35,22.630,22.940,22.630,22.850,4748533.5,208800
2025-4-3,09:40,22.880,22.960,22.720,22.950,3079743.0,135200
2025-4-3,09:45,23.110,23.110,22.870,22.920,1578542.0,68800
2025-4-3,09:50,22.920,22.960,22.850,22.910,1418242.0,61900
2025-4-3,09:55,22.910,22.960,22.760,22.810,2772651.0,121100
2025-4-3,10:00,22.810,22.830,22.760,22.790,1104777.125,48400
2025-4-3,10:05,22.790,22.790,22.660,22.670,1681540.0,74000
2025-4-3,10:10,22.670,22.670,22.560,22.610,2512672.0,111300
2025-4-3,10:15,22.610,22.650,22.600,22.640,678718.0,30000
2025-4-3,10:20,22.640,22.640,22.470,22.560,1999484.375,88700
2025-4-3,10:25,22.560,22.590,22.530,22.530,600120.0,26600
2025-4-3,10:30,22.530,22.670,22.530,22.600,504128.0,22300
2025-4-3,10:35,22.600,22.600,22.560,22.560,406261.0,18000
2025-4-3,10:40,22.560,22.590,22.520,22.540,619957.0,27500
2025-4-3,10:45,22.540,22.610,22.530,22.590,891572.0,39500
2025-4-3,10:50,22.590,22.620,22.580,22.580,628035.0,27800
2025-4-3,10:55,22.560,22.570,22.360,22.400,1910220.0,85000
2025-4-3,11:00,22.360,22.380,22.330,22.360,858865.0,38400
2025-4-3,11:05,22.370,22.370,22.320,22.330,571944.0,25600
2025-4-3,11:10,22.300,22.350,22.290,22.350,437379.0,19600
2025-4-3,11:15,22.350,22.350,22.220,22.260,1798435.0,80800
2025-4-3,11:20,22.250,22.300,22.200,22.210,809434.0,36400
2025-4-3,11:25,22.210,22.230,22.140,22.150,849698.625,38300
2025-4-3,11:30,22.140,22.170,22.100,22.140,1251386.0,56600
2025-4-3,13:05,22.150,22.160,22.080,22.080,993531.0,44900
2025-4-3,13:10,22.060,22.060,21.960,21.980,1827022.0,83000
2025-4-3,13:15,21.990,22.070,21.990,22.020,339011.0,15400
2025-4-3,13:20,22.060,22.070,22.000,22.050,764482.0,34700
2025-4-3,13:25,22.050,22.100,22.030,22.040,353128.0,16000
2025-4-3,13:30,22.030,22.130,22.030,22.130,282697.0,12800
2025-4-3,13:35,22.160,22.180,22.070,22.180,772272.0,34900
2025-4-3,13:40,22.170,22.190,22.100,22.180,323304.0,14600
2025-4-3,13:45,22.220,22.220,22.100,22.100,498522.0,22500
2025-4-3,13:50,22.080,22.180,22.060,22.160,199219.0,9000
2025-4-3,13:55,22.160,22.240,22.160,22.240,626252.0,28200
2025-4-3,14:00,22.230,22.250,22.160,22.210,557174.0,25100
2025-4-3,14:05,22.220,22.340,22.210,22.260,616928.0,27700
