日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,41.010,41.300,39.000,39.190,77006832.0,1926300
2025-3-31,09:40,39.340,39.670,39.100,39.500,37367560.0,948300
2025-3-31,09:45,39.550,39.880,39.270,39.790,23705702.0,599700
2025-3-31,09:50,39.760,39.960,39.600,39.640,15187802.0,382100
2025-3-31,09:55,39.610,39.900,39.560,39.860,10314867.0,259800
2025-3-31,10:00,39.860,40.130,39.740,40.030,10174565.0,254800
2025-3-31,10:05,40.010,40.010,39.680,39.700,10934990.0,274400
2025-3-31,10:10,39.690,39.740,39.390,39.390,15987066.0,404700
2025-3-31,10:15,39.390,39.440,39.180,39.180,13392820.0,341000
2025-3-31,10:20,39.230,39.230,39.080,39.130,15396711.0,393500
2025-3-31,10:25,39.130,39.200,39.000,39.060,18798810.0,481100
2025-3-31,10:30,39.060,39.190,38.990,38.990,10937866.0,280000
2025-3-31,10:35,39.000,39.220,38.990,39.200,12878094.0,329600
2025-3-31,10:40,39.180,39.330,38.980,39.010,7232253.0,185100
2025-3-31,10:45,39.010,39.110,38.930,39.030,9228326.0,236600
2025-3-31,10:50,39.050,39.080,38.970,39.010,5620115.0,144100
2025-3-31,10:55,39.020,39.060,38.770,38.910,14474830.0,371900
2025-3-31,11:00,38.870,39.000,38.720,38.990,37745600.0,971700
2025-3-31,11:05,38.990,39.200,38.880,39.040,43454492.0,1114900
2025-3-31,11:10,39.030,39.080,38.870,38.950,3523617.0,90400
2025-3-31,11:15,38.950,39.090,38.920,39.070,4057402.5,104100
2025-3-31,11:20,39.050,39.200,39.000,39.100,5953669.0,152200
2025-3-31,11:25,39.080,39.090,38.800,38.890,7144692.5,183500
2025-3-31,11:30,38.870,39.150,38.810,39.070,4062894.0,104300
2025-3-31,13:05,39.070,39.700,39.030,39.640,9703033.0,246600
2025-3-31,13:10,39.700,39.800,39.510,39.740,6866022.0,173300
2025-3-31,13:15,39.680,39.800,39.460,39.590,9769601.0,246500
2025-3-31,13:20,39.570,39.680,39.330,39.360,5654530.0,143300
2025-3-31,13:25,39.350,39.370,39.250,39.340,4612970.0,117400
2025-3-31,13:30,39.330,39.330,39.120,39.190,4351699.0,111000
2025-3-31,13:35,39.200,39.390,39.120,39.390,9849133.0,251100
2025-3-31,13:40,39.350,39.450,39.290,39.400,7509557.0,190800
2025-3-31,13:45,39.400,39.510,39.340,39.340,5133060.0,130200
2025-3-31,13:50,39.340,39.380,39.260,39.290,4490149.0,114200
2025-3-31,13:55,39.300,39.500,39.250,39.400,12426613.0,315900
2025-3-31,14:00,39.400,39.400,39.200,39.270,4143728.0,105500
2025-3-31,14:05,39.310,39.400,39.210,39.380,6371101.0,162200
2025-3-31,14:10,39.390,40.000,39.390,40.000,18154140.0,457100
2025-3-31,14:15,40.000,40.120,39.940,40.020,9400345.0,234900
2025-3-31,14:20,40.020,40.170,39.980,40.000,13444923.0,335600
2025-3-31,14:25,40.050,40.140,39.920,40.000,7433240.0,185700
2025-3-31,14:30,40.000,40.040,39.860,39.880,5847808.5,146400
2025-3-31,14:35,39.890,40.090,39.890,39.990,7603268.0,190200
2025-3-31,14:40,39.990,40.080,39.950,40.010,4814160.0,120300
2025-3-31,14:45,40.010,40.020,39.890,39.990,4821671.0,120700
2025-3-31,14:50,39.940,40.040,39.900,40.010,7658738.0,191500
2025-3-31,14:55,39.990,40.020,39.920,39.990,9759630.0,244100
2025-3-31,15:00,40.000,40.010,39.950,39.960,8582275.0,214700
2025-4-1,09:35,40.320,41.240,40.000,40.500,38034400.0,937500
2025-4-1,09:40,40.460,40.460,39.900,39.900,17600972.0,438500
2025-4-1,09:45,39.900,39.970,39.770,39.900,14154574.0,355100
2025-4-1,09:50,39.800,39.890,39.700,39.830,8968148.0,225300
2025-4-1,09:55,39.830,39.900,39.700,39.740,5131729.0,129000
2025-4-1,10:00,39.820,39.820,39.600,39.750,6269165.0,158000
2025-4-1,10:05,39.690,39.800,39.580,39.640,7083663.0,178600
2025-4-1,10:10,39.620,39.770,39.610,39.640,4632731.0,116800
2025-4-1,10:15,39.640,39.930,39.510,39.820,8912396.0,224700
2025-4-1,10:20,39.790,39.850,39.610,39.680,4542877.0,114300
2025-4-1,10:25,39.660,39.830,39.650,39.800,4882489.0,123000
2025-4-1,10:30,39.800,39.830,39.650,39.730,4608080.0,116000
2025-4-1,10:35,39.730,39.800,39.560,39.770,5210435.0,131400
2025-4-1,10:40,39.770,39.880,39.740,39.840,3558908.0,89400
2025-4-1,10:45,39.840,39.890,39.720,39.760,6013061.0,151100
2025-4-1,10:50,39.730,39.730,39.520,39.600,5191495.0,131100
2025-4-1,10:55,39.590,39.590,39.300,39.480,10230127.0,259500
2025-4-1,11:00,39.460,39.600,39.420,39.500,3594799.0,91000
2025-4-1,11:05,39.500,39.540,39.400,39.420,5854096.0,148400
2025-4-1,11:10,39.480,39.500,39.370,39.440,2794720.0,70900
2025-4-1,11:15,39.420,39.510,39.390,39.480,3729307.0,94600
2025-4-1,11:20,39.480,39.550,39.400,39.460,2270495.0,57500
2025-4-1,11:25,39.520,39.590,39.500,39.540,5652621.0,143000
2025-4-1,11:30,39.500,39.530,39.410,39.430,1633641.0,41400
2025-4-1,13:05,39.470,39.500,39.240,39.270,5290096.0,134300
2025-4-1,13:10,39.290,39.300,39.150,39.180,5872920.0,149800
2025-4-1,13:15,39.180,39.200,39.110,39.120,7939218.0,202800
2025-4-1,13:20,39.160,39.190,39.010,39.140,7643586.0,195400
2025-4-1,13:25,39.170,39.190,39.080,39.080,4273248.0,109200
2025-4-1,13:30,39.090,39.150,39.070,39.100,6716922.0,171800
2025-4-1,13:35,39.140,39.200,38.930,38.960,13670740.0,350300
2025-4-1,13:40,38.960,38.990,38.930,38.980,7619976.0,195600
2025-4-1,13:45,38.990,39.050,38.960,39.030,5138256.0,131800
2025-4-1,13:50,39.030,39.130,39.010,39.080,5371193.0,137500
2025-4-1,13:55,39.120,39.120,39.010,39.050,4603953.0,117900
2025-4-1,14:00,39.070,39.080,38.990,39.040,4892540.0,125400
2025-4-1,14:05,39.030,39.180,39.000,39.020,7203431.0,184400
2025-4-1,14:10,39.010,39.060,38.880,38.990,9986333.0,256400
2025-4-1,14:15,38.990,38.990,38.710,38.800,9765267.0,251600
2025-4-1,14:20,38.800,38.860,38.710,38.760,11060013.0,285300
2025-4-1,14:25,38.820,38.860,38.670,38.740,8920698.0,230200
2025-4-1,14:30,38.740,38.820,38.650,38.790,9683889.0,250100
2025-4-1,14:35,38.770,38.930,38.770,38.910,6746790.0,173700
2025-4-1,14:40,38.910,39.050,38.840,39.010,8804655.0,225900
