日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,19.000,19.350,18.680,18.950,28499724.0,1494600
2025-6-30,09:40,18.940,18.940,18.750,18.780,3191306.0,169500
2025-6-30,09:45,18.770,18.810,18.600,18.710,8157480.0,436100
2025-6-30,09:50,18.720,18.880,18.650,18.740,10714303.0,570200
2025-6-30,09:55,18.740,19.040,18.740,19.020,3405860.0,180300
2025-6-30,10:00,19.010,19.050,18.960,18.960,2641783.0,138900
2025-6-30,10:05,18.990,19.150,18.960,19.080,2991488.0,156900
2025-6-30,10:10,19.060,19.220,19.010,19.160,3596113.0,188000
2025-6-30,10:15,19.160,19.390,19.160,19.240,3713242.0,192600
2025-6-30,10:20,19.240,19.240,19.180,19.220,821785.0,42800
2025-6-30,10:25,19.240,19.270,19.210,19.230,892724.0,46400
2025-6-30,10:30,19.200,19.320,19.180,19.310,1203937.0,62500
2025-6-30,10:35,19.320,19.320,19.270,19.280,1495356.0,77500
2025-6-30,10:40,19.280,19.340,19.250,19.290,1618721.0,83800
2025-6-30,10:45,19.260,19.310,19.260,19.300,325928.0,16900
2025-6-30,10:50,19.300,19.450,19.300,19.390,2725583.0,140700
2025-6-30,10:55,19.390,19.390,19.350,19.360,670231.0,34600
2025-6-30,11:00,19.360,19.370,19.300,19.370,1449603.0,74900
2025-6-30,11:05,19.360,19.380,19.340,19.340,1730362.0,89400
2025-6-30,11:10,19.340,19.360,19.320,19.330,469920.0,24300
2025-6-30,11:15,19.330,19.330,19.280,19.280,523559.0,27100
2025-6-30,11:20,19.290,19.290,19.230,19.240,696639.0,36200
2025-6-30,11:25,19.240,19.310,19.240,19.290,759686.0,39400
2025-6-30,11:30,19.290,19.310,19.270,19.290,848658.0,44000
2025-6-30,13:05,19.290,19.310,19.180,19.220,1450001.0,75300
2025-6-30,13:10,19.210,19.240,19.150,19.160,1122382.0,58500
2025-6-30,13:15,19.150,19.150,18.990,19.010,3718809.0,195100
2025-6-30,13:20,18.970,19.000,18.900,18.980,3377821.0,178300
2025-6-30,13:25,18.980,19.000,18.970,19.000,728868.0,38400
2025-6-30,13:30,19.000,19.020,18.990,19.020,459911.0,24200
2025-6-30,13:35,19.020,19.020,18.980,19.010,1098190.0,57800
2025-6-30,13:40,19.020,19.030,18.910,18.930,2043151.0,107800
2025-6-30,13:45,18.930,18.970,18.910,18.910,895439.0,47300
2025-6-30,13:50,18.910,18.940,18.860,18.870,1804779.0,95500
2025-6-30,13:55,18.870,18.950,18.850,18.930,1160968.0,61500
2025-6-30,14:00,18.960,18.980,18.930,18.960,456976.0,24100
2025-6-30,14:05,18.960,19.000,18.960,18.990,501082.0,26400
2025-6-30,14:10,19.000,19.000,18.950,18.960,660690.0,34800
2025-6-30,14:15,18.970,18.990,18.950,18.990,369821.0,19500
2025-6-30,14:20,18.980,19.110,18.980,19.080,1293104.0,67900
2025-6-30,14:25,19.110,19.190,19.090,19.180,1558540.0,81400
2025-6-30,14:30,19.170,19.170,19.140,19.150,371673.0,19400
2025-6-30,14:35,19.160,19.170,19.120,19.160,834513.0,43600
2025-6-30,14:40,19.160,19.170,19.110,19.170,1148268.0,60000
2025-6-30,14:45,19.160,19.200,19.140,19.180,2372580.0,123800
2025-6-30,14:50,19.170,19.190,19.150,19.150,1036808.0,54100
2025-6-30,14:55,19.140,19.240,19.130,19.200,3404907.0,177600
2025-6-30,15:00,19.180,19.250,19.180,19.250,2167357.0,112700
2025-7-1,09:35,19.370,19.490,19.270,19.490,10739427.0,554400
2025-7-1,09:40,19.500,19.640,19.370,19.380,5578705.0,285900
2025-7-1,09:45,19.380,19.390,19.220,19.300,2839416.0,147100
2025-7-1,09:50,19.330,19.680,19.290,19.620,5259966.0,269400
2025-7-1,09:55,19.570,19.630,19.530,19.630,1883054.0,96100
2025-7-1,10:00,19.640,19.660,19.540,19.600,1777105.0,90600
2025-7-1,10:05,19.600,19.600,19.420,19.430,1418927.0,72700
2025-7-1,10:10,19.420,19.420,19.350,19.350,1107157.0,57100
2025-7-1,10:15,19.340,19.360,19.340,19.340,663558.0,34300
2025-7-1,10:20,19.330,19.330,19.270,19.300,1391331.0,72100
2025-7-1,10:25,19.310,19.370,19.260,19.320,1526943.0,79100
2025-7-1,10:30,19.320,19.390,19.320,19.360,832481.0,43000
2025-7-1,10:35,19.360,19.360,19.270,19.280,1540483.0,79800
2025-7-1,10:40,19.250,19.300,19.250,19.270,1222084.0,63400
2025-7-1,10:45,19.270,19.320,19.270,19.320,705905.0,36600
2025-7-1,10:50,19.320,19.350,19.320,19.340,605013.0,31300
2025-7-1,10:55,19.320,19.370,19.320,19.370,723898.0,37400
2025-7-1,11:00,19.350,19.390,19.350,19.380,400950.0,20700
2025-7-1,11:05,19.380,19.380,19.310,19.320,404216.0,20900
2025-7-1,11:10,19.340,19.340,19.300,19.300,421264.0,21800
2025-7-1,11:15,19.300,19.300,19.270,19.300,570906.0,29600
2025-7-1,11:20,19.300,19.310,19.270,19.280,871773.0,45200
2025-7-1,11:25,19.300,19.360,19.300,19.350,803709.0,41600
2025-7-1,11:30,19.350,19.380,19.300,19.360,498981.0,25800
2025-7-1,13:05,19.360,19.490,19.360,19.410,891125.0,45900
