日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,37.640,38.550,37.010,37.500,80849464.0,2153700
2025-6-30,09:40,37.560,38.200,37.250,37.680,23809928.0,631100
2025-6-30,09:45,37.610,37.910,37.370,37.370,17463710.0,464000
2025-6-30,09:50,37.400,37.460,37.120,37.120,15081034.0,404600
2025-6-30,09:55,37.110,37.110,36.880,36.950,26388276.0,712800
2025-6-30,10:00,36.970,37.290,36.940,37.130,10347122.0,278700
2025-6-30,10:05,37.130,37.150,37.050,37.090,7543754.5,203400
2025-6-30,10:10,37.090,37.090,36.800,37.000,16778908.0,454700
2025-6-30,10:15,37.000,37.100,37.000,37.010,5462060.0,147500
2025-6-30,10:20,37.000,37.010,36.940,36.950,6186368.0,167300
2025-6-30,10:25,36.950,37.300,36.940,37.300,12161908.0,328300
2025-6-30,10:30,37.300,38.030,37.300,37.950,16779700.0,444400
2025-6-30,10:35,37.940,37.940,37.600,37.880,5380265.0,142400
2025-6-30,10:40,37.900,37.910,37.420,37.700,4455157.5,118000
2025-6-30,10:45,37.700,37.770,37.620,37.770,2588320.5,68600
2025-6-30,10:50,37.770,37.770,37.550,37.560,3162896.25,84100
2025-6-30,10:55,37.560,37.560,37.400,37.470,2356872.5,62800
2025-6-30,11:00,37.480,37.590,37.430,37.510,1886827.125,50300
2025-6-30,11:05,37.510,37.510,37.450,37.460,1072132.0,28600
2025-6-30,11:10,37.460,37.480,37.310,37.330,3052825.75,81700
2025-6-30,11:15,37.320,37.730,37.310,37.730,2703789.5,72000
2025-6-30,11:20,37.730,37.830,37.620,37.660,2302914.75,61000
2025-6-30,11:25,37.650,37.830,37.500,37.670,2743251.5,72900
2025-6-30,11:30,37.670,37.680,37.560,37.590,732492.375,19400
2025-6-30,13:05,37.620,37.790,37.240,37.250,7164233.0,191400
2025-6-30,13:10,37.270,38.390,37.200,38.190,15939728.0,418700
2025-6-30,13:15,38.010,38.500,38.010,38.190,5689880.0,148600
2025-6-30,13:20,38.130,38.200,37.810,38.040,3000556.0,78900
2025-6-30,13:25,38.100,38.190,38.080,38.160,3388083.5,88900
2025-6-30,13:30,38.140,38.230,38.140,38.180,2489756.0,65200
2025-6-30,13:35,38.180,38.190,38.000,38.190,5372736.0,140900
2025-6-30,13:40,38.190,38.190,37.810,38.180,3043563.0,79900
2025-6-30,13:45,38.180,38.200,37.950,37.950,2248390.0,58900
2025-6-30,13:50,37.800,38.010,37.600,38.010,5410117.0,142800
2025-6-30,13:55,38.020,38.070,37.800,37.850,5390175.0,141900
2025-6-30,14:00,37.870,38.080,37.870,38.050,1814539.625,47700
2025-6-30,14:05,38.060,38.300,38.060,38.300,2404089.5,63000
2025-6-30,14:10,38.300,38.300,38.080,38.230,5235365.0,137100
2025-6-30,14:15,38.210,38.420,38.210,38.420,5399807.0,141000
2025-6-30,14:20,38.420,39.040,38.420,39.040,13672252.0,352400
2025-6-30,14:25,39.040,40.990,39.040,40.990,26854232.0,671000
2025-6-30,14:30,40.990,41.000,39.670,40.090,13744549.0,341400
2025-6-30,14:35,40.100,40.420,39.950,40.210,8485491.0,211500
2025-6-30,14:40,40.210,40.210,39.740,39.750,5755849.5,143600
2025-6-30,14:45,39.750,40.010,39.710,40.000,3244347.0,81400
2025-6-30,14:50,39.980,39.980,39.690,39.760,4538473.0,114000
2025-6-30,14:55,39.760,39.990,39.730,39.970,4835570.0,121300
2025-6-30,15:00,39.950,39.990,39.920,39.920,8746598.0,219100
2025-7-1,09:35,38.550,39.120,38.550,38.580,29377804.0,759100
2025-7-1,09:40,38.600,38.870,38.600,38.840,12151388.0,313500
2025-7-1,09:45,38.840,38.870,38.500,38.510,14410405.0,372200
2025-7-1,09:50,38.500,38.510,38.210,38.330,13477032.0,351000
2025-7-1,09:55,38.330,38.500,38.260,38.410,7259196.0,189300
2025-7-1,10:00,38.410,38.410,38.220,38.220,7521311.0,196000
2025-7-1,10:05,38.220,38.220,38.030,38.180,12478056.0,327200
2025-7-1,10:10,38.170,38.220,38.020,38.190,8338894.0,218800
2025-7-1,10:15,38.410,38.550,38.290,38.380,6656554.0,173200
2025-7-1,10:20,38.450,38.450,38.340,38.440,3487099.0,90800
2025-7-1,10:25,38.440,38.490,38.250,38.250,5597259.0,145700
2025-7-1,10:30,38.240,38.450,38.000,38.380,13967071.0,365800
2025-7-1,10:35,38.000,38.390,37.970,38.000,14006835.0,368100
2025-7-1,10:40,37.990,38.210,37.860,37.890,7883885.5,207500
2025-7-1,10:45,37.900,37.980,37.820,37.850,5089715.0,134400
2025-7-1,10:50,37.860,37.900,37.750,37.750,7019871.0,185500
2025-7-1,10:55,37.750,37.750,37.580,37.600,9168527.0,243700
2025-7-1,11:00,37.600,37.820,37.600,37.710,3907422.5,103500
2025-7-1,11:05,37.700,37.850,37.650,37.820,3257607.25,86400
2025-7-1,11:10,37.830,37.960,37.700,37.720,3789802.0,100300
2025-7-1,11:15,37.720,37.990,37.720,37.930,2270612.0,60000
2025-7-1,11:20,37.920,37.930,37.720,37.730,3459754.0,91500
2025-7-1,11:25,37.720,37.780,37.710,37.780,2308958.5,61200
2025-7-1,11:30,37.780,38.070,37.780,37.970,3584857.0,94300
2025-7-1,13:05,37.970,38.120,37.870,38.120,5031285.0,132600
2025-7-1,13:10,38.140,38.150,38.000,38.080,2770813.25,72700
2025-7-1,13:15,38.070,38.070,37.950,37.950,2629096.0,69100
2025-7-1,13:20,37.960,38.040,37.890,38.030,1502760.0,39600
2025-7-1,13:25,38.030,38.030,37.770,37.810,5311636.0,140300
2025-7-1,13:30,37.810,37.990,37.800,37.990,3049595.75,80500
2025-7-1,13:35,37.990,38.020,37.940,37.980,2138516.0,56300
2025-7-1,13:40,37.980,38.020,37.950,37.960,3379686.5,89000
2025-7-1,13:45,37.960,37.970,37.870,37.910,3936082.0,103800
2025-7-1,13:50,37.910,37.990,37.910,37.990,2019393.0,53200
