日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,16.350,16.500,16.310,16.360,9503179.0,579500
2024-1-2,09:40,16.350,16.430,16.310,16.330,3557969.0,217500
2024-1-2,09:45,16.340,16.390,16.330,16.340,3434198.0,210100
2024-1-2,09:50,16.330,16.350,16.280,16.280,4167459.0,255600
2024-1-2,09:55,16.280,16.300,16.220,16.230,2602978.0,160000
2024-1-2,10:00,16.250,16.260,16.200,16.240,4486768.0,276600
2024-1-2,10:05,16.230,16.320,16.230,16.320,2609237.0,160300
2024-1-2,10:10,16.300,16.310,16.270,16.280,1941630.0,119200
2024-1-2,10:15,16.270,16.290,16.240,16.290,1785740.0,109800
2024-1-2,10:20,16.280,16.320,16.270,16.320,1290721.0,79200
2024-1-2,10:25,16.320,16.450,16.320,16.450,4171261.0,254800
2024-1-2,10:30,16.480,16.480,16.420,16.430,2600203.0,158100
2024-1-2,10:35,16.440,16.440,16.370,16.390,1223325.0,74600
2024-1-2,10:40,16.400,16.410,16.370,16.370,1029258.0,62800
2024-1-2,10:45,16.370,16.410,16.360,16.400,714562.0,43600
2024-1-2,10:50,16.400,16.400,16.360,16.360,810770.0,49500
2024-1-2,10:55,16.370,16.370,16.330,16.350,1281682.0,78400
2024-1-2,11:00,16.340,16.390,16.340,16.380,486072.0,29700
2024-1-2,11:05,16.380,16.410,16.370,16.400,919860.0,56100
2024-1-2,11:10,16.410,16.450,16.410,16.450,1153242.0,70200
2024-1-2,11:15,16.450,16.470,16.440,16.460,1303654.0,79200
2024-1-2,11:20,16.480,16.490,16.470,16.490,1279094.0,77600
2024-1-2,11:25,16.480,16.540,16.440,16.500,3303791.0,200500
2024-1-2,11:30,16.480,16.540,16.420,16.480,1940453.0,117500
2024-1-2,13:05,16.460,16.500,16.430,16.490,1399648.0,85000
2024-1-2,13:10,16.470,16.490,16.440,16.450,958636.5625,58300
2024-1-2,13:15,16.450,16.480,16.430,16.440,998787.0,60700
2024-1-2,13:20,16.460,16.480,16.430,16.450,949763.0,57700
2024-1-2,13:25,16.460,16.480,16.440,16.480,1002802.0,60900
2024-1-2,13:30,16.450,16.480,16.450,16.460,884402.0,53700
2024-1-2,13:35,16.470,16.470,16.410,16.450,1581292.0,96200
2024-1-2,13:40,16.450,16.470,16.440,16.470,478867.0,29100
2024-1-2,13:45,16.460,16.460,16.440,16.440,802815.0,48800
2024-1-2,13:50,16.460,16.460,16.440,16.450,529657.0,32200
2024-1-2,13:55,16.440,16.460,16.420,16.440,1926428.0,117200
2024-1-2,14:00,16.430,16.450,16.410,16.420,1164830.0,70900
2024-1-2,14:05,16.420,16.430,16.380,16.380,992249.0,60500
2024-1-2,14:10,16.380,16.440,16.380,16.430,1169310.875,71200
2024-1-2,14:15,16.410,16.450,16.400,16.450,1016870.0,61900
2024-1-2,14:20,16.440,16.460,16.420,16.420,1500463.0,91300
2024-1-2,14:25,16.420,16.440,16.400,16.410,934203.0,56900
2024-1-2,14:30,16.410,16.420,16.380,16.400,1340140.0,81700
2024-1-2,14:35,16.410,16.440,16.410,16.420,1384682.0,84300
2024-1-2,14:40,16.430,16.430,16.400,16.400,1593736.0,97100
2024-1-2,14:45,16.410,16.420,16.380,16.390,1829531.375,111600
2024-1-2,14:50,16.390,16.390,16.360,16.370,1868699.0,114100
2024-1-2,14:55,16.360,16.370,16.340,16.350,2524928.0,154400
2024-1-2,15:00,16.350,16.390,16.340,16.390,1230968.0,75200
2024-1-3,09:35,16.300,16.360,16.220,16.300,6892358.0,423400
2024-1-3,09:40,16.290,16.320,16.250,16.280,2350176.0,144300
2024-1-3,09:45,16.280,16.300,16.240,16.270,3040096.0,186900
2024-1-3,09:50,16.270,16.350,16.250,16.330,2206392.0,135400
2024-1-3,09:55,16.330,16.370,16.310,16.330,2579830.5,157900
2024-1-3,10:00,16.330,16.330,16.230,16.240,2339650.0,143900
2024-1-3,10:05,16.250,16.290,16.230,16.240,1988758.0,122400
2024-1-3,10:10,16.240,16.250,16.150,16.160,4428140.0,273400
2024-1-3,10:15,16.160,16.160,16.120,16.140,3178013.0,196900
2024-1-3,10:20,16.140,16.150,16.100,16.120,2750434.0,170600
2024-1-3,10:25,16.120,16.120,16.070,16.100,4332600.0,269200
2024-1-3,10:30,16.100,16.160,16.080,16.120,2099342.0,130400
2024-1-3,10:35,16.120,16.170,16.100,16.160,1328946.0,82400
2024-1-3,10:40,16.160,16.210,16.080,16.100,5645335.0,349600
2024-1-3,10:45,16.100,16.130,15.980,15.990,11616781.0,724600
2024-1-3,10:50,15.990,16.020,15.970,16.010,4131620.0,258300
2024-1-3,10:55,16.020,16.040,15.990,16.000,3249423.0,203000
2024-1-3,11:00,16.020,16.100,16.000,16.090,2161114.75,134700
2024-1-3,11:05,16.080,16.080,16.030,16.030,1364356.0,85000
2024-1-3,11:10,16.030,16.030,16.010,16.010,881169.375,55000
2024-1-3,11:15,16.010,16.010,15.970,15.980,3305619.25,206700
2024-1-3,11:20,15.990,15.990,15.970,15.980,1339215.0,83800
2024-1-3,11:25,15.990,16.000,15.980,15.980,1533225.0,95900
2024-1-3,11:30,15.980,15.990,15.960,15.970,875244.0,54800
2024-1-3,13:05,15.970,15.970,15.850,15.880,4212099.0,264700
2024-1-3,13:10,15.870,15.890,15.850,15.870,1378883.0,86900
2024-1-3,13:15,15.860,15.900,15.830,15.840,1465615.0,92400
2024-1-3,13:20,15.830,15.920,15.830,15.890,2972361.0,187200
2024-1-3,13:25,15.890,15.900,15.840,15.880,1551449.0,97700
2024-1-3,13:30,15.890,15.900,15.860,15.860,819162.0,51600
2024-1-3,13:35,15.870,15.920,15.850,15.890,1112818.0,70100
2024-1-3,13:40,15.890,15.970,15.880,15.890,1618982.0,101700
2024-1-3,13:45,15.890,15.890,15.860,15.880,688933.0,43400
2024-1-3,13:50,15.880,15.900,15.860,15.890,641522.0,40400
2024-1-3,13:55,15.900,15.900,15.870,15.880,913301.0,57500
2024-1-3,14:00,15.880,15.900,15.860,15.880,1189282.0,74900
2024-1-3,14:05,15.890,15.900,15.860,15.890,568411.0,35800
2024-1-3,14:10,15.900,15.940,15.900,15.940,1214455.0,76300
2024-1-3,14:15,15.920,15.960,15.920,15.950,1174904.0,73700
2024-1-3,14:20,15.940,16.060,15.940,16.040,2642722.0,165100
2024-1-3,14:25,16.040,16.080,16.030,16.030,2532334.0,157700
2024-1-3,14:30,16.060,16.100,16.060,16.090,1561662.0,97100
2024-1-3,14:35,16.090,16.100,16.050,16.060,961403.0,59800
2024-1-3,14:40,16.060,16.060,16.010,16.050,941634.0,58700
2024-1-3,14:45,16.050,16.070,16.020,16.060,988810.0,61600
2024-1-3,14:50,16.070,16.080,16.040,16.060,1346000.0,83800
2024-1-3,14:55,16.060,16.070,16.040,16.060,873333.0,54400
2024-1-3,15:00,16.070,16.090,16.070,16.080,1773544.0,110300
2024-1-4,09:35,16.090,16.120,15.910,15.960,4918072.0,307200
2024-1-4,09:40,15.930,15.970,15.900,15.930,2634973.0,165400
2024-1-4,09:45,15.940,15.970,15.890,15.970,2195960.0,137900
2024-1-4,09:50,15.960,15.990,15.950,15.960,1991703.0,124800
2024-1-4,09:55,15.980,16.050,15.960,16.050,1647024.0,102900
2024-1-4,10:00,16.030,16.060,15.990,16.020,1393450.0,87000
2024-1-4,10:05,16.020,16.030,15.960,15.980,955105.0,59700
2024-1-4,10:10,15.980,15.990,15.960,15.980,420147.0,26300
