日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,71.580,72.120,71.030,71.240,36254796.0,506300
2024-1-2,09:40,71.220,71.220,70.580,70.870,12256522.0,173100
2024-1-2,09:45,70.920,71.200,70.870,71.150,7507762.0,105700
2024-1-2,09:50,71.150,71.590,70.820,70.920,18127574.0,254500
2024-1-2,09:55,70.880,71.000,70.510,70.570,9585428.0,135500
2024-1-2,10:00,70.580,71.220,70.400,71.190,5458267.0,77200
2024-1-2,10:05,71.190,72.130,71.000,72.080,25965266.0,361800
2024-1-2,10:10,72.080,72.410,71.700,71.760,19547852.0,271100
2024-1-2,10:15,71.720,71.900,71.590,71.860,9568283.0,133400
2024-1-2,10:20,71.860,72.000,71.690,71.980,5920035.0,82400
2024-1-2,10:25,71.910,72.290,71.800,72.000,8544553.0,118600
2024-1-2,10:30,72.000,72.000,71.540,71.550,5405676.0,75300
2024-1-2,10:35,71.550,71.550,71.270,71.300,4954783.0,69400
2024-1-2,10:40,71.300,71.360,71.140,71.220,3568356.0,50100
2024-1-2,10:45,71.250,71.340,71.190,71.190,1595911.0,22400
2024-1-2,10:50,71.190,71.200,70.850,71.050,4175880.5,58800
2024-1-2,10:55,71.050,71.090,70.770,70.770,3436683.0,48500
2024-1-2,11:00,70.770,70.870,70.710,70.740,3665482.0,51800
2024-1-2,11:05,70.740,70.970,70.740,70.770,3074283.0,43400
2024-1-2,11:10,70.760,70.900,70.690,70.810,3516232.0,49700
2024-1-2,11:15,70.800,70.950,70.710,70.770,2202374.0,31100
2024-1-2,11:20,70.950,71.050,70.820,71.000,3037807.0,42800
2024-1-2,11:25,70.950,70.960,70.640,70.830,4473332.0,63200
2024-1-2,11:30,70.850,70.940,70.800,70.900,1453005.0,20500
2024-1-2,13:05,70.890,70.890,70.770,70.890,1721429.0,24300
2024-1-2,13:10,70.930,70.980,70.850,70.850,2935863.0,41400
2024-1-2,13:15,70.890,70.940,70.890,70.920,2042540.0,28800
2024-1-2,13:20,70.920,71.130,70.900,71.010,1860116.0,26200
2024-1-2,13:25,70.980,71.020,70.810,70.850,3005394.0,42400
2024-1-2,13:30,70.810,70.940,70.800,70.900,1934629.0,27300
2024-1-2,13:35,70.900,70.900,70.780,70.790,1770467.0,25000
2024-1-2,13:40,70.790,70.880,70.790,70.880,1069137.0,15100
2024-1-2,13:45,70.870,70.910,70.810,70.840,1962702.0,27700
2024-1-2,13:50,70.820,71.150,70.820,71.000,3074068.0,43300
2024-1-2,13:55,71.000,71.160,70.890,70.950,2132284.0,30000
2024-1-2,14:00,70.960,71.080,70.910,70.920,2663389.0,37500
2024-1-2,14:05,70.920,70.970,70.770,70.780,2820796.0,39800
2024-1-2,14:10,70.780,70.880,70.770,70.880,1083932.0,15300
2024-1-2,14:15,70.850,70.880,70.800,70.830,2153096.0,30400
2024-1-2,14:20,70.830,70.850,70.720,70.720,2774514.0,39200
2024-1-2,14:25,70.720,70.770,70.570,70.680,6630344.0,93800
2024-1-2,14:30,70.650,70.700,70.520,70.580,2555458.0,36200
2024-1-2,14:35,70.640,70.770,70.640,70.680,2587096.0,36600
2024-1-2,14:40,70.680,70.690,70.600,70.630,3517718.0,49800
2024-1-2,14:45,70.620,70.630,70.550,70.580,3006960.0,42600
2024-1-2,14:50,70.580,70.760,70.540,70.680,4238622.0,60000
2024-1-2,14:55,70.680,70.680,70.560,70.600,5761774.5,81600
