日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,19.960,19.960,19.580,19.670,25570340.0,1296800
2024-1-2,09:40,19.670,19.820,19.630,19.820,11742883.0,595300
2024-1-2,09:45,19.830,19.900,19.800,19.860,9976115.0,502700
2024-1-2,09:50,19.850,19.940,19.830,19.900,8096525.0,407300
2024-1-2,09:55,19.880,19.950,19.800,19.830,8707422.0,438500
2024-1-2,10:00,19.870,19.930,19.800,19.930,4816411.0,242500
2024-1-2,10:05,19.900,19.930,19.830,19.830,4552656.0,229000
2024-1-2,10:10,19.830,19.870,19.800,19.850,3752096.0,189200
2024-1-2,10:15,19.830,19.860,19.770,19.860,4946364.0,249800
2024-1-2,10:20,19.850,19.880,19.800,19.810,3798845.0,191500
2024-1-2,10:25,19.820,19.830,19.780,19.790,2888779.0,145900
2024-1-2,10:30,19.800,19.880,19.790,19.870,4229205.0,213200
2024-1-2,10:35,19.870,19.950,19.850,19.950,5310711.0,266700
2024-1-2,10:40,19.950,19.950,19.820,19.830,2960507.0,148800
2024-1-2,10:45,19.830,19.860,19.810,19.810,1959764.0,98800
2024-1-2,10:50,19.820,19.820,19.750,19.770,4285054.0,216600
2024-1-2,10:55,19.770,19.770,19.690,19.700,4997248.0,253300
2024-1-2,11:00,19.700,19.720,19.640,19.720,5399158.5,274400
2024-1-2,11:05,19.720,19.750,19.670,19.740,3448042.0,175000
2024-1-2,11:10,19.750,19.830,19.750,19.790,3334780.0,168500
2024-1-2,11:15,19.790,19.820,19.750,19.820,2031495.0,102700
2024-1-2,11:20,19.810,19.820,19.790,19.800,1859441.0,93900
2024-1-2,11:25,19.800,19.800,19.750,19.800,2791329.5,141200
2024-1-2,11:30,19.790,19.800,19.760,19.780,1418152.0,71700
2024-1-2,13:05,19.770,19.860,19.770,19.860,2157444.25,108900
2024-1-2,13:10,19.880,19.880,19.830,19.830,2328456.0,117300
2024-1-2,13:15,19.840,19.860,19.800,19.800,2043546.0,103000
2024-1-2,13:20,19.800,19.830,19.780,19.820,1837430.0,92800
2024-1-2,13:25,19.820,19.850,19.800,19.850,2088446.0,105300
2024-1-2,13:30,19.860,19.880,19.850,19.870,1884659.375,94900
