日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,7.170,7.260,7.170,7.250,10047078.0,1393900
2024-4-1,09:40,7.250,7.290,7.200,7.290,6927839.0,956200
2024-4-1,09:45,7.280,7.330,7.270,7.290,8305243.0,1137800
2024-4-1,09:50,7.300,7.310,7.240,7.250,3460090.0,475300
2024-4-1,09:55,7.250,7.280,7.240,7.280,3340956.0,460200
2024-4-1,10:00,7.280,7.310,7.260,7.300,2924681.0,401700
2024-4-1,10:05,7.300,7.310,7.270,7.280,2967216.0,407100
2024-4-1,10:10,7.290,7.310,7.280,7.300,2595787.0,355800
2024-4-1,10:15,7.300,7.300,7.280,7.280,2751534.0,377300
2024-4-1,10:20,7.290,7.300,7.270,7.300,2948337.0,404400
2024-4-1,10:25,7.310,7.350,7.310,7.350,7500462.0,1022900
2024-4-1,10:30,7.350,7.350,7.330,7.340,2373166.0,323100
2024-4-1,10:35,7.340,7.340,7.320,7.330,2566277.0,350100
2024-4-1,10:40,7.330,7.340,7.300,7.320,3846531.0,525200
2024-4-1,10:45,7.320,7.370,7.320,7.370,3784434.0,514900
2024-4-1,10:50,7.370,7.380,7.350,7.370,4683954.0,635900
2024-4-1,10:55,7.380,7.430,7.380,7.420,5818693.0,785400
2024-4-1,11:00,7.420,7.450,7.410,7.430,4333343.0,583400
2024-4-1,11:05,7.420,7.440,7.380,7.400,5478585.0,738300
2024-4-1,11:10,7.400,7.420,7.380,7.410,1749823.0,236600
2024-4-1,11:15,7.410,7.410,7.380,7.390,1362199.0,184300
2024-4-1,11:20,7.400,7.400,7.350,7.380,2916807.75,396300
2024-4-1,11:25,7.370,7.390,7.370,7.390,1176625.875,159500
2024-4-1,11:30,7.390,7.410,7.390,7.410,1907295.0,257700
2024-4-1,13:05,7.410,7.410,7.360,7.360,2005013.0,271400
2024-4-1,13:10,7.370,7.370,7.350,7.370,2001712.0,272000
2024-4-1,13:15,7.360,7.380,7.360,7.380,1874333.0,254400
2024-4-1,13:20,7.380,7.400,7.370,7.380,1840823.0,249200
2024-4-1,13:25,7.380,7.380,7.360,7.360,1198448.0,162700
2024-4-1,13:30,7.370,7.370,7.360,7.370,1018103.0,138200
2024-4-1,13:35,7.360,7.370,7.320,7.320,2221656.0,302500
2024-4-1,13:40,7.330,7.340,7.320,7.330,1900036.0,259200
2024-4-1,13:45,7.330,7.340,7.330,7.330,1615419.0,220300
2024-4-1,13:50,7.330,7.340,7.310,7.330,3262549.0,445400
2024-4-1,13:55,7.330,7.330,7.320,7.330,1975981.0,269600
2024-4-1,14:00,7.320,7.330,7.310,7.330,1691487.0,231000
2024-4-1,14:05,7.320,7.330,7.300,7.300,3355303.0,458700
2024-4-1,14:10,7.310,7.320,7.310,7.310,1501709.0,205300
2024-4-1,14:15,7.320,7.320,7.300,7.300,1863590.0,254900
2024-4-1,14:20,7.300,7.310,7.290,7.300,3373461.0,462200
2024-4-1,14:25,7.300,7.310,7.290,7.310,1881526.0,257600
2024-4-1,14:30,7.300,7.310,7.300,7.300,2791003.0,382200
2024-4-1,14:35,7.300,7.300,7.280,7.280,2180545.0,299200
2024-4-1,14:40,7.290,7.320,7.290,7.310,3182963.0,436000
2024-4-1,14:45,7.320,7.320,7.290,7.310,1447710.0,198200
2024-4-1,14:50,7.310,7.310,7.290,7.300,2709686.0,371200
2024-4-1,14:55,7.300,7.320,7.300,7.320,1850973.0,253300
2024-4-1,15:00,7.320,7.320,7.310,7.320,3501441.0,478700
2024-4-2,09:35,7.360,7.360,7.250,7.300,6953028.5,954000
2024-4-2,09:40,7.300,7.300,7.250,7.250,2630675.0,361700
2024-4-2,09:45,7.250,7.250,7.210,7.230,7403434.0,1024100
2024-4-2,09:50,7.220,7.250,7.210,7.240,4368570.0,604200
2024-4-2,09:55,7.240,7.240,7.200,7.220,4747015.0,658100
2024-4-2,10:00,7.220,7.260,7.210,7.260,1925157.0,266200
2024-4-2,10:05,7.270,7.270,7.220,7.220,4889038.0,675100
2024-4-2,10:10,7.220,7.230,7.200,7.200,2857392.0,396300
2024-4-2,10:15,7.200,7.210,7.170,7.210,2885625.0,401400
2024-4-2,10:20,7.210,7.230,7.190,7.210,3175382.0,440400
2024-4-2,10:25,7.210,7.240,7.210,7.240,2051349.0,283900
2024-4-2,10:30,7.240,7.240,7.220,7.220,1341639.0,185600
2024-4-2,10:35,7.230,7.260,7.200,7.260,2795464.0,386800
2024-4-2,10:40,7.260,7.300,7.250,7.300,3124677.0,429000
2024-4-2,10:45,7.300,7.330,7.290,7.330,2881783.0,394400
2024-4-2,10:50,7.330,7.360,7.320,7.350,2328975.0,317300
2024-4-2,10:55,7.350,7.360,7.320,7.320,2035101.0,277000
2024-4-2,11:00,7.330,7.350,7.320,7.340,657851.0,89700
2024-4-2,11:05,7.340,7.350,7.310,7.340,1922103.0,262100
2024-4-2,11:10,7.340,7.350,7.330,7.350,1042507.0,142100
2024-4-2,11:15,7.350,7.370,7.340,7.350,2066538.0,281000
2024-4-2,11:20,7.360,7.370,7.350,7.360,1554079.0,211100
2024-4-2,11:25,7.370,7.370,7.350,7.360,869593.0,118100
2024-4-2,11:30,7.350,7.370,7.350,7.370,432974.0,58800
2024-4-2,13:05,7.370,7.370,7.330,7.340,2410021.0,328100
2024-4-2,13:10,7.340,7.350,7.320,7.340,895571.0,122100
2024-4-2,13:15,7.340,7.340,7.310,7.320,986589.0,134700
2024-4-2,13:20,7.320,7.330,7.300,7.300,1412772.0,193300
2024-4-2,13:25,7.300,7.320,7.290,7.310,901590.0,123400
2024-4-2,13:30,7.310,7.320,7.290,7.310,939647.0,128600
2024-4-2,13:35,7.310,7.310,7.290,7.290,1306788.0,179100
2024-4-2,13:40,7.300,7.300,7.290,7.290,574435.0,78700
2024-4-2,13:45,7.290,7.290,7.260,7.270,1976593.0,271600
2024-4-2,13:50,7.270,7.280,7.260,7.270,762453.0,104900
2024-4-2,13:55,7.260,7.270,7.260,7.270,528906.0,72800
2024-4-2,14:00,7.270,7.280,7.260,7.260,1096474.0,150800
2024-4-2,14:05,7.260,7.280,7.230,7.230,2159655.0,297500
2024-4-2,14:10,7.240,7.250,7.230,7.240,2166265.0,299200
2024-4-2,14:15,7.240,7.240,7.210,7.210,1396166.0,193100
2024-4-2,14:20,7.220,7.230,7.200,7.230,1721022.0,238500
2024-4-2,14:25,7.230,7.240,7.200,7.220,1893529.0,262100
2024-4-2,14:30,7.230,7.230,7.210,7.220,1032548.0,143000
2024-4-2,14:35,7.220,7.230,7.200,7.200,2150567.0,298400
2024-4-2,14:40,7.210,7.210,7.180,7.200,2033514.0,282500
2024-4-2,14:45,7.190,7.220,7.190,7.220,2557027.0,355200
2024-4-2,14:50,7.220,7.260,7.210,7.250,2024490.0,279900
2024-4-2,14:55,7.240,7.260,7.240,7.250,1501040.0,207200
2024-4-2,15:00,7.250,7.260,7.240,7.250,1918668.25,264600
2024-4-3,09:35,7.210,7.270,7.210,7.250,3058664.0,422700
2024-4-3,09:40,7.250,7.300,7.240,7.240,4703047.0,647000
2024-4-3,09:45,7.240,7.260,7.230,7.250,1431588.0,197700
2024-4-3,09:50,7.240,7.260,7.230,7.240,2512636.0,346800
2024-4-3,09:55,7.250,7.250,7.220,7.220,3096401.0,428100
2024-4-3,10:00,7.210,7.230,7.200,7.220,1881409.0,261000
2024-4-3,10:05,7.220,7.220,7.170,7.170,1783580.0,248200
2024-4-3,10:10,7.180,7.190,7.160,7.180,3016480.0,420400
2024-4-3,10:15,7.190,7.190,7.170,7.170,1435123.0,200000
2024-4-3,10:20,7.180,7.180,7.150,7.150,3521986.0,491600
2024-4-3,10:25,7.160,7.170,7.130,7.150,1646183.0,230400
2024-4-3,10:30,7.150,7.180,7.150,7.170,744174.0,103900
2024-4-3,10:35,7.180,7.200,7.170,7.200,830541.0,115600
2024-4-3,10:40,7.200,7.220,7.180,7.210,832244.0,115600
2024-4-3,10:45,7.220,7.250,7.210,7.240,1065493.0,147400
2024-4-3,10:50,7.240,7.270,7.240,7.260,1762894.0,243100
2024-4-3,10:55,7.250,7.280,7.240,7.280,1774459.0,244400
2024-4-3,11:00,7.290,7.300,7.270,7.280,1931705.0,265100
2024-4-3,11:05,7.280,7.310,7.270,7.300,2469694.0,338800
2024-4-3,11:10,7.310,7.310,7.280,7.290,2106058.0,288700
2024-4-3,11:15,7.290,7.300,7.280,7.300,753271.0,103300
2024-4-3,11:20,7.290,7.300,7.280,7.300,701281.0,96200
2024-4-3,11:25,7.300,7.310,7.290,7.290,1608258.0,220300
2024-4-3,11:30,7.300,7.300,7.290,7.290,334170.0,45800
2024-4-3,13:05,7.290,7.300,7.280,7.290,940182.0,128900
2024-4-3,13:10,7.300,7.300,7.270,7.270,1386411.0,190500
2024-4-3,13:15,7.280,7.280,7.260,7.270,1031846.0,142000
2024-4-3,13:20,7.260,7.270,7.250,7.250,624900.0,86100
2024-4-3,13:25,7.250,7.270,7.240,7.240,1194486.0,164700
2024-4-3,13:30,7.240,7.270,7.240,7.270,1031362.0,142100
2024-4-3,13:35,7.280,7.300,7.270,7.280,734402.0,100800
2024-4-3,13:40,7.280,7.290,7.250,7.260,799606.0,110000
2024-4-3,13:45,7.250,7.270,7.250,7.270,723999.0,99700
2024-4-3,13:50,7.270,7.280,7.260,7.270,383119.0,52700
2024-4-3,13:55,7.270,7.290,7.270,7.290,754933.0,103700
2024-4-3,14:00,7.280,7.290,7.260,7.280,779204.0,107100
2024-4-3,14:05,7.270,7.270,7.250,7.260,897393.0,123600
2024-4-3,14:10,7.260,7.270,7.250,7.250,535971.0,73900
2024-4-3,14:15,7.250,7.260,7.230,7.240,1369392.0,189000
2024-4-3,14:20,7.250,7.270,7.240,7.270,1019505.0,140500
2024-4-3,14:25,7.260,7.270,7.250,7.260,776138.0,106900
2024-4-3,14:30,7.260,7.270,7.250,7.260,1121493.0,154600
2024-4-3,14:35,7.250,7.270,7.250,7.260,357833.0,49300
2024-4-3,14:40,7.260,7.270,7.250,7.260,1240051.0,170800
2024-4-3,14:45,7.260,7.270,7.250,7.260,1593405.0,219300
2024-4-3,14:50,7.260,7.270,7.260,7.260,707417.0,97400
2024-4-3,14:55,7.260,7.270,7.240,7.260,2740186.0,377600
2024-4-3,15:00,7.250,7.260,7.240,7.240,2664965.0,367900
2024-4-8,09:35,7.200,7.210,7.110,7.110,8407180.0,1176600
2024-4-8,09:40,7.110,7.170,7.110,7.150,2654852.0,372000
2024-4-8,09:45,7.150,7.150,7.110,7.110,2260038.0,317300
2024-4-8,09:50,7.110,7.120,7.090,7.110,5736761.0,807400
2024-4-8,09:55,7.110,7.150,7.100,7.150,1266251.0,177800
2024-4-8,10:00,7.150,7.150,7.120,7.120,1385745.0,194200
2024-4-8,10:05,7.120,7.150,7.110,7.140,1369063.0,192100
2024-4-8,10:10,7.140,7.160,7.130,7.150,1117683.0,156500
2024-4-8,10:15,7.150,7.170,7.140,7.150,1472283.0,205700
2024-4-8,10:20,7.150,7.160,7.140,7.140,875362.0,122500
2024-4-8,10:25,7.140,7.160,7.130,7.130,954181.0,133500
2024-4-8,10:30,7.140,7.140,7.120,7.120,997748.0,140000
2024-4-8,10:35,7.120,7.160,7.120,7.120,1872331.0,262300
2024-4-8,10:40,7.120,7.130,7.100,7.100,1602809.0,225300
2024-4-8,10:45,7.100,7.120,7.100,7.110,777121.0,109300
2024-4-8,10:50,7.110,7.140,7.110,7.130,869956.0,122100
2024-4-8,10:55,7.130,7.140,7.130,7.140,437405.0,61300
2024-4-8,11:00,7.140,7.140,7.120,7.120,622036.0,87200
2024-4-8,11:05,7.120,7.120,7.100,7.110,859084.0,120800
2024-4-8,11:10,7.110,7.120,7.100,7.100,709805.0,99900
2024-4-8,11:15,7.110,7.120,7.100,7.100,569637.0,80100
2024-4-8,11:20,7.110,7.110,7.090,7.090,1402153.0,197400
2024-4-8,11:25,7.090,7.100,7.090,7.100,1213167.0,171000
2024-4-8,11:30,7.090,7.110,7.090,7.090,723064.0,101900
2024-4-8,13:05,7.090,7.090,7.080,7.080,1926823.0,271900
2024-4-8,13:10,7.080,7.090,7.050,7.070,995928.0,140900
2024-4-8,13:15,7.070,7.080,7.070,7.070,524848.0,74200
2024-4-8,13:20,7.070,7.090,7.070,7.080,739277.0,104400
2024-4-8,13:25,7.080,7.080,7.070,7.070,1850698.0,261700
2024-4-8,13:30,7.070,7.070,7.060,7.060,828775.125,117400
2024-4-8,13:35,7.060,7.070,7.050,7.060,1815963.5,257300
2024-4-8,13:40,7.060,7.060,7.050,7.060,873786.0,123800
2024-4-8,13:45,7.070,7.070,7.050,7.050,1178760.0,167000
2024-4-8,13:50,7.050,7.060,7.050,7.050,783314.0,111100
2024-4-8,13:55,7.050,7.070,7.050,7.060,926387.0,131200
2024-4-8,14:00,7.060,7.080,7.060,7.060,1187763.0,168000
2024-4-8,14:05,7.060,7.080,7.060,7.070,754381.0,106700
2024-4-8,14:10,7.070,7.080,7.050,7.060,1156329.0,163700
2024-4-8,14:15,7.060,7.060,7.040,7.050,1831902.0,259800
2024-4-8,14:20,7.050,7.060,7.030,7.050,2390536.0,339400
2024-4-8,14:25,7.050,7.060,7.040,7.050,1278929.0,181400
2024-4-8,14:30,7.050,7.060,7.040,7.050,1271066.0,180400
2024-4-8,14:35,7.050,7.070,7.040,7.050,1744228.0,247200
2024-4-8,14:40,7.050,7.060,7.040,7.050,2197592.0,311800
2024-4-8,14:45,7.050,7.060,7.040,7.050,1706001.0,242000
2024-4-8,14:50,7.050,7.050,7.020,7.020,2951359.0,419600
2024-4-8,14:55,7.020,7.030,7.020,7.030,3429794.0,488100
2024-4-8,15:00,7.030,7.030,7.020,7.020,1424733.0,202900
2024-4-9,09:35,7.040,7.100,7.020,7.060,4408747.0,624000
2024-4-9,09:40,7.060,7.100,7.060,7.070,3300088.0,466200
2024-4-9,09:45,7.080,7.080,7.060,7.070,3390326.0,479700
2024-4-9,09:50,7.070,7.070,7.020,7.020,3045378.0,432500
2024-4-9,09:55,7.040,7.050,7.030,7.050,1823917.0,259100
2024-4-9,10:00,7.050,7.080,7.040,7.040,1311429.0,185800
2024-4-9,10:05,7.050,7.050,7.020,7.030,1272500.0,180700
2024-4-9,10:10,7.030,7.050,7.030,7.040,1137381.0,161600
2024-4-9,10:15,7.040,7.050,7.030,7.030,909035.0,129100
2024-4-9,10:20,7.050,7.080,7.050,7.080,1493233.0,211300
2024-4-9,10:25,7.080,7.100,7.070,7.090,1418698.0,200100
2024-4-9,10:30,7.100,7.100,7.080,7.080,1983155.0,279700
2024-4-9,10:35,7.080,7.090,7.070,7.070,573395.0,81000
2024-4-9,10:40,7.070,7.070,7.060,7.060,570728.0,80800
2024-4-9,10:45,7.060,7.070,7.050,7.050,939193.0,133000
2024-4-9,10:50,7.050,7.060,7.040,7.050,908937.0,128900
2024-4-9,10:55,7.040,7.070,7.040,7.070,1489680.0,211200
2024-4-9,11:00,7.070,7.070,7.050,7.070,539232.0,76400
2024-4-9,11:05,7.060,7.080,7.060,7.070,516237.0,73000
2024-4-9,11:10,7.070,7.100,7.070,7.100,1793254.0,252900
2024-4-9,11:15,7.100,7.110,7.070,7.070,2084679.0,294300
2024-4-9,11:20,7.070,7.080,7.070,7.080,281569.0,39800
2024-4-9,11:25,7.080,7.080,7.070,7.070,284368.0,40200
2024-4-9,11:30,7.080,7.080,7.050,7.050,603950.0,85500
2024-4-9,13:05,7.060,7.130,7.040,7.120,4133680.0,583600
2024-4-9,13:10,7.110,7.120,7.100,7.100,599807.0,84400
2024-4-9,13:15,7.100,7.110,7.090,7.090,417523.0,58800
2024-4-9,13:20,7.100,7.140,7.090,7.120,2537028.0,356400
2024-4-9,13:25,7.120,7.120,7.100,7.100,444254.0,62500
2024-4-9,13:30,7.100,7.110,7.090,7.100,1113193.0,156900
2024-4-9,13:35,7.090,7.110,7.090,7.110,880259.0,123900
2024-4-9,13:40,7.110,7.110,7.100,7.100,187598.0,26400
2024-4-9,13:45,7.100,7.110,7.090,7.110,622840.0,87700
2024-4-9,13:50,7.110,7.120,7.100,7.100,821156.0,115500
2024-4-9,13:55,7.100,7.120,7.100,7.120,651664.0,91600
2024-4-9,14:00,7.110,7.120,7.100,7.120,1247067.0,175400
2024-4-9,14:05,7.110,7.120,7.090,7.090,588673.0,82900
2024-4-9,14:10,7.090,7.100,7.080,7.090,478589.0,67500
2024-4-9,14:15,7.090,7.110,7.080,7.090,924891.0,130300
2024-4-9,14:20,7.100,7.110,7.090,7.100,512053.0,72100
2024-4-9,14:25,7.100,7.110,7.100,7.110,981365.0,138100
2024-4-9,14:30,7.100,7.130,7.100,7.120,910014.0,127900
2024-4-9,14:35,7.110,7.120,7.110,7.120,970537.0,136400
2024-4-9,14:40,7.100,7.110,7.100,7.100,1277698.0,179900
2024-4-9,14:45,7.100,7.110,7.100,7.100,409104.0,57600
2024-4-9,14:50,7.110,7.110,7.090,7.100,1665188.0,234400
2024-4-9,14:55,7.100,7.110,7.090,7.100,1652962.0,232600
2024-4-9,15:00,7.110,7.120,7.100,7.110,2160869.0,303900
2024-4-10,09:35,7.080,7.110,7.000,7.060,5299527.0,752700
2024-4-10,09:40,7.060,7.060,7.030,7.030,2092370.0,297200
2024-4-10,09:45,7.030,7.040,7.020,7.030,2813327.0,400400
2024-4-10,09:50,7.030,7.050,7.030,7.030,1383714.0,196600
2024-4-10,09:55,7.030,7.060,7.030,7.040,2766567.0,393000
2024-4-10,10:00,7.030,7.040,7.010,7.030,2132415.0,303500
2024-4-10,10:05,7.030,7.030,7.000,7.000,1986858.0,283300
2024-4-10,10:10,7.000,7.000,6.960,6.970,2180673.0,312300
2024-4-10,10:15,6.970,6.980,6.930,6.940,2871429.0,412900
2024-4-10,10:20,6.940,6.950,6.920,6.930,1787400.0,257800
2024-4-10,10:25,6.920,6.950,6.910,6.930,3232300.0,466100
2024-4-10,10:30,6.930,6.940,6.920,6.940,1230170.0,177600
2024-4-10,10:35,6.940,6.960,6.930,6.930,1055007.0,151900
2024-4-10,10:40,6.930,6.960,6.930,6.960,1365168.0,196700
2024-4-10,10:45,6.950,6.980,6.950,6.950,1021108.0,146700
2024-4-10,10:50,6.950,6.960,6.930,6.930,1070763.0,154100
2024-4-10,10:55,6.930,6.940,6.920,6.920,1077606.0,155600
2024-4-10,11:00,6.930,6.970,6.920,6.950,1390132.0,200300
2024-4-10,11:05,6.950,6.980,6.950,6.980,956551.0,137200
2024-4-10,11:10,6.980,6.980,6.970,6.980,601103.0,86200
2024-4-10,11:15,6.980,6.980,6.960,6.960,718931.0,103200
2024-4-10,11:20,6.970,6.970,6.950,6.960,507902.0,73000
2024-4-10,11:25,6.950,6.970,6.950,6.950,738325.0,106100
2024-4-10,11:30,6.950,6.970,6.950,6.960,1225500.0,175900
2024-4-10,13:05,6.950,6.980,6.950,6.980,1798565.0,258500
2024-4-10,13:10,6.970,7.000,6.960,7.000,2170843.0,310600
2024-4-10,13:15,7.000,7.000,6.980,6.990,892260.0,127600
2024-4-10,13:20,6.990,7.000,6.960,6.970,931992.0,133400
2024-4-10,13:25,6.970,6.970,6.950,6.960,878476.0,126200
2024-4-10,13:30,6.970,6.980,6.940,6.950,1238029.125,177800
2024-4-10,13:35,6.960,6.970,6.940,6.950,992306.0,142700
2024-4-10,13:40,6.960,6.980,6.950,6.950,1003732.0,144200
2024-4-10,13:45,6.950,6.960,6.950,6.950,1050214.0,151000
2024-4-10,13:50,6.950,6.960,6.930,6.940,875799.0,126200
2024-4-10,13:55,6.930,6.960,6.920,6.960,1536684.0,221700
2024-4-10,14:00,6.950,6.970,6.940,6.960,942565.0,135600
2024-4-10,14:05,6.960,6.980,6.950,6.970,1173299.0,168500
2024-4-10,14:10,6.970,6.990,6.960,6.980,821044.0,117700
2024-4-10,14:15,6.980,6.990,6.960,6.970,559759.0,80300
2024-4-10,14:20,6.970,7.000,6.950,7.000,1150553.0,165000
2024-4-10,14:25,7.000,7.030,7.000,7.030,968389.0,138000
2024-4-10,14:30,7.020,7.030,7.010,7.030,868999.0,123800
2024-4-10,14:35,7.020,7.040,7.010,7.020,2159845.0,307400
2024-4-10,14:40,7.030,7.050,7.020,7.030,1367148.0,194400
2024-4-10,14:45,7.030,7.040,7.000,7.000,1536413.0,218800
2024-4-10,14:50,7.000,7.010,6.970,6.970,983316.0,140700
2024-4-10,14:55,6.980,6.990,6.970,6.990,1872101.0,268200
2024-4-10,15:00,6.980,6.990,6.980,6.990,668572.0,95700
2024-4-11,09:35,6.920,7.040,6.900,6.990,4757678.0,682700
2024-4-11,09:40,6.980,6.980,6.930,6.950,2304761.0,331300
2024-4-11,09:45,6.950,6.970,6.930,6.930,2782264.0,400700
2024-4-11,09:50,6.930,6.930,6.880,6.910,2843471.0,411800
2024-4-11,09:55,6.910,6.940,6.870,6.930,2467507.0,357200
2024-4-11,10:00,6.940,6.950,6.920,6.930,1558927.0,225000
2024-4-11,10:05,6.940,6.980,6.940,6.970,1617976.0,232400
2024-4-11,10:10,6.970,7.000,6.950,6.970,1594389.0,228600
2024-4-11,10:15,6.980,6.990,6.960,6.990,682291.0,97700
2024-4-11,10:20,6.980,7.000,6.980,6.990,1654935.0,236800
2024-4-11,10:25,6.990,7.010,6.970,6.980,1286164.0,184100
2024-4-11,10:30,6.980,6.990,6.970,6.990,1017860.0,145800
2024-4-11,10:35,6.990,6.990,6.970,6.980,639153.0,91600
2024-4-11,10:40,6.980,6.980,6.960,6.970,636976.0,91400
2024-4-11,10:45,6.960,6.980,6.960,6.970,721386.0,103500
2024-4-11,10:50,6.980,6.980,6.950,6.950,651890.0,93600
2024-4-11,10:55,6.950,6.960,6.940,6.940,944281.0,135900
2024-4-11,11:00,6.950,6.960,6.940,6.950,518471.0,74600
2024-4-11,11:05,6.950,6.950,6.920,6.920,807006.0,116400
2024-4-11,11:10,6.920,6.940,6.920,6.930,835998.0,120700
2024-4-11,11:15,6.940,6.950,6.930,6.950,390647.0,56300
2024-4-11,11:20,6.950,6.950,6.940,6.950,470922.0,67800
2024-4-11,11:25,6.950,6.950,6.920,6.920,1061387.0,152900
2024-4-11,11:30,6.920,6.930,6.920,6.920,507985.0,73400
2024-4-11,13:05,6.930,6.980,6.930,6.980,1814125.0,260900
2024-4-11,13:10,6.980,6.990,6.960,6.990,1341280.0,192300
2024-4-11,13:15,6.990,7.000,6.970,6.980,1705349.0,244100
2024-4-11,13:20,6.980,7.000,6.970,6.990,862772.0,123600
2024-4-11,13:25,6.980,6.990,6.970,6.980,883732.0,126600
2024-4-11,13:30,6.980,6.990,6.970,6.980,992264.0,142100
2024-4-11,13:35,6.990,6.990,6.970,6.980,633801.0,90800
2024-4-11,13:40,6.980,6.980,6.950,6.970,2107623.0,302500
2024-4-11,13:45,6.970,6.970,6.950,6.960,551834.0,79300
2024-4-11,13:50,6.950,6.960,6.940,6.950,1061968.0,152800
2024-4-11,13:55,6.950,6.950,6.930,6.940,1653744.0,238100
2024-4-11,14:00,6.940,6.940,6.930,6.940,346214.0,49900
2024-4-11,14:05,6.930,6.940,6.920,6.920,997363.0,143900
2024-4-11,14:10,6.920,6.930,6.920,6.930,605304.0,87400
2024-4-11,14:15,6.920,6.930,6.920,6.920,607946.0,87800
2024-4-11,14:20,6.920,6.930,6.910,6.920,1105617.0,159800
2024-4-11,14:25,6.920,6.920,6.910,6.910,794214.0,114800
2024-4-11,14:30,6.920,6.920,6.910,6.920,1243354.0,179800
2024-4-11,14:35,6.920,6.930,6.910,6.920,676778.0,97800
2024-4-11,14:40,6.920,6.930,6.910,6.910,1062900.0,153600
2024-4-11,14:45,6.910,6.910,6.880,6.890,2429165.0,352100
2024-4-11,14:50,6.880,6.890,6.850,6.860,3330845.0,484700
2024-4-11,14:55,6.850,6.870,6.850,6.860,2108439.0,307200
2024-4-11,15:00,6.870,6.870,6.860,6.870,1800659.0,262200
2024-4-12,09:35,6.870,6.980,6.870,6.950,5351737.0,769900
2024-4-12,09:40,6.940,6.960,6.920,6.940,1750491.0,252400
2024-4-12,09:45,6.930,6.960,6.910,6.950,2557039.0,368800
2024-4-12,09:50,6.940,6.950,6.900,6.910,2479756.0,358000
2024-4-12,09:55,6.910,6.950,6.900,6.950,1636504.0,236400
2024-4-12,10:00,6.950,6.970,6.940,6.960,1782192.0,256200
2024-4-12,10:05,6.960,6.990,6.960,6.970,2610835.0,374400
2024-4-12,10:10,6.970,6.980,6.930,6.970,2537962.0,364800
2024-4-12,10:15,6.960,6.980,6.950,6.980,793042.0,113900
2024-4-12,10:20,6.970,6.990,6.950,6.950,3234316.0,463500
2024-4-12,10:25,6.950,6.950,6.930,6.930,1399966.0,201700
2024-4-12,10:30,6.930,6.950,6.910,6.950,1161291.0,167600
2024-4-12,10:35,6.940,6.960,6.930,6.960,1136744.0,163900
2024-4-12,10:40,6.950,6.960,6.950,6.950,1030841.0,148300
