日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,4.700,4.730,4.690,4.700,86323720.0,18334600
2024-7-1,09:40,4.690,4.710,4.690,4.700,27454540.0,5837900
2024-7-1,09:45,4.700,4.710,4.700,4.700,15382808.0,3271100
2024-7-1,09:50,4.700,4.700,4.680,4.680,28264976.0,6024500
2024-7-1,09:55,4.680,4.700,4.680,4.680,29886856.0,6376900
2024-7-1,10:00,4.680,4.700,4.680,4.690,14509871.0,3093900
2024-7-1,10:05,4.690,4.710,4.690,4.710,22851154.0,4863800
2024-7-1,10:10,4.710,4.720,4.700,4.720,30784284.0,6537300
2024-7-1,10:15,4.710,4.720,4.700,4.700,20265440.0,4301300
2024-7-1,10:20,4.710,4.720,4.700,4.710,17564924.0,3731200
2024-7-1,10:25,4.700,4.710,4.700,4.700,9678997.0,2057200
2024-7-1,10:30,4.700,4.710,4.690,4.710,18140324.0,3859500
2024-7-1,10:35,4.710,4.710,4.690,4.700,7835413.0,1668200
2024-7-1,10:40,4.690,4.700,4.690,4.690,17420664.0,3714800
2024-7-1,10:45,4.690,4.700,4.690,4.700,11253909.0,2396000
2024-7-1,10:50,4.700,4.700,4.690,4.700,5798993.0,1235100
2024-7-1,10:55,4.700,4.700,4.690,4.700,5608319.0,1194900
2024-7-1,11:00,4.690,4.700,4.690,4.700,8964569.0,1908100
2024-7-1,11:05,4.700,4.700,4.690,4.690,6421389.0,1367200
2024-7-1,11:10,4.700,4.700,4.690,4.700,18505278.0,3945600
2024-7-1,11:15,4.690,4.710,4.690,4.710,13631304.0,2899800
2024-7-1,11:20,4.710,4.720,4.700,4.710,21801896.0,4628300
2024-7-1,11:25,4.720,4.720,4.700,4.710,12198596.0,2588200
2024-7-1,11:30,4.700,4.710,4.700,4.710,7668514.0,1630800
2024-7-1,13:05,4.710,4.710,4.690,4.700,21892384.0,4657500
2024-7-1,13:10,4.690,4.700,4.690,4.700,4528861.0,964600
2024-7-1,13:15,4.700,4.700,4.690,4.700,7193255.0,1531200
2024-7-1,13:20,4.700,4.700,4.680,4.690,21652882.0,4616600
2024-7-1,13:25,4.680,4.690,4.670,4.680,32646390.0,6980100
2024-7-1,13:30,4.680,4.690,4.670,4.690,9906615.0,2117500
2024-7-1,13:35,4.690,4.700,4.680,4.680,12544013.0,2676000
2024-7-1,13:40,4.680,4.690,4.680,4.680,4332156.0,925100
2024-7-1,13:45,4.690,4.690,4.670,4.670,19483610.0,4167200
2024-7-1,13:50,4.670,4.690,4.670,4.680,15345501.0,3280100
2024-7-1,13:55,4.690,4.690,4.680,4.680,4092486.0,873800
2024-7-1,14:00,4.690,4.690,4.680,4.690,5750232.0,1227600
2024-7-1,14:05,4.690,4.700,4.680,4.690,11762065.0,2508400
2024-7-1,14:10,4.690,4.700,4.690,4.690,10960749.0,2334800
2024-7-1,14:15,4.700,4.700,4.680,4.700,13693959.0,2919200
2024-7-1,14:20,4.690,4.700,4.680,4.690,11651217.0,2483900
2024-7-1,14:25,4.690,4.690,4.680,4.680,4361241.0,930800
2024-7-1,14:30,4.690,4.690,4.680,4.690,8300114.0,1771100
2024-7-1,14:35,4.690,4.690,4.680,4.680,6527783.0,1393800
2024-7-1,14:40,4.680,4.690,4.680,4.680,13241793.0,2828600
2024-7-1,14:45,4.680,4.690,4.680,4.680,20921492.0,4469200
2024-7-1,14:50,4.690,4.690,4.680,4.680,16003394.0,3418100
2024-7-1,14:55,4.690,4.690,4.680,4.690,30105428.0,6430000
2024-7-1,15:00,4.680,4.690,4.680,4.680,19266666.0,4115300
2024-7-2,09:35,4.680,4.710,4.680,4.690,41859700.0,8919000
2024-7-2,09:40,4.700,4.730,4.690,4.720,70066104.0,14871800
2024-7-2,09:45,4.730,4.740,4.710,4.720,40590228.0,8590400
2024-7-2,09:50,4.710,4.720,4.700,4.700,12495427.0,2653500
