日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,20.850,21.000,20.810,20.920,22643320.0,1084900
2024-7-1,09:40,20.930,21.000,20.730,20.750,18773400.0,900300
2024-7-1,09:45,20.740,20.750,20.540,20.580,22647128.0,1097000
2024-7-1,09:50,20.580,20.600,20.430,20.470,22202498.0,1082500
2024-7-1,09:55,20.470,20.540,20.380,20.380,23277536.0,1137600
2024-7-1,10:00,20.380,20.480,20.340,20.470,12668376.0,620600
2024-7-1,10:05,20.480,20.480,20.280,20.360,24458004.0,1201500
2024-7-1,10:10,20.350,20.400,20.250,20.290,16562226.0,815000
2024-7-1,10:15,20.290,20.290,20.180,20.210,18598578.0,919800
2024-7-1,10:20,20.210,20.260,20.190,20.190,11838034.0,585500
2024-7-1,10:25,20.190,20.250,20.180,20.220,10051082.0,497300
2024-7-1,10:30,20.220,20.220,20.160,20.200,13607405.0,674000
2024-7-1,10:35,20.200,20.210,20.040,20.060,14038661.0,697900
2024-7-1,10:40,20.060,20.090,19.900,19.950,33476726.0,1676000
2024-7-1,10:45,19.980,20.020,19.930,19.990,16516519.0,826700
2024-7-1,10:50,19.980,19.990,19.890,19.900,17545188.0,879800
2024-7-1,10:55,19.910,19.910,19.800,19.800,23651420.0,1191900
2024-7-1,11:00,19.810,19.810,19.720,19.750,21643652.0,1094700
2024-7-1,11:05,19.750,19.750,19.660,19.670,17356118.0,881500
2024-7-1,11:10,19.670,19.680,19.580,19.670,22856422.0,1164400
2024-7-1,11:15,19.660,19.670,19.430,19.460,31013142.0,1586700
2024-7-1,11:20,19.450,19.600,19.450,19.560,35982264.0,1845000
2024-7-1,11:25,19.550,19.560,19.460,19.530,24353048.0,1247600
2024-7-1,11:30,19.530,19.620,19.510,19.610,15651478.0,799700
2024-7-1,13:05,19.630,19.760,19.530,19.760,24517064.0,1249000
2024-7-1,13:10,19.760,19.780,19.660,19.700,13492900.0,684400
2024-7-1,13:15,19.690,19.830,19.680,19.830,10672534.0,540700
2024-7-1,13:20,19.830,19.950,19.800,19.910,16005932.0,804700
2024-7-1,13:25,19.900,19.950,19.820,19.900,8576998.0,431600
2024-7-1,13:30,19.900,19.940,19.870,19.940,6278132.0,315400
2024-7-1,13:35,19.940,20.010,19.860,19.910,11361307.0,569600
2024-7-1,13:40,19.920,19.920,19.830,19.850,9947361.0,501000
2024-7-1,13:45,19.870,19.920,19.850,19.910,8003212.0,402400
2024-7-1,13:50,19.910,19.940,19.860,19.920,10067729.0,506200
2024-7-1,13:55,19.930,20.000,19.920,19.990,6379252.0,319600
2024-7-1,14:00,20.000,20.020,19.950,20.010,7260253.0,363300
2024-7-1,14:05,20.020,20.090,20.010,20.070,12152654.0,606000
2024-7-1,14:10,20.070,20.180,20.060,20.140,9221513.0,458100
2024-7-1,14:15,20.140,20.220,20.120,20.220,10417980.0,516900
2024-7-1,14:20,20.210,20.250,20.120,20.120,18402974.0,910400
2024-7-1,14:25,20.130,20.150,20.040,20.040,5489807.0,273100
2024-7-1,14:30,20.060,20.090,20.040,20.070,5144164.0,256500
2024-7-1,14:35,20.050,20.090,20.040,20.070,5928715.0,295500
2024-7-1,14:40,20.080,20.110,20.000,20.090,6593018.0,328700
2024-7-1,14:45,20.080,20.160,20.080,20.140,7428189.0,369200
