日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,6.370,6.520,6.360,6.510,326949536.0,50956500
2024-9-30,09:40,6.500,6.560,6.490,6.490,209058656.0,32094600
2024-9-30,09:45,6.490,6.490,6.370,6.380,195726592.0,30394400
2024-9-30,09:50,6.370,6.390,6.340,6.340,143008448.0,22450700
2024-9-30,09:55,6.350,6.350,6.260,6.310,179129248.0,28447900
2024-9-30,10:00,6.300,6.310,6.260,6.290,161258624.0,25670100
2024-9-30,10:05,6.290,6.330,6.270,6.310,69565272.0,11054200
2024-9-30,10:10,6.310,6.320,6.300,6.310,92572752.0,14665300
2024-9-30,10:15,6.300,6.320,6.300,6.300,84558232.0,13401600
2024-9-30,10:20,6.310,6.320,6.290,6.300,54580548.0,8661700
2024-9-30,10:25,6.300,6.300,6.290,6.300,77027432.0,12236900
2024-9-30,10:30,6.300,6.330,6.300,6.330,78638056.0,12451100
2024-9-30,10:35,6.330,6.350,6.330,6.330,63583564.0,10036500
2024-9-30,10:40,6.330,6.380,6.330,6.370,53452080.0,8402000
2024-9-30,10:45,6.370,6.370,6.340,6.350,59311124.0,9337900
2024-9-30,10:50,6.350,6.370,6.350,6.350,58418964.0,9185100
2024-9-30,10:55,6.360,6.390,6.340,6.380,101125280.0,15920700
2024-9-30,11:00,6.390,6.460,6.380,6.450,100667048.0,15696800
2024-9-30,11:05,6.460,6.470,6.430,6.430,49998956.0,7754300
2024-9-30,11:10,6.440,6.440,6.400,6.420,44549096.0,6941600
2024-9-30,11:15,6.410,6.420,6.390,6.400,34269792.0,5351900
2024-9-30,11:20,6.400,6.410,6.370,6.380,55147036.0,8633800
2024-9-30,11:25,6.380,6.400,6.370,6.390,63874004.0,9993100
2024-9-30,11:30,6.400,6.430,6.390,6.430,48594768.0,7578600
2024-9-30,13:05,6.430,6.500,6.430,6.500,99256736.0,15348200
2024-9-30,13:10,6.500,6.570,6.500,6.570,108099856.0,16528200
2024-9-30,13:15,6.560,6.660,6.540,6.550,130277696.0,19748000
2024-9-30,13:20,6.540,6.550,6.500,6.530,64559792.0,9896500
2024-9-30,13:25,6.530,6.540,6.500,6.540,70504720.0,10810900
2024-9-30,13:30,6.530,6.540,6.520,6.530,54184188.0,8302200
2024-9-30,13:35,6.540,6.590,6.540,6.590,46419000.0,7074600
2024-9-30,13:40,6.580,6.610,6.580,6.580,56253556.0,8525400
2024-9-30,13:45,6.590,6.640,6.580,6.630,54273464.0,8200900
2024-9-30,13:50,6.640,6.710,6.630,6.670,87445248.0,13118000
2024-9-30,13:55,6.670,6.700,6.650,6.690,46072416.0,6908100
2024-9-30,14:00,6.690,6.730,6.680,6.730,53616784.0,7993800
2024-9-30,14:05,6.730,6.760,6.720,6.750,60434832.0,8964000
2024-9-30,14:10,6.750,6.800,6.740,6.790,66293684.0,9796300
2024-9-30,14:15,6.790,6.830,6.770,6.810,49783380.0,7328500
2024-9-30,14:20,6.810,6.820,6.710,6.710,63339376.0,9368100
2024-9-30,14:25,6.710,6.710,6.580,6.580,61796884.0,9311300
2024-9-30,14:30,6.580,6.630,6.560,6.610,60354680.0,9162700
2024-9-30,14:35,6.620,6.620,6.560,6.580,48421768.0,7350400
2024-9-30,14:40,6.580,6.610,6.580,6.590,45192544.0,6855600
2024-9-30,14:45,6.600,6.640,6.590,6.640,47962104.0,7253500
2024-9-30,14:50,6.640,6.690,6.630,6.680,52881240.0,7932900
2024-9-30,14:55,6.680,6.730,6.670,6.730,71288944.0,10645300
2024-9-30,15:00,6.720,6.730,6.710,6.710,43211744.0,6437700
2024-10-8,09:35,7.320,7.320,6.930,7.050,536810304.0,75164500
2024-10-8,09:40,7.030,7.030,6.940,6.940,227912560.0,32628000
2024-10-8,09:45,6.940,6.940,6.850,6.860,187690176.0,27241600
2024-10-8,09:50,6.850,6.940,6.730,6.890,192950960.0,28207900
2024-10-8,09:55,6.890,6.970,6.870,6.870,137588096.0,19894800
2024-10-8,10:00,6.870,6.880,6.830,6.870,91327104.0,13308100
2024-10-8,10:05,6.860,6.880,6.820,6.820,107171136.0,15648400
2024-10-8,10:10,6.810,6.830,6.780,6.790,130128824.0,19123300
2024-10-8,10:15,6.780,6.780,6.700,6.700,154464912.0,22938300
