日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,8.870,9.120,8.870,9.090,96920112.0,10782700
2024-9-30,09:40,9.090,9.110,8.940,8.940,64513344.0,7120900
2024-9-30,09:45,8.950,9.020,8.950,8.960,51050996.0,5686900
2024-9-30,09:50,8.960,8.990,8.900,8.900,39400708.0,4411900
2024-9-30,09:55,8.900,8.910,8.790,8.890,55199684.0,6241000
2024-9-30,10:00,8.890,8.950,8.880,8.930,24289520.0,2721200
2024-9-30,10:05,8.930,8.990,8.920,8.990,33248720.0,3719100
2024-9-30,10:10,8.980,9.010,8.970,8.990,23915452.0,2658800
2024-9-30,10:15,8.980,9.000,8.970,8.990,14780224.0,1645500
2024-9-30,10:20,8.990,9.020,8.970,9.020,20051968.0,2229300
2024-9-30,10:25,9.020,9.080,9.020,9.080,24550838.0,2712200
2024-9-30,10:30,9.080,9.120,9.080,9.090,40404916.0,4440500
2024-9-30,10:35,9.090,9.090,9.050,9.070,16550462.0,1824900
2024-9-30,10:40,9.070,9.100,9.070,9.070,12235438.0,1346200
2024-9-30,10:45,9.080,9.120,9.070,9.120,19052684.0,2093300
2024-9-30,10:50,9.110,9.180,9.110,9.170,28144816.0,3077800
2024-9-30,10:55,9.160,9.200,9.150,9.200,16365503.0,1783000
2024-9-30,11:00,9.200,9.230,9.190,9.220,18432246.0,2001000
2024-9-30,11:05,9.220,9.250,9.160,9.160,19970692.0,2170500
2024-9-30,11:10,9.160,9.220,9.120,9.210,15731892.0,1716700
2024-9-30,11:15,9.210,9.220,9.170,9.200,10402011.0,1130700
2024-9-30,11:20,9.200,9.230,9.190,9.230,8501924.0,922900
2024-9-30,11:25,9.230,9.240,9.200,9.240,8941400.0,969700
2024-9-30,11:30,9.240,9.250,9.230,9.240,9453488.0,1023000
2024-9-30,13:05,9.250,9.300,9.240,9.300,37791076.0,4073000
2024-9-30,13:10,9.290,9.330,9.290,9.320,25141952.0,2698600
2024-9-30,13:15,9.320,9.330,9.270,9.270,21668516.0,2326300
2024-9-30,13:20,9.270,9.310,9.260,9.310,18171188.0,1955700
2024-9-30,13:25,9.300,9.320,9.290,9.320,14141044.0,1519300
2024-9-30,13:30,9.320,9.320,9.310,9.310,8851687.0,950300
2024-9-30,13:35,9.310,9.330,9.310,9.320,12102543.0,1298300
2024-9-30,13:40,9.330,9.330,9.320,9.320,14066764.0,1508200
2024-9-30,13:45,9.320,9.340,9.320,9.330,20348438.0,2181400
2024-9-30,13:50,9.320,9.340,9.320,9.330,16544743.0,1773100
2024-9-30,13:55,9.330,9.330,9.320,9.320,9921365.0,1063700
2024-9-30,14:00,9.330,9.340,9.320,9.330,18498108.0,1982400
2024-9-30,14:05,9.320,9.340,9.320,9.340,15010331.0,1608200
2024-9-30,14:10,9.340,9.340,9.330,9.340,14149152.0,1515800
2024-9-30,14:15,9.330,9.340,9.330,9.330,17736828.0,1900500
2024-9-30,14:20,9.340,9.340,9.320,9.320,17897944.0,1918700
2024-9-30,14:25,9.320,9.320,9.200,9.240,28777824.0,3114400
2024-9-30,14:30,9.240,9.300,9.220,9.300,25827044.0,2789000
2024-9-30,14:35,9.290,9.290,9.260,9.290,17157782.0,1849700
2024-9-30,14:40,9.290,9.320,9.280,9.320,15028861.0,1615900
2024-9-30,14:45,9.320,9.340,9.310,9.330,18308804.0,1963100
2024-9-30,14:50,9.340,9.340,9.330,9.330,17303048.0,1853500
2024-9-30,14:55,9.330,9.340,9.330,9.330,24710408.0,2647200
2024-9-30,15:00,9.330,9.340,9.330,9.340,33061808.0,3541000
2024-10-8,09:35,10.270,10.270,10.270,10.270,67901984.0,6611700
2024-10-8,09:40,10.270,10.270,10.270,10.270,18783512.0,1829000
2024-10-8,09:45,10.270,10.270,10.270,10.270,12248177.0,1192600
2024-10-8,09:50,10.270,10.270,10.270,10.270,20582404.0,2004100
2024-10-8,09:55,10.270,10.270,10.270,10.270,5431803.0,528900
2024-10-8,10:00,10.270,10.270,10.270,10.270,6471127.0,630100
2024-10-8,10:05,10.270,10.270,10.270,10.270,3144674.0,306200
2024-10-8,10:10,10.270,10.270,10.270,10.270,7103030.0,691600
2024-10-8,10:15,10.270,10.270,10.270,10.270,7799212.5,759400
2024-10-8,10:20,10.270,10.270,10.270,10.270,15731392.0,1531800
2024-10-8,10:25,10.270,10.270,10.270,10.270,3963193.0,385900
2024-10-8,10:30,10.270,10.270,10.270,10.270,4630876.5,450900
2024-10-8,10:35,10.270,10.270,10.270,10.270,17549818.0,1708900
2024-10-8,10:40,10.270,10.270,9.740,9.970,358408928.0,35356200
2024-10-8,10:45,9.980,10.270,9.940,10.270,192544880.0,19021500
2024-10-8,10:50,10.260,10.270,10.200,10.210,70589448.0,6892600
2024-10-8,10:55,10.210,10.220,10.170,10.200,74924144.0,7348500
2024-10-8,11:00,10.190,10.210,10.110,10.120,45379896.0,4455400
2024-10-8,11:05,10.130,10.250,10.130,10.240,61246104.0,6000400
2024-10-8,11:10,10.240,10.270,10.240,10.260,56588212.0,5516600
2024-10-8,11:15,10.270,10.270,10.260,10.260,48733192.0,4746900
2024-10-8,11:20,10.270,10.270,10.260,10.270,50700540.0,4937000
2024-10-8,11:25,10.270,10.270,10.270,10.270,13214409.0,1286700
2024-10-8,11:30,10.270,10.270,10.260,10.270,29409108.0,2863900
2024-10-8,13:05,10.270,10.270,10.270,10.270,30081832.0,2929200
2024-10-8,13:10,10.270,10.270,10.270,10.270,3820440.0,372000
2024-10-8,13:15,10.270,10.270,10.270,10.270,4537286.0,441800
2024-10-8,13:20,10.270,10.270,10.270,10.270,5467748.0,532400
2024-10-8,13:25,10.270,10.270,10.270,10.270,9334403.0,908900
2024-10-8,13:30,10.270,10.270,10.250,10.260,56863120.0,5538900
2024-10-8,13:35,10.260,10.270,10.250,10.270,40954168.0,3988300
2024-10-8,13:40,10.270,10.270,10.250,10.270,35589984.0,3466600
2024-10-8,13:45,10.270,10.270,10.250,10.270,48108836.0,4686200
2024-10-8,13:50,10.270,10.270,10.270,10.270,8691501.0,846300
2024-10-8,13:55,10.270,10.270,10.270,10.270,7748284.0,754400
2024-10-8,14:00,10.270,10.270,10.270,10.270,5637449.5,548900
2024-10-8,14:05,10.270,10.270,10.270,10.270,1707901.0,166300
2024-10-8,14:10,10.270,10.270,10.270,10.270,1946894.25,189600
2024-10-8,14:15,10.270,10.270,10.270,10.270,3017131.0,293800
2024-10-8,14:20,10.270,10.270,10.270,10.270,911976.0,88800
2024-10-8,14:25,10.270,10.270,10.270,10.270,2189081.25,213100
