日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,24.050,24.770,24.030,24.770,21450640.0,882700
2024-9-30,09:40,24.770,24.820,24.250,24.250,14867576.0,602800
2024-9-30,09:45,24.260,24.320,24.120,24.240,10388808.0,429300
2024-9-30,09:50,24.220,24.290,23.950,24.070,11494377.0,476800
2024-9-30,09:55,24.050,24.050,23.830,24.040,9241684.0,385500
2024-9-30,10:00,24.040,24.310,24.040,24.250,8015720.0,331100
2024-9-30,10:05,24.240,24.690,24.240,24.660,7435034.0,302900
2024-9-30,10:10,24.670,24.820,24.610,24.820,4738110.0,191900
2024-9-30,10:15,24.850,24.850,24.620,24.750,5368682.0,217400
2024-9-30,10:20,24.750,24.950,24.750,24.950,3811669.0,153500
2024-9-30,10:25,24.940,25.470,24.940,25.470,7800669.0,309000
2024-9-30,10:30,25.470,25.760,25.470,25.580,8237415.0,321600
2024-9-30,10:35,25.620,25.620,25.200,25.320,4373506.0,172400
2024-9-30,10:40,25.320,25.550,25.320,25.410,2547538.0,100200
2024-9-30,10:45,25.390,25.500,25.360,25.490,2707739.0,106400
2024-9-30,10:50,25.500,25.600,25.500,25.590,2340006.0,91600
2024-9-30,10:55,25.600,25.960,25.600,25.960,2572197.0,99800
2024-9-30,11:00,25.950,26.160,25.920,26.120,3995591.0,153700
2024-9-30,11:05,26.130,26.140,25.570,25.570,4269035.0,165000
2024-9-30,11:10,25.570,25.700,25.450,25.640,2028377.0,79200
2024-9-30,11:15,25.640,25.680,25.580,25.670,3507968.0,137000
2024-9-30,11:20,25.680,26.000,25.600,25.890,5460706.0,212100
2024-9-30,11:25,25.900,25.940,25.840,25.930,1998545.0,77200
2024-9-30,11:30,25.950,26.000,25.880,25.920,2269324.0,87500
2024-9-30,13:05,25.900,26.500,25.900,26.440,8713147.0,331500
2024-9-30,13:10,26.420,26.740,26.420,26.620,7408827.0,278900
2024-9-30,13:15,26.680,26.790,26.320,26.320,6358884.0,239300
2024-9-30,13:20,26.340,26.700,26.330,26.670,4763143.0,179700
2024-9-30,13:25,26.610,26.680,26.470,26.680,2038608.0,76600
2024-9-30,13:30,26.600,26.680,26.560,26.640,2212963.0,83100
2024-9-30,13:35,26.640,26.770,26.640,26.750,4032689.0,151000
2024-9-30,13:40,26.750,26.880,26.700,26.840,4269692.0,159500
2024-9-30,13:45,26.880,26.910,26.820,26.910,3007115.0,111900
2024-9-30,13:50,26.910,26.960,26.890,26.890,3175613.0,118000
2024-9-30,13:55,26.890,26.900,26.750,26.790,3398927.0,126700
2024-9-30,14:00,26.780,26.950,26.780,26.950,3792577.0,141300
2024-9-30,14:05,26.940,26.960,26.910,26.920,3832702.0,142300
2024-9-30,14:10,26.940,27.180,26.930,27.160,5674368.0,209900
2024-9-30,14:15,27.160,27.160,26.940,27.050,2812618.0,104000
2024-9-30,14:20,27.060,27.100,26.860,26.860,2550893.0,94500
2024-9-30,14:25,26.900,26.900,26.180,26.220,10523965.0,397100
2024-9-30,14:30,26.220,26.690,26.020,26.690,6426919.0,245700
2024-9-30,14:35,26.600,26.660,26.300,26.350,3572142.0,135200
2024-9-30,14:40,26.350,26.580,26.350,26.580,3858033.0,145700
2024-9-30,14:45,26.580,26.640,26.460,26.640,3898736.0,146700
2024-9-30,14:50,26.640,26.960,26.640,26.910,4116107.0,153400
2024-9-30,14:55,26.880,26.970,26.860,26.940,3791388.0,140700
2024-9-30,15:00,26.930,27.010,26.930,27.010,4663782.0,172800
2024-10-8,09:35,32.410,32.410,31.800,32.210,59686444.0,1853300
2024-10-8,09:40,32.220,32.220,31.420,31.500,26583314.0,834300
2024-10-8,09:45,31.410,31.510,30.610,30.670,24406640.0,785300
2024-10-8,09:50,30.700,31.680,30.630,31.610,21883928.0,701300
2024-10-8,09:55,31.520,32.020,31.520,31.900,20022760.0,629300
2024-10-8,10:00,31.880,32.010,31.830,31.890,7222369.0,226000
2024-10-8,10:05,31.860,32.400,31.850,32.400,26236604.0,813800
2024-10-8,10:10,32.400,32.410,32.180,32.210,17390502.0,537200
2024-10-8,10:15,32.200,32.250,31.680,31.680,9885675.0,309400
2024-10-8,10:20,31.670,32.260,31.610,32.240,5374325.0,169000
2024-10-8,10:25,32.250,32.330,31.870,31.930,5946188.0,185100
2024-10-8,10:30,31.970,32.100,31.700,31.700,6874391.0,215200
2024-10-8,10:35,31.690,31.700,30.910,30.910,10814343.0,344800
2024-10-8,10:40,30.930,30.940,30.030,30.130,16247321.0,531200
2024-10-8,10:45,30.100,31.490,30.100,31.490,13198364.0,427900
2024-10-8,10:50,31.510,31.610,31.400,31.400,7025355.0,223000
2024-10-8,10:55,31.400,31.400,31.100,31.160,5937832.0,190000
2024-10-8,11:00,31.120,31.180,30.650,30.990,15367167.0,498300
2024-10-8,11:05,30.990,31.490,30.930,31.490,3884314.0,124700
2024-10-8,11:10,31.580,31.940,31.480,31.850,7921935.0,250200
2024-10-8,11:15,31.900,32.000,31.900,31.940,10203209.0,319300
2024-10-8,11:20,31.940,31.990,31.880,31.980,5057415.0,158400
2024-10-8,11:25,31.990,32.170,31.980,32.010,7035032.0,219600
2024-10-8,11:30,32.000,32.000,31.790,31.820,5572862.0,174700
2024-10-8,13:05,31.810,32.300,31.810,31.960,12528371.0,391300
2024-10-8,13:10,31.930,32.060,31.830,31.990,3653540.0,114300
2024-10-8,13:15,31.990,31.990,31.750,31.820,4756137.0,149300
2024-10-8,13:20,31.820,31.940,31.720,31.910,2793034.0,87700
2024-10-8,13:25,31.910,31.940,31.760,31.790,5046988.0,158300
2024-10-8,13:30,31.760,32.090,31.750,31.910,6188719.0,194100
2024-10-8,13:35,31.920,31.960,31.870,31.900,5089790.0,159500
2024-10-8,13:40,31.870,31.880,31.620,31.620,4803448.0,151200
2024-10-8,13:45,31.630,31.700,31.510,31.680,3778332.0,119500
2024-10-8,13:50,31.690,31.770,31.680,31.760,2948328.0,92900
2024-10-8,13:55,31.750,31.860,31.720,31.770,5645124.0,177600
2024-10-8,14:00,31.760,31.890,31.660,31.870,4503432.0,141800
2024-10-8,14:05,31.890,32.250,31.850,32.180,6123079.0,191000
2024-10-8,14:10,32.180,32.280,32.130,32.280,4894914.0,152000
2024-10-8,14:15,32.300,32.410,32.300,32.410,22843036.0,705100
2024-10-8,14:20,32.400,32.410,32.390,32.410,12780505.0,394400
2024-10-8,14:25,32.410,32.410,32.410,32.410,2449223.0,75600
2024-10-8,14:30,32.410,32.410,32.410,32.410,183927.0,5600
2024-10-8,14:35,32.410,32.410,32.410,32.410,218152.0,6800
2024-10-8,14:40,32.410,32.410,32.410,32.410,961216.0,29600
2024-10-8,14:45,32.410,32.410,32.410,32.410,580009.0,17900
2024-10-8,14:50,32.410,32.410,32.410,32.410,1137299.0,35100
2024-10-8,14:55,32.410,32.410,32.410,32.410,708548.0,21900
2024-10-8,15:00,32.410,32.410,32.410,32.410,883010.0,27200
2024-10-9,09:35,31.500,31.800,30.500,31.800,30022164.0,966300
2024-10-9,09:40,31.800,32.230,31.580,31.580,33688900.0,1055900
