日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,46.990,47.860,46.790,47.310,91618080.0,1939000
2024-9-30,09:40,47.300,47.900,46.720,46.720,48282628.0,1018400
2024-9-30,09:45,46.710,47.090,46.510,46.920,37075012.0,790800
2024-9-30,09:50,46.960,47.200,46.150,46.180,32134620.0,689100
2024-9-30,09:55,46.160,46.510,45.500,46.500,35642848.0,775100
2024-9-30,10:00,46.470,46.770,46.470,46.720,21044276.0,450900
2024-9-30,10:05,46.740,47.200,46.710,47.100,15032775.0,320200
2024-9-30,10:10,47.050,47.150,46.920,47.010,16076918.0,341800
2024-9-30,10:15,47.010,47.100,46.880,47.090,13894587.0,295600
2024-9-30,10:20,47.100,47.210,46.990,47.120,11248335.0,238900
2024-9-30,10:25,47.140,47.650,47.110,47.620,20524094.0,432900
2024-9-30,10:30,47.650,47.950,47.590,47.950,21018432.0,439500
2024-9-30,10:35,47.940,48.000,47.500,47.550,12720918.0,266200
2024-9-30,10:40,47.550,47.640,47.510,47.640,7400633.0,155500
2024-9-30,10:45,47.630,47.800,47.570,47.710,7542452.0,158000
2024-9-30,10:50,47.730,48.000,47.730,47.960,11142187.0,232500
2024-9-30,10:55,47.960,48.210,47.960,48.200,12633116.0,262600
2024-9-30,11:00,48.210,48.260,48.070,48.200,12530857.0,260100
2024-9-30,11:05,48.230,48.260,47.710,47.780,13479841.0,280900
2024-9-30,11:10,47.750,47.920,47.580,47.880,12578471.0,263800
2024-9-30,11:15,47.870,48.100,47.830,48.070,6074064.0,126700
2024-9-30,11:20,48.080,48.140,48.020,48.020,6708958.0,139500
2024-9-30,11:25,48.040,48.120,48.000,48.100,7728149.0,160800
2024-9-30,11:30,48.100,48.130,48.080,48.100,6228973.0,129500
2024-9-30,13:05,48.100,48.380,48.100,48.310,28539340.0,592000
2024-9-30,13:10,48.320,48.370,48.200,48.340,21429404.0,444000
2024-9-30,13:15,48.360,48.370,48.100,48.170,15023515.0,311100
2024-9-30,13:20,48.160,48.320,48.150,48.200,13318319.0,276200
2024-9-30,13:25,48.210,48.250,48.100,48.190,12823415.0,266300
2024-9-30,13:30,48.170,48.240,48.120,48.210,9976257.0,207000
2024-9-30,13:35,48.240,48.300,48.200,48.300,12951782.0,268400
2024-9-30,13:40,48.300,48.360,48.260,48.360,10153918.0,210100
2024-9-30,13:45,48.360,48.400,48.360,48.380,13901012.0,287300
