日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,4.440,4.460,4.430,4.440,128357272.0,28871200
2024-12-31,09:40,4.440,4.440,4.410,4.410,117946456.0,26672300
2024-12-31,09:45,4.420,4.420,4.400,4.400,79685952.0,18074000
2024-12-31,09:50,4.400,4.420,4.400,4.410,97517168.0,22121500
2024-12-31,09:55,4.410,4.410,4.390,4.400,157090912.0,35689800
2024-12-31,10:00,4.400,4.400,4.380,4.390,113450240.0,25836800
2024-12-31,10:05,4.390,4.410,4.390,4.410,119562064.0,27175800
2024-12-31,10:10,4.400,4.410,4.400,4.410,47291564.0,10743600
2024-12-31,10:15,4.400,4.440,4.400,4.430,144521200.0,32692900
2024-12-31,10:20,4.430,4.440,4.420,4.420,43482972.0,9818300
2024-12-31,10:25,4.430,4.470,4.420,4.460,187986896.0,42246000
2024-12-31,10:30,4.460,4.460,4.450,4.450,54627504.0,12262700
2024-12-31,10:35,4.450,4.460,4.430,4.450,55343040.0,12457100
2024-12-31,10:40,4.440,4.450,4.430,4.440,20143990.0,4538500
2024-12-31,10:45,4.430,4.440,4.430,4.440,20343060.0,4590100
2024-12-31,10:50,4.440,4.440,4.420,4.420,28483828.0,6434500
2024-12-31,10:55,4.420,4.430,4.420,4.430,32480892.0,7336500
2024-12-31,11:00,4.420,4.430,4.420,4.430,22081224.0,4990900
2024-12-31,11:05,4.430,4.430,4.410,4.420,35729488.0,8087100
2024-12-31,11:10,4.420,4.430,4.410,4.410,62936608.0,14241100
2024-12-31,11:15,4.410,4.420,4.410,4.420,26116878.0,5913600
2024-12-31,11:20,4.420,4.420,4.400,4.410,35092172.0,7955400
2024-12-31,11:25,4.410,4.420,4.400,4.420,84721528.0,19231700
2024-12-31,11:30,4.410,4.430,4.410,4.420,31077332.0,7030900
2024-12-31,13:05,4.410,4.420,4.400,4.410,41440588.0,9384700
2024-12-31,13:10,4.420,4.420,4.400,4.400,29899138.0,6776900
2024-12-31,13:15,4.410,4.410,4.400,4.400,14307624.0,3247300
2024-12-31,13:20,4.410,4.420,4.400,4.410,25348720.0,5745600
2024-12-31,13:25,4.420,4.420,4.410,4.420,16745071.0,3794000
2024-12-31,13:30,4.420,4.420,4.410,4.410,30414408.0,6893900
2024-12-31,13:35,4.400,4.410,4.390,4.400,49074120.0,11150700
2024-12-31,13:40,4.400,4.410,4.390,4.390,46106904.0,10480600
2024-12-31,13:45,4.400,4.400,4.390,4.400,20176120.0,4587400
2024-12-31,13:50,4.400,4.410,4.390,4.410,24014948.0,5455800
2024-12-31,13:55,4.410,4.410,4.390,4.400,37653152.0,8556800
2024-12-31,14:00,4.410,4.410,4.390,4.400,41880668.0,9513100
2024-12-31,14:05,4.410,4.410,4.390,4.410,52495016.0,11926700
2024-12-31,14:10,4.400,4.410,4.390,4.390,69426456.0,15777100
2024-12-31,14:15,4.400,4.400,4.390,4.390,42515360.0,9672900
2024-12-31,14:20,4.390,4.400,4.390,4.390,32364774.0,7366700
2024-12-31,14:25,4.390,4.400,4.380,4.390,95759464.0,21812400
2024-12-31,14:30,4.390,4.400,4.380,4.390,58121344.0,13240200
2024-12-31,14:35,4.380,4.400,4.380,4.390,84057872.0,19161800
2024-12-31,14:40,4.390,4.400,4.380,4.390,41757996.0,9512800
2024-12-31,14:45,4.390,4.420,4.380,4.410,147881664.0,33583300
2024-12-31,14:50,4.420,4.420,4.390,4.390,50922136.0,11562700
2024-12-31,14:55,4.400,4.410,4.390,4.400,235117280.0,53388200
2024-12-31,15:00,4.410,4.410,4.390,4.390,148659904.0,33779600
2025-1-2,09:35,4.390,4.400,4.320,4.350,354407264.0,81589200
2025-1-2,09:40,4.350,4.380,4.350,4.370,95251920.0,21821000
2025-1-2,09:45,4.370,4.400,4.370,4.380,92888976.0,21194800
2025-1-2,09:50,4.380,4.390,4.370,4.380,30118924.0,6876900
2025-1-2,09:55,4.370,4.390,4.370,4.380,32833110.0,7494400
2025-1-2,10:00,4.390,4.390,4.370,4.370,63181648.0,14419600
2025-1-2,10:05,4.370,4.390,4.370,4.370,31009858.0,7085100
2025-1-2,10:10,4.370,4.380,4.350,4.350,58325768.0,13361800
2025-1-2,10:15,4.360,4.360,4.330,4.340,114687168.0,26398300
2025-1-2,10:20,4.340,4.350,4.330,4.340,57325960.0,13214400
2025-1-2,10:25,4.340,4.340,4.330,4.340,71461088.0,16483100
2025-1-2,10:30,4.340,4.340,4.310,4.330,165966240.0,38370000
2025-1-2,10:35,4.330,4.330,4.320,4.320,44208048.0,10225100
2025-1-2,10:40,4.320,4.330,4.320,4.320,45948472.0,10616300
2025-1-2,10:45,4.320,4.330,4.310,4.310,93664864.0,21692700
2025-1-2,10:50,4.310,4.320,4.300,4.310,74633024.0,17313400
2025-1-2,10:55,4.320,4.350,4.310,4.340,89597248.0,20692600
