日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,12.140,12.170,12.080,12.100,26765544.0,2209600
2024-12-31,09:40,12.100,12.110,11.920,11.940,36787944.0,3064600
2024-12-31,09:45,11.940,11.950,11.880,11.880,50895720.0,4272000
2024-12-31,09:50,11.890,11.900,11.810,11.870,56388712.0,4760600
2024-12-31,09:55,11.870,11.870,11.770,11.830,52996312.0,4483700
2024-12-31,10:00,11.840,11.840,11.770,11.800,22447158.0,1902500
2024-12-31,10:05,11.810,11.860,11.800,11.860,11369894.0,961900
2024-12-31,10:10,11.850,11.890,11.840,11.850,9839860.0,829700
2024-12-31,10:15,11.860,11.890,11.850,11.870,7690866.0,647900
2024-12-31,10:20,11.870,11.900,11.860,11.870,8829257.0,743100
2024-12-31,10:25,11.870,11.900,11.850,11.850,7140529.0,601600
2024-12-31,10:30,11.850,11.890,11.850,11.870,6113879.0,514900
2024-12-31,10:35,11.880,11.880,11.810,11.810,11373818.0,961400
2024-12-31,10:40,11.820,11.850,11.810,11.830,5544758.0,468900
2024-12-31,10:45,11.840,11.880,11.820,11.840,6461562.0,545500
2024-12-31,10:50,11.850,11.850,11.810,11.820,6546560.0,553800
2024-12-31,10:55,11.810,11.840,11.800,11.800,6839697.0,578800
2024-12-31,11:00,11.800,11.810,11.780,11.800,15227441.0,1291000
2024-12-31,11:05,11.800,11.810,11.750,11.800,15522864.0,1318500
2024-12-31,11:10,11.800,11.800,11.760,11.760,10822758.0,919200
2024-12-31,11:15,11.750,11.810,11.750,11.770,13241413.0,1124400
2024-12-31,11:20,11.770,11.830,11.730,11.730,11125690.0,945300
2024-12-31,11:25,11.740,11.770,11.710,11.760,12714165.0,1083800
2024-12-31,11:30,11.760,11.800,11.740,11.740,6989601.0,594000
2024-12-31,13:05,11.750,11.770,11.720,11.730,10472440.0,892400
2024-12-31,13:10,11.750,11.750,11.700,11.700,10542657.0,900300
2024-12-31,13:15,11.700,11.720,11.680,11.690,9820338.0,839400
2024-12-31,13:20,11.690,11.710,11.670,11.680,15493198.0,1325200
2024-12-31,13:25,11.690,11.710,11.680,11.690,11927908.0,1020300
2024-12-31,13:30,11.700,11.710,11.670,11.680,8622316.0,737300
2024-12-31,13:35,11.670,11.680,11.620,11.640,18747882.0,1608700
2024-12-31,13:40,11.630,11.650,11.610,11.640,9871447.0,848700
2024-12-31,13:45,11.640,11.640,11.610,11.640,10007532.0,860700
2024-12-31,13:50,11.630,11.670,11.590,11.660,23837260.0,2051900
2024-12-31,13:55,11.670,11.670,11.610,11.630,12614581.0,1084900
2024-12-31,14:00,11.640,11.680,11.610,11.650,12233324.0,1050100
2024-12-31,14:05,11.660,11.670,11.630,11.640,9711015.0,833700
2024-12-31,14:10,11.650,11.660,11.610,11.620,15558625.0,1337900
2024-12-31,14:15,11.630,11.640,11.610,11.620,16249440.0,1398000
2024-12-31,14:20,11.630,11.650,11.620,11.630,9501067.0,816800
2024-12-31,14:25,11.630,11.660,11.620,11.630,8687710.0,746900
2024-12-31,14:30,11.640,11.660,11.560,11.570,19940640.0,1718800
2024-12-31,14:35,11.570,11.670,11.570,11.620,11559937.0,994700
2024-12-31,14:40,11.610,11.680,11.610,11.670,17570810.0,1508700
2024-12-31,14:45,11.670,11.690,11.630,11.690,12589622.0,1080000
2024-12-31,14:50,11.680,11.700,11.640,11.650,17452904.0,1493800
2024-12-31,14:55,11.650,11.650,11.580,11.590,24633612.0,2120500
2024-12-31,15:00,11.600,11.610,11.580,11.590,17159598.0,1480400
