日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,42.980,43.080,42.240,42.350,557577152.0,13081100
2024-12-31,09:40,42.350,42.350,41.820,41.850,298197376.0,7079400
2024-12-31,09:45,41.820,41.970,41.650,41.680,263699104.0,6310300
2024-12-31,09:50,41.660,41.940,41.420,41.930,209848288.0,5038900
2024-12-31,09:55,41.930,42.050,41.710,42.020,133279968.0,3178500
2024-12-31,10:00,42.040,42.050,41.660,41.860,108058032.0,2585900
2024-12-31,10:05,41.860,41.990,41.810,41.880,86830072.0,2072100
2024-12-31,10:10,41.870,42.000,41.710,41.860,80658560.0,1926600
2024-12-31,10:15,41.860,41.950,41.820,41.900,43603048.0,1041200
2024-12-31,10:20,41.890,42.000,41.760,41.950,60347332.0,1439900
2024-12-31,10:25,41.920,41.970,41.770,41.810,46578408.0,1112300
2024-12-31,10:30,41.810,41.920,41.800,41.890,30535714.0,729200
2024-12-31,10:35,41.900,41.900,41.790,41.790,40115724.0,958200
2024-12-31,10:40,41.790,41.790,41.600,41.700,68518192.0,1643900
2024-12-31,10:45,41.710,41.750,41.610,41.660,46475608.0,1115300
2024-12-31,10:50,41.670,41.740,41.630,41.640,35679768.0,855900
2024-12-31,10:55,41.650,41.750,41.580,41.670,44687780.0,1073400
2024-12-31,11:00,41.660,41.670,41.500,41.530,98596544.0,2372900
2024-12-31,11:05,41.550,41.550,41.350,41.530,104984544.0,2534300
2024-12-31,11:10,41.530,41.570,41.310,41.310,48395420.0,1167500
2024-12-31,11:15,41.310,41.620,41.300,41.540,59433344.0,1434500
2024-12-31,11:20,41.530,41.650,41.460,41.480,28353088.0,682300
2024-12-31,11:25,41.470,41.880,41.450,41.880,45414136.0,1090300
2024-12-31,11:30,41.870,41.870,41.700,41.810,35350536.0,845800
2024-12-31,13:05,41.820,41.890,41.600,41.710,42599200.0,1020200
2024-12-31,13:10,41.710,41.770,41.510,41.510,37595440.0,902200
2024-12-31,13:15,41.510,41.530,41.360,41.400,50572988.0,1220900
2024-12-31,13:20,41.390,41.410,41.100,41.110,105837456.0,2565500
2024-12-31,13:25,41.120,41.360,41.120,41.300,41542324.0,1006800
2024-12-31,13:30,41.300,41.350,41.270,41.270,26662934.0,645200
2024-12-31,13:35,41.260,41.280,41.200,41.250,41338200.0,1002400
