日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,142.710,146.520,142.710,145.410,21008752.0,144800
2025-3-31,09:40,145.690,145.690,144.360,144.580,5477055.0,37800
2025-3-31,09:45,144.730,144.730,141.550,141.800,11943626.0,83300
2025-3-31,09:50,142.000,142.660,141.000,142.660,7049966.0,49800
2025-3-31,09:55,142.510,143.800,142.140,143.700,5078568.0,35400
2025-3-31,10:00,143.690,144.780,143.210,143.900,2910762.0,20200
2025-3-31,10:05,144.180,145.360,144.060,145.120,6457062.0,44600
2025-3-31,10:10,144.760,146.000,144.760,146.000,6933477.0,47700
2025-3-31,10:15,146.130,146.830,146.130,146.440,8307681.0,56700
2025-3-31,10:20,146.450,146.900,145.880,146.570,7387997.0,50400
2025-3-31,10:25,146.560,146.560,145.800,146.490,5497740.0,37600
2025-3-31,10:30,146.500,146.800,146.210,146.510,4896509.0,33400
2025-3-31,10:35,146.520,147.200,146.000,146.600,9694005.0,66100
2025-3-31,10:40,146.340,146.600,145.620,145.980,1298041.0,8900
2025-3-31,10:45,145.800,145.900,145.440,145.680,2588935.0,17800
2025-3-31,10:50,145.610,145.610,144.810,145.260,1889390.0,13000
2025-3-31,10:55,145.260,145.450,144.940,144.950,1530837.0,10500
2025-3-31,11:00,145.000,145.220,144.400,144.440,2355508.0,16300
2025-3-31,11:05,144.440,144.760,144.150,144.150,1633846.0,11300
2025-3-31,11:10,144.270,144.360,143.820,143.900,2567877.0,17800
2025-3-31,11:15,143.900,144.520,143.850,143.880,3110083.0,21600
2025-3-31,11:20,144.170,144.350,144.050,144.330,958002.0,6600
2025-3-31,11:25,144.330,144.330,142.730,143.110,4109445.0,28700
2025-3-31,11:30,143.120,143.120,142.460,142.790,4064754.0,28500
2025-3-31,13:05,142.580,143.950,141.550,143.490,9348121.0,65600
2025-3-31,13:10,143.530,143.740,143.170,143.330,1415636.0,9900
2025-3-31,13:15,143.670,144.500,143.260,144.130,2497499.0,17300
2025-3-31,13:20,144.270,144.500,144.000,144.160,1404571.0,9800
2025-3-31,13:25,143.900,143.940,143.330,143.730,945576.0,6500
2025-3-31,13:30,143.510,143.740,143.200,143.270,1279885.0,9000
2025-3-31,13:35,143.000,143.270,142.750,143.190,1739334.0,12100
2025-3-31,13:40,142.920,143.400,142.750,143.400,1355804.0,9500
2025-3-31,13:45,143.160,143.160,142.370,142.440,1737980.0,12200
2025-3-31,13:50,142.380,142.600,142.100,142.260,1485125.0,10400
2025-3-31,13:55,142.270,142.670,142.260,142.670,498315.0,3500
2025-3-31,14:00,142.960,142.960,142.550,142.810,567885.0,4000
2025-3-31,14:05,142.510,142.590,142.100,142.510,1854649.0,13000
2025-3-31,14:10,142.530,143.500,142.520,142.980,1149609.0,8100
2025-3-31,14:15,142.950,143.870,142.910,143.270,2023631.0,14100
2025-3-31,14:20,143.130,143.980,143.130,143.890,2002971.0,13900
