日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,167.000,170.500,167.000,168.770,36878456.0,218200
2025-3-31,09:40,169.000,169.360,167.760,168.000,15366535.0,91200
2025-3-31,09:45,167.870,168.870,167.190,167.420,12254630.0,72800
2025-3-31,09:50,167.320,167.710,166.660,167.000,12163870.0,72800
2025-3-31,09:55,167.000,167.920,166.660,167.920,8759595.0,52400
2025-3-31,10:00,167.930,168.160,167.300,167.330,12516638.0,74600
2025-3-31,10:05,167.490,168.680,167.130,168.210,14250814.0,84900
2025-3-31,10:10,168.330,169.880,168.330,169.580,14386196.0,85000
2025-3-31,10:15,169.370,169.640,168.060,168.160,8395086.0,49700
2025-3-31,10:20,168.400,168.570,167.550,167.550,8010730.0,47600
2025-3-31,10:25,167.500,167.760,167.430,167.490,9192433.0,54900
2025-3-31,10:30,167.510,168.060,167.510,167.680,5749664.0,34300
2025-3-31,10:35,167.680,167.770,167.180,167.350,4069821.0,24300
2025-3-31,10:40,167.270,167.430,167.140,167.220,3824259.0,22800
2025-3-31,10:45,167.300,167.300,167.030,167.260,5240963.0,31400
2025-3-31,10:50,167.250,167.310,166.730,166.800,8083400.0,48400
2025-3-31,10:55,166.800,166.910,166.300,166.330,9554964.0,57300
2025-3-31,11:00,166.330,166.910,166.290,166.300,8115221.0,48800
2025-3-31,11:05,166.300,167.290,166.300,167.000,8040249.0,48200
2025-3-31,11:10,167.000,167.000,166.470,166.960,6494703.0,38900
2025-3-31,11:15,166.960,167.120,166.670,166.910,4850141.0,29100
2025-3-31,11:20,166.840,167.330,166.780,166.840,4188183.0,25000
2025-3-31,11:25,166.940,167.330,166.230,166.270,6347734.0,38100
2025-3-31,11:30,166.300,166.500,166.240,166.350,3805883.0,22900
2025-3-31,13:05,166.490,166.490,165.650,166.300,8833119.0,53200
2025-3-31,13:10,166.140,166.370,165.960,166.070,3336964.0,20100
2025-3-31,13:15,166.130,166.660,166.050,166.260,5745852.0,34500
2025-3-31,13:20,166.260,166.430,166.000,166.020,4397476.0,26500
2025-3-31,13:25,166.010,166.090,165.350,165.350,8399245.0,50600
2025-3-31,13:30,165.300,165.600,164.880,165.160,12261393.0,74200
2025-3-31,13:35,165.190,165.340,164.560,164.590,10803986.0,65500
2025-3-31,13:40,164.560,164.750,164.000,164.250,23441404.0,142800
2025-3-31,13:45,164.230,164.400,163.860,163.960,6916290.0,42100
2025-3-31,13:50,163.800,163.950,163.010,163.480,14313897.0,87500
2025-3-31,13:55,163.330,163.790,163.110,163.590,13178776.0,80700
2025-3-31,14:00,163.520,164.050,163.490,164.050,12901438.0,78800
2025-3-31,14:05,164.130,164.130,163.530,163.850,3309635.0,20200
2025-3-31,14:10,163.950,164.480,163.840,164.300,5354268.0,32700
2025-3-31,14:15,164.190,164.960,164.110,164.870,6318419.0,38400
2025-3-31,14:20,164.690,165.570,164.690,165.080,7854900.0,47600
2025-3-31,14:25,165.080,165.980,164.830,165.350,5756339.0,34800
2025-3-31,14:30,165.500,165.500,164.630,164.930,5541026.0,33500
2025-3-31,14:35,164.770,165.480,164.720,165.000,10019312.0,60700
2025-3-31,14:40,164.880,165.560,164.850,165.300,3267534.0,19800
2025-3-31,14:45,165.110,165.310,165.000,165.010,7962757.0,48300
2025-3-31,14:50,165.010,165.690,165.010,165.340,7205625.0,43500
2025-3-31,14:55,165.350,165.600,165.340,165.380,5882873.0,35600
2025-3-31,15:00,165.380,165.480,165.090,165.350,6612712.0,40000
2025-4-1,09:35,166.070,166.450,165.450,166.030,21407352.0,129000
2025-4-1,09:40,166.000,166.450,165.390,166.380,16914104.0,102000
2025-4-1,09:45,166.550,166.700,165.720,166.240,9093506.0,54700
2025-4-1,09:50,166.280,166.570,165.960,166.180,7948159.0,47800
2025-4-1,09:55,166.200,166.760,166.070,166.530,7627003.0,45800
2025-4-1,10:00,166.520,167.290,166.050,166.520,12040136.0,72200
2025-4-1,10:05,166.500,167.330,166.500,167.330,9818898.0,58800
2025-4-1,10:10,167.340,167.670,167.070,167.280,8329030.0,49800
2025-4-1,10:15,167.140,168.000,167.070,168.000,10631199.0,63400
2025-4-1,10:20,168.010,168.490,167.800,168.070,13348293.0,79400
2025-4-1,10:25,168.220,168.490,167.800,168.490,9152174.0,54500
2025-4-1,10:30,168.300,168.720,168.210,168.210,12431951.0,73700
2025-4-1,10:35,168.190,168.200,167.530,167.530,7086859.0,42200
2025-4-1,10:40,167.710,167.870,167.110,167.870,7128430.0,42600
2025-4-1,10:45,167.780,168.680,167.680,168.630,6405932.0,38100
2025-4-1,10:50,168.630,169.180,168.430,168.650,15768504.0,93400
2025-4-1,10:55,168.760,168.990,168.390,168.550,4887000.0,29000
2025-4-1,11:00,168.550,168.660,168.030,168.040,4271535.0,25400
2025-4-1,11:05,168.040,168.400,167.900,167.950,4960425.0,29500
2025-4-1,11:10,167.900,167.900,167.570,167.740,3022163.0,18000
2025-4-1,11:15,167.740,168.000,167.710,167.980,2977473.0,17800
2025-4-1,11:20,167.950,168.280,167.750,168.150,3727607.0,22100
2025-4-1,11:25,168.320,168.680,168.090,168.130,4262273.0,25400
2025-4-1,11:30,168.130,168.160,167.800,167.810,2993937.0,17800
2025-4-1,13:05,167.890,170.340,167.710,169.950,35360748.0,208500
2025-4-1,13:10,169.670,170.440,169.360,170.370,19506992.0,114900
2025-4-1,13:15,170.330,170.350,169.720,169.820,16267979.0,95600
2025-4-1,13:20,169.970,170.060,169.480,169.680,6724010.0,39600
2025-4-1,13:25,169.660,169.680,168.980,169.660,7659729.0,45200
