日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,30.000,31.000,29.690,30.670,68525976.0,2245600
2025-3-31,09:40,30.680,30.770,30.090,30.330,28622108.0,941700
2025-3-31,09:45,30.300,30.430,30.140,30.230,20004200.0,660400
2025-3-31,09:50,30.230,30.300,29.870,30.020,30664984.0,1021400
2025-3-31,09:55,30.000,30.170,29.900,30.060,13386758.0,445800
2025-3-31,10:00,30.080,30.130,29.940,29.970,8256683.0,275200
2025-3-31,10:05,29.990,30.010,29.800,29.800,15467653.0,517300
2025-3-31,10:10,29.800,29.850,29.600,29.630,11797361.0,397100
2025-3-31,10:15,29.620,29.630,29.300,29.380,26297768.0,894500
2025-3-31,10:20,29.340,29.400,29.240,29.260,16490153.0,562500
2025-3-31,10:25,29.270,29.300,29.130,29.190,11564168.0,395900
2025-3-31,10:30,29.180,29.250,28.990,29.130,18907066.0,650000
2025-3-31,10:35,29.130,29.250,29.110,29.220,8574585.0,293800
2025-3-31,10:40,29.230,29.290,29.080,29.160,6382073.0,218700
2025-3-31,10:45,29.160,29.230,28.950,29.080,11628525.0,400200
2025-3-31,10:50,29.080,29.120,28.980,29.090,7732396.0,266200
2025-3-31,10:55,29.090,29.140,28.930,29.020,8752332.0,301400
2025-3-31,11:00,29.020,29.180,28.970,29.010,5428698.0,186900
2025-3-31,11:05,28.970,29.180,28.960,29.020,5285712.0,181800
2025-3-31,11:10,29.000,29.140,28.980,29.120,4934189.0,169900
2025-3-31,11:15,29.120,29.120,29.000,29.090,4514954.0,155400
2025-3-31,11:20,29.090,29.140,28.950,29.080,6474025.0,222800
2025-3-31,11:25,29.080,29.160,28.920,28.940,5365283.0,184900
2025-3-31,11:30,28.940,29.000,28.930,28.990,4212696.0,145500
2025-3-31,13:05,28.990,29.170,28.970,29.090,7998785.0,275500
2025-3-31,13:10,29.110,29.580,29.090,29.550,6902409.0,235600
2025-3-31,13:15,29.570,29.740,29.560,29.670,12259828.0,412900
2025-3-31,13:20,29.670,29.680,29.400,29.420,7860784.0,265900
2025-3-31,13:25,29.410,29.450,29.320,29.450,3785754.0,128800
2025-3-31,13:30,29.440,29.450,29.250,29.340,4496590.0,153000
2025-3-31,13:35,29.330,29.360,29.200,29.230,4146122.0,141600
2025-3-31,13:40,29.230,29.340,29.210,29.340,4211135.0,144000
2025-3-31,13:45,29.330,29.330,29.210,29.290,3836539.0,131100
2025-3-31,13:50,29.300,29.320,29.230,29.270,2567609.0,87700
2025-3-31,13:55,29.270,29.300,29.230,29.260,3481054.0,118900
2025-3-31,14:00,29.260,29.310,29.240,29.310,2644042.0,90300
2025-3-31,14:05,29.300,29.350,29.240,29.290,3806827.0,130000
2025-3-31,14:10,29.300,29.440,29.290,29.410,5470361.0,186200
2025-3-31,14:15,29.400,29.550,29.400,29.520,8567942.0,290600
2025-3-31,14:20,29.510,29.730,29.510,29.570,10880235.0,367200
