日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,49.480,50.160,49.030,49.320,13790902.0,279000
2025-3-31,09:40,49.300,49.470,49.180,49.300,8702467.0,176400
2025-3-31,09:45,49.340,49.390,49.100,49.110,4704451.0,95600
2025-3-31,09:50,49.100,49.200,48.830,49.150,8628043.0,176000
2025-3-31,09:55,49.110,49.150,48.900,49.150,3936446.0,80400
2025-3-31,10:00,49.170,49.650,49.100,49.650,4579726.0,92800
2025-3-31,10:05,49.600,49.890,49.470,49.860,3980850.0,80100
2025-3-31,10:10,49.850,49.990,49.600,49.850,4548734.0,91300
2025-3-31,10:15,49.850,49.850,49.610,49.730,1894884.0,38100
2025-3-31,10:20,49.660,49.720,49.550,49.580,2457915.0,49500
2025-3-31,10:25,49.560,49.630,49.480,49.490,1952206.0,39400
2025-3-31,10:30,49.490,49.510,49.410,49.410,1399073.0,28300
2025-3-31,10:35,49.400,49.400,49.180,49.250,3790849.0,76900
2025-3-31,10:40,49.250,49.300,49.030,49.160,3857020.0,78500
2025-3-31,10:45,49.170,49.170,49.030,49.040,2792994.0,57000
2025-3-31,10:50,49.090,49.220,49.090,49.140,2637126.0,53600
2025-3-31,10:55,49.140,49.200,48.920,48.930,4068558.0,83000
2025-3-31,11:00,48.930,49.150,48.930,49.100,2700754.0,55100
2025-3-31,11:05,49.110,49.110,48.990,49.010,1789492.0,36500
2025-3-31,11:10,49.000,49.010,48.940,48.980,1421440.0,29000
2025-3-31,11:15,48.980,49.020,48.920,49.020,1778803.0,36300
2025-3-31,11:20,49.010,49.230,49.010,49.120,1592689.0,32400
2025-3-31,11:25,49.180,49.180,48.690,48.700,5035550.0,103100
2025-3-31,11:30,48.700,48.850,48.700,48.850,1560331.0,32000
2025-3-31,13:05,48.840,49.280,48.750,49.140,4177742.0,85400
2025-3-31,13:10,49.170,49.280,49.020,49.180,1218223.0,24800
2025-3-31,13:15,49.260,49.280,49.000,49.240,1171561.0,23800
2025-3-31,13:20,49.240,49.270,49.040,49.040,1320893.0,26900
2025-3-31,13:25,49.040,49.070,48.890,49.020,2240389.0,45800
2025-3-31,13:30,49.020,49.100,49.010,49.040,1481526.0,30200
2025-3-31,13:35,49.030,49.030,48.890,48.980,1718238.0,35100
2025-3-31,13:40,48.980,48.980,48.910,48.960,1307110.0,26700
2025-3-31,13:45,49.000,49.040,48.800,48.800,4057525.0,82900
2025-3-31,13:50,48.800,48.860,48.780,48.800,1415718.0,29000
2025-3-31,13:55,48.780,48.800,48.740,48.800,1024756.0,21000
2025-3-31,14:00,48.810,48.900,48.760,48.890,1484857.0,30500
2025-3-31,14:05,48.890,48.930,48.770,48.920,1328635.0,27200
2025-3-31,14:10,48.930,49.290,48.930,49.290,1863002.0,37900
2025-3-31,14:15,49.290,49.570,49.200,49.490,2648431.0,53600
2025-3-31,14:20,49.490,49.780,49.450,49.660,3873686.0,78100
2025-3-31,14:25,49.690,49.960,49.580,49.800,4827616.0,96900
2025-3-31,14:30,49.770,49.820,49.510,49.610,1862826.0,37500
2025-3-31,14:35,49.610,49.720,49.560,49.620,2482064.0,50100
2025-3-31,14:40,49.620,49.800,49.600,49.740,2438962.0,49000
2025-3-31,14:45,49.730,49.810,49.690,49.810,2327108.0,46800
2025-3-31,14:50,49.800,49.880,49.800,49.850,2839951.0,57000
2025-3-31,14:55,49.850,49.890,49.740,49.840,3379038.0,67800
2025-3-31,15:00,49.840,49.890,49.830,49.860,3595822.0,72100
2025-4-1,09:35,50.180,51.950,50.180,51.930,37369816.0,727900
2025-4-1,09:40,52.180,52.540,51.710,52.300,40351624.0,772900
2025-4-1,09:45,52.290,52.290,51.760,51.860,13266955.0,255400
2025-4-1,09:50,51.860,51.860,51.610,51.850,7867796.0,152100
2025-4-1,09:55,51.750,51.950,51.650,51.890,8519998.0,164400
2025-4-1,10:00,51.730,51.960,51.580,51.820,5681411.0,109700
2025-4-1,10:05,51.790,51.950,51.700,51.950,3628124.0,70100
2025-4-1,10:10,51.910,51.990,51.780,51.800,3616873.0,69700
2025-4-1,10:15,51.800,51.910,51.750,51.910,3335630.0,64300
2025-4-1,10:20,51.910,51.980,51.680,51.770,5773918.0,111400
2025-4-1,10:25,51.770,51.850,51.710,51.710,2386596.0,46100
2025-4-1,10:30,51.750,51.790,51.580,51.580,2816221.0,54500
2025-4-1,10:35,51.560,51.800,51.560,51.800,2972344.0,57600
2025-4-1,10:40,51.770,51.820,51.560,51.800,2566239.0,49600
2025-4-1,10:45,51.760,51.800,51.710,51.790,2264837.0,43800
2025-4-1,10:50,51.780,51.920,51.720,51.920,1439652.0,27800
2025-4-1,10:55,51.930,51.980,51.800,51.870,1897030.0,36500
