日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,56.520,56.930,56.290,56.890,36175296.0,638400
2025-6-30,09:40,56.790,57.140,56.770,57.120,31113802.0,546000
2025-6-30,09:45,57.130,57.230,56.900,57.000,25682556.0,449900
2025-6-30,09:50,57.070,57.080,56.970,57.000,16068559.0,281800
2025-6-30,09:55,57.000,57.170,57.000,57.110,16705650.0,292600
2025-6-30,10:00,57.110,57.120,57.030,57.090,13195596.0,231100
2025-6-30,10:05,57.080,57.080,56.880,56.950,15816724.0,277700
2025-6-30,10:10,56.950,57.030,56.890,56.920,9694074.0,170200
2025-6-30,10:15,56.920,57.110,56.860,57.010,8078990.0,141800
2025-6-30,10:20,57.010,57.090,56.990,57.020,9304086.0,163100
2025-6-30,10:25,57.030,57.090,57.010,57.080,9289590.0,162800
2025-6-30,10:30,57.070,57.140,57.050,57.120,9742143.0,170600
2025-6-30,10:35,57.120,57.280,57.080,57.260,17045764.0,298100
2025-6-30,10:40,57.260,57.390,57.140,57.340,24621378.0,429600
2025-6-30,10:45,57.330,57.330,57.230,57.270,6386107.0,111500
2025-6-30,10:50,57.260,57.280,57.130,57.130,7168539.0,125300
2025-6-30,10:55,57.120,57.150,57.040,57.110,7074102.0,123900
2025-6-30,11:00,57.100,57.160,57.080,57.100,4236928.0,74200
2025-6-30,11:05,57.090,57.140,56.940,56.950,11872057.0,208200
2025-6-30,11:10,56.970,57.030,56.900,56.910,11095168.0,194800
2025-6-30,11:15,56.910,57.000,56.910,56.970,5062513.0,88900
2025-6-30,11:20,56.970,57.040,56.950,56.960,6669249.0,117000
2025-6-30,11:25,56.970,57.080,56.970,57.050,2517145.0,44100
2025-6-30,11:30,57.060,57.100,57.020,57.050,4707811.0,82500
2025-6-30,13:05,57.040,57.040,56.930,56.990,9695471.0,170100
2025-6-30,13:10,56.990,57.100,56.970,57.090,5177821.0,90800
2025-6-30,13:15,57.090,57.140,57.070,57.080,7195444.0,126000
2025-6-30,13:20,57.090,57.180,57.060,57.180,6871287.0,120300
2025-6-30,13:25,57.180,57.190,57.130,57.170,9169534.0,160400
2025-6-30,13:30,57.170,57.170,57.120,57.160,3857344.0,67500
2025-6-30,13:35,57.170,57.220,57.110,57.150,10504029.0,183700
2025-6-30,13:40,57.150,57.200,57.120,57.120,5556873.0,97200
2025-6-30,13:45,57.120,57.130,56.980,57.010,10224862.0,179200
2025-6-30,13:50,57.020,57.050,56.980,57.050,7801400.0,136800
2025-6-30,13:55,57.050,57.050,56.930,57.030,10350266.0,181600
2025-6-30,14:00,57.030,57.040,56.970,56.990,5237988.0,91900
2025-6-30,14:05,56.980,57.080,56.980,57.060,5771018.0,101200
2025-6-30,14:10,57.080,57.160,57.070,57.140,8344772.0,146100
2025-6-30,14:15,57.140,57.150,57.060,57.060,7043077.0,123400
2025-6-30,14:20,57.090,57.100,56.990,57.010,10763360.0,188700
2025-6-30,14:25,57.040,57.100,57.020,57.060,4388286.0,76900
2025-6-30,14:30,57.060,57.130,57.030,57.120,8350771.0,146300
2025-6-30,14:35,57.110,57.150,57.110,57.120,10625969.0,186000
2025-6-30,14:40,57.120,57.150,57.120,57.150,10335373.0,180900
2025-6-30,14:45,57.150,57.260,57.150,57.220,19719402.0,344700
2025-6-30,14:50,57.210,57.230,57.190,57.220,15383806.0,268900
2025-6-30,14:55,57.220,57.290,57.200,57.270,26723960.0,466700
2025-6-30,15:00,57.250,57.260,57.130,57.220,25870458.0,452200
2025-7-1,09:35,57.050,57.190,56.760,56.930,28541328.0,501800
2025-7-1,09:40,56.880,56.960,56.770,56.900,23353372.0,410600
2025-7-1,09:45,56.900,56.900,56.700,56.720,20203436.0,355800
2025-7-1,09:50,56.720,56.790,56.570,56.600,23345664.0,411700
2025-7-1,09:55,56.600,56.860,56.580,56.840,15634799.0,275800
2025-7-1,10:00,56.840,57.080,56.830,57.030,10389029.0,182400
2025-7-1,10:05,57.030,57.150,57.000,57.080,12760777.0,223600
2025-7-1,10:10,57.080,57.210,57.050,57.140,12196749.0,213500
2025-7-1,10:15,57.140,57.290,57.090,57.180,9783443.0,171000
2025-7-1,10:20,57.180,57.200,57.070,57.150,6787763.0,118800
2025-7-1,10:25,57.140,57.190,57.040,57.040,7681919.0,134500
2025-7-1,10:30,57.050,57.130,56.990,57.000,11801750.0,206900
2025-7-1,10:35,57.000,57.000,56.810,56.900,9683467.0,170200
2025-7-1,10:40,56.900,56.950,56.810,56.810,8111320.0,142600
2025-7-1,10:45,56.820,56.860,56.730,56.790,9846013.0,173400
2025-7-1,10:50,56.790,56.880,56.770,56.810,7614816.0,134000
2025-7-1,10:55,56.810,56.820,56.680,56.790,9022271.0,159000
2025-7-1,11:00,56.720,56.900,56.720,56.890,5553889.0,97700
2025-7-1,11:05,56.890,56.890,56.750,56.760,2796141.0,49200
2025-7-1,11:10,56.770,56.770,56.620,56.640,6667501.0,117600
2025-7-1,11:15,56.650,56.670,56.600,56.620,6155369.0,108700
2025-7-1,11:20,56.600,56.630,56.500,56.510,12586549.0,222600
2025-7-1,11:25,56.500,56.650,56.500,56.580,4413718.0,78000
2025-7-1,11:30,56.600,56.640,56.590,56.610,3130199.0,55300
2025-7-1,13:05,56.620,56.750,56.610,56.700,3270147.0,57700
2025-7-1,13:10,56.690,56.770,56.690,56.700,2405254.0,42400
2025-7-1,13:15,56.710,56.830,56.690,56.710,4374581.0,77100
2025-7-1,13:20,56.710,56.730,56.700,56.720,3306241.0,58300
