日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,102.120,102.880,101.890,102.510,44916696.0,438600
2025-6-30,09:40,102.380,103.000,102.240,102.380,26012542.0,253500
2025-6-30,09:45,102.370,102.450,101.880,102.030,31627384.0,309600
2025-6-30,09:50,102.050,102.280,101.920,102.190,19242410.0,188500
2025-6-30,09:55,102.190,102.270,101.920,102.270,10441320.0,102300
2025-6-30,10:00,102.240,102.400,102.120,102.350,11252283.0,110100
2025-6-30,10:05,102.350,102.360,101.760,101.880,22774652.0,223300
2025-6-30,10:10,101.900,101.990,101.870,101.900,14981574.0,147000
2025-6-30,10:15,101.960,102.060,101.900,102.050,8975522.0,88000
2025-6-30,10:20,102.000,102.050,101.750,101.750,11024549.0,108200
2025-6-30,10:25,101.730,101.980,101.700,101.950,10863479.0,106700
2025-6-30,10:30,101.950,102.310,101.930,102.210,9225999.0,90300
2025-6-30,10:35,102.260,102.290,102.030,102.090,6293747.0,61600
2025-6-30,10:40,102.090,102.120,101.950,102.000,4908218.0,48100
2025-6-30,10:45,102.020,102.090,101.950,102.000,4875614.0,47800
2025-6-30,10:50,101.990,102.090,101.890,101.890,5852153.0,57400
2025-6-30,10:55,101.890,102.030,101.880,101.880,5657884.0,55500
2025-6-30,11:00,101.860,101.930,101.810,101.860,4828106.0,47400
2025-6-30,11:05,101.850,101.910,101.750,101.760,9022362.0,88600
2025-6-30,11:10,101.750,101.830,101.750,101.750,6422238.0,63100
2025-6-30,11:15,101.750,101.790,101.700,101.790,7049692.0,69300
2025-6-30,11:20,101.790,101.830,101.780,101.780,3919075.0,38500
2025-6-30,11:25,101.780,101.780,101.680,101.690,6326929.0,62200
2025-6-30,11:30,101.680,101.770,101.680,101.770,4617944.0,45400
2025-6-30,13:05,101.800,101.900,101.700,101.880,9140579.0,89800
2025-6-30,13:10,101.890,101.920,101.700,101.700,8570143.0,84200
2025-6-30,13:15,101.700,102.050,101.700,101.880,11233444.0,110300
2025-6-30,13:20,101.870,102.100,101.870,102.080,5936909.0,58200
2025-6-30,13:25,102.080,102.100,101.860,102.020,7968138.0,78100
2025-6-30,13:30,102.020,102.160,101.860,102.100,7448200.0,73000
2025-6-30,13:35,102.090,102.100,101.930,101.970,6181512.0,60600
2025-6-30,13:40,101.970,102.010,101.910,101.930,5669975.0,55600
2025-6-30,13:45,101.920,102.010,101.860,101.860,5240093.0,51400
2025-6-30,13:50,101.860,102.030,101.830,101.980,6208655.0,60900
2025-6-30,13:55,101.980,101.980,101.780,101.780,9073427.0,89100
2025-6-30,14:00,101.790,101.800,101.760,101.770,5435119.0,53400
2025-6-30,14:05,101.770,101.840,101.770,101.840,5792510.0,56900
2025-6-30,14:10,101.840,101.970,101.830,101.850,6968074.0,68400
2025-6-30,14:15,101.860,101.860,101.750,101.770,8030670.0,78900
2025-6-30,14:20,101.750,101.750,101.700,101.720,9683892.0,95200
2025-6-30,14:25,101.720,101.760,101.710,101.760,8311186.0,81700
2025-6-30,14:30,101.760,101.910,101.740,101.890,4102946.0,40300
2025-6-30,14:35,101.890,101.890,101.790,101.850,3381234.0,33200
2025-6-30,14:40,101.850,101.850,101.800,101.830,5325129.0,52300
2025-6-30,14:45,101.830,101.940,101.820,101.830,7100296.0,69700
2025-6-30,14:50,101.830,101.900,101.830,101.880,10146390.0,99600
2025-6-30,14:55,101.900,102.070,101.880,102.070,11613783.0,113900
2025-6-30,15:00,102.040,102.130,102.030,102.130,19216630.0,188200
2025-7-1,09:35,101.800,102.000,101.260,101.700,22928736.0,225700
2025-7-1,09:40,101.790,102.280,101.580,102.020,19850504.0,194800
2025-7-1,09:45,102.020,102.020,101.390,101.500,21360574.0,210200
2025-7-1,09:50,101.500,101.740,101.410,101.580,16595898.0,163500
2025-7-1,09:55,101.580,101.580,101.470,101.490,7652937.0,75400
2025-7-1,10:00,101.470,101.720,101.460,101.580,7813357.0,76900
2025-7-1,10:05,101.580,101.600,101.420,101.450,6980409.0,68800
2025-7-1,10:10,101.460,101.510,101.420,101.510,4250612.0,41900
2025-7-1,10:15,101.580,101.610,101.500,101.610,5361095.0,52800
2025-7-1,10:20,101.620,101.620,101.490,101.490,5523560.0,54400
2025-7-1,10:25,101.490,101.740,101.490,101.710,3604729.5,35500
2025-7-1,10:30,101.710,101.710,101.500,101.560,3048962.25,30000
2025-7-1,10:35,101.500,101.690,101.500,101.630,4916192.0,48400
2025-7-1,10:40,101.640,101.760,101.620,101.680,4117973.0,40500
2025-7-1,10:45,101.630,101.630,101.550,101.560,6440599.0,63400
2025-7-1,10:50,101.560,101.580,101.500,101.510,3177641.0,31300
2025-7-1,10:55,101.510,101.510,101.420,101.430,5022686.0,49500
2025-7-1,11:00,101.430,102.770,101.420,102.400,38690356.0,377900
2025-7-1,11:05,102.390,102.500,102.250,102.400,16317770.0,159400
2025-7-1,11:10,102.420,102.530,102.220,102.440,9718428.0,94900
2025-7-1,11:15,102.450,102.690,102.400,102.500,16087314.0,156900
2025-7-1,11:20,102.500,102.570,102.200,102.390,10380058.0,101400
2025-7-1,11:25,102.290,102.690,102.290,102.490,11485694.0,112000
2025-7-1,11:30,102.480,102.480,102.250,102.340,3387450.0,33100
2025-7-1,13:05,102.350,102.390,102.070,102.090,6114561.0,59800
2025-7-1,13:10,102.120,102.320,102.100,102.310,3158285.0,30900
2025-7-1,13:15,102.340,102.380,102.220,102.310,2318984.25,22700
2025-7-1,13:20,102.310,102.310,102.220,102.260,2273460.75,22200
2025-7-1,13:25,102.250,102.260,102.230,102.240,2729865.0,26700
2025-7-1,13:30,102.240,102.380,102.230,102.350,4343367.0,42500
2025-7-1,13:35,102.370,102.370,102.290,102.290,2486278.0,24300
2025-7-1,13:40,102.280,102.310,102.230,102.250,1789678.0,17500
2025-7-1,13:45,102.240,102.250,102.130,102.140,4926584.0,48200
2025-7-1,13:50,102.140,102.250,102.140,102.220,2248127.0,22000
2025-7-1,13:55,102.210,102.210,102.160,102.170,1726978.0,16900
2025-7-1,14:00,102.180,102.250,102.170,102.200,3393115.0,33200
2025-7-1,14:05,102.170,102.170,102.040,102.140,4840933.0,47400
2025-7-1,14:10,102.130,102.150,102.120,102.120,2287786.0,22400
2025-7-1,14:15,102.120,102.140,102.070,102.080,2461067.0,24100
2025-7-1,14:20,102.080,102.130,102.000,102.130,4662790.0,45700
2025-7-1,14:25,102.130,102.130,101.980,101.980,2938891.0,28800
2025-7-1,14:30,101.980,102.130,101.940,102.100,4998477.0,49000
2025-7-1,14:35,102.090,102.100,101.970,101.980,2285484.0,22400
2025-7-1,14:40,101.990,102.120,101.980,102.090,4204828.0,41200
2025-7-1,14:45,102.090,102.100,101.980,102.090,4704333.0,46100
2025-7-1,14:50,102.080,102.140,102.080,102.090,6320949.0,61900
2025-7-1,14:55,102.090,102.160,102.090,102.110,5647908.0,55300
2025-7-1,15:00,102.110,102.140,102.100,102.120,5415376.0,53000
2025-7-2,09:35,101.800,101.800,101.110,101.420,24039096.0,237100
2025-7-2,09:40,101.440,101.460,101.010,101.010,34698656.0,342900
2025-7-2,09:45,101.020,101.430,101.010,101.250,10195356.0,100800
2025-7-2,09:50,101.260,101.580,101.130,101.330,11491450.0,113500
2025-7-2,09:55,101.300,101.330,101.130,101.130,6670580.0,65900
2025-7-2,10:00,101.130,101.240,101.060,101.220,7806690.0,77200
2025-7-2,10:05,101.200,101.200,101.010,101.180,11383526.0,112600
2025-7-2,10:10,101.200,101.430,101.110,101.150,5428273.0,53600
2025-7-2,10:15,101.140,101.260,101.010,101.010,6066307.0,60000
2025-7-2,10:20,101.020,101.400,101.010,101.360,4736730.0,46800
2025-7-2,10:25,101.360,101.400,101.300,101.330,2828223.0,27900
2025-7-2,10:30,101.330,101.390,101.280,101.290,2614273.0,25800
2025-7-2,10:35,101.280,101.280,101.110,101.130,1963044.0,19400
2025-7-2,10:40,101.160,101.220,101.060,101.100,4104585.0,40600
2025-7-2,10:45,101.100,101.100,100.900,100.900,15677673.0,155200
2025-7-2,10:50,100.900,101.030,100.890,100.960,3997866.0,39600
2025-7-2,10:55,100.950,101.080,100.940,101.080,6767259.5,67000
2025-7-2,11:00,101.100,101.120,101.000,101.020,5093160.0,50400
2025-7-2,11:05,101.050,101.060,100.970,101.010,5100490.0,50500
2025-7-2,11:10,101.000,101.180,101.000,101.000,4315953.0,42700
2025-7-2,11:15,101.020,101.150,100.980,101.000,4666723.0,46200
2025-7-2,11:20,100.980,101.130,100.980,101.030,7585884.0,75100
2025-7-2,11:25,101.050,101.050,100.970,101.010,2726996.0,27000
2025-7-2,11:30,101.020,101.050,100.980,100.980,3696623.0,36600
2025-7-2,13:05,100.990,101.170,100.950,100.980,8182051.0,81000
2025-7-2,13:10,100.980,101.000,100.960,101.000,2605225.0,25800
2025-7-2,13:15,100.990,100.990,100.900,100.900,5924568.0,58700
2025-7-2,13:20,101.000,101.040,100.630,100.650,14978341.0,148600
2025-7-2,13:25,100.680,100.700,100.570,100.690,7314363.0,72700
2025-7-2,13:30,100.690,100.730,100.650,100.680,3574654.0,35500
2025-7-2,13:35,100.670,100.670,100.500,100.510,8155205.0,81100
2025-7-2,13:40,100.520,100.590,100.510,100.550,3660267.0,36400
2025-7-2,13:45,100.560,100.580,100.530,100.570,3760526.0,37400
2025-7-2,13:50,100.580,100.580,100.540,100.550,3590031.0,35700
2025-7-2,13:55,100.540,100.540,100.350,100.450,8445944.0,84100
2025-7-2,14:00,100.410,100.450,100.360,100.360,2881859.0,28700
2025-7-2,14:05,100.360,100.500,100.360,100.390,4960429.0,49400
2025-7-2,14:10,100.400,100.400,100.160,100.180,11009022.0,109800
2025-7-2,14:15,100.190,100.190,100.050,100.080,16298037.0,162800
