日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,344.000,344.000,340.030,340.040,75527376.0,221000
2025-6-30,09:40,340.280,342.830,340.000,341.970,43950648.0,128600
2025-6-30,09:45,341.960,342.700,340.200,340.260,42968020.0,126000
2025-6-30,09:50,340.350,342.800,340.260,342.580,28140486.0,82400
2025-6-30,09:55,342.430,344.890,342.000,344.410,43001772.0,125200
2025-6-30,10:00,344.420,346.600,344.240,346.210,46886444.0,135900
2025-6-30,10:05,345.920,346.220,343.940,344.320,38722008.0,112300
2025-6-30,10:10,344.320,345.470,342.550,343.600,38596640.0,112400
2025-6-30,10:15,343.000,343.580,342.010,343.460,25595940.0,74700
2025-6-30,10:20,343.140,344.300,343.140,344.230,16076731.0,46700
2025-6-30,10:25,344.230,344.400,343.420,344.360,12570874.0,36600
2025-6-30,10:30,344.360,344.770,343.890,344.660,11224218.0,32600
2025-6-30,10:35,344.660,344.670,344.000,344.470,10205950.0,29600
2025-6-30,10:40,344.370,345.980,344.040,345.960,25651452.0,74400
2025-6-30,10:45,345.870,347.500,345.260,347.060,47310048.0,136400
2025-6-30,10:50,347.010,347.790,346.880,347.290,42431740.0,122200
2025-6-30,10:55,347.280,347.290,345.630,345.990,19715208.0,56900
2025-6-30,11:00,346.050,346.770,345.130,345.320,11476349.0,33200
2025-6-30,11:05,345.300,345.710,345.250,345.250,10964453.0,31700
2025-6-30,11:10,345.250,345.700,345.190,345.520,6837413.0,19800
2025-6-30,11:15,345.690,346.430,345.150,345.230,10119210.0,29300
2025-6-30,11:20,345.140,347.270,345.140,345.710,12254547.0,35400
2025-6-30,11:25,345.710,346.760,345.680,346.700,8000448.0,23100
2025-6-30,11:30,346.410,346.760,345.280,345.980,12169748.0,35200
2025-6-30,13:05,345.940,346.630,343.110,343.520,21315560.0,61800
2025-6-30,13:10,343.570,344.920,342.920,344.700,17245034.0,50200
2025-6-30,13:15,344.610,345.760,343.940,344.440,11698790.0,34000
2025-6-30,13:20,343.910,344.500,343.150,344.500,8409082.0,24400
2025-6-30,13:25,344.500,345.750,344.020,345.150,16784648.0,48700
2025-6-30,13:30,345.000,346.300,345.000,345.270,9888080.0,28600
2025-6-30,13:35,345.580,346.300,344.980,345.500,8047875.0,23300
2025-6-30,13:40,345.500,346.500,345.500,345.950,11971039.0,34600
2025-6-30,13:45,345.920,347.000,345.600,346.400,24910636.0,71900
2025-6-30,13:50,346.400,346.800,345.860,346.390,13863178.0,40000
2025-6-30,13:55,346.360,346.360,345.550,346.250,8395708.0,24300
2025-6-30,14:00,346.390,346.480,344.840,345.070,8824374.0,25500
2025-6-30,14:05,345.550,346.290,345.070,346.120,11524751.0,33300
2025-6-30,14:10,346.120,346.330,345.460,346.230,7033652.0,20300
2025-6-30,14:15,346.220,346.460,345.920,346.320,7250158.0,21000
2025-6-30,14:20,345.960,346.700,345.960,346.690,16536681.0,47700
2025-6-30,14:25,346.690,347.660,346.690,347.520,26909178.0,77500
2025-6-30,14:30,347.510,347.620,347.140,347.540,15310360.0,44100
2025-6-30,14:35,347.500,347.710,347.490,347.710,14872573.0,42800
2025-6-30,14:40,347.710,347.790,346.940,347.440,18766434.0,54000
2025-6-30,14:45,347.150,347.800,347.150,347.600,17366190.0,50000
2025-6-30,14:50,347.590,347.850,347.520,347.600,12610495.0,36300
2025-6-30,14:55,347.500,347.820,347.190,347.570,30045272.0,86400
2025-6-30,15:00,347.410,347.980,347.150,347.980,23374252.0,67200
2025-7-1,09:35,349.700,349.760,341.120,342.210,74647288.0,217100
2025-7-1,09:40,342.210,342.460,338.060,338.390,81647952.0,239700
2025-7-1,09:45,338.320,338.380,333.030,336.300,101698040.0,303100
2025-7-1,09:50,336.300,339.090,336.300,338.780,41511976.0,122700
2025-7-1,09:55,338.890,342.500,338.030,341.990,32652448.0,95700
2025-7-1,10:00,341.990,344.550,341.990,344.100,26907922.0,78400
2025-7-1,10:05,344.090,344.100,343.040,343.570,26304154.0,76500
2025-7-1,10:10,343.680,344.090,342.700,342.700,13272721.0,38700
