日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,8.550,8.630,8.550,8.580,88562440.0,10310900
2025-6-30,09:40,8.580,8.620,8.570,8.600,64518380.0,7503500
2025-6-30,09:45,8.600,8.600,8.570,8.580,32662732.0,3803800
2025-6-30,09:50,8.570,8.580,8.540,8.540,29451844.0,3441700
2025-6-30,09:55,8.540,8.550,8.520,8.540,26080346.0,3055000
2025-6-30,10:00,8.550,8.560,8.530,8.560,22197392.0,2597700
2025-6-30,10:05,8.560,8.570,8.540,8.570,21769728.0,2544800
2025-6-30,10:10,8.570,8.580,8.560,8.560,10188967.0,1188900
2025-6-30,10:15,8.570,8.580,8.560,8.580,11255948.0,1313800
2025-6-30,10:20,8.580,8.580,8.570,8.570,6458554.0,753400
2025-6-30,10:25,8.580,8.580,8.550,8.560,9836922.0,1149100
2025-6-30,10:30,8.560,8.580,8.560,8.570,10953728.0,1278300
2025-6-30,10:35,8.570,8.580,8.570,8.580,8165775.0,952100
2025-6-30,10:40,8.580,8.580,8.560,8.560,11847196.0,1382400
2025-6-30,10:45,8.570,8.590,8.560,8.590,13079405.0,1525200
2025-6-30,10:50,8.580,8.590,8.580,8.580,7831529.0,912200
2025-6-30,10:55,8.580,8.590,8.560,8.560,9683517.0,1129400
2025-6-30,11:00,8.570,8.570,8.560,8.570,3419643.0,399200
2025-6-30,11:05,8.560,8.570,8.550,8.550,13643390.0,1594300
2025-6-30,11:10,8.550,8.560,8.530,8.540,17480244.0,2046700
2025-6-30,11:15,8.530,8.540,8.530,8.530,4035302.0,472800
2025-6-30,11:20,8.540,8.550,8.530,8.530,8349633.0,978300
2025-6-30,11:25,8.530,8.550,8.530,8.550,9030629.0,1058000
2025-6-30,11:30,8.550,8.550,8.540,8.540,2852449.0,333800
2025-6-30,13:05,8.550,8.600,8.540,8.600,49887348.0,5813600
2025-6-30,13:10,8.600,8.620,8.590,8.620,25198120.0,2927800
2025-6-30,13:15,8.620,8.620,8.590,8.610,14182151.0,1647400
2025-6-30,13:20,8.600,8.610,8.600,8.600,8720309.0,1013700
2025-6-30,13:25,8.600,8.610,8.590,8.590,12667380.0,1473100
2025-6-30,13:30,8.580,8.590,8.580,8.590,4765208.0,555100
2025-6-30,13:35,8.590,8.590,8.580,8.590,7504778.0,874000
